,Gene,isTF,isCDMarker,StatisticsValue,P-value,Adj P-value,Group10_PT_0,Group10_PT_0.01,Group10_PT_0.02,Group10_PT_0.03,Group10_PT_0.04,Group10_PT_0.05,Group10_PT_0.06,Group10_PT_0.07,Group10_PT_0.08,Group10_PT_0.09,Group10_PT_0.1,Group10_PT_0.11,Group10_PT_0.12,Group10_PT_0.13,Group10_PT_0.14,Group10_PT_0.15,Group10_PT_0.16,Group10_PT_0.17,Group10_PT_0.18,Group10_PT_0.19,Group10_PT_0.2,Group10_PT_0.21,Group10_PT_0.22,Group10_PT_0.23,Group10_PT_0.24,Group10_PT_0.25,Group10_PT_0.26,Group10_PT_0.27,Group10_PT_0.28,Group10_PT_0.29,Group10_PT_0.3,Group10_PT_0.31,Group10_PT_0.32,Group10_PT_0.33,Group10_PT_0.34,Group10_PT_0.35,Group10_PT_0.36,Group10_PT_0.37,Group10_PT_0.38,Group10_PT_0.39,Group10_PT_0.4,Group10_PT_0.41,Group10_PT_0.42,Group10_PT_0.43,Group10_PT_0.44,Group10_PT_0.45,Group10_PT_0.46,Group10_PT_0.47,Group10_PT_0.48,Group10_PT_0.49,Group10_PT_0.5,Group10_PT_0.51,Group10_PT_0.52,Group10_PT_0.53,Group10_PT_0.54,Group10_PT_0.55,Group10_PT_0.56,Group10_PT_0.57,Group10_PT_0.58,Group10_PT_0.59,Group10_PT_0.6,Group10_PT_0.61,Group10_PT_0.62,Group10_PT_0.63,Group10_PT_0.64,Group10_PT_0.65,Group10_PT_0.66,Group10_PT_0.67,Group10_PT_0.68,Group10_PT_0.69,Group10_PT_0.7,Group10_PT_0.71,Group10_PT_0.72,Group10_PT_0.73,Group10_PT_0.74,Group10_PT_0.75,Group10_PT_0.76,Group10_PT_0.77,Group10_PT_0.78,Group10_PT_0.79,Group10_PT_0.8,Group10_PT_0.81,Group10_PT_0.82,Group10_PT_0.83,Group10_PT_0.84,Group10_PT_0.85,Group10_PT_0.86,Group10_PT_0.87,Group10_PT_0.88,Group10_PT_0.89,Group10_PT_0.9,Group10_PT_0.91,Group10_PT_0.92,Group10_PT_0.93,Group10_PT_0.94,Group10_PT_0.95,Group10_PT_0.96,Group10_PT_0.97,Group10_PT_0.98,Group10_PT_0.99,Group10_PT_1
0,HSPA5,0,0,55.389,2.6932e-11,2.0406e-07,0.858414,0.853914,0.849415,0.844919,0.840426,0.835938,0.831456,0.826981,0.8225153,0.8180588,0.8136131,0.8091796,0.80475933,0.80035357,0.7959635,0.79159,0.7872354,0.7828997,0.7785845,0.77429115,0.7700207,0.7657744,0.761554,0.757359,0.753193,0.749055,0.744948,0.740856,0.736736,0.732544,0.728231,0.723753,0.719064,0.714116,0.70887,0.703264,0.697268,0.690829,0.6839,0.676442,0.668401,0.659734,0.650396,0.64034,0.62952,0.61789,0.6054,0.59201,0.57767,0.56237,0.54616,0.52913,0.51133,0.49283,0.47372,0.45405,0.43391,0.41335,0.39245,0.37127,0.3499,0.32839,0.30683,0.28527,0.26379,0.24246,0.22136,0.20054,0.18008,0.16005,0.14052,0.121562,0.103244,0.085637,0.068811,0.052836,0.0377819,0.0237191,0.0107178,-0.0011518,-0.01182,-0.021216,-0.02927,-0.035926,-0.041224,-0.045245,-0.048067,-0.049772,-0.050438,-0.050145,-0.048975,-0.047005,-0.044317,-0.04099,-0.037104,-0.032738,-0.027973,-0.022889,-0.017565,-0.0120818,-0.0065184
1,HSP90B1,0,0,60.045,2.8387e-12,2.1512e-08,1.118702,1.096083,1.073502,1.050996,1.028602,1.00636,0.984305,0.962476,0.9409107,0.9196461,0.8987202,0.8781706,0.85803482,0.83835055,0.8191554,0.800487,0.782383,0.764881,0.7480186,0.73183344,0.7163632,0.7016454,0.687718,0.674618,0.662383,0.651052,0.640661,0.631205,0.622603,0.614767,0.607605,0.60103,0.59495,0.589277,0.58392,0.578793,0.573803,0.568861,0.56388,0.558766,0.553433,0.54779,0.541748,0.53522,0.52811,0.52033,0.5118,0.50242,0.4921,0.4808,0.46857,0.45545,0.44153,0.42685,0.41148,0.39548,0.37891,0.36183,0.3443,0.32639,0.30816,0.28966,0.27096,0.25212,0.23321,0.21427,0.19538,0.17659,0.15796,0.13957,0.12146,0.103703,0.086356,0.069481,0.053139,0.037392,0.0222999,0.0079252,-0.0056713,-0.0184283,-0.030285,-0.041179,-0.05105,-0.059848,-0.067603,-0.074375,-0.080227,-0.085218,-0.089412,-0.092869,-0.09565,-0.097817,-0.099432,-0.100556,-0.10125,-0.101575,-0.101593,-0.101366,-0.100955,-0.1004205,-0.0998249
2,PRSS57,0,0,31.722,2.1802e-06,0.016518,1.295831,1.260668,1.225585,1.19066,1.155974,1.121605,1.087634,1.05414,1.0212024,0.9889003,0.9573135,0.9265213,0.89660339,0.8676391,0.8397079,0.812889,0.7872629,0.762908,0.739904,0.7183306,0.6982671,0.6797931,0.662988,0.647931,0.634702,0.623381,0.614045,0.606699,0.601209,0.597427,0.595204,0.594391,0.59484,0.596403,0.59893,0.602275,0.606288,0.610819,0.61572,0.620848,0.626047,0.631172,0.636074,0.6406,0.64462,0.64796,0.65048,0.65204,0.65249,0.65173,0.64979,0.64672,0.64257,0.63738,0.63121,0.62411,0.61611,0.60728,0.59766,0.58729,0.57623,0.56451,0.55221,0.53935,0.52599,0.51217,0.49795,0.48337,0.46848,0.45334,0.43798,0.42245,0.406809,0.3911,0.375372,0.359673,0.34405,0.3285526,0.3132288,0.2981268,0.283295,0.268781,0.254634,0.240895,0.227559,0.214602,0.202001,0.189733,0.177773,0.166097,0.154682,0.143505,0.132541,0.121767,0.111159,0.100693,0.090346,0.080094,0.069912,0.0597788,0.0496688
3,MPO,0,0,200.055,3.6565e-42,2.7716e-38,1.668728,1.648229,1.627722,1.607199,1.586653,1.566076,1.54546,1.524798,1.5040821,1.4833041,1.4624564,1.4415313,1.42052112,1.39941811,1.3782145,1.356903,1.3354747,1.3139229,1.2922397,1.27041716,1.2484476,1.2263234,1.204037,1.18158,1.158945,1.136124,1.11311,1.089903,1.066513,1.042956,1.019245,0.995393,0.971415,0.947324,0.92313,0.898858,0.874511,0.850106,0.82566,0.801177,0.776681,0.752183,0.727695,0.70323,0.67881,0.65443,0.63013,0.6059,0.58177,0.55774,0.53384,0.51007,0.48645,0.463,0.43973,0.41666,0.3938,0.37116,0.34876,0.32661,0.30473,0.28314,0.26185,0.24086,0.22021,0.19989,0.17994,0.16035,0.14116,0.12236,0.10398,0.086026,0.068519,0.051472,0.0349,0.018816,0.0032358,-0.0118261,-0.0263549,-0.0403361,-0.053755,-0.066597,-0.078847,-0.090495,-0.101563,-0.112085,-0.122095,-0.131626,-0.140714,-0.149391,-0.157694,-0.165654,-0.173308,-0.180688,-0.187829,-0.194766,-0.201531,-0.20816,-0.214687,-0.2211452,-0.2275694
4,CALR,0,0,83.264,3.5412e-17,2.6838e-13,1.194784,1.196121,1.197421,1.198646,1.199757,1.200719,1.201493,1.202041,1.2023261,1.2023105,1.2019568,1.2012272,1.20008426,1.19849033,1.1964078,1.193799,1.1906269,1.1868532,1.1824407,1.17735174,1.1715487,1.1649941,1.15765,1.14948,1.140445,1.130508,1.119631,1.107811,1.095098,1.081553,1.067234,1.052201,1.036513,1.020228,1.00341,0.986107,0.968389,0.950312,0.93193,0.913314,0.894513,0.875589,0.8566,0.83761,0.81867,0.79984,0.78119,0.76277,0.74464,0.72684,0.70936,0.6922,0.67533,0.65875,0.64244,0.62639,0.61059,0.59502,0.57967,0.56453,0.54958,0.53482,0.52023,0.50579,0.4915,0.47734,0.46329,0.44936,0.43551,0.42174,0.40804,0.394395,0.38079,0.367212,0.353649,0.340089,0.3265183,0.312924,0.2992935,0.2856137,0.271872,0.258055,0.244151,0.230148,0.216046,0.201853,0.187573,0.173212,0.158777,0.144272,0.129704,0.115078,0.1004,0.085677,0.070912,0.056114,0.041286,0.026435,0.011567,-0.0033121,-0.0181973
5,RPL31,0,0,30.427,4.0072e-06,0.030354,-0.057246,-0.051024,-0.044815,-0.038631,-0.032484,-0.026388,-0.020356,-0.014398,-0.0085291,-0.0027609,0.0028939,0.0084227,0.01381283,0.01905171,0.0241267,0.029025,0.0337348,0.0382426,0.0425362,0.04660291,0.0504301,0.0540053,0.057316,0.060349,0.063092,0.065533,0.067659,0.069479,0.071043,0.072404,0.073615,0.07473,0.075801,0.076884,0.07803,0.079293,0.080727,0.082385,0.08432,0.086586,0.089236,0.092324,0.095902,0.10002,0.10474,0.11012,0.11619,0.12303,0.13067,0.13915,0.14843,0.15845,0.16916,0.18052,0.19247,0.20497,0.21796,0.23139,0.24522,0.25939,0.27385,0.28855,0.30345,0.31849,0.33361,0.34878,0.36394,0.37904,0.39403,0.40886,0.42349,0.437845,0.451894,0.465582,0.478858,0.491673,0.5039759,0.5157166,0.5268448,0.5373103,0.547063,0.556052,0.564228,0.571549,0.578039,0.583746,0.58872,0.593008,0.59666,0.599726,0.602253,0.604291,0.605889,0.607096,0.60796,0.60853,0.608856,0.608986,0.60897,0.6088551,0.6086918
6,STMN1,0,0,29.393,6.5037e-06,0.049259,0.039579,0.035548,0.031549,0.027615,0.02378,0.020075,0.016533,0.013188,0.0100706,0.0072149,0.004653,0.0024178,0.00054183,-0.00094224,-0.0020017,-0.002604,-0.0027164,-0.0023062,-0.0013408,0.00021246,0.0023862,0.0052132,0.008726,0.012957,0.01794,0.023706,0.030289,0.037693,0.045873,0.054781,0.064364,0.074575,0.085362,0.096675,0.10847,0.120681,0.133274,0.146193,0.15939,0.172809,0.186407,0.20013,0.21393,0.22776,0.24156,0.25529,0.26889,0.28232,0.29552,0.30847,0.32115,0.33358,0.34574,0.35766,0.36932,0.38073,0.39189,0.40282,0.4135,0.42394,0.43414,0.44411,0.45385,0.46336,0.47264,0.4817,0.49054,0.49916,0.50756,0.51575,0.52373,0.531495,0.539058,0.546418,0.553577,0.560537,0.567302,0.5738733,0.5802538,0.5864459,0.592452,0.598276,0.603918,0.609384,0.614679,0.619816,0.624803,0.62965,0.634368,0.638967,0.643456,0.647845,0.652144,0.656364,0.660514,0.664604,0.668645,0.672645,0.676616,0.6805665,0.6845073
