,Gene,isTF,isCDMarker,StatisticsValue,P-value,Adj P-value,Group4_PT_0,Group4_PT_0.01,Group4_PT_0.02,Group4_PT_0.03,Group4_PT_0.04,Group4_PT_0.05,Group4_PT_0.06,Group4_PT_0.07,Group4_PT_0.08,Group4_PT_0.09,Group4_PT_0.1,Group4_PT_0.11,Group4_PT_0.12,Group4_PT_0.13,Group4_PT_0.14,Group4_PT_0.15,Group4_PT_0.16,Group4_PT_0.17,Group4_PT_0.18,Group4_PT_0.19,Group4_PT_0.2,Group4_PT_0.21,Group4_PT_0.22,Group4_PT_0.23,Group4_PT_0.24,Group4_PT_0.25,Group4_PT_0.26,Group4_PT_0.27,Group4_PT_0.28,Group4_PT_0.29,Group4_PT_0.3,Group4_PT_0.31,Group4_PT_0.32,Group4_PT_0.33,Group4_PT_0.34,Group4_PT_0.35,Group4_PT_0.36,Group4_PT_0.37,Group4_PT_0.38,Group4_PT_0.39,Group4_PT_0.4,Group4_PT_0.41,Group4_PT_0.42,Group4_PT_0.43,Group4_PT_0.44,Group4_PT_0.45,Group4_PT_0.46,Group4_PT_0.47,Group4_PT_0.48,Group4_PT_0.49,Group4_PT_0.5,Group4_PT_0.51,Group4_PT_0.52,Group4_PT_0.53,Group4_PT_0.54,Group4_PT_0.55,Group4_PT_0.56,Group4_PT_0.57,Group4_PT_0.58,Group4_PT_0.59,Group4_PT_0.6,Group4_PT_0.61,Group4_PT_0.62,Group4_PT_0.63,Group4_PT_0.64,Group4_PT_0.65,Group4_PT_0.66,Group4_PT_0.67,Group4_PT_0.68,Group4_PT_0.69,Group4_PT_0.7,Group4_PT_0.71,Group4_PT_0.72,Group4_PT_0.73,Group4_PT_0.74,Group4_PT_0.75,Group4_PT_0.76,Group4_PT_0.77,Group4_PT_0.78,Group4_PT_0.79,Group4_PT_0.8,Group4_PT_0.81,Group4_PT_0.82,Group4_PT_0.83,Group4_PT_0.84,Group4_PT_0.85,Group4_PT_0.86,Group4_PT_0.87,Group4_PT_0.88,Group4_PT_0.89,Group4_PT_0.9,Group4_PT_0.91,Group4_PT_0.92,Group4_PT_0.93,Group4_PT_0.94,Group4_PT_0.95,Group4_PT_0.96,Group4_PT_0.97,Group4_PT_0.98,Group4_PT_0.99,Group4_PT_1
0,DAD1,0,0,39.196,6.3476e-08,0.00043018,5.467974,5.190953,4.914514,4.639238,4.365709,4.094507,3.82621521,3.561415,3.3006892,3.0446189,2.793786,2.548774,2.310163,2.078535,1.854474,1.63856,1.431376,1.233503,1.04552,0.86802,0.70157,0.54677,0.40418,0.2744,0.158,0.055576,-0.032303,-0.10505,-0.1621,-0.20363,-0.2308,-0.244848,-0.24702,-0.238547,-0.220675,-0.19464,-0.16168,-0.12303,-0.07994,-0.03364,0.014628,0.063627,0.11212,0.15886,0.20261,0.24214,0.276207,0.303569,0.322988,0.333226,0.3332,0.3234,0.305209,0.28004083,0.249297,0.21438,0.1767,0.13765,0.098647,0.061087,0.026375,-0.0040828,-0.028883,-0.046623,-0.055954,-0.056416,-0.048236,-0.0316633,-0.0069432,0.025677,0.065951,0.11363,0.16847,0.23022,0.29864,0.37348,0.45449,0.54142,0.63403,0.73208,0.83531,0.94347,1.0563,1.1736,1.2951,1.4206,1.5497,1.6823,1.8182,1.9569,2.0984,2.2424,2.3886,2.5367,2.6866,2.838,2.9906,3.1442,3.2985,3.4534,3.6084
1,SLC44A1,0,0,36.577,2.2013e-07,0.0014916,-0.242753,-0.086686,0.068795,0.223105,0.375657,0.525866,0.67314561,0.816911,0.9565748,1.0915525,1.221258,1.345105,1.462509,1.572882,1.675641,1.770197,1.855967,1.932364,1.9988,2.05469,2.09946,2.1325,2.15325,2.16111,2.15549,2.135812,2.10149,2.05194,1.98659,1.90593,1.81181,1.706223,1.59113,1.468516,1.340344,1.20859,1.07523,0.94223,0.81157,0.68522,0.565152,0.453342,0.35176,0.26239,0.18719,0.12814,0.087212,0.066381,0.067619,0.092899,0.14392,0.21959,0.317242,0.43415631,0.567631,0.71496,0.87344,1.04036,1.213027,1.388723,1.564745,1.7383904,1.906952,2.067724,2.218108,2.357123,2.485053,2.6022144,2.7089236,2.805498,2.892253,2.96951,3.03758,3.09678,3.14743,3.18984,3.22434,3.25123,3.27084,3.28348,3.28947,3.28913,3.2828,3.2707,3.2533,3.2307,3.2035,3.1718,3.136,3.0963,3.0532,3.007,2.9579,2.9062,2.8523,2.7966,2.7392,2.6806,2.621,2.5608,2.5003
2,C6orf25,0,0,30.029,4.8277e-06,0.032707,-0.278482,-0.232073,-0.185643,-0.139171,-0.092637,-0.04602,0.00070171,0.047548,0.0945396,0.1416977,0.189043,0.236596,0.284378,0.33241,0.380712,0.429306,0.478211,0.527449,0.57704,0.62701,0.67737,0.72815,0.77936,0.83103,0.88318,0.935831,0.989,1.04271,1.09698,1.1517,1.20662,1.261437,1.31589,1.369687,1.422557,1.47422,1.52439,1.5728,1.61916,1.66319,1.704617,1.743159,1.77854,1.81047,1.83868,1.86289,1.88282,1.898187,1.908714,1.914121,1.91419,1.90935,1.900403,1.88813865,1.873362,1.85687,1.83947,1.82196,1.805136,1.789803,1.776761,1.7668088,1.760748,1.759379,1.763469,1.77327,1.788634,1.809402,1.8354151,1.866514,1.902541,1.94334,1.98874,2.03859,2.09274,2.15102,2.21327,2.27934,2.34906,2.42228,2.49884,2.57857,2.6613,2.7469,2.8353,2.9261,3.0194,3.1148,3.2124,3.3118,3.413,3.5158,3.62,3.7255,3.8321,3.9396,4.048,4.157,4.2664,4.3762,4.4861
3,PLEK,0,0,52.592,1.037e-10,7.03e-07,2.495016,2.456333,2.417956,2.38019,2.34334,2.307712,2.27361209,2.241345,2.211216,2.1835313,2.158596,2.136716,2.118196,2.103342,2.09246,2.085855,2.083832,2.086697,2.09476,2.10831,2.12768,2.15315,2.18504,2.22364,2.26928,2.322247,2.382852,2.4514,2.52818,2.61296,2.70476,2.802563,2.90535,3.01209,3.121771,3.23337,3.34586,3.45823,3.56945,3.6785,3.784366,3.886017,3.98244,4.0726,4.15549,4.23009,4.295365,4.350304,4.393882,4.425078,4.44303,4.4484,4.442771,4.42771757,4.404819,4.37565,4.3418,4.30485,4.26636,4.227928,4.191126,4.1575361,4.128736,4.106307,4.091763,4.085648,4.087749,4.0978296,4.1156558,4.140993,4.173606,4.21326,4.25972,4.31275,4.37212,4.4376,4.50894,4.58591,4.66828,4.75582,4.84828,4.94544,5.0471,5.1529,5.2627,5.3763,5.4934,5.6138,5.7373,5.8635,5.9924,6.1236,6.2569,6.3921,6.5289,6.6671,6.8065,6.9469,7.0879,7.2294,7.3712
4,TMSB4X,0,0,87.318,4.8866e-18,3.3136e-14,-0.049474,-0.045391,-0.041171,-0.036676,-0.031767,-0.026307,-0.02015748,-0.013182,-0.0052411,0.0038018,0.014085,0.025746,0.038922,0.053753,0.070374,0.088925,0.109543,0.132365,0.15753,0.18518,0.21544,0.24846,0.28437,0.32332,0.36543,0.41085,0.459716,0.51216,0.56833,0.62809,0.691,0.756576,0.82435,0.893838,0.964568,1.03606,1.10785,1.17944,1.25038,1.32017,1.388343,1.454426,1.51794,1.57841,1.63535,1.6883,1.736776,1.780299,1.818396,1.850589,1.87649,1.89655,1.911732,1.9229883,1.931277,1.93756,1.94279,1.94792,1.953919,1.961741,1.972342,1.9866822,2.005718,2.030408,2.061669,2.099803,2.144632,2.1959641,2.2536085,2.317374,2.387069,2.4625,2.54348,2.62982,2.72132,2.81779,2.91905,3.02489,3.13514,3.24959,3.36806,3.49036,3.6163,3.7457,3.8783,4.014,4.1525,4.2938,4.4375,4.5835,4.7316,4.8816,5.0334,5.1867,5.3413,5.4971,5.6538,5.8113,5.9693,6.1278,6.2864
5,LTBP1,0,0,48.223,8.4814e-10,5.7487e-06,-0.386667,-0.234654,-0.083004,0.06792,0.217757,0.366144,0.5127174,0.657116,0.7989756,0.937935,1.073631,1.205701,1.333783,1.457514,1.576532,1.690473,1.798975,1.901676,1.99821,2.08822,2.17135,2.24722,2.31547,2.37575,2.42769,2.470927,2.5051,2.52985,2.54482,2.55028,2.54735,2.537179,2.52094,2.499812,2.474945,2.44751,2.41868,2.38961,2.36147,2.33543,2.312661,2.29432,2.28158,2.2756,2.27755,2.2886,2.309911,2.342654,2.387992,2.447094,2.52097,2.60906,2.709886,2.8219822,2.943864,3.07405,3.21107,3.35343,3.499662,3.648284,3.797816,3.946779,4.093694,4.237082,4.375521,4.508464,4.636045,4.7584185,4.8757367,4.988153,5.095821,5.19889,5.29752,5.39187,5.48207,5.56829,5.65069,5.7294,5.8046,5.87642,5.94503,6.01057,6.0732,6.1331,6.1904,6.2452,6.2977,6.3481,6.3965,6.443,6.4879,6.5312,6.5732,6.6139,6.6535,6.6923,6.7303,6.7676,6.8045,6.8411,6.8775
6,ITGA2B,0,1,99.595,1.1999e-20,8.1375e-17,2.643428,2.500983,2.358992,2.217907,2.078184,1.940275,1.80463334,1.671714,1.5419689,1.415853,1.293819,1.176321,1.063813,0.956747,0.855579,0.76076,0.672745,0.591987,0.51894,0.45406,0.39779,0.3506,0.31294,0.28525,0.26799,0.261621,0.266591,0.28335,0.31235,0.3534,0.40551,0.467608,0.53863,0.617511,0.70319,0.7946,0.89068,0.99036,1.09258,1.19627,1.300377,1.403828,1.50556,1.60451,1.69961,1.7898,1.87402,1.951195,2.020267,2.08017,2.13001,2.1706,2.203741,2.23124521,2.254924,2.27659,2.29805,2.32113,2.347628,2.379363,2.418145,2.4657859,2.524099,2.594896,2.679911,2.779686,2.893837,3.021952,3.1636204,3.318432,3.485975,3.66584,3.85761,4.06089,4.27525,4.5003,4.73561,4.98078,5.23539,5.49904,5.77132,6.05181,6.3401,6.6358,6.9385,7.2477,7.5631,7.8842,8.2107,8.5421,8.8781,9.2181,9.5619,9.9089,10.2588,10.6112,10.9656,11.3216,11.6789,12.037,12.3956
7,PF4,0,0,71.015,1.386e-14,9.3968e-11,0.793695,0.731436,0.669395,0.607793,0.546848,0.48678,0.42780685,0.370149,0.3140244,0.259653,0.207254,0.157045,0.109248,0.064079,0.021759,-0.017493,-0.053459,-0.085919,-0.11465,-0.13944,-0.16007,-0.17632,-0.18796,-0.19478,-0.19657,-0.193094,-0.184141,-0.16949,-0.14893,-0.1227,-0.09162,-0.056554,-0.01837,0.022062,0.063877,0.10621,0.14819,0.18894,0.22761,0.26333,0.295229,0.322437,0.34409,0.35932,0.36726,0.36704,0.357801,0.338667,0.308775,0.267257,0.21347,0.14901,0.076769,-0.00033975,-0.079408,-0.15753,-0.23179,-0.29928,-0.357095,-0.402324,-0.432057,-0.4433853,-0.433399,-0.399189,-0.337975,-0.248951,-0.13285,0.0095556,0.1774913,0.370184,0.586859,0.82674,1.08906,1.37305,1.67792,2.0029,2.34723,2.71012,3.09081,3.48852,3.90247,4.3319,4.776,5.2341,5.7053,6.1889,6.6841,7.1901,7.7061,8.2315,8.7654,9.307,9.8556,10.4103,10.9705,11.5353,12.104,12.6758,13.2499,13.8255,14.4019
