,Gene,StatisticsValue,P-value,Adj P-value,Group15_PT_0,Group15_PT_0.01,Group15_PT_0.02,Group15_PT_0.03,Group15_PT_0.04,Group15_PT_0.05,Group15_PT_0.06,Group15_PT_0.07,Group15_PT_0.08,Group15_PT_0.09,Group15_PT_0.1,Group15_PT_0.11,Group15_PT_0.12,Group15_PT_0.13,Group15_PT_0.14,Group15_PT_0.15,Group15_PT_0.16,Group15_PT_0.17,Group15_PT_0.18,Group15_PT_0.19,Group15_PT_0.2,Group15_PT_0.21,Group15_PT_0.22,Group15_PT_0.23,Group15_PT_0.24,Group15_PT_0.25,Group15_PT_0.26,Group15_PT_0.27,Group15_PT_0.28,Group15_PT_0.29,Group15_PT_0.3,Group15_PT_0.31,Group15_PT_0.32,Group15_PT_0.33,Group15_PT_0.34,Group15_PT_0.35,Group15_PT_0.36,Group15_PT_0.37,Group15_PT_0.38,Group15_PT_0.39,Group15_PT_0.4,Group15_PT_0.41,Group15_PT_0.42,Group15_PT_0.43,Group15_PT_0.44,Group15_PT_0.45,Group15_PT_0.46,Group15_PT_0.47,Group15_PT_0.48,Group15_PT_0.49,Group15_PT_0.5,Group15_PT_0.51,Group15_PT_0.52,Group15_PT_0.53,Group15_PT_0.54,Group15_PT_0.55,Group15_PT_0.56,Group15_PT_0.57,Group15_PT_0.58,Group15_PT_0.59,Group15_PT_0.6,Group15_PT_0.61,Group15_PT_0.62,Group15_PT_0.63,Group15_PT_0.64,Group15_PT_0.65,Group15_PT_0.66,Group15_PT_0.67,Group15_PT_0.68,Group15_PT_0.69,Group15_PT_0.7,Group15_PT_0.71,Group15_PT_0.72,Group15_PT_0.73,Group15_PT_0.74,Group15_PT_0.75,Group15_PT_0.76,Group15_PT_0.77,Group15_PT_0.78,Group15_PT_0.79,Group15_PT_0.8,Group15_PT_0.81,Group15_PT_0.82,Group15_PT_0.83,Group15_PT_0.84,Group15_PT_0.85,Group15_PT_0.86,Group15_PT_0.87,Group15_PT_0.88,Group15_PT_0.89,Group15_PT_0.9,Group15_PT_0.91,Group15_PT_0.92,Group15_PT_0.93,Group15_PT_0.94,Group15_PT_0.95,Group15_PT_0.96,Group15_PT_0.97,Group15_PT_0.98,Group15_PT_0.99,Group15_PT_1
0,Anxa6,33.827,8.0848e-07,0.022787,0.3371577,0.3105842,0.28425372,0.258409,0.233293,0.2091489,0.1862193,0.164747,0.1449757,0.1271476,0.1115057,0.0982931,0.0877526,0.080127,0.07566,0.074594,0.077171,0.083635,0.094229,0.109196,0.128778,0.153219,0.182761,0.217647,0.2581209,0.3044248,0.356802,0.415495,0.480747,0.552801,0.631899,0.7182856,0.812203,0.913893,1.0236,1.14157,1.268032,1.40286,1.545261,1.69437,1.84934,2.0093,2.17339,2.340755,2.510536,2.68187,2.8539,3.02577,3.19661,3.36557,3.53179,3.69441,3.85256,4.00539,4.15204,4.29166,4.42337,4.5463,4.6597,4.76251,4.85403,4.9333,4.99961,5.05195,5.08952,5.111457,5.116896,5.10498,5.0749,5.02698,4.96265,4.88339,4.7907,4.686058,4.57095,4.44685,4.31525,4.17764,4.0355,3.89032,3.74357,3.59675,3.45134,3.30882,3.17068,3.0384,2.91347,2.79737,2.69157,2.5965,2.5115,2.4355,2.3677,2.3072,2.253,2.2042,2.16,2.11935,2.08146,2.04539,2.010223
1,Tmsb10,39.04,6.8336e-08,0.0019262,1.3067337,1.2047565,1.10307345,1.0019785,0.901766,0.8027297,0.7051639,0.609363,0.5156202,0.4242304,0.3354874,0.2496855,0.1671185,0.088081,0.012866,-0.058231,-0.124917,-0.186897,-0.243878,-0.295565,-0.341664,-0.381881,-0.415923,-0.443494,-0.464301,-0.4780498,-0.484446,-0.483196,-0.474006,-0.45658,-0.430626,-0.3958494,-0.351956,-0.298651,-0.235641,-0.16263,-0.079333,0.014209,0.117355,0.22941,0.34966,0.47742,0.61198,0.752638,0.898703,1.04947,1.20424,1.36231,1.52298,1.68556,1.84934,2.01361,2.17769,2.34087,2.50245,2.66172,2.818,2.9706,3.1188,3.26183,3.39911,3.5299,3.65346,3.76913,3.8762,3.973963,4.061727,4.13879,4.20446,4.25836,4.30039,4.3305,4.34859,4.354597,4.34845,4.33007,4.29939,4.25633,4.20082,4.13278,4.05214,3.95882,3.85276,3.73388,3.6021,3.45736,3.29957,3.12866,2.94457,2.7477,2.5391,2.3198,2.0908,1.8533,1.6084,1.357,1.1003,0.83928,0.57507,0.30873,0.041322
2,Anxa2,41.475,2.1427e-08,0.00060402,-0.0182868,-0.0342368,-0.05008248,-0.0657193,-0.081043,-0.0959486,-0.1103322,-0.124089,-0.1371154,-0.1493061,-0.1605569,-0.1707635,-0.1798213,-0.187626,-0.194073,-0.199058,-0.202477,-0.204225,-0.204198,-0.202291,-0.198399,-0.19242,-0.184247,-0.173777,-0.160905,-0.1455268,-0.127538,-0.106834,-0.08331,-0.056863,-0.027387,0.0052218,0.041068,0.080256,0.122889,0.16907,0.218912,0.272423,0.329474,0.38992,0.45361,0.5204,0.59014,0.662686,0.737889,0.8156,0.89568,0.97797,1.06233,1.14861,1.23667,1.32635,1.41751,1.51001,1.60369,1.6984,1.79401,1.8904,1.9873,2.08471,2.18241,2.2803,2.37813,2.47585,2.57329,2.670294,2.766715,2.86241,2.95721,3.05066,3.14199,3.23042,3.31518,3.395472,3.47053,3.53958,3.60183,3.65651,3.70285,3.74005,3.76734,3.78394,3.78908,3.78198,3.76185,3.72792,3.6794,3.61553,3.53553,3.4395,3.3287,3.2046,3.0683,2.9213,2.7649,2.6004,2.4293,2.25274,2.07219,1.88895,1.704371
3,Crip1,66.669,1.145e-13,3.2281e-09,-0.6450747,-0.4747656,-0.30468067,-0.1350444,0.033919,0.201985,0.3689296,0.534528,0.6985568,0.8607909,1.0210062,1.1789784,1.3344832,1.487296,1.637193,1.78395,1.927342,2.067145,2.203135,2.335088,2.462778,2.585983,2.704476,2.818035,2.9264354,3.0294519,3.126861,3.218438,3.303958,3.383198,3.455933,3.5219381,3.58099,3.632864,3.677336,3.71418,3.74318,3.764432,3.778605,3.78643,3.78862,3.78591,3.77903,3.768704,3.755653,3.7406,3.72429,3.70742,3.69074,3.67497,3.66083,3.64904,3.64035,3.63546,3.63512,3.64003,3.65094,3.6686,3.6936,3.72685,3.76897,3.8207,3.8828,3.95596,4.04092,4.138397,4.249125,4.37383,4.51316,4.6662,4.83045,5.00334,5.18233,5.364835,5.54831,5.73019,5.90791,6.07892,6.24065,6.39054,6.52604,6.64457,6.74358,6.82051,6.8728,6.89789,6.89321,6.85621,6.78437,6.6774,6.5381,6.3693,6.174,5.9552,5.7158,5.4587,5.1868,4.90323,4.61079,4.31247,4.011203
4,H2-DMb1,106.496,4.0643e-22,1.1461e-17,0.3149073,0.2752969,0.2358276,0.1966406,0.157877,0.1196779,0.0821845,0.045538,0.0098791,-0.0246505,-0.05791,-0.0897582,-0.1200539,-0.148656,-0.175424,-0.200215,-0.22289,-0.243306,-0.261324,-0.276801,-0.289596,-0.299569,-0.306578,-0.310482,-0.3111405,-0.3084116,-0.302154,-0.292228,-0.278491,-0.260802,-0.23902,-0.2130045,-0.182614,-0.147707,-0.108143,-0.06378,-0.014478,0.039896,0.099461,0.16433,0.23463,0.31046,0.39196,0.479221,0.572376,0.67154,0.77682,0.88835,1.00623,1.13058,1.26153,1.39918,1.54365,1.69506,1.85353,2.01917,2.1921,2.3724,2.5603,2.7558,2.95905,3.1702,3.38929,3.61651,3.85195,4.095734,4.34797,4.60878,4.87822,5.15504,5.43672,5.72065,6.00426,6.284943,6.56012,6.8272,7.08359,7.3267,7.55394,7.76272,7.95046,8.11455,8.25242,8.36147,8.43911,8.48276,8.48981,8.45769,8.38386,8.2682,8.1141,7.925,7.7043,7.4557,7.1825,6.8883,6.5766,6.25095,5.91475,5.57155,5.224856
5,Mpeg1,90.25,1.1653e-18,3.2857e-14,-0.5343411,-0.3272562,-0.12054449,0.085421,0.290267,0.4936206,0.6951085,0.894358,1.0909947,1.2846468,1.4749407,1.6615033,1.8439614,2.021942,2.195072,2.362978,2.525287,2.681625,2.831621,2.9749,3.11109,3.239817,3.360708,3.473391,3.5774908,3.6726359,3.758453,3.834568,3.900609,3.956202,4.000974,4.0345522,4.056563,4.066634,4.064392,4.04946,4.021481,3.980723,3.928597,3.86663,3.79634,3.71926,3.6369,3.550801,3.46248,3.37346,3.28527,3.19943,3.11746,3.0409,2.97126,2.91006,2.85884,2.81912,2.79242,2.78027,2.78419,2.8057,2.8463,2.90761,2.99105,3.0982,3.23054,3.38963,3.57699,3.794139,4.042602,4.3239,4.63942,4.98724,5.36216,5.75888,6.17206,6.59639,7.02654,7.45719,7.88302,8.29871,8.69893,9.07836,9.43167,9.75356,10.03868,10.28173,10.47738,10.6203,10.70517,10.72668,10.6796,10.5632,10.3829,10.1445,9.8538,9.5166,9.1387,8.726,8.2842,7.81914,7.33666,6.84256,6.342645
6,Ahnak,68.271,5.2577e-14,1.4824e-09,-0.0148653,-0.0189276,-0.02294155,-0.026859,-0.030632,-0.0342113,-0.0375497,-0.040598,-0.0433094,-0.0456342,-0.0475247,-0.0489327,-0.0498097,-0.050108,-0.049778,-0.048773,-0.047044,-0.044543,-0.041221,-0.037031,-0.031924,-0.025851,-0.018765,-0.010617,-0.0013598,0.0090562,0.020679,0.033556,0.047736,0.063268,0.080199,0.0985777,0.118453,0.139872,0.162884,0.18754,0.213879,0.242029,0.27222,0.3047,0.33972,0.37753,0.41837,0.4625,0.510157,0.56159,0.61706,0.6768,0.74106,0.8101,0.88415,0.96348,1.04832,1.13892,1.23554,1.33842,1.4478,1.5639,1.6871,1.8175,1.9554,2.1011,2.25471,2.41661,2.587,2.766132,2.954255,3.15162,3.35842,3.57378,3.79577,4.0224,4.25169,4.481642,4.71029,4.93563,5.1557,5.36849,5.57204,5.76436,5.94345,6.10734,6.25404,6.38157,6.48795,6.57118,6.62929,6.66029,6.66223,6.635,6.5808,6.5021,6.4014,6.2812,6.1437,5.9916,5.8273,5.65318,5.47171,5.28534,5.096522
7,Cst3,115.928,3.9557e-24,1.1155e-19,-0.2372433,-0.0861636,0.06482651,0.2156377,0.36618,0.5163653,0.6661028,0.815303,0.9638777,1.1117361,1.2587893,1.4049477,1.5501218,1.694222,1.837159,1.978844,2.119186,2.258097,2.395487,2.531266,2.665345,2.797634,2.928045,3.056487,3.1828707,3.3071072,3.429107,3.54878,3.666037,3.780789,3.892946,4.0024192,4.109118,4.212954,4.313837,4.41168,4.506389,4.598014,4.686836,4.77316,4.85729,4.93952,5.02018,5.099551,5.177949,5.25568,5.33304,5.41034,5.48788,5.56598,5.64492,5.72503,5.8066,5.88993,5.97534,6.06313,6.1536,6.2471,6.3438,6.44414,6.54839,6.6568,6.7698,6.88758,7.01048,7.138806,7.27286,7.41295,7.55935,7.71157,7.8684,8.02859,8.19087,8.354011,8.51675,8.67783,8.836,8.99001,9.13861,9.28055,9.41457,9.53942,9.65385,9.7566,9.84643,9.92208,9.9823,10.02584,10.05146,10.0591,10.0501,10.0259,9.9882,9.9384,9.8781,9.8087,9.7317,9.64865,9.56109,9.47051,9.378428
8,Plbd1,44.257,5.6726e-09,0.00015992,-0.3262853,-0.272957,-0.21970188,-0.1665929,-0.113703,-0.0611056,-0.0088735,0.04292,0.0942023,0.1448998,0.1949397,0.2442488,0.2927541,0.340382,0.387061,0.432716,0.477275,0.520665,0.562813,0.603646,0.64309,0.681072,0.71752,0.75236,0.7855199,0.8169256,0.846504,0.874183,0.899889,0.923549,0.94509,0.9644381,0.981521,0.996266,1.008599,1.01845,1.02574,1.030555,1.033232,1.03414,1.03365,1.03212,1.02993,1.027439,1.02502,1.02304,1.02187,1.02187,1.02341,1.02686,1.03259,1.04097,1.05236,1.06713,1.08565,1.10829,1.13541,1.1674,1.2046,1.24738,1.29613,1.3512,1.41296,1.48179,1.55804,1.642097,1.734314,1.83506,1.94468,2.0627,2.18788,2.31893,2.45459,2.593564,2.73458,2.87635,3.01761,3.15706,3.29344,3.42545,3.55183,3.67129,3.78256,3.88434,3.97537,4.05436,4.12003,4.17111,4.20634,4.2255,4.2299,4.2208,4.1997,4.1677,4.1263,4.0769,4.0207,3.95919,3.8936,3.82533,3.755708
9,Ctss,41.333,2.2934e-08,0.0006465,-0.2480995,-0.1917459,-0.13556275,-0.0797204,-0.024389,0.0302601,0.0840575,0.136832,0.1884143,0.238633,0.2873179,0.3342987,0.3794049,0.422466,0.463312,0.501772,0.537676,0.570853,0.601133,0.628346,0.652321,0.672887,0.689875,0.703114,0.7124326,0.7176618,0.718631,0.715169,0.707105,0.694271,0.676494,0.6536046,0.625433,0.591807,0.552558,0.50751,0.456511,0.399729,0.337963,0.27207,0.20292,0.13136,0.05826,-0.015531,-0.089149,-0.16174,-0.23243,-0.30038,-0.36472,-0.42459,-0.47913,-0.52749,-0.5688,-0.60221,-0.62685,-0.64187,-0.64641,-0.6396,-0.6206,-0.58854,-0.54256,-0.4818,-0.40541,-0.31251,-0.20227,-0.073808,0.073725,0.24119,0.42938,0.6375,0.86319,1.10405,1.35764,1.621552,1.89336,2.17066,2.45101,2.732,3.01122,3.28623,3.55463,3.81399,4.0619,4.29593,4.51366,4.71268,4.89056,5.04489,5.17328,5.2753,5.3528,5.4082,5.4437,5.4614,5.4635,5.4524,5.4302,5.3991,5.36136,5.31918,5.274787
