,Gene,isTF,isCDMarker,StatisticsValue,P-value,Adj P-value,Group7_PT_0,Group7_PT_0.01,Group7_PT_0.02,Group7_PT_0.03,Group7_PT_0.04,Group7_PT_0.05,Group7_PT_0.06,Group7_PT_0.07,Group7_PT_0.08,Group7_PT_0.09,Group7_PT_0.1,Group7_PT_0.11,Group7_PT_0.12,Group7_PT_0.13,Group7_PT_0.14,Group7_PT_0.15,Group7_PT_0.16,Group7_PT_0.17,Group7_PT_0.18,Group7_PT_0.19,Group7_PT_0.2,Group7_PT_0.21,Group7_PT_0.22,Group7_PT_0.23,Group7_PT_0.24,Group7_PT_0.25,Group7_PT_0.26,Group7_PT_0.27,Group7_PT_0.28,Group7_PT_0.29,Group7_PT_0.3,Group7_PT_0.31,Group7_PT_0.32,Group7_PT_0.33,Group7_PT_0.34,Group7_PT_0.35,Group7_PT_0.36,Group7_PT_0.37,Group7_PT_0.38,Group7_PT_0.39,Group7_PT_0.4,Group7_PT_0.41,Group7_PT_0.42,Group7_PT_0.43,Group7_PT_0.44,Group7_PT_0.45,Group7_PT_0.46,Group7_PT_0.47,Group7_PT_0.48,Group7_PT_0.49,Group7_PT_0.5,Group7_PT_0.51,Group7_PT_0.52,Group7_PT_0.53,Group7_PT_0.54,Group7_PT_0.55,Group7_PT_0.56,Group7_PT_0.57,Group7_PT_0.58,Group7_PT_0.59,Group7_PT_0.6,Group7_PT_0.61,Group7_PT_0.62,Group7_PT_0.63,Group7_PT_0.64,Group7_PT_0.65,Group7_PT_0.66,Group7_PT_0.67,Group7_PT_0.68,Group7_PT_0.69,Group7_PT_0.7,Group7_PT_0.71,Group7_PT_0.72,Group7_PT_0.73,Group7_PT_0.74,Group7_PT_0.75,Group7_PT_0.76,Group7_PT_0.77,Group7_PT_0.78,Group7_PT_0.79,Group7_PT_0.8,Group7_PT_0.81,Group7_PT_0.82,Group7_PT_0.83,Group7_PT_0.84,Group7_PT_0.85,Group7_PT_0.86,Group7_PT_0.87,Group7_PT_0.88,Group7_PT_0.89,Group7_PT_0.9,Group7_PT_0.91,Group7_PT_0.92,Group7_PT_0.93,Group7_PT_0.94,Group7_PT_0.95,Group7_PT_0.96,Group7_PT_0.97,Group7_PT_0.98,Group7_PT_0.99,Group7_PT_1
0,AHSP,0,0,39.343,5.9186e-08,0.00044709,1.44731,1.437678,1.427852,1.41764,1.406847,1.39528,1.382745,1.36905,1.354001,1.3374032,1.3190645,1.298791,1.276389,1.251666,1.224427,1.19448,1.161647,1.126068,1.088159,1.0483442,1.0070488,0.964698,0.921717,0.87853,0.835563,0.793241,0.751989,0.71223,0.67439,0.6389,0.60618,0.57665,0.55074,0.52884,0.510904,0.496661,0.485827,0.478121,0.4732601,0.470963,0.470949,0.472935,0.476639,0.48178,0.488076,0.49524,0.503005,0.5110759,0.519255,0.527517,0.53586,0.5442839,0.552786,0.561365,0.570018,0.578746,0.5875454,0.5964152,0.605354,0.61436,0.623431,0.632566,0.641764,0.651023,0.66034,0.669716,0.679147,0.688633,0.698171,0.707761,0.7174,0.7270874,0.736821,0.746599,0.756421,0.766284,0.776187,0.786129,0.796107,0.8061208,0.8161679,0.826247,0.836357,0.846495,0.8566603,0.866851,0.877067,0.887304,0.897562,0.90784,0.918135,0.928446,0.938771,0.94911,0.959459,0.969818,0.9801851,0.9905586,1.000937,1.011318,1.021701
1,HBD,0,0,36.698,2.0791e-07,0.0015703,1.223823,1.199943,1.17603,1.152049,1.127967,1.103749,1.079361,1.054771,1.029943,1.0048447,0.9794412,0.953699,0.927584,0.901063,0.874102,0.846666,0.818727,0.790329,0.761586,0.7326109,0.7035195,0.674426,0.645445,0.61669,0.588278,0.560321,0.532934,0.50623,0.48033,0.45534,0.43138,0.40857,0.38701,0.36682,0.348003,0.330538,0.314386,0.299513,0.2858845,0.273466,0.262224,0.252124,0.24313,0.23521,0.228328,0.22245,0.217542,0.2135689,0.210502,0.208323,0.207014,0.206559,0.20694,0.20814,0.210143,0.21293,0.2164855,0.220792,0.225832,0.23159,0.238047,0.245186,0.252992,0.261445,0.270531,0.280231,0.290528,0.301405,0.312846,0.324833,0.337349,0.3503767,0.3638997,0.3779,0.392362,0.407267,0.4226,0.438341,0.454476,0.4709853,0.48785341,0.5050629,0.522597,0.540438,0.5585688,0.576973,0.595633,0.614532,0.633654,0.652979,0.672493,0.692177,0.712015,0.73199,0.752084,0.77228,0.7925615,0.8129114,0.833313,0.853748,0.8742
2,CA1,0,0,51.198,2.0293e-10,1.5351e-06,1.402639,1.387725,1.372648,1.357248,1.341364,1.324832,1.307492,1.289181,1.269739,1.2490028,1.2268114,1.203003,1.177416,1.149888,1.120259,1.088365,1.05406,1.017449,0.978863,0.9386403,0.8971173,0.854632,0.811522,0.768125,0.724779,0.681821,0.639589,0.59842,0.55865,0.52062,0.48467,0.45113,0.42035,0.39262,0.367941,0.346119,0.326959,0.310265,0.2958423,0.283495,0.273028,0.264247,0.256955,0.250959,0.246061,0.24207,0.238784,0.2360137,0.233616,0.231569,0.229864,0.2284966,0.227459,0.226744,0.226346,0.226257,0.2264713,0.2269817,0.227782,0.228864,0.230223,0.231851,0.233741,0.235887,0.238283,0.24092,0.243793,0.246895,0.25022,0.253759,0.257508,0.2614578,0.2656032,0.269937,0.274453,0.279144,0.284003,0.289023,0.294199,0.299522,0.30498687,0.3105863,0.316314,0.322162,0.3281252,0.334196,0.340368,0.346633,0.352987,0.359421,0.365929,0.372505,0.379141,0.385831,0.392568,0.399346,0.4061568,0.4129948,0.419853,0.426725,0.433603
3,H3F3A,0,0,51.822,1.5031e-10,1.1374e-06,1.110643,1.106517,1.102149,1.097294,1.091711,1.085156,1.077385,1.068157,1.057227,1.0443535,1.0292929,1.011802,0.991639,0.968559,0.94232,0.912679,0.879412,0.842633,0.802759,0.7602131,0.7154204,0.668806,0.620794,0.57181,0.522278,0.472623,0.42327,0.37464,0.32717,0.28127,0.23737,0.1959,0.15728,0.1219,0.089772,0.060712,0.034517,0.010991,-0.0100661,-0.028851,-0.045563,-0.060398,-0.073557,-0.085235,-0.095632,-0.10495,-0.113373,-0.1211125,-0.128309,-0.134987,-0.141157,-0.1468296,-0.152014,-0.15672,-0.160959,-0.164739,-0.168071,-0.1709649,-0.17343,-0.175478,-0.177117,-0.178358,-0.17921,-0.179684,-0.179789,-0.179536,-0.178934,-0.177994,-0.176725,-0.175137,-0.173241,-0.1710457,-0.1685617,-0.165799,-0.162767,-0.159477,-0.155937,-0.152158,-0.148151,-0.143924,-0.13948808,-0.134853,-0.130029,-0.125025,-0.1198523,-0.11452,-0.109038,-0.103417,-0.097667,-0.091797,-0.085817,-0.079738,-0.07357,-0.067321,-0.061003,-0.054625,-0.0481975,-0.04173,-0.035233,-0.028715,-0.022188
4,PTMA,1,0,40.979,2.7144e-08,0.0002051,0.012953,-0.025012,-0.062853,-0.100446,-0.137668,-0.174394,-0.210501,-0.245865,-0.280362,-0.313868,-0.3462593,-0.377412,-0.407203,-0.435507,-0.462201,-0.487161,-0.510271,-0.531575,-0.551254,-0.5694938,-0.5864803,-0.6024,-0.617438,-0.631781,-0.645615,-0.659127,-0.672502,-0.68593,-0.69958,-0.71366,-0.72835,-0.74383,-0.76029,-0.7779,-0.796623,-0.816312,-0.83682,-0.857999,-0.8796995,-0.901773,-0.924072,-0.946446,-0.968748,-0.990829,-1.01254,-1.03373,-1.054259,-1.0739695,-1.092764,-1.110646,-1.127633,-1.1437421,-1.158991,-1.173398,-1.18698,-1.199754,-1.211739,-1.2229514,-1.233409,-1.24313,-1.252131,-1.260429,-1.268044,-1.274991,-1.281289,-1.286955,-1.292007,-1.296462,-1.300338,-1.303652,-1.306423,-1.3086662,-1.3104008,-1.311644,-1.312413,-1.312726,-1.3126,-1.312053,-1.311103,-1.3097658,-1.30806036,-1.3060039,-1.303614,-1.300908,-1.2979038,-1.294619,-1.29107,-1.287276,-1.283254,-1.279021,-1.274595,-1.269994,-1.265235,-1.260335,-1.255312,-1.250184,-1.2449683,-1.2396824,-1.234344,-1.22897,-1.223579
5,PCNA,0,0,72.833,5.7233e-15,4.3343e-11,1.227877,1.22215,1.216432,1.210731,1.205055,1.199413,1.193813,1.188264,1.182774,1.1773517,1.1720057,1.166744,1.161576,1.156509,1.151552,1.146714,1.141995,1.137241,1.132167,1.1264826,1.1198955,1.112115,1.102851,1.091811,1.078705,1.063242,1.045131,1.02408,0.9998,0.972,0.94038,0.90467,0.86456,0.81981,0.770715,0.717857,0.661829,0.603222,0.5426299,0.480644,0.417857,0.354862,0.292249,0.230613,0.170544,0.11264,0.057479,0.0056665,-0.0424,-0.086737,-0.127415,-0.164506,-0.198082,-0.228216,-0.254977,-0.27844,-0.2986735,-0.3157513,-0.329745,-0.340725,-0.348764,-0.353934,-0.356307,-0.355953,-0.352946,-0.347356,-0.339255,-0.328716,-0.315809,-0.300606,-0.283181,-0.2636025,-0.2419442,-0.218277,-0.192674,-0.165205,-0.135943,-0.10496,-0.072326,-0.0381145,-0.00239648,0.0347562,0.073272,0.113079,0.1541049,0.196279,0.239529,0.283783,0.32897,0.375018,0.421854,0.469408,0.517608,0.566381,0.615657,0.665363,0.7154278,0.7657794,0.816346,0.867057,0.917839
6,PRDX2,0,0,45.916,2.5636e-09,1.9381e-05,1.488635,1.47687,1.465133,1.45345,1.44185,1.43036,1.419007,1.407819,1.396824,1.386048,1.3755196,1.365266,1.355315,1.345693,1.336429,1.32755,1.319077,1.310938,1.302971,1.2950166,1.2869115,1.278494,1.269602,1.260074,1.249747,1.23846,1.22605,1.21236,1.19722,1.18047,1.16195,1.1415,1.11895,1.09417,1.067243,1.038386,1.007819,0.975764,0.9424408,0.908069,0.872868,0.83706,0.800863,0.7645,0.728188,0.69215,0.656604,0.6217706,0.587803,0.554704,0.522456,0.4910434,0.460449,0.430657,0.401649,0.37341,0.345922,0.319169,0.293134,0.267801,0.243152,0.219172,0.195842,0.173148,0.151071,0.129595,0.108705,0.088381,0.068609,0.049372,0.030652,0.0124333,-0.0053012,-0.022568,-0.039384,-0.055766,-0.07173,-0.087293,-0.102472,-0.1172841,-0.13174517,-0.1458722,-0.159682,-0.173191,-0.1864163,-0.199374,-0.212082,-0.224555,-0.236812,-0.248868,-0.260741,-0.272446,-0.284001,-0.295423,-0.306727,-0.317932,-0.3290524,-0.3401065,-0.35111,-0.362081,-0.373035
7,DUT,0,0,51.085,2.1429e-10,1.6209e-06,1.425409,1.359369,1.293586,1.228314,1.16381,1.100329,1.038129,0.977463,0.91859,0.8617635,0.8072406,0.755277,0.706129,0.660051,0.617301,0.578134,0.542787,0.511161,0.482857,0.4574701,0.4345915,0.413814,0.394732,0.376937,0.360021,0.343579,0.327202,0.31048,0.29302,0.27439,0.25421,0.23205,0.20752,0.18025,0.15034,0.118173,0.084125,0.048575,0.0119018,-0.025516,-0.063298,-0.101067,-0.138443,-0.175048,-0.210503,-0.24443,-0.276445,-0.306175,-0.333362,-0.358019,-0.380195,-0.3999369,-0.417295,-0.432317,-0.445052,-0.455548,-0.4638551,-0.4700208,-0.474094,-0.476124,-0.476158,-0.474246,-0.470436,-0.464777,-0.457317,-0.448106,-0.437192,-0.424623,-0.410448,-0.394716,-0.377476,-0.3587753,-0.3386638,-0.31719,-0.294402,-0.270349,-0.245079,-0.218642,-0.191085,-0.1624582,-0.13280915,-0.1021868,-0.07064,-0.038217,-0.0049672,0.029061,0.06382,0.09926,0.135332,0.171988,0.20918,0.246858,0.284974,0.32348,0.362326,0.401464,0.4408453,0.4804213,0.520143,0.559963,0.599831
8,TUBB,0,0,45.813,2.6941e-09,2.0365e-05,1.526252,1.512804,1.499396,1.486072,1.472873,1.45984,1.447016,1.434441,1.422157,1.4102066,1.3986304,1.38747,1.376768,1.366565,1.356904,1.347824,1.339363,1.331435,1.323849,1.3164131,1.308933,1.301215,1.293066,1.284292,1.2747,1.264095,1.252286,1.23908,1.22428,1.20769,1.18912,1.16838,1.14527,1.11963,1.091544,1.061261,1.029029,0.995093,0.9597007,0.923099,0.885534,0.847254,0.808505,0.769534,0.730588,0.69191,0.653759,0.6163699,0.579917,0.544405,0.509815,0.4761301,0.443332,0.411401,0.380321,0.350074,0.3206402,0.2920027,0.264143,0.237043,0.210685,0.185051,0.160122,0.135881,0.112309,0.089388,0.0671,0.045428,0.024352,0.003856,-0.01608,-0.0354726,-0.0543409,-0.072703,-0.090576,-0.107979,-0.124929,-0.141446,-0.157546,-0.1732483,-0.18857069,-0.2035312,-0.218148,-0.232439,-0.2464229,-0.260117,-0.27354,-0.286709,-0.299644,-0.312361,-0.324879,-0.337216,-0.349391,-0.361421,-0.373324,-0.385118,-0.3968226,-0.4084544,-0.420032,-0.431573,-0.443096
9,TUBA1B,0,0,52.007,1.3745e-10,1.0402e-06,1.746882,1.713031,1.679251,1.645612,1.612185,1.579041,1.546249,1.513881,1.482007,1.4506978,1.4200239,1.390056,1.360865,1.33252,1.305094,1.278656,1.253271,1.228912,1.205464,1.1828136,1.1608452,1.139444,1.118494,1.09788,1.077488,1.057203,1.036908,1.01649,0.99583,0.97482,0.95334,0.93127,0.90851,0.88494,0.860585,0.835539,0.809892,0.783734,0.7571581,0.730254,0.703115,0.675831,0.648495,0.621196,0.594028,0.56708,0.540449,0.5142195,0.488458,0.463162,0.438324,0.4139351,0.389986,0.366467,0.34337,0.320685,0.2984044,0.2765185,0.255018,0.233895,0.21314,0.192743,0.172697,0.152991,0.133618,0.114567,0.095831,0.077399,0.059264,0.041415,0.023845,0.0065442,-0.0104966,-0.027286,-0.043833,-0.060147,-0.076237,-0.092111,-0.107779,-0.12325,-0.13853222,-0.1536349,-0.168567,-0.183338,-0.1979562,-0.212431,-0.226771,-0.240985,-0.255083,-0.269073,-0.282965,-0.296766,-0.310487,-0.324137,-0.337723,-0.351256,-0.3647433,-0.3781951,-0.39162,-0.405027,-0.418425
