,Gene,isTF,isCDMarker,StatisticsValue,P-value,Adj P-value,Group8_PT_0,Group8_PT_0.01,Group8_PT_0.02,Group8_PT_0.03,Group8_PT_0.04,Group8_PT_0.05,Group8_PT_0.06,Group8_PT_0.07,Group8_PT_0.08,Group8_PT_0.09,Group8_PT_0.1,Group8_PT_0.11,Group8_PT_0.12,Group8_PT_0.13,Group8_PT_0.14,Group8_PT_0.15,Group8_PT_0.16,Group8_PT_0.17,Group8_PT_0.18,Group8_PT_0.19,Group8_PT_0.2,Group8_PT_0.21,Group8_PT_0.22,Group8_PT_0.23,Group8_PT_0.24,Group8_PT_0.25,Group8_PT_0.26,Group8_PT_0.27,Group8_PT_0.28,Group8_PT_0.29,Group8_PT_0.3,Group8_PT_0.31,Group8_PT_0.32,Group8_PT_0.33,Group8_PT_0.34,Group8_PT_0.35,Group8_PT_0.36,Group8_PT_0.37,Group8_PT_0.38,Group8_PT_0.39,Group8_PT_0.4,Group8_PT_0.41,Group8_PT_0.42,Group8_PT_0.43,Group8_PT_0.44,Group8_PT_0.45,Group8_PT_0.46,Group8_PT_0.47,Group8_PT_0.48,Group8_PT_0.49,Group8_PT_0.5,Group8_PT_0.51,Group8_PT_0.52,Group8_PT_0.53,Group8_PT_0.54,Group8_PT_0.55,Group8_PT_0.56,Group8_PT_0.57,Group8_PT_0.58,Group8_PT_0.59,Group8_PT_0.6,Group8_PT_0.61,Group8_PT_0.62,Group8_PT_0.63,Group8_PT_0.64,Group8_PT_0.65,Group8_PT_0.66,Group8_PT_0.67,Group8_PT_0.68,Group8_PT_0.69,Group8_PT_0.7,Group8_PT_0.71,Group8_PT_0.72,Group8_PT_0.73,Group8_PT_0.74,Group8_PT_0.75,Group8_PT_0.76,Group8_PT_0.77,Group8_PT_0.78,Group8_PT_0.79,Group8_PT_0.8,Group8_PT_0.81,Group8_PT_0.82,Group8_PT_0.83,Group8_PT_0.84,Group8_PT_0.85,Group8_PT_0.86,Group8_PT_0.87,Group8_PT_0.88,Group8_PT_0.89,Group8_PT_0.9,Group8_PT_0.91,Group8_PT_0.92,Group8_PT_0.93,Group8_PT_0.94,Group8_PT_0.95,Group8_PT_0.96,Group8_PT_0.97,Group8_PT_0.98,Group8_PT_0.99,Group8_PT_1
0,DNTT,0,0,44.609,4.795e-09,3.24e-05,1.4228108,1.3790096,1.335252,1.291582,1.248044,1.2047,1.161535,1.118653,1.07607753,1.0338519,0.9920201,0.95062601,0.909713,0.869326,0.829507,0.790301,0.751752,0.713903,0.6767978,0.64048,0.604995,0.570384,0.536693,0.5039642,0.472242,0.4415697,0.4119627,0.3834066,0.3558852,0.3293821,0.303881,0.2793655,0.2558195,0.2332267,0.2115706,0.190835,0.171004,0.15206,0.1339886,0.1167721,0.1003947,0.0848399,0.0700916,0.056133,0.042949,0.030522,0.018837,0.0078755,-0.0023858,-0.0119816,-0.020946,-0.029315,-0.037122,-0.044402,-0.051189,-0.057518,-0.063425,-0.068942,-0.074106,-0.07895,-0.08351,-0.087819,-0.091913,-0.0958256,-0.0995922,-0.103247,-0.106825,-0.1103605,-0.113888,-0.117443,-0.121058,-0.12477,-0.12861274,-0.132621,-0.136828,-0.14127,-0.145982,-0.150992,-0.15630136,-0.161897,-0.16776,-0.17389,-0.18027,-0.18688,-0.19371,-0.20074,-0.20798,-0.21539,-0.22298,-0.23072,-0.2386,-0.24661,-0.25474,-0.26297,-0.2713,-0.2797,-0.28817,-0.29669,-0.30525,-0.31383,-0.32243
1,SPINK2,0,0,29.906,5.1158e-06,0.034465,0.9895385,0.9450728,0.90068,0.856433,0.812404,0.76867,0.725293,0.682357,0.63992988,0.5980857,0.5568968,0.5164362,0.476777,0.437991,0.400152,0.363332,0.327604,0.293042,0.2597177,0.227704,0.197074,0.1679,0.140256,0.1142131,0.089845,0.067223,0.0463471,0.0271395,0.0095176,-0.006601,-0.021299,-0.0346588,-0.0467631,-0.0576944,-0.0675351,-0.076368,-0.084275,-0.09134,-0.0976443,-0.1032708,-0.1083021,-0.1128208,-0.1169093,-0.12065,-0.124126,-0.12742,-0.130613,-0.1337884,-0.1370024,-0.1402849,-0.143664,-0.147169,-0.150828,-0.154669,-0.15872,-0.16301,-0.167568,-0.172421,-0.177598,-0.183128,-0.189039,-0.195359,-0.202117,-0.2093412,-0.2170597,-0.225301,-0.234094,-0.2434664,-0.253447,-0.264064,-0.275346,-0.28732,-0.3000183,-0.313465,-0.327691,-0.34272,-0.358591,-0.375316,-0.39287993,-0.411245,-0.43038,-0.45024,-0.47079,-0.492,-0.51383,-0.53624,-0.5592,-0.58266,-0.60661,-0.63099,-0.65577,-0.68091,-0.70639,-0.73215,-0.75817,-0.78441,-0.81083,-0.8374,-0.86408,-0.89083,-0.91761
2,RPL7A,0,0,32.544,1.4808e-06,0.0099853,-0.5210263,-0.4993621,-0.477801,-0.456446,-0.435399,-0.41476,-0.394645,-0.375143,-0.3563615,-0.338404,-0.3213731,-0.30537188,-0.290503,-0.27687,-0.264576,-0.253723,-0.244414,-0.236753,-0.230842,-0.226785,-0.224683,-0.224641,-0.226762,-0.2311474,-0.237901,-0.2471216,-0.2587791,-0.2726966,-0.2886892,-0.3065719,-0.32616,-0.3472676,-0.3697107,-0.3933039,-0.4178622,-0.443201,-0.469134,-0.495478,-0.5220472,-0.5486564,-0.5751209,-0.6012556,-0.6268755,-0.651796,-0.675831,-0.698797,-0.720508,-0.740784,-0.7595752,-0.776976,-0.793088,-0.808013,-0.821853,-0.83471,-0.846686,-0.857882,-0.8684,-0.878342,-0.887811,-0.896906,-0.905732,-0.914388,-0.922978,-0.9316024,-0.9403637,-0.949364,-0.958704,-0.9684864,-0.978813,-0.989785,-1.001505,-1.01407,-1.0275952,-1.042169,-1.057898,-1.07488,-1.093227,-1.113016,-1.13423059,-1.15681,-1.18069,-1.20581,-1.23212,-1.25953,-1.288,-1.31747,-1.34786,-1.37912,-1.41119,-1.44401,-1.4775,-1.51162,-1.54629,-1.58146,-1.61707,-1.65304,-1.68933,-1.72586,-1.76258,-1.79943,-1.83633
3,RPS2,0,0,40.308,3.738e-08,0.00025235,-0.6410087,-0.6308365,-0.620708,-0.610665,-0.600753,-0.59101,-0.58149,-0.572227,-0.563267,-0.5546531,-0.5464289,-0.53863752,-0.531322,-0.524527,-0.518294,-0.512667,-0.507689,-0.503404,-0.499855,-0.497085,-0.495138,-0.494056,-0.493883,-0.4946632,-0.496439,-0.4992517,-0.5031068,-0.507965,-0.5137853,-0.5205265,-0.528147,-0.5366067,-0.5458634,-0.5558763,-0.5666042,-0.578006,-0.59004,-0.602666,-0.6158425,-0.6295279,-0.6436813,-0.6582615,-0.6732274,-0.688538,-0.704151,-0.720027,-0.736124,-0.7524016,-0.7688439,-0.7854621,-0.802269,-0.819276,-0.836497,-0.853944,-0.87163,-0.889567,-0.907767,-0.926243,-0.945007,-0.964073,-0.983452,-1.003157,-1.023201,-1.0435959,-1.0643544,-1.085489,-1.107012,-1.1289366,-1.151275,-1.174039,-1.197242,-1.2209,-1.24501318,-1.269607,-1.29469,-1.32027,-1.346371,-1.372992,-1.40012202,-1.42774,-1.45582,-1.48435,-1.5133,-1.54265,-1.57237,-1.60245,-1.63287,-1.66359,-1.6946,-1.72588,-1.7574,-1.78914,-1.82108,-1.8532,-1.88548,-1.91789,-1.95041,-1.98301,-2.01569,-2.04841,-2.08115
4,RPL3,0,0,33.413,9.8294e-07,0.0066299,-0.5608842,-0.5381459,-0.515477,-0.492949,-0.470629,-0.44859,-0.426899,-0.405627,-0.38484376,-0.3646193,-0.3450234,-0.32612574,-0.307996,-0.290705,-0.274321,-0.258915,-0.244556,-0.231314,-0.2192599,-0.208462,-0.198992,-0.190918,-0.18431,-0.1792383,-0.175773,-0.173981,-0.1738635,-0.1753442,-0.1783428,-0.1827792,-0.188573,-0.195644,-0.203912,-0.2132966,-0.2237177,-0.235095,-0.247348,-0.260397,-0.2741614,-0.2885608,-0.3035152,-0.3189443,-0.3347677,-0.350905,-0.367277,-0.383802,-0.400401,-0.4169939,-0.4335508,-0.4500919,-0.466641,-0.483221,-0.499856,-0.516569,-0.533384,-0.550324,-0.567413,-0.584674,-0.602131,-0.619807,-0.637725,-0.65591,-0.674385,-0.6931727,-0.7122972,-0.731782,-0.75165,-0.7719257,-0.792632,-0.813792,-0.83543,-0.85757,-0.88023315,-0.903445,-0.927229,-0.95161,-0.976605,-1.002239,-1.02849757,-1.055352,-1.08278,-1.11074,-1.13923,-1.1682,-1.19763,-1.22749,-1.25776,-1.28841,-1.31942,-1.35075,-1.38238,-1.41427,-1.44642,-1.47878,-1.51133,-1.54404,-1.57689,-1.60984,-1.64288,-1.67597,-1.70909
5,TMED10,0,0,30.344,4.165e-06,0.028064,0.14053,0.129004,0.117571,0.106322,0.095352,0.084751,0.074614,0.065032,0.05609853,0.0479054,0.0405456,0.03411153,0.028696,0.024391,0.02129,0.019485,0.019069,0.020134,0.0227731,0.027079,0.033143,0.041059,0.05092,0.062817,0.076844,0.0930888,0.1115441,0.1320884,0.1545948,0.1789361,0.204985,0.2326156,0.2616996,0.2921104,0.323721,0.356404,0.390033,0.424481,0.4596197,0.4953232,0.5314642,0.5679156,0.6045504,0.641241,0.677862,0.714284,0.750382,0.7860291,0.8211313,0.85563,0.889468,0.922589,0.954936,0.986451,1.017078,1.04676,1.07544,1.103061,1.129565,1.154897,1.178999,1.201815,1.223286,1.2433569,1.2619701,1.279069,1.294596,1.3084947,1.320708,1.331179,1.339851,1.34667,1.35156877,1.354501,1.355406,1.35423,1.350908,1.345405,1.337771,1.328099,1.31648,1.30301,1.28778,1.27088,1.25241,1.23245,1.2111,1.18846,1.16461,1.13965,1.11368,1.08677,1.05903,1.03055,1.00142,0.97174,0.94159,0.91107,0.88028,0.8493,0.81822
6,CFL1,0,0,48.012,9.3853e-10,6.3435e-06,0.1680913,0.1844871,0.200893,0.217319,0.233775,0.25027,0.266818,0.283426,0.30010312,0.3168612,0.3337099,0.3506593,0.367719,0.3849,0.402212,0.419664,0.437268,0.455033,0.4729683,0.491085,0.509393,0.527903,0.546623,0.5655656,0.584739,0.6041549,0.6238352,0.6438169,0.6641375,0.6848345,0.705945,0.7275076,0.7495586,0.7721361,0.7952774,0.81902,0.843401,0.868459,0.8942308,0.9207537,0.9480654,0.9762034,1.0052052,1.035108,1.06595,1.097768,1.1306,1.1644799,1.1993572,1.2350869,1.271519,1.308503,1.34589,1.38353,1.421272,1.458968,1.496466,1.533617,1.57027,1.606278,1.641488,1.675751,1.708918,1.7408384,1.7713621,1.800339,1.82762,1.8530552,1.876494,1.897786,1.916783,1.93333,1.94728759,1.958496,1.966809,1.97208,1.974149,1.972903,1.96840303,1.960791,1.95021,1.93679,1.92069,1.90204,1.88099,1.85767,1.83223,1.80481,1.77556,1.7446,1.71209,1.67816,1.64296,1.60662,1.5693,1.53113,1.49225,1.4528,1.41293,1.37278,1.33248
7,FAM129C,0,0,30.914,3.1877e-06,0.021485,-0.3080709,-0.2722216,-0.236515,-0.201095,-0.166105,-0.13169,-0.097983,-0.065139,-0.03329604,-0.0025979,0.0268125,0.05479202,0.081198,0.105886,0.128715,0.14954,0.168219,0.184608,0.1985653,0.209947,0.21861,0.224411,0.227207,0.2268556,0.223213,0.2161462,0.2058132,0.1927054,0.1773327,0.1602051,0.141832,0.1227244,0.103391,0.084342,0.0660873,0.049137,0.034,0.021188,0.0112087,0.0045734,0.0017915,0.0033729,0.0098274,0.021665,0.039395,0.063529,0.094574,0.1330248,0.1788787,0.2315895,0.290583,0.355283,0.425117,0.499508,0.577883,0.659667,0.744284,0.831161,0.919722,1.009393,1.099599,1.189766,1.279318,1.3676813,1.4542807,1.538542,1.619889,1.6977493,1.771547,1.840706,1.904654,1.96282,2.01461494,2.059478,2.096831,2.1261,2.146704,2.158167,2.16062155,2.154458,2.14007,2.11784,2.08818,2.05146,2.00808,1.95844,1.90292,1.84192,1.77582,1.70502,1.62992,1.55089,1.46835,1.38266,1.29424,1.20346,1.11073,1.01643,0.92096,0.8247,0.72805
8,LCP1,0,0,30.843,3.2951e-06,0.022206,0.5154002,0.5116218,0.507909,0.504328,0.500943,0.49782,0.495028,0.492629,0.49068947,0.4892752,0.488452,0.48828541,0.488841,0.490185,0.492383,0.4955,0.499602,0.504754,0.5110233,0.518474,0.527173,0.537186,0.548577,0.5614129,0.575759,0.5916793,0.6091628,0.6281156,0.648439,0.6700343,0.692803,0.7166453,0.7414636,0.7671589,0.7936322,0.820785,0.848518,0.876734,0.9053323,0.9342153,0.963284,0.9924396,1.0215835,1.050617,1.079441,1.107957,1.136066,1.1636718,1.190715,1.2171816,1.243059,1.268335,1.292998,1.317035,1.340433,1.363181,1.385266,1.406675,1.427397,1.447419,1.466729,1.485314,1.503162,1.5202609,1.5365982,1.552162,1.566939,1.5809175,1.594085,1.60643,1.617939,1.6286,1.63840059,1.647329,1.655372,1.66252,1.668755,1.674075,1.67850305,1.682078,1.68484,1.68682,1.68807,1.68862,1.68851,1.68778,1.68647,1.68462,1.68226,1.67944,1.67619,1.67255,1.66856,1.66427,1.6597,1.6549,1.6499,1.64475,1.63949,1.63414,1.62876
9,JCHAIN,0,0,42.505,1.311e-08,8.8542e-05,0.5154816,0.5251031,0.534627,0.543957,0.552995,0.56164,0.569807,0.577386,0.58428379,0.5904039,0.5956488,0.59992097,0.603123,0.605159,0.605929,0.605339,0.603289,0.599683,0.594424,0.587414,0.578556,0.567753,0.554908,0.5399224,0.5227,0.5031498,0.4813568,0.4576097,0.4322082,0.4054519,0.37764,0.349073,0.3200497,0.2908699,0.2618333,0.233239,0.205388,0.178578,0.1531101,0.1292832,0.107397,0.0877511,0.0706452,0.056379,0.045252,0.037563,0.033613,0.0336925,0.0378718,0.0459747,0.057813,0.073198,0.091941,0.113853,0.138747,0.166433,0.196723,0.229429,0.264361,0.301332,0.340153,0.380636,0.422591,0.465831,0.5101666,0.555409,0.601371,0.6478632,0.694697,0.741684,0.788636,0.83536,0.88167898,0.927394,0.972319,1.01627,1.059047,1.100497,1.14060697,1.179436,1.21704,1.25349,1.28882,1.32311,1.35641,1.38877,1.42027,1.45095,1.48087,1.51009,1.53867,1.56667,1.59415,1.62116,1.64776,1.67401,1.69997,1.7257,1.75126,1.77669,1.80207
