,Gene,isTF,isCDMarker,StatisticsValue,P-value,Adj P-value,Group6_PT_0,Group6_PT_0.01,Group6_PT_0.02,Group6_PT_0.03,Group6_PT_0.04,Group6_PT_0.05,Group6_PT_0.06,Group6_PT_0.07,Group6_PT_0.08,Group6_PT_0.09,Group6_PT_0.1,Group6_PT_0.11,Group6_PT_0.12,Group6_PT_0.13,Group6_PT_0.14,Group6_PT_0.15,Group6_PT_0.16,Group6_PT_0.17,Group6_PT_0.18,Group6_PT_0.19,Group6_PT_0.2,Group6_PT_0.21,Group6_PT_0.22,Group6_PT_0.23,Group6_PT_0.24,Group6_PT_0.25,Group6_PT_0.26,Group6_PT_0.27,Group6_PT_0.28,Group6_PT_0.29,Group6_PT_0.3,Group6_PT_0.31,Group6_PT_0.32,Group6_PT_0.33,Group6_PT_0.34,Group6_PT_0.35,Group6_PT_0.36,Group6_PT_0.37,Group6_PT_0.38,Group6_PT_0.39,Group6_PT_0.4,Group6_PT_0.41,Group6_PT_0.42,Group6_PT_0.43,Group6_PT_0.44,Group6_PT_0.45,Group6_PT_0.46,Group6_PT_0.47,Group6_PT_0.48,Group6_PT_0.49,Group6_PT_0.5,Group6_PT_0.51,Group6_PT_0.52,Group6_PT_0.53,Group6_PT_0.54,Group6_PT_0.55,Group6_PT_0.56,Group6_PT_0.57,Group6_PT_0.58,Group6_PT_0.59,Group6_PT_0.6,Group6_PT_0.61,Group6_PT_0.62,Group6_PT_0.63,Group6_PT_0.64,Group6_PT_0.65,Group6_PT_0.66,Group6_PT_0.67,Group6_PT_0.68,Group6_PT_0.69,Group6_PT_0.7,Group6_PT_0.71,Group6_PT_0.72,Group6_PT_0.73,Group6_PT_0.74,Group6_PT_0.75,Group6_PT_0.76,Group6_PT_0.77,Group6_PT_0.78,Group6_PT_0.79,Group6_PT_0.8,Group6_PT_0.81,Group6_PT_0.82,Group6_PT_0.83,Group6_PT_0.84,Group6_PT_0.85,Group6_PT_0.86,Group6_PT_0.87,Group6_PT_0.88,Group6_PT_0.89,Group6_PT_0.9,Group6_PT_0.91,Group6_PT_0.92,Group6_PT_0.93,Group6_PT_0.94,Group6_PT_0.95,Group6_PT_0.96,Group6_PT_0.97,Group6_PT_0.98,Group6_PT_0.99,Group6_PT_1
0,MT-CYB,0,0,31.416,2.5173e-06,0.017037,0.0019646,-0.0283911,-0.05867454,-0.0888135,-0.1187357,-0.148369,-0.177641,-0.20648,-0.234813,-0.262568,-0.289672,-0.316055,-0.3416426,-0.3663634,-0.39014514,-0.4129155,-0.4346022,-0.455133,-0.4744358,-0.4924382,-0.509068,-0.5242803,-0.5381688,-0.5508718,-0.5625274,-0.5732735,-0.5832485,-0.5925902,-0.6014369,-0.6099267,-0.6181977,-0.626388,-0.634636,-0.643079,-0.651855,-0.661104,-0.670962,-0.68157,-0.69306,-0.70558,-0.71925,-0.73423,-0.75065,-0.76864,-0.78831,-0.80951,-0.83202,-0.85561,-0.88005,-0.90511,-0.93057,-0.95619,-0.98177,-1.00705,-1.03182,-1.05586,-1.07892,-1.10079,-1.12131,-1.14049,-1.15836,-1.17494,-1.19028,-1.2044,-1.21734,-1.22913,-1.2398,-1.24938,-1.25791,-1.26541,-1.27192,-1.27748,-1.2821,-1.28583,-1.28869,-1.29073,-1.29196,-1.29243,-1.29216,-1.29118,-1.28954,-1.28725,-1.28436,-1.28089,-1.27688,-1.27236,-1.26736,-1.26191,-1.25604,-1.24979,-1.24319,-1.23626,-1.22905,-1.22159,-1.2139,-1.20602,-1.19797,-1.1898,-1.181539,-1.17321,-1.164848
1,MT-ATP6,0,0,31.016,3.0392e-06,0.020566,0.3839958,0.3584102,0.33286992,0.3074205,0.2821073,0.256976,0.232071,0.207439,0.183124,0.159173,0.13563,0.112542,0.0899525,0.0679081,0.04645381,0.0256352,0.0054975,-0.0139138,-0.0325532,-0.0503755,-0.0673352,-0.0834038,-0.0986398,-0.1131288,-0.1269567,-0.1402094,-0.1529727,-0.1653323,-0.1773742,-0.1891842,-0.2008481,-0.212452,-0.224081,-0.235821,-0.247759,-0.25998,-0.27257,-0.28561,-0.2992,-0.31341,-0.32833,-0.34406,-0.36066,-0.37824,-0.39684,-0.41639,-0.43675,-0.45778,-0.47933,-0.50128,-0.52349,-0.5458,-0.5681,-0.59023,-0.61206,-0.63346,-0.65427,-0.67437,-0.69366,-0.71215,-0.72985,-0.74677,-0.76296,-0.77841,-0.79315,-0.8072,-0.82057,-0.8333,-0.84539,-0.85687,-0.86775,-0.87806,-0.88781,-0.89702,-0.90571,-0.91391,-0.92162,-0.92888,-0.93569,-0.94208,-0.94806,-0.95367,-0.95891,-0.9638,-0.96836,-0.97262,-0.97659,-0.9803,-0.98375,-0.98697,-0.98998,-0.9928,-0.99545,-0.99794,-1.0003,-1.00254,-1.00469,-1.00676,-1.008775,-1.010749,-1.012705
2,ORC4,0,0,36.699,2.078e-07,0.0014068,-0.2829628,-0.2664724,-0.24996296,-0.2334154,-0.2168107,-0.20013,-0.183354,-0.166463,-0.149439,-0.132263,-0.114915,-0.097376,-0.0796285,-0.0616518,-0.04342735,-0.0249362,-0.0061591,0.0129228,0.0323286,0.0520775,0.0721884,0.0926769,0.1135406,0.1347714,0.1563613,0.178302,0.2005857,0.223204,0.246149,0.2694126,0.2929867,0.316863,0.341034,0.365491,0.390226,0.415231,0.440498,0.46602,0.49179,0.51779,0.54402,0.57048,0.59715,0.62402,0.65107,0.67816,0.70508,0.73167,0.75773,0.78307,0.80751,0.83085,0.85292,0.87352,0.89247,0.90958,0.92466,0.93753,0.94806,0.95628,0.96226,0.96604,0.96769,0.96725,0.96478,0.96033,0.95397,0.94574,0.9357,0.9239,0.91041,0.89526,0.87853,0.86026,0.84052,0.81934,0.79679,0.77293,0.74781,0.72147,0.69399,0.66541,0.63579,0.60518,0.57364,0.54122,0.50797,0.47396,0.43924,0.40385,0.36787,0.33133,0.29431,0.25684,0.21899,0.18081,0.14236,0.10368,0.064844,0.025896,-0.013106
3,GRN,0,0,29.316,6.7435e-06,0.045626,-0.0231365,-0.0130397,-0.00297707,0.0070173,0.0169094,0.026665,0.03625,0.04563,0.054771,0.06364,0.072201,0.080421,0.0882656,0.0957008,0.10269241,0.1092063,0.1152083,0.1206644,0.1255404,0.1298021,0.1334155,0.1363744,0.138815,0.1409187,0.1428669,0.1448412,0.1470231,0.1495939,0.1527353,0.1566286,0.1614553,0.167397,0.174635,0.183351,0.193726,0.205942,0.22018,0.23662,0.25545,0.27684,0.30099,0.32806,0.35824,0.39172,0.42859,0.46854,0.51108,0.55573,0.60199,0.6494,0.69746,0.74569,0.7936,0.84072,0.88655,0.93062,0.97243,1.01152,1.04753,1.0805,1.11049,1.13758,1.16184,1.18335,1.20217,1.21839,1.23206,1.24327,1.25208,1.25857,1.26281,1.26488,1.26484,1.26278,1.25875,1.25284,1.24511,1.23565,1.22451,1.21178,1.19753,1.18182,1.16474,1.14635,1.12673,1.10595,1.08408,1.0612,1.03737,1.01267,0.98717,0.96095,0.93408,0.90662,0.87866,0.85026,0.8215,0.79245,0.763181,0.733767,0.704281
4,P4HB,0,0,57.474,9.8386e-12,6.6627e-08,-0.0187545,-0.0197332,-0.02060961,-0.0212812,-0.0216457,-0.021601,-0.021044,-0.019873,-0.017985,-0.015278,-0.01165,-0.006998,-0.00122,0.0057866,0.014124,0.0238947,0.035201,0.0481454,0.0628301,0.0793576,0.0978302,0.1183187,0.1407324,0.1649294,0.1907678,0.2181055,0.2468006,0.2767112,0.3076953,0.3396109,0.3723161,0.405669,0.439527,0.47375,0.508193,0.542717,0.577179,0.61144,0.64535,0.67877,0.71156,0.74358,0.77469,0.80474,0.83362,0.86137,0.88809,0.91386,0.9388,0.96299,0.98654,1.00953,1.03208,1.05426,1.07619,1.09795,1.11965,1.14138,1.16321,1.18514,1.20718,1.22933,1.25157,1.27391,1.29635,1.31887,1.34149,1.36419,1.38698,1.40985,1.4328,1.45583,1.47893,1.5021,1.52534,1.54865,1.57202,1.59545,1.61894,1.64249,1.66609,1.68974,1.71344,1.73719,1.76098,1.78481,1.80868,1.83259,1.85653,1.8805,1.90449,1.92852,1.95256,1.97663,2.00071,2.02481,2.04893,2.07305,2.097179,2.121315,2.145453
5,HSPA5,0,0,35.279,4.0709e-07,0.0027556,-0.0578231,-0.0142475,0.02927893,0.0727068,0.115987,0.15907,0.201907,0.244448,0.286645,0.328448,0.369807,0.410674,0.4509994,0.4907337,0.52982769,0.5682322,0.605898,0.6427759,0.6788165,0.7139706,0.748189,0.7814257,0.8136509,0.8448401,0.8749688,0.9040126,0.9319469,0.9587472,0.984389,1.0088479,1.0320992,1.054119,1.074881,1.094363,1.11254,1.129386,1.144878,1.15899,1.1717,1.18298,1.19281,1.20116,1.20801,1.21334,1.21714,1.21958,1.22087,1.22123,1.22089,1.22006,1.21895,1.21779,1.21679,1.21617,1.21615,1.21695,1.21878,1.22187,1.22636,1.23224,1.23948,1.24805,1.25792,1.26904,1.28139,1.29494,1.30964,1.32548,1.3424,1.36039,1.37941,1.39943,1.4204,1.4423,1.4651,1.48877,1.51326,1.53854,1.56459,1.59137,1.61885,1.64699,1.67576,1.70513,1.73506,1.76552,1.79648,1.8279,1.85975,1.89201,1.92462,1.95757,1.99082,2.02433,2.05808,2.09202,2.12613,2.16038,2.194718,2.229127,2.263569
6,CALR,0,0,76.65,8.9192e-16,6.041e-12,0.3038853,0.3600863,0.41618815,0.4720918,0.5276982,0.582908,0.637623,0.691743,0.745169,0.797803,0.849545,0.900295,0.9499563,0.998428,1.04561149,1.0914077,1.1357175,1.1784418,1.2194816,1.2587376,1.2961109,1.3315339,1.3650995,1.396952,1.4272356,1.4560943,1.4836723,1.5101139,1.5355631,1.5601642,1.5840613,1.607399,1.63032,1.65297,1.675493,1.698032,1.720733,1.74374,1.76719,1.79124,1.81603,1.8417,1.86839,1.89625,1.9254,1.95575,1.98716,2.01949,2.05259,2.08631,2.12051,2.15505,2.18978,2.22455,2.25922,2.29364,2.32768,2.36117,2.39403,2.42625,2.45785,2.48884,2.51924,2.54907,2.57833,2.60704,2.63522,2.66289,2.69006,2.71674,2.74295,2.7687,2.79401,2.8189,2.84338,2.86747,2.89117,2.91451,2.9375,2.96016,2.9825,3.00453,3.02628,3.04775,3.06897,3.08994,3.11068,3.13122,3.15155,3.1717,3.19169,3.21152,3.23122,3.25079,3.27026,3.28964,3.30894,3.32818,3.34738,3.366545,3.385696
7,LYZ,0,0,83.666,2.9108e-17,1.9718e-13,-0.0079871,-0.0044687,-0.00091995,0.0026896,0.0063904,0.010213,0.014187,0.018344,0.022713,0.027326,0.032212,0.037402,0.0429263,0.0488155,0.05509975,0.0618096,0.0689753,0.0766273,0.0847961,0.093512,0.1028053,0.112709,0.123268,0.1345312,0.1465477,0.1593664,0.1730362,0.1876061,0.2031249,0.2196417,0.2372054,0.255865,0.275669,0.296667,0.318908,0.34244,0.367313,0.39358,0.42128,0.45046,0.48119,0.5135,0.54744,0.58307,0.62041,0.65941,0.69997,0.74199,0.78538,0.83004,0.87587,0.92279,0.97069,1.01948,1.06907,1.11935,1.17024,1.22163,1.27346,1.32571,1.37836,1.4314,1.48484,1.53865,1.59283,1.64736,1.70225,1.75747,1.81301,1.86888,1.92505,1.98152,2.03828,2.09531,2.15262,2.21018,2.26799,2.32604,2.38431,2.4428,2.50151,2.56041,2.6195,2.67876,2.7382,2.79779,2.85754,2.91742,2.97743,3.03756,3.0978,3.15814,3.21857,3.27907,3.33965,3.40029,3.46097,3.5217,3.582453,3.643228,3.704013
8,MS4A3,0,0,134.46,4.3295e-28,2.9336e-24,-0.0990942,-0.0946548,-0.09022679,-0.0858215,-0.0814502,-0.077124,-0.072855,-0.068654,-0.064533,-0.060502,-0.056573,-0.052758,-0.0490676,-0.0455134,-0.04210673,-0.038859,-0.0357814,-0.0328854,-0.0301824,-0.0276836,-0.0254005,-0.0233163,-0.0212722,-0.0190638,-0.0164867,-0.0133367,-0.0094094,-0.0045004,0.0015945,0.0090797,0.0181595,0.029038,0.04192,0.05701,0.074512,0.094629,0.117568,0.14353,0.17272,0.20535,0.24161,0.28172,0.32587,0.37428,0.42708,0.48405,0.54485,0.60914,0.67655,0.74675,0.81938,0.8941,0.97055,1.0484,1.12728,1.20686,1.28679,1.36671,1.44637,1.52575,1.60486,1.68369,1.76227,1.84059,1.91866,1.99649,2.07408,2.15145,2.22859,2.30552,2.38224,2.45876,2.53508,2.61122,2.68718,2.76296,2.83857,2.91402,2.98932,3.06446,3.13947,3.21435,3.28909,3.36372,3.43823,3.51263,3.58693,3.66114,3.73526,3.8093,3.88327,3.95717,4.03101,4.10479,4.17853,4.25223,4.32589,4.39953,4.473144,4.546747,4.620344
9,RNASE2,0,0,140.936,1.7795e-29,1.2059e-25,0.1568725,0.1615623,0.16637435,0.1714306,0.1768533,0.182765,0.189287,0.196541,0.204651,0.213738,0.223924,0.235331,0.2480823,0.2622989,0.27810335,0.2956177,0.3149641,0.3362647,0.3596416,0.385217,0.413113,0.4434129,0.4760015,0.5107006,0.5473321,0.5857176,0.625679,0.667038,0.7096164,0.753236,0.7977186,0.842886,0.88856,0.934562,0.980714,1.026838,1.072756,1.11829,1.16326,1.20749,1.2508,1.29301,1.33395,1.37343,1.41134,1.44786,1.4833,1.51798,1.5522,1.58627,1.62049,1.65519,1.69066,1.72722,1.76517,1.80483,1.8465,1.89049,1.93701,1.98603,2.0375,2.09135,2.14753,2.20597,2.26662,2.32942,2.3943,2.46121,2.53008,2.60087,2.6735,2.74792,2.82407,2.90189,2.98132,3.0623,3.14477,3.22867,3.31395,3.40053,3.48837,3.5774,3.66756,3.75879,3.85104,3.94424,4.03834,4.13327,4.22897,4.3254,4.42247,4.52015,4.61836,4.71704,4.81615,4.91561,5.01537,5.11537,5.215547,5.315844,5.4162
