,Gene,isTF,isCDMarker,StatisticsValue,P-value,Adj P-value,Group1_PT_0,Group1_PT_0.01,Group1_PT_0.02,Group1_PT_0.03,Group1_PT_0.04,Group1_PT_0.05,Group1_PT_0.06,Group1_PT_0.07,Group1_PT_0.08,Group1_PT_0.09,Group1_PT_0.1,Group1_PT_0.11,Group1_PT_0.12,Group1_PT_0.13,Group1_PT_0.14,Group1_PT_0.15,Group1_PT_0.16,Group1_PT_0.17,Group1_PT_0.18,Group1_PT_0.19,Group1_PT_0.2,Group1_PT_0.21,Group1_PT_0.22,Group1_PT_0.23,Group1_PT_0.24,Group1_PT_0.25,Group1_PT_0.26,Group1_PT_0.27,Group1_PT_0.28,Group1_PT_0.29,Group1_PT_0.3,Group1_PT_0.31,Group1_PT_0.32,Group1_PT_0.33,Group1_PT_0.34,Group1_PT_0.35,Group1_PT_0.36,Group1_PT_0.37,Group1_PT_0.38,Group1_PT_0.39,Group1_PT_0.4,Group1_PT_0.41,Group1_PT_0.42,Group1_PT_0.43,Group1_PT_0.44,Group1_PT_0.45,Group1_PT_0.46,Group1_PT_0.47,Group1_PT_0.48,Group1_PT_0.49,Group1_PT_0.5,Group1_PT_0.51,Group1_PT_0.52,Group1_PT_0.53,Group1_PT_0.54,Group1_PT_0.55,Group1_PT_0.56,Group1_PT_0.57,Group1_PT_0.58,Group1_PT_0.59,Group1_PT_0.6,Group1_PT_0.61,Group1_PT_0.62,Group1_PT_0.63,Group1_PT_0.64,Group1_PT_0.65,Group1_PT_0.66,Group1_PT_0.67,Group1_PT_0.68,Group1_PT_0.69,Group1_PT_0.7,Group1_PT_0.71,Group1_PT_0.72,Group1_PT_0.73,Group1_PT_0.74,Group1_PT_0.75,Group1_PT_0.76,Group1_PT_0.77,Group1_PT_0.78,Group1_PT_0.79,Group1_PT_0.8,Group1_PT_0.81,Group1_PT_0.82,Group1_PT_0.83,Group1_PT_0.84,Group1_PT_0.85,Group1_PT_0.86,Group1_PT_0.87,Group1_PT_0.88,Group1_PT_0.89,Group1_PT_0.9,Group1_PT_0.91,Group1_PT_0.92,Group1_PT_0.93,Group1_PT_0.94,Group1_PT_0.95,Group1_PT_0.96,Group1_PT_0.97,Group1_PT_0.98,Group1_PT_0.99,Group1_PT_1
0,HNRNPA1,0,0,31.486,2.4366e-06,0.018462,0.465174,0.455158,0.445148,0.435152,0.425177,0.41523,0.405315,0.395442,0.385618,0.375848,0.36614,0.356499,0.346934,0.337452,0.32806,0.318761,0.309566,0.30048,0.29151,0.282665,0.273949,0.26537,0.25693,0.24865,0.240523,0.23256,0.224768,0.217154,0.209725,0.202485,0.195423,0.1885202,0.1817599,0.175124,0.168596,0.162158,0.155792,0.149481,0.143207,0.136953,0.1307,0.124434,0.11813,0.11178,0.10536,0.098861,0.092254,0.085527,0.078668,0.071678,0.06456,0.057317,0.049952,0.042469,0.034869,0.027157,0.019335,0.011406,0.0033736,-0.0047599,-0.012991,-0.021317,-0.029735,-0.038242,-0.046835,-0.055511,-0.064267,-0.073103,-0.082014,-0.091,-0.10006,-0.10918,-0.11838,-0.12764,-0.13696,-0.14634,-0.15578,-0.16527,-0.17482,-0.18441,-0.19406,-0.20375,-0.21349,-0.22327,-0.23309,-0.24294,-0.25283,-0.26275,-0.2727,-0.28268,-0.29269,-0.30271,-0.31276,-0.32283,-0.33291,-0.34301,-0.35312,-0.36324,-0.37336,-0.38349,-0.39362
1,CDK6,0,0,30.663,3.5865e-06,0.027168,0.088621,0.089349,0.090056,0.090721,0.091323,0.09184,0.092251,0.092536,0.092673,0.092642,0.09242,0.091987,0.091321,0.090403,0.08921,0.087721,0.085916,0.083772,0.08127,0.078388,0.075105,0.071399,0.06725,0.062636,0.057537,0.051931,0.045798,0.039115,0.031862,0.024026,0.015642,0.0067638,-0.0025563,-0.012265,-0.022308,-0.032633,-0.043187,-0.053915,-0.064766,-0.075686,-0.08662,-0.097518,-0.10832,-0.11899,-0.12945,-0.139663,-0.149572,-0.159124,-0.168288,-0.177083,-0.18553,-0.193666,-0.201504,-0.209075,-0.216404,-0.223516,-0.230436,-0.23719,-0.2438028,-0.2503003,-0.256708,-0.263051,-0.269354,-0.275644,-0.281945,-0.288268,-0.294612,-0.300978,-0.307364,-0.31377,-0.3202,-0.32664,-0.3331,-0.33958,-0.34608,-0.3526,-0.35912,-0.36567,-0.37223,-0.3788,-0.38538,-0.39198,-0.39859,-0.40521,-0.41184,-0.41849,-0.42514,-0.4318,-0.43846,-0.44514,-0.45182,-0.45851,-0.4652,-0.4719,-0.47861,-0.48531,-0.49202,-0.49874,-0.50545,-0.51217,-0.51888
2,MT.ND2,0,0,43.73,7.2987e-09,5.531e-05,0.367445,0.360868,0.354315,0.347812,0.341385,0.33506,0.328855,0.322803,0.316926,0.31125,0.3058,0.300598,0.295673,0.291048,0.28675,0.2828,0.279227,0.276054,0.27331,0.271011,0.269191,0.267871,0.26708,0.266834,0.267167,0.268101,0.269661,0.271872,0.274758,0.278342,0.282613,0.2875549,0.293148,0.299374,0.306215,0.313651,0.321665,0.330238,0.339351,0.348987,0.35913,0.369749,0.38084,0.39238,0.40435,0.416724,0.429495,0.44264,0.456135,0.469945,0.48403,0.498364,0.5129,0.527604,0.54244,0.557372,0.572362,0.587373,0.6023704,0.617316,0.632173,0.646906,0.661478,0.675851,0.689991,0.703884,0.717537,0.730957,0.74415,0.75712,0.76988,0.78244,0.79479,0.80696,0.81893,0.83073,0.84236,0.85382,0.86513,0.87628,0.88729,0.89816,0.9089,0.91952,0.93002,0.94041,0.9507,0.96089,0.971,0.98102,0.99096,1.00084,1.01065,1.02041,1.03012,1.03979,1.04943,1.05904,1.06862,1.0782,1.08777
3,CD164,0,1,31.465,2.4607e-06,0.018643,0.377702,0.393912,0.410108,0.426276,0.442402,0.45847,0.474473,0.490391,0.506211,0.52192,0.5375,0.552949,0.568241,0.583366,0.59831,0.613061,0.627602,0.641921,0.656,0.669836,0.683404,0.696694,0.70969,0.722384,0.734757,0.746796,0.758487,0.769817,0.780772,0.791341,0.801543,0.811404,0.8209507,0.83021,0.83921,0.847976,0.856535,0.864915,0.873143,0.881245,0.88925,0.897179,0.90506,0.91293,0.92081,0.928722,0.936698,0.944762,0.952933,0.961203,0.96956,0.978003,0.986514,0.995085,1.003707,1.012371,1.021066,1.029783,1.0385121,1.047244,1.055969,1.064677,1.073359,1.082004,1.090604,1.099155,1.107658,1.116114,1.124525,1.13289,1.14122,1.1495,1.15774,1.16595,1.17412,1.18225,1.19035,1.19841,1.20645,1.21445,1.22243,1.23037,1.23829,1.24619,1.25406,1.26192,1.26975,1.27756,1.28535,1.29313,1.30089,1.30864,1.31638,1.3241,1.33182,1.33952,1.34723,1.35492,1.36261,1.3703,1.37799
4,HLA.E,0,0,69.833,2.4615e-14,1.8655e-10,0.128063,0.150298,0.172548,0.194829,0.217157,0.23955,0.262016,0.284578,0.307249,0.330044,0.35298,0.376072,0.399335,0.422785,0.44644,0.470309,0.494414,0.518769,0.54339,0.568288,0.593484,0.618991,0.64483,0.671004,0.697541,0.724451,0.751751,0.779457,0.807583,0.836126,0.864965,0.8939327,0.9228651,0.951596,0.97996,1.007792,1.034925,1.061195,1.086435,1.11048,1.13317,1.154324,1.17379,1.1914,1.20699,1.220388,1.231433,1.239959,1.245919,1.249528,1.25103,1.250691,1.248746,1.245451,1.241054,1.235808,1.229961,1.223763,1.2174658,1.2113184,1.205571,1.200474,1.196278,1.193232,1.191579,1.191411,1.192691,1.195377,1.199429,1.2048,1.21146,1.21936,1.22846,1.23872,1.25009,1.26254,1.27602,1.2905,1.30593,1.32227,1.33947,1.35751,1.37633,1.39589,1.41616,1.43709,1.45864,1.48077,1.50344,1.52661,1.55023,1.57426,1.59866,1.6234,1.64843,1.6737,1.69918,1.72483,1.7506,1.77645,1.80235
5,CRHBP,0,0,76.933,7.7711e-16,5.8905e-12,0.341549,0.351761,0.361961,0.372138,0.38228,0.39237,0.402411,0.412378,0.422262,0.432053,0.44174,0.451308,0.460748,0.470048,0.4792,0.48818,0.496989,0.50561,0.51403,0.522246,0.530236,0.537993,0.5455,0.552757,0.559742,0.566446,0.572858,0.578966,0.584758,0.590237,0.595496,0.6006577,0.6058483,0.611192,0.616814,0.622839,0.629391,0.636596,0.644578,0.653462,0.66337,0.674434,0.68677,0.70051,0.71578,0.732694,0.751386,0.771977,0.794511,0.818848,0.84482,0.872276,0.901039,0.930949,0.961844,0.993558,1.025929,1.058792,1.0919828,1.1253384,1.158695,1.191887,1.224753,1.257128,1.288853,1.319865,1.350179,1.379816,1.408796,1.43714,1.46487,1.49199,1.51854,1.54454,1.56999,1.59493,1.61937,1.64333,1.66684,1.68991,1.71255,1.7348,1.75668,1.77819,1.79936,1.82022,1.84078,1.86106,1.88108,1.90086,1.92042,1.93978,1.95897,1.97799,1.99688,2.01564,2.03431,2.0529,2.07142,2.08991,2.10838
