,Gene,StatisticsValue,P-value,Adj P-value,Group11_PT_0,Group11_PT_0.01,Group11_PT_0.02,Group11_PT_0.03,Group11_PT_0.04,Group11_PT_0.05,Group11_PT_0.06,Group11_PT_0.07,Group11_PT_0.08,Group11_PT_0.09,Group11_PT_0.1,Group11_PT_0.11,Group11_PT_0.12,Group11_PT_0.13,Group11_PT_0.14,Group11_PT_0.15,Group11_PT_0.16,Group11_PT_0.17,Group11_PT_0.18,Group11_PT_0.19,Group11_PT_0.2,Group11_PT_0.21,Group11_PT_0.22,Group11_PT_0.23,Group11_PT_0.24,Group11_PT_0.25,Group11_PT_0.26,Group11_PT_0.27,Group11_PT_0.28,Group11_PT_0.29,Group11_PT_0.3,Group11_PT_0.31,Group11_PT_0.32,Group11_PT_0.33,Group11_PT_0.34,Group11_PT_0.35,Group11_PT_0.36,Group11_PT_0.37,Group11_PT_0.38,Group11_PT_0.39,Group11_PT_0.4,Group11_PT_0.41,Group11_PT_0.42,Group11_PT_0.43,Group11_PT_0.44,Group11_PT_0.45,Group11_PT_0.46,Group11_PT_0.47,Group11_PT_0.48,Group11_PT_0.49,Group11_PT_0.5,Group11_PT_0.51,Group11_PT_0.52,Group11_PT_0.53,Group11_PT_0.54,Group11_PT_0.55,Group11_PT_0.56,Group11_PT_0.57,Group11_PT_0.58,Group11_PT_0.59,Group11_PT_0.6,Group11_PT_0.61,Group11_PT_0.62,Group11_PT_0.63,Group11_PT_0.64,Group11_PT_0.65,Group11_PT_0.66,Group11_PT_0.67,Group11_PT_0.68,Group11_PT_0.69,Group11_PT_0.7,Group11_PT_0.71,Group11_PT_0.72,Group11_PT_0.73,Group11_PT_0.74,Group11_PT_0.75,Group11_PT_0.76,Group11_PT_0.77,Group11_PT_0.78,Group11_PT_0.79,Group11_PT_0.8,Group11_PT_0.81,Group11_PT_0.82,Group11_PT_0.83,Group11_PT_0.84,Group11_PT_0.85,Group11_PT_0.86,Group11_PT_0.87,Group11_PT_0.88,Group11_PT_0.89,Group11_PT_0.9,Group11_PT_0.91,Group11_PT_0.92,Group11_PT_0.93,Group11_PT_0.94,Group11_PT_0.95,Group11_PT_0.96,Group11_PT_0.97,Group11_PT_0.98,Group11_PT_0.99,Group11_PT_1
0,Cad,32.133,1.7969e-06,0.049571,-0.0219062,-0.02441518,-0.02694973,-0.02953538,-0.03219772,-0.03496229,-0.03785465,-0.04090035,-0.04412497,-0.04755406,-0.05121316,-0.055128,-0.05932369,-0.06382622,-0.06866102,-0.07385362,-0.07943,-0.08541452,-0.09183393,-0.098713,-0.10607695,-0.11392,-0.1221924,-0.13086,-0.13989238,-0.14923523,-0.15885265,-0.16870414,-0.17874917,-0.18894725,-0.19926,-0.20964047,-0.22005459,-0.2304597,-0.24082,-0.25108086,-0.2612159,-0.2711798,-0.28093224,-0.2904342,-0.29967101,-0.30864681,-0.31736617,-0.32583364,-0.33405381,-0.34203124,-0.3497705,-0.3572762,-0.3645528,-0.37160501,-0.37844,-0.3850543,-0.3914606,-0.39766071,-0.40366,-0.4094607,-0.4150697,-0.42049051,-0.42572743,-0.43078474,-0.43566672,-0.4403776,-0.4449218,-0.4493034,-0.4535268,-0.45759619,-0.4615159,-0.46529,-0.4689235,-0.4724199,-0.4757837,-0.4790192,-0.48213068,-0.4851224,-0.4879987,-0.4907638,-0.4934219,-0.4959775,-0.49843465,-0.50079774,-0.503071,-0.505259,-0.507365,-0.50939479,-0.5113516,-0.51324,-0.5150642,-0.5168286,-0.51853739,-0.5201949,-0.5218053,-0.5233729,-0.52490208,-0.52639703,-0.527862,-0.5293014,-0.53071938,-0.53212024,-0.53351,-0.5348878,-0.536263
1,Naa50,37.405,1.4863e-07,0.0041125,0.05702234,0.05668272,0.05633242,0.05596077,0.05555709,0.05511069,0.05461091,0.05404707,0.05340848,0.05268447,0.05186437,0.050937,0.04989315,0.04872069,0.04740942,0.04594867,0.044328,0.042536,0.04056273,0.038397,0.03602863,0.03344,0.0306069,0.027507,0.02411661,0.02041199,0.01636973,0.01196632,0.00717828,0.0019821,-0.0036457,-0.00972865,-0.01629023,-0.02335393,-0.030943,-0.0390817,-0.0477928,-0.0571,-0.06702675,-0.0775933,-0.08876964,-0.10048688,-0.11267523,-0.12526489,-0.13818605,-0.15136889,-0.1647436,-0.1782404,-0.1917894,-0.20532088,-0.21876,-0.2320519,-0.2451118,-0.25787497,-0.27027,-0.28223158,-0.2936979,-0.30466716,-0.31515062,-0.32515958,-0.33470534,-0.3437992,-0.3524525,-0.3606764,-0.3684824,-0.37588162,-0.3828854,-0.38951,-0.3957521,-0.4016374,-0.4071726,-0.4123688,-0.41723744,-0.4217897,-0.426037,-0.4299905,-0.4336616,-0.4370615,-0.44020158,-0.44309313,-0.4457474,-0.448176,-0.450389,-0.45239983,-0.4542181,-0.45585564,-0.4573237,-0.4586336,-0.45979665,-0.4608241,-0.4617273,-0.4625175,-0.46320606,-0.46380422,-0.464323,-0.4647746,-0.4651694,-0.46551902,-0.46583,-0.4661279,-0.4664097
2,Cacybp,37.533,1.399e-07,0.0038713,0.04912555,0.04793046,0.0467176,0.04546924,0.04416761,0.04279496,0.04133352,0.03976556,0.0380733,0.036239,0.03424489,0.032073,0.02970625,0.02712621,0.02431534,0.02125589,0.01793,0.01432023,0.0104085,0.0061772,0.00160889,-0.0033049,-0.0085645,-0.01417,-0.02012007,-0.0264158,-0.0330566,-0.04004231,-0.04737275,-0.05504778,-0.063067,-0.07143092,-0.08013871,-0.08919043,-0.098586,-0.10832499,-0.1184075,-0.1288333,-0.13960221,-0.1507123,-0.16213594,-0.17382528,-0.1857321,-0.19780814,-0.21000515,-0.22227488,-0.2345691,-0.2468395,-0.2590378,-0.27111583,-0.28303,-0.294718,-0.3061456,-0.31725983,-0.32801,-0.33835538,-0.3482491,-0.35769348,-0.3666986,-0.37527473,-0.38343207,-0.3911808,-0.3985313,-0.4054935,-0.4120779,-0.41829453,-0.4241537,-0.42967,-0.4348403,-0.4396883,-0.4442195,-0.4484444,-0.45237307,-0.4560157,-0.4593826,-0.4624839,-0.4653298,-0.4679306,-0.47029652,-0.47243769,-0.4743644,-0.476087,-0.477615,-0.4789595,-0.4801303,-0.4811377,-0.4819919,-0.482703,-0.48328143,-0.4837372,-0.4840807,-0.484322,-0.48447142,-0.48453909,-0.484535,-0.4844702,-0.48435398,-0.48419695,-0.48401,-0.4838012,-0.4835828
3,Nsun2,40.431,3.5248e-08,0.0009764,0.04074446,0.04051871,0.04026386,0.03995078,0.03955038,0.03903354,0.03837116,0.03753411,0.03649331,0.03521962,0.03368395,0.031857,0.02971022,0.02721394,0.02433923,0.02105699,0.017338,0.01315349,0.008474,0.0032705,-0.00248473,-0.0087923,-0.0156263,-0.02296,-0.03076606,-0.03901807,-0.04768898,-0.05675189,-0.06617992,-0.07594617,-0.086024,-0.09638579,-0.10700537,-0.11785562,-0.12891,-0.14014056,-0.1515215,-0.1630255,-0.17462572,-0.1862953,-0.19800704,-0.2097338,-0.22144829,-0.23312328,-0.24473152,-0.25624577,-0.2676388,-0.2788833,-0.2899521,-0.30081799,-0.31145,-0.3218318,-0.3319253,-0.34170689,-0.35115,-0.36022523,-0.3689131,-0.37721503,-0.38513992,-0.39269649,-0.39989352,-0.4067398,-0.413244,-0.419415,-0.4252616,-0.43079239,-0.4360163,-0.44094,-0.4455784,-0.4499341,-0.454018,-0.4578388,-0.46140532,-0.4647263,-0.4678104,-0.4706666,-0.4733035,-0.47573,-0.47795477,-0.47998661,-0.4818343,-0.483507,-0.485012,-0.48636009,-0.4875588,-0.48861727,-0.4895442,-0.4903483,-0.49103841,-0.4916233,-0.4921117,-0.4925125,-0.49283426,-0.49308591,-0.493276,-0.4934138,-0.49350762,-0.49356635,-0.4936,-0.4936136,-0.4936197
4,Bzw2,36.595,2.1828e-07,0.0060374,0.0476176,0.04128203,0.03492518,0.02852577,0.02206251,0.01551412,0.00885932,0.00207683,-0.00485463,-0.01195635,-0.0192496,-0.026756,-0.03449585,-0.04249141,-0.05076363,-0.05933381,-0.068223,-0.07745312,-0.08704482,-0.09702,-0.10739726,-0.11817,-0.129283,-0.14071,-0.15238833,-0.16428918,-0.17636397,-0.18856904,-0.20086074,-0.21319541,-0.22553,-0.23781909,-0.25002079,-0.26209086,-0.27399,-0.28566151,-0.2970748,-0.3081818,-0.31893899,-0.3293046,-0.33926689,-0.34883721,-0.35802746,-0.36684958,-0.37531549,-0.38343711,-0.3912264,-0.3986952,-0.4058555,-0.41271925,-0.4193,-0.4256047,-0.4316502,-0.43744683,-0.44301,-0.44834115,-0.4534616,-0.45837382,-0.4630826,-0.46759265,-0.47190871,-0.4760355,-0.4799778,-0.4837403,-0.4873277,-0.49074472,-0.4939962,-0.49709,-0.5000212,-0.5028043,-0.5054406,-0.507935,-0.51029222,-0.5125169,-0.5146139,-0.5165878,-0.5184435,-0.5201856,-0.52181885,-0.52334802,-0.5247778,-0.526113,-0.527358,-0.52851841,-0.5295981,-0.53060205,-0.5315351,-0.5324018,-0.53320705,-0.5339555,-0.5346519,-0.535301,-0.53590757,-0.53647623,-0.537012,-0.5375189,-0.53800244,-0.53846701,-0.53892,-0.5393583,-0.5397945
5,St13,33.801,8.1842e-07,0.022597,0.05387777,0.0451663,0.0364843,0.02786125,0.01932662,0.01090987,0.0026405,-0.00545204,-0.01333827,-0.02098871,-0.0283739,-0.035464,-0.0422306,-0.04864318,-0.05467261,-0.06028942,-0.065464,-0.07016727,-0.07436937,-0.078041,-0.08115501,-0.083737,-0.0858634,-0.087612,-0.08906146,-0.09028957,-0.09137469,-0.09239501,-0.09342873,-0.09455404,-0.095849,-0.09739227,-0.09926158,-0.10153528,-0.10429,-0.10760867,-0.1115648,-0.116238,-0.12170671,-0.1280435,-0.13523855,-0.14321839,-0.15190784,-0.1612317,-0.17111481,-0.18148199,-0.1922581,-0.2033679,-0.2147362,-0.22628793,-0.23795,-0.2496408,-0.2612915,-0.27282498,-0.28417,-0.29523917,-0.3059823,-0.31638804,-0.32646407,-0.33621803,-0.34565762,-0.3547905,-0.3636243,-0.3721667,-0.3804255,-0.38840813,-0.3961224,-0.40358,-0.4107766,-0.4177317,-0.4244492,-0.4309366,-0.43720169,-0.443252,-0.4490954,-0.4547393,-0.4601916,-0.4654598,-0.47055168,-0.47547485,-0.480237,-0.484846,-0.489309,-0.49363394,-0.4978287,-0.50190068,-0.5058577,-0.5097074,-0.51345733,-0.5171153,-0.5206889,-0.5241858,-0.52761376,-0.53098034,-0.534293,-0.5375601,-0.5407887,-0.54398658,-0.54716,-0.550321,-0.5534729
6,Parl,34.449,6.0272e-07,0.016649,0.24276368,0.23704937,0.23135888,0.22571604,0.22014467,0.21466861,0.20931168,0.2040977,0.1990505,0.19419391,0.18955175,0.18515,0.18100601,0.17715009,0.17360391,0.17039128,0.16754,0.165062,0.162993,0.16135,0.16016313,0.1594,0.1589781,0.15883,0.15888142,0.15905021,0.15926189,0.15944007,0.15950833,0.15939029,0.15901,0.15828969,0.15715434,0.15552708,0.15333,0.15049127,0.1469299,0.1425711,0.13733832,0.1311608,0.12404988,0.1160808,0.1073303,0.09787514,0.08779211,0.07715797,0.0660495,0.0545435,0.0427167,0.03064587,0.018408,0.0060793,-0.0062629,-0.01854199,-0.030681,-0.04260385,-0.0542459,-0.06559883,-0.07666932,-0.08746389,-0.09798912,-0.1082516,-0.1182578,-0.1280144,-0.137528,-0.14680504,-0.1558522,-0.16468,-0.1732829,-0.1816797,-0.1898728,-0.1978688,-0.20567433,-0.2132959,-0.2207401,-0.2280135,-0.2351227,-0.2420742,-0.24887458,-0.25553046,-0.2620484,-0.268435,-0.274697,-0.28084012,-0.2868719,-0.29279859,-0.2986267,-0.3043629,-0.31001368,-0.3155856,-0.3210853,-0.3265193,-0.33189413,-0.33721643,-0.342493,-0.3477296,-0.3529337,-0.35811148,-0.36327,-0.3684145,-0.3735528
7,Apex1,43.545,7.9733e-09,0.00022119,0.08558401,0.07802508,0.07047455,0.0629408,0.05543224,0.04795725,0.04052424,0.03314158,0.02581769,0.01856095,0.01137976,0.0042825,-0.00272242,-0.0096266,-0.01642167,-0.02309922,-0.029651,-0.03606819,-0.04234282,-0.048466,-0.05443167,-0.060259,-0.0659928,-0.071681,-0.07737031,-0.08310718,-0.08893849,-0.09491104,-0.10107159,-0.10746693,-0.11414,-0.12114911,-0.12852951,-0.13633182,-0.1446,-0.15338932,-0.1627381,-0.1726958,-0.18330944,-0.194621,-0.20660346,-0.21917603,-0.23225666,-0.24576327,-0.25961378,-0.27372612,-0.2880182,-0.3024079,-0.3168133,-0.33115213,-0.34534,-0.359302,-0.3729489,-0.38620098,-0.39898,-0.41119239,-0.4227824,-0.43374308,-0.44408877,-0.45383375,-0.46299235,-0.4715788,-0.4796076,-0.4870928,-0.4940488,-0.50048994,-0.5064305,-0.51188,-0.5168671,-0.5213917,-0.525473,-0.5291252,-0.53236257,-0.5351995,-0.5376503,-0.5397292,-0.5414506,-0.5428287,-0.54387786,-0.54461236,-0.5450465,-0.545195,-0.545071,-0.5446899,-0.5440657,-0.54321262,-0.542145,-0.5408772,-0.53942344,-0.5377981,-0.5360153,-0.5340896,-0.53203515,-0.52986627,-0.527597,-0.5252425,-0.52281616,-0.52033263,-0.51781,-0.5152512,-0.5126818
8,Snx5,37.216,1.6259e-07,0.0044978,0.09325286,0.09318148,0.09307569,0.09290109,0.09262328,0.09220785,0.09162041,0.09082654,0.08979184,0.08848191,0.08686234,0.084899,0.08255668,0.07980178,0.07659963,0.07291582,0.068716,0.06396562,0.05863041,0.052676,0.04607008,0.03883,0.0310193,0.022705,0.01395205,0.00482744,-0.00460303,-0.01427326,-0.02411717,-0.03406866,-0.044062,-0.05403004,-0.06390774,-0.07362866,-0.083127,-0.09233581,-0.1011899,-0.1096227,-0.11756841,-0.1249648,-0.13181144,-0.13815508,-0.14404384,-0.14952578,-0.15464901,-0.15946159,-0.1640116,-0.1683472,-0.1725163,-0.17656713,-0.18055,-0.1845062,-0.1884905,-0.1925489,-0.19673,-0.20108,-0.2056407,-0.21041627,-0.21540169,-0.22059212,-0.22598269,-0.2315685,-0.2373447,-0.2433064,-0.2494487,-0.25576669,-0.2622556,-0.26891,-0.2757263,-0.2826984,-0.2898218,-0.2970917,-0.30450313,-0.3120512,-0.3197311,-0.327538,-0.3354668,-0.3435128,-0.35167106,-0.35993672,-0.3683049,-0.376771,-0.385329,-0.39397561,-0.402705,-0.41151248,-0.4203932,-0.4293422,-0.43835472,-0.4474258,-0.4565506,-0.4657241,-0.47494165,-0.48419821,-0.493489,-0.502809,-0.51215339,-0.52151734,-0.5309,-0.5402843,-0.5496775
9,Psmb10,35.452,3.7517e-07,0.010372,0.26013227,0.25437355,0.24860179,0.24280395,0.23696698,0.23107786,0.22512354,0.21909098,0.21296714,0.20673897,0.20039345,0.19392,0.18729817,0.18052233,0.17357697,0.16644906,0.15913,0.15159338,0.14383954,0.13585,0.12761553,0.11914,0.1104461,0.10156,0.09250651,0.08330911,0.0739926,0.06458145,0.05510014,0.04557313,0.036025,0.02647992,0.01696267,0.00749761,-0.0018908,-0.01117802,-0.0203396,-0.0293512,-0.03818817,-0.0468273,-0.05526232,-0.06350048,-0.07154922,-0.07941601,-0.08710833,-0.09463366,-0.1019995,-0.1092132,-0.1162825,-0.12321457,-0.13002,-0.1366975,-0.1432632,-0.14972169,-0.15608,-0.16234711,-0.1685281,-0.17462634,-0.18064375,-0.1865822,-0.19244356,-0.1982297,-0.2039425,-0.2095839,-0.2151557,-0.22065989,-0.2260982,-0.23147,-0.236785,-0.2420372,-0.2472311,-0.2523686,-0.25745162,-0.262482,-0.2674615,-0.2723922,-0.2772759,-0.2821145,-0.28690986,-0.29166383,-0.2963783,-0.301055,-0.305696,-0.31030368,-0.314879,-0.31942432,-0.3239414,-0.3284321,-0.33289846,-0.3373422,-0.3417653,-0.3461696,-0.3505569,-0.3549292,-0.359288,-0.3636362,-0.36797468,-0.37230562,-0.37663,-0.3809525,-0.3852721
