,Gene,isTF,isCDMarker,StatisticsValue,P-value,Adj P-value,Group4_PT_0,Group4_PT_0.01,Group4_PT_0.02,Group4_PT_0.03,Group4_PT_0.04,Group4_PT_0.05,Group4_PT_0.06,Group4_PT_0.07,Group4_PT_0.08,Group4_PT_0.09,Group4_PT_0.1,Group4_PT_0.11,Group4_PT_0.12,Group4_PT_0.13,Group4_PT_0.14,Group4_PT_0.15,Group4_PT_0.16,Group4_PT_0.17,Group4_PT_0.18,Group4_PT_0.19,Group4_PT_0.2,Group4_PT_0.21,Group4_PT_0.22,Group4_PT_0.23,Group4_PT_0.24,Group4_PT_0.25,Group4_PT_0.26,Group4_PT_0.27,Group4_PT_0.28,Group4_PT_0.29,Group4_PT_0.3,Group4_PT_0.31,Group4_PT_0.32,Group4_PT_0.33,Group4_PT_0.34,Group4_PT_0.35,Group4_PT_0.36,Group4_PT_0.37,Group4_PT_0.38,Group4_PT_0.39,Group4_PT_0.4,Group4_PT_0.41,Group4_PT_0.42,Group4_PT_0.43,Group4_PT_0.44,Group4_PT_0.45,Group4_PT_0.46,Group4_PT_0.47,Group4_PT_0.48,Group4_PT_0.49,Group4_PT_0.5,Group4_PT_0.51,Group4_PT_0.52,Group4_PT_0.53,Group4_PT_0.54,Group4_PT_0.55,Group4_PT_0.56,Group4_PT_0.57,Group4_PT_0.58,Group4_PT_0.59,Group4_PT_0.6,Group4_PT_0.61,Group4_PT_0.62,Group4_PT_0.63,Group4_PT_0.64,Group4_PT_0.65,Group4_PT_0.66,Group4_PT_0.67,Group4_PT_0.68,Group4_PT_0.69,Group4_PT_0.7,Group4_PT_0.71,Group4_PT_0.72,Group4_PT_0.73,Group4_PT_0.74,Group4_PT_0.75,Group4_PT_0.76,Group4_PT_0.77,Group4_PT_0.78,Group4_PT_0.79,Group4_PT_0.8,Group4_PT_0.81,Group4_PT_0.82,Group4_PT_0.83,Group4_PT_0.84,Group4_PT_0.85,Group4_PT_0.86,Group4_PT_0.87,Group4_PT_0.88,Group4_PT_0.89,Group4_PT_0.9,Group4_PT_0.91,Group4_PT_0.92,Group4_PT_0.93,Group4_PT_0.94,Group4_PT_0.95,Group4_PT_0.96,Group4_PT_0.97,Group4_PT_0.98,Group4_PT_0.99,Group4_PT_1
0,ST6GAL2,0,0,34.718,5.3078e-07,0.0040175,0.561933,0.575146,0.58811,0.60059,0.61233,0.623089,0.63262,0.64067974,0.6470214,0.6514,0.65357,0.653286,0.650303,0.644375,0.635257,0.622704,0.60647,0.586309,0.561977,0.533228,0.499996,0.463081,0.423546,0.382451,0.34086,0.299833,0.260432,0.22372,0.190758,0.162608,0.1403323,0.124992,0.117649,0.119193,0.12952,0.148162,0.174661,0.208554,0.249375,0.296664,0.34996,0.40879,0.472701,0.54123,0.613904,0.6902709,0.769863,0.852219,0.936874,1.023366,1.11123,1.200009,1.289234,1.378444,1.46718,1.554967,1.6413547,1.7258749,1.808065,1.887463,1.963604,2.0360272,2.1042681,2.167864,2.226353,2.27927,2.326154,2.36654,2.39997,2.42597,2.44409,2.45386,2.45483,2.44689,2.43034,2.4055,2.37268,2.33221,2.2844,2.2296,2.1681,2.1002,2.0262,1.9465,1.8614,1.7711,1.6761,1.5766,1.473,1.3656,1.2546,1.1404,1.0234,0.90384,0.78203,0.65831,0.533,0.4064,0.27886,0.15067,0.022165
1,PDLIM1,1,0,72.037,8.4288e-15,6.3865e-11,0.904415,0.922871,0.94115,0.959054,0.976414,0.993044,1.008762,1.02338359,1.0367272,1.04861,1.05885,1.067263,1.073669,1.077883,1.079723,1.079007,1.075552,1.069176,1.059696,1.046929,1.030835,1.012057,0.991448,0.969857,0.948135,0.927135,0.907705,0.890699,0.876965,0.867356,0.862722,0.863914,0.871784,0.887045,0.90963,0.939196,0.975388,1.017861,1.066265,1.120252,1.17947,1.243583,1.31223,1.38507,1.461744,1.5419139,1.625228,1.711339,1.799896,1.890553,1.98296,2.07677,2.171634,2.267203,2.36313,2.459063,2.554657,2.6495629,2.743432,2.835916,2.926667,3.0153349,3.1015728,3.185032,3.265364,3.34222,3.415251,3.48411,3.54845,3.60792,3.66217,3.71085,3.75363,3.79041,3.82139,3.84678,3.8668,3.88167,3.8916,3.8968,3.8975,3.8939,3.8862,3.8746,3.8594,3.8408,3.8189,3.794,3.7663,3.7361,3.7035,3.6687,3.632,3.59359,3.55367,3.51246,3.4702,3.427,3.38325,3.33904,3.294606
2,FERMT3,0,0,37.539,1.395e-07,0.0010562,0.116602,0.133977,0.1513,0.168531,0.185609,0.20249,0.219124,0.23546089,0.2514516,0.267047,0.282197,0.296852,0.310963,0.324481,0.337356,0.349539,0.360979,0.371629,0.381437,0.390356,0.398376,0.405693,0.412561,0.419236,0.425973,0.433026,0.440651,0.449103,0.458637,0.469509,0.4819724,0.496284,0.512697,0.531427,0.55244,0.575631,0.600873,0.628055,0.65706,0.687772,0.72008,0.753856,0.788996,0.82538,0.862891,0.9014153,0.940835,0.981036,1.021901,1.063315,1.10516,1.147325,1.189689,1.232139,1.27456,1.31683,1.3588392,1.4004704,1.441607,1.482134,1.521935,1.5608932,1.598894,1.635821,1.671559,1.705991,1.739001,1.77047,1.8003,1.82835,1.85451,1.87868,1.90073,1.92064,1.93848,1.95432,1.96825,1.98033,1.9907,1.9993,2.0063,2.0118,2.0158,2.0185,2.0198,2.0199,2.0189,2.0168,2.0137,2.0097,2.0048,1.9992,1.9928,1.98591,1.97843,1.97049,1.9622,1.9535,1.94469,1.93568,1.926594
3,ACTB,0,0,31.156,2.8446e-06,0.021523,0.031151,0.068376,0.10543,0.142155,0.178372,0.213915,0.248617,0.28230984,0.3148247,0.345994,0.375648,0.40362,0.429741,0.453844,0.475759,0.495318,0.512354,0.526697,0.538181,0.546636,0.551976,0.554511,0.554673,0.55289,0.549592,0.54521,0.540173,0.534912,0.529856,0.525435,0.5220796,0.520219,0.520284,0.522645,0.52733,0.53424,0.543283,0.554362,0.567382,0.582247,0.59886,0.617127,0.636952,0.65824,0.680891,0.7048137,0.729912,0.756088,0.783249,0.811297,0.84014,0.869673,0.899809,0.930451,0.9615,0.992865,1.0244463,1.0561497,1.087879,1.11954,1.151035,1.1822689,1.2131464,1.243572,1.273449,1.302682,1.331177,1.35884,1.38556,1.41126,1.43584,1.45921,1.48125,1.50196,1.52137,1.53953,1.55649,1.57229,1.587,1.6006,1.6133,1.6249,1.6357,1.6456,1.6546,1.6629,1.6705,1.6774,1.6837,1.6894,1.6946,1.6993,1.7036,1.70745,1.71099,1.71425,1.7173,1.7201,1.72276,1.72535,1.727879
4,GSN,0,0,42.244,1.4849e-08,0.00011247,-0.078968,-0.067398,-0.05588,-0.044465,-0.033205,-0.022151,-0.011354,-0.00086738,0.0092588,0.018973,0.028223,0.036957,0.045124,0.052673,0.059552,0.065709,0.071092,0.075651,0.079334,0.082089,0.083901,0.084938,0.085417,0.085561,0.085588,0.085719,0.086173,0.087171,0.088933,0.091679,0.0956286,0.101002,0.108019,0.116868,0.12755,0.140001,0.154155,0.169946,0.18731,0.206182,0.2265,0.248187,0.271189,0.29544,0.32087,0.3474171,0.375016,0.4036,0.433105,0.463466,0.49462,0.526493,0.55903,0.592161,0.62582,0.659947,0.6944711,0.7293297,0.764457,0.799788,0.835258,0.8708007,0.9063518,0.941846,0.977218,1.012402,1.047334,1.08195,1.11618,1.14996,1.18323,1.21592,1.24797,1.27935,1.31009,1.3402,1.36971,1.39866,1.427,1.4549,1.4823,1.5092,1.5356,1.5616,1.5872,1.6124,1.6372,1.6618,1.686,1.7099,1.7335,1.7569,1.7801,1.80316,1.826,1.8487,1.8713,1.8938,1.91617,1.93853,1.96087
5,ACTN1,0,0,33.241,1.066e-06,0.0080666,-0.25171,-0.210684,-0.16992,-0.12968,-0.090227,-0.051823,-0.01473,0.02079009,0.0544744,0.086061,0.115288,0.141892,0.165613,0.186186,0.203351,0.216845,0.226406,0.231772,0.23268,0.228868,0.220198,0.207138,0.190333,0.170432,0.148082,0.123932,0.098627,0.072816,0.047147,0.022267,-0.0011757,-0.022535,-0.041162,-0.056494,-0.06846,-0.077163,-0.082706,-0.085195,-0.084733,-0.081423,-0.07537,-0.066677,-0.055449,-0.04179,-0.025803,-0.0075921,0.012738,0.035085,0.059343,0.085409,0.11318,0.14255,0.173417,0.205675,0.23922,0.273954,0.3097664,0.3465551,0.384216,0.422646,0.461741,0.5013967,0.5415093,0.581975,0.622689,0.663549,0.70445,0.74529,0.78596,0.82636,0.86639,0.90594,0.9449,0.98324,1.02098,1.05812,1.09471,1.13075,1.1663,1.2013,1.2359,1.27,1.3036,1.3369,1.3698,1.4023,1.4345,1.4664,1.498,1.5293,1.5604,1.5912,1.6218,1.6523,1.68259,1.71276,1.7428,1.7728,1.80266,1.83251,1.862339
6,RAP1B,0,0,57.961,7.7778e-12,5.8925e-08,0.742788,0.755618,0.7685,0.781478,0.794607,0.807936,0.821514,0.83539143,0.8496181,0.864244,0.879319,0.894892,0.911014,0.927735,0.945105,0.963172,0.981988,1.001602,1.022065,1.043425,1.065722,1.088945,1.113066,1.138057,1.163893,1.190545,1.217986,1.24619,1.275128,1.304774,1.3351006,1.36608,1.397686,1.429889,1.46265,1.495935,1.529698,1.563901,1.598504,1.633467,1.66875,1.704312,1.740114,1.77611,1.812276,1.8485553,1.884914,1.921312,1.957709,1.994065,2.03034,2.066493,2.102486,2.138276,2.17383,2.209093,2.2440389,2.278623,2.312805,2.346545,2.379803,2.4125395,2.4447133,2.476285,2.507214,2.53746,2.566984,2.59575,2.6237,2.65082,2.67705,2.70236,2.72671,2.75009,2.77253,2.79408,2.81475,2.8346,2.8536,2.8719,2.8895,2.9064,2.9226,2.9381,2.9531,2.9676,2.9815,2.9949,3.0079,3.0205,3.0327,3.0445,3.056,3.06728,3.07828,3.08908,3.0997,3.1102,3.12058,3.1309,3.141176
7,MMRN1,0,0,51.704,1.5907e-10,1.2049e-06,0.438532,0.432708,0.4269,0.421129,0.415408,0.409755,0.404189,0.39872469,0.3933807,0.388174,0.383121,0.37824,0.373547,0.36906,0.364796,0.360771,0.357004,0.353511,0.350309,0.347415,0.344877,0.342882,0.341664,0.341452,0.34248,0.344979,0.349181,0.355317,0.363619,0.37432,0.3876502,0.403842,0.423128,0.445695,0.47149,0.500353,0.532147,0.566721,0.603927,0.643616,0.68564,0.729855,0.776108,0.82425,0.874144,0.9256305,0.978565,1.032801,1.088189,1.144582,1.20183,1.25979,1.318309,1.377242,1.43644,1.495755,1.5550391,1.6141449,1.672924,1.731229,1.788912,1.8458242,1.9018185,1.956747,2.010461,2.062813,2.113656,2.16284,2.21022,2.25565,2.29897,2.34005,2.37873,2.41497,2.44886,2.48049,2.50993,2.53728,2.5626,2.5861,2.6077,2.6275,2.6457,2.6623,2.6775,2.6912,2.7036,2.7149,2.7249,2.734,2.7421,2.7493,2.7557,2.76141,2.76653,2.77112,2.7753,2.7791,2.78262,2.78599,2.78927
8,LTBP1,0,0,39.526,5.4231e-08,0.00041069,0.170273,0.165424,0.1607,0.156218,0.152109,0.148492,0.145492,0.14323229,0.1418353,0.141425,0.142124,0.144056,0.147344,0.152112,0.158483,0.16658,0.176527,0.188446,0.202462,0.218697,0.237214,0.257789,0.280106,0.303854,0.328718,0.354385,0.380543,0.406876,0.433073,0.458819,0.4838016,0.507707,0.530222,0.55108,0.57029,0.587957,0.604187,0.619086,0.632761,0.645317,0.65686,0.667497,0.677334,0.68648,0.695029,0.7031001,0.710795,0.718219,0.725479,0.732681,0.73993,0.747334,0.754997,0.763027,0.77153,0.780607,0.7903701,0.8009234,0.812373,0.824824,0.838384,0.8531579,0.8692521,0.886773,0.905825,0.926517,0.948952,0.97324,0.99948,1.02779,1.05826,1.09101,1.12613,1.16366,1.2035,1.24557,1.28978,1.33606,1.3843,1.4344,1.4864,1.54,1.5953,1.6521,1.7104,1.7701,1.831,1.8932,1.9564,2.0207,2.086,2.1521,2.2189,2.28649,2.35464,2.42331,2.4924,2.5618,2.63154,2.70141,2.771366
9,VCL,0,0,31.011,3.0453e-06,0.023038,1.737408,1.629876,1.52314,1.418008,1.31527,1.215727,1.120178,1.02942232,0.9442586,0.865486,0.793902,0.730308,0.6755,0.630279,0.595443,0.571791,0.560121,0.561233,0.575926,0.604998,0.648884,0.706258,0.775264,0.854045,0.940746,1.033509,1.130478,1.229798,1.32961,1.42806,1.5232897,1.613444,1.696665,1.77135,1.83734,1.895008,1.944715,1.986829,2.021717,2.049745,2.07128,2.086687,2.096335,2.10059,2.099816,2.0943818,2.084654,2.070998,2.053781,2.03337,2.01013,1.98443,1.956635,1.927111,1.89622,1.864343,1.8318333,1.7990609,1.766393,1.734195,1.702835,1.6726787,1.6440927,1.617444,1.593098,1.571422,1.552783,1.53755,1.52608,1.51875,1.51592,1.51796,1.52523,1.53784,1.55561,1.57836,1.60589,1.63802,1.6745,1.7153,1.76,1.8086,1.8608,1.9165,1.9754,2.0374,2.1022,2.1697,2.2397,2.312,2.3864,2.4627,2.5408,2.62035,2.70126,2.78332,2.8663,2.9501,3.03447,3.1192,3.20413
