,Gene,StatisticsValue,P-value,Adj P-value,Group14_PT_0,Group14_PT_0.01,Group14_PT_0.02,Group14_PT_0.03,Group14_PT_0.04,Group14_PT_0.05,Group14_PT_0.06,Group14_PT_0.07,Group14_PT_0.08,Group14_PT_0.09,Group14_PT_0.1,Group14_PT_0.11,Group14_PT_0.12,Group14_PT_0.13,Group14_PT_0.14,Group14_PT_0.15,Group14_PT_0.16,Group14_PT_0.17,Group14_PT_0.18,Group14_PT_0.19,Group14_PT_0.2,Group14_PT_0.21,Group14_PT_0.22,Group14_PT_0.23,Group14_PT_0.24,Group14_PT_0.25,Group14_PT_0.26,Group14_PT_0.27,Group14_PT_0.28,Group14_PT_0.29,Group14_PT_0.3,Group14_PT_0.31,Group14_PT_0.32,Group14_PT_0.33,Group14_PT_0.34,Group14_PT_0.35,Group14_PT_0.36,Group14_PT_0.37,Group14_PT_0.38,Group14_PT_0.39,Group14_PT_0.4,Group14_PT_0.41,Group14_PT_0.42,Group14_PT_0.43,Group14_PT_0.44,Group14_PT_0.45,Group14_PT_0.46,Group14_PT_0.47,Group14_PT_0.48,Group14_PT_0.49,Group14_PT_0.5,Group14_PT_0.51,Group14_PT_0.52,Group14_PT_0.53,Group14_PT_0.54,Group14_PT_0.55,Group14_PT_0.56,Group14_PT_0.57,Group14_PT_0.58,Group14_PT_0.59,Group14_PT_0.6,Group14_PT_0.61,Group14_PT_0.62,Group14_PT_0.63,Group14_PT_0.64,Group14_PT_0.65,Group14_PT_0.66,Group14_PT_0.67,Group14_PT_0.68,Group14_PT_0.69,Group14_PT_0.7,Group14_PT_0.71,Group14_PT_0.72,Group14_PT_0.73,Group14_PT_0.74,Group14_PT_0.75,Group14_PT_0.76,Group14_PT_0.77,Group14_PT_0.78,Group14_PT_0.79,Group14_PT_0.8,Group14_PT_0.81,Group14_PT_0.82,Group14_PT_0.83,Group14_PT_0.84,Group14_PT_0.85,Group14_PT_0.86,Group14_PT_0.87,Group14_PT_0.88,Group14_PT_0.89,Group14_PT_0.9,Group14_PT_0.91,Group14_PT_0.92,Group14_PT_0.93,Group14_PT_0.94,Group14_PT_0.95,Group14_PT_0.96,Group14_PT_0.97,Group14_PT_0.98,Group14_PT_0.99,Group14_PT_1
0,Eef1a1,40.104,4.1194e-08,0.0011606,0.947927,0.9370131,0.9259224,0.914478,0.902503,0.88982,0.8762534,0.8616254,0.845759,0.828478,0.809605,0.7890278,0.7668211,0.743096,0.717965,0.691536,0.663923,0.6352351,0.60558356,0.5750794,0.5438334,0.511957,0.47956,0.446754,0.41365,0.380358,0.3469906,0.3136574,0.2804695,0.2475379,0.214974,0.182887,0.15139,0.1205925,0.0906058,0.061541,0.033508,0.0066195,-0.019015,-0.0432843,-0.066077,-0.087284,-0.106792,-0.124491,-0.140271,-0.154019,-0.165627,-0.1749817,-0.1819875,-0.1867043,-0.189289,-0.1899,-0.1886971,-0.1858374,-0.18148,-0.175783,-0.168906,-0.1610071,-0.1522444,-0.142777,-0.132763,-0.122361,-0.11173,-0.101028,-0.0904146,-0.080047,-0.070085,-0.060686,-0.052009,-0.044213,-0.0374563,-0.031897,-0.027695,-0.025007,-0.023992,-0.02481,-0.027618,-0.032576,-0.039841,-0.049572,-0.061928,-0.077068,-0.095149,-0.11633,-0.14077,-0.16863,-0.20007,-0.23523,-0.27412,-0.31647,-0.36199,-0.4104,-0.46139,-0.514696,-0.570017,-0.6270665,-0.685557,-0.745201,-0.80571,-0.866794,-0.92817
1,H2afy,73.203,4.7787e-15,1.3472e-10,1.314338,1.4080294,1.5007668,1.591597,1.679568,1.763724,1.8431131,1.9167815,1.983776,2.043142,2.093928,2.1354744,2.1679965,2.191872,2.207477,2.215191,2.2153887,2.2084488,2.19474812,2.1746639,2.1485734,2.116854,2.079882,2.038036,1.991693,1.941229,1.8870221,1.8294495,1.7688883,1.7057158,1.640309,1.573046,1.504302,1.4344567,1.3638857,1.292967,1.222077,1.1515934,1.081894,1.0133546,0.946354,0.881268,0.818475,0.758351,0.701275,0.647622,0.597771,0.5520988,0.5109508,0.4743286,0.44202,0.413809,0.3894803,0.3688188,0.3516088,0.337635,0.326681,0.3185331,0.3129744,0.30979,0.308764,0.309681,0.31233,0.316483,0.3219364,0.328471,0.335872,0.343923,0.352409,0.361114,0.3698229,0.37832,0.38639,0.393818,0.400388,0.405884,0.410091,0.412793,0.413776,0.412823,0.409719,0.404248,0.396196,0.38535,0.37148,0.35439,0.33386,0.30967,0.28179,0.25049,0.21605,0.17875,0.13889,0.096738,0.052592,0.0067326,-0.040554,-0.088982,-0.13827,-0.188122,-0.23826
2,Dntt,47.804,1.0371e-09,2.9223e-05,-1.103813,-0.6856943,-0.2706607,0.138202,0.537809,0.925073,1.2969105,1.6502352,1.981962,2.289005,2.568279,2.8176354,3.0377015,3.229618,3.394527,3.533568,3.6478821,3.7386113,3.80689598,3.8538773,3.8806961,3.888493,3.87841,3.851588,3.809167,3.752288,3.6820928,3.5997221,3.5063168,3.403018,3.290967,3.171304,3.04517,2.9137068,2.7780549,2.639355,2.498749,2.3573775,2.216381,2.0769008,1.940078,1.807053,1.678968,1.556963,1.442179,1.335757,1.238839,1.1525649,1.0779875,1.0151859,0.963636,0.922806,0.8921608,0.8711691,0.8592976,0.856013,0.860783,0.8730739,0.8923532,0.918088,0.949745,0.986791,1.02869,1.074921,1.1249379,1.178213,1.234212,1.292403,1.352253,1.413229,1.4747977,1.536426,1.597582,1.657732,1.716342,1.772881,1.826815,1.877612,1.924737,1.967659,2.005844,2.03876,2.065874,2.08665,2.10056,2.10707,2.10564,2.09576,2.07732,2.05094,2.01727,1.97699,1.93074,1.879192,1.823011,1.7628559,1.69939,1.633276,1.56517,1.495749,1.42566
3,Crip1,92.02,4.9015e-19,1.382e-14,-0.221714,-0.1935759,-0.1651362,-0.136093,-0.106145,-0.07499,-0.0423263,-0.0078526,0.028733,0.067732,0.109446,0.154076,0.2015201,0.251622,0.304225,0.359173,0.4163092,0.4754766,0.53651881,0.5992793,0.6636014,0.729328,0.796304,0.864371,0.933374,1.003155,1.0735583,1.1444268,1.2156042,1.2869338,1.358259,1.429423,1.50027,1.5706419,1.6403833,1.709337,1.777347,1.8442567,1.909909,1.9741471,2.036815,2.097756,2.156813,2.21383,2.26865,2.321116,2.371073,2.4183623,2.4628385,2.5044624,2.543262,2.579265,2.6125023,2.6430013,2.6707914,2.695901,2.71836,2.7381967,2.7554397,2.770118,2.782261,2.791897,2.79906,2.803765,2.8060539,2.805952,2.803487,2.79869,2.791587,2.782209,2.7705844,2.756742,2.74071,2.722518,2.702195,2.67977,2.655271,2.628728,2.600169,2.569623,2.537119,2.502687,2.466354,2.42815,2.3881,2.34624,2.3026,2.2572,2.21011,2.16146,2.11138,2.05999,2.00743,1.953827,1.899314,1.8440184,1.788072,1.731604,1.67475,1.617626,1.56038
4,Hmgb1,69.246,3.2749e-14,9.232e-10,0.137049,0.0697901,0.0032939,-0.061677,-0.124359,-0.18399,-0.2398077,-0.2910485,-0.33695,-0.376749,-0.409684,-0.4352246,-0.4535377,-0.464917,-0.469657,-0.468051,-0.4603936,-0.4469788,-0.42810056,-0.404053,-0.3751302,-0.341626,-0.303835,-0.262051,-0.216568,-0.16768,-0.1156808,-0.0608652,-0.0035268,0.0560402,0.117542,0.180684,0.245172,0.3107131,0.3770122,0.443776,0.510709,0.5775186,0.64391,0.7095897,0.774263,0.837636,0.899415,0.959306,1.017014,1.072246,1.124707,1.1741035,1.2201629,1.2628491,1.302273,1.338547,1.3717846,1.4020982,1.4296007,1.454405,1.476624,1.4963704,1.5137572,1.528897,1.541903,1.552888,1.56196,1.569246,1.574845,1.578874,1.581446,1.582674,1.582671,1.58155,1.5794235,1.576404,1.572605,1.568139,1.563119,1.557658,1.551868,1.545863,1.539756,1.533658,1.527684,1.521945,1.516555,1.51163,1.50727,1.50361,1.50074,1.49879,1.49779,1.49768,1.49839,1.49983,1.50195,1.504662,1.507892,1.5115678,1.515614,1.519957,1.52452,1.529237,1.53403
5,Parp1,34.727,5.2845e-07,0.014885,-0.720798,-0.6482244,-0.5760407,-0.504637,-0.434402,-0.365727,-0.2990015,-0.2346148,-0.172957,-0.114418,-0.059388,-0.0081311,0.0394575,0.083552,0.124327,0.161955,0.1966112,0.2284693,0.25770321,0.2844869,0.3089945,0.3314,0.351877,0.3706,0.387742,0.403479,0.4179825,0.4314282,0.4439895,0.4558405,0.467155,0.478107,0.488871,0.4996206,0.5105296,0.521772,0.533522,0.5459539,0.559241,0.5735577,0.589078,0.605975,0.624424,0.644599,0.666673,0.69082,0.717214,0.7460303,0.7774176,0.8112615,0.847283,0.885202,0.9247367,0.965606,1.0075289,1.050224,1.093412,1.136809,1.1801358,1.223111,1.265453,1.306881,1.34711,1.385872,1.4228723,1.457834,1.490477,1.520519,1.54768,1.571678,1.5922331,1.609063,1.621887,1.630425,1.634394,1.633515,1.627505,1.616084,1.598971,1.575885,1.546544,1.510668,1.467975,1.41818,1.36102,1.29619,1.22342,1.14243,1.05329,0.95657,0.85291,0.74294,0.62729,0.506586,0.381469,0.2525646,0.120505,-0.014079,-0.15056,-0.288296,-0.42667
6,Ccnd3,84.588,1.8548e-17,5.2293e-13,-0.324279,-0.3284261,-0.3325301,-0.336548,-0.340436,-0.344152,-0.3476515,-0.3508926,-0.353832,-0.356426,-0.358631,-0.3603985,-0.3616568,-0.362332,-0.362349,-0.361634,-0.3601118,-0.3577089,-0.35435039,-0.349962,-0.3444692,-0.337798,-0.329873,-0.32062,-0.309966,-0.297835,-0.284153,-0.2688458,-0.2518388,-0.2330576,-0.212428,-0.189875,-0.165325,-0.1387027,-0.1099342,-0.078945,-0.045661,-0.0100069,0.028091,0.0687072,0.111916,0.157793,0.206411,0.257845,0.31217,0.369459,0.429789,0.4932314,0.559839,0.629404,0.701559,0.775933,0.852158,0.9298627,1.0086776,1.088233,1.168158,1.2480843,1.3276408,1.406458,1.484166,1.560395,1.63477,1.706935,1.7765073,1.843121,1.906405,1.965991,2.021508,2.072587,2.1188582,2.159951,2.195495,2.225122,2.24846,2.265141,2.274794,2.27705,2.271538,2.257888,2.235731,2.204697,2.164416,2.11452,2.05463,1.98439,1.90342,1.81136,1.7083,1.59502,1.47238,1.34122,1.20241,1.05678,0.905194,0.7485001,0.58755,0.423194,0.25629,0.087673,-0.08179
7,Lmnb1,51.239,1.9896e-10,5.6074e-06,-0.511119,-0.5134061,-0.515493,-0.517179,-0.518264,-0.518548,-0.51783,-0.5159096,-0.512587,-0.507661,-0.500932,-0.4922589,-0.4816795,-0.469264,-0.455082,-0.439203,-0.4216991,-0.4026388,-0.38209255,-0.3601305,-0.3368227,-0.312239,-0.28645,-0.259526,-0.231537,-0.202552,-0.1726418,-0.1418768,-0.1103269,-0.0780621,-0.045153,-0.011669,0.02232,0.0567431,0.0915305,0.126612,0.161918,0.1973778,0.232922,0.2684792,0.303981,0.339356,0.374534,0.409446,0.44402200000000003,0.47819,0.511882,0.5450271,0.5775573,0.6094308,0.640621,0.671104,0.7008512,0.7298385,0.7580397,0.785429,0.81198,0.8376681,0.8624664,0.886349,0.909291,0.931266,0.95225,0.972211,0.9911301,1.008979,1.025731,1.041361,1.055844,1.069152,1.0812616,1.092145,1.101778,1.110134,1.117187,1.122911,1.12728,1.130269,1.131852,1.132003,1.130696,1.127905,1.123605,1.11777,1.11037,1.10139,1.09079,1.07856,1.06471,1.04938,1.03268,1.01474,0.99567,0.975619,0.954693,0.9330217,0.910729,0.88794,0.86478,0.841366,0.81783
8,Id3,47.423,1.245e-09,3.5079e-05,-0.266336,-0.2215988,-0.1775578,-0.134909,-0.094349,-0.056573,-0.0222789,0.0078387,0.033083,0.052758,0.066167,0.0728704,0.0731828,0.06756,0.056459,0.040334,0.0196419,-0.0051621,-0.03362197,-0.065282,-0.0996863,-0.136379,-0.174905,-0.214808,-0.255631,-0.296921,-0.3382198,-0.3790726,-0.4190234,-0.4576166,-0.494396,-0.528907,-0.560692,-0.5892964,-0.6142642,-0.63514,-0.651467,-0.6627899,-0.668653,-0.6686012,-0.662178,-0.648927,-0.628393,-0.600121,-0.563654,-0.518537,-0.464314,-0.4005295,-0.3267909,-0.2434116,-0.151141,-0.050734,0.0570531,0.1714643,0.291744,0.417137,0.546886,0.6802371,0.8164335,0.95472,1.09434,1.234538,1.37456,1.513647,1.6510458,1.786,1.917753,2.04555,2.168635,2.286253,2.3976462,2.502061,2.59874,2.686928,2.76587,2.83481,2.892991,2.939659,2.974057,2.995429,3.003021,2.996075,2.973837,2.93555,2.88046,2.80781,2.71684,2.60682,2.47781,2.33117,2.16837,1.99088,1.80016,1.597695,1.384944,1.163379,0.934468,0.69968,0.46049,0.218352,-0.02525
9,Hnrnpu,38.252,9.9425e-08,0.002801,-0.762587,-0.7169839,-0.6720104,-0.628296,-0.58647,-0.547162,-0.5110013,-0.4786177,-0.450641,-0.4277,-0.410424,-0.3992251,-0.3938674,-0.393996,-0.399255,-0.409289,-0.4237434,-0.4422628,-0.464492,-0.4900756,-0.5186585,-0.549885,-0.583401,-0.61885,-0.655877,-0.694127,-0.7332456,-0.7728761,-0.812664,-0.8522539,-0.891291,-0.929419,-0.966283,-1.0015289,-1.0348003,-1.065742,-1.094,-1.119217,-1.141039,-1.1591111,-1.173077,-1.182583,-1.187272,-1.18679,-1.180781,-1.16889,-1.150762,-1.1260424,-1.0944185,-1.056061,-1.011439,-0.961024,-0.9052912,-0.8447126,-0.7797613,-0.710911,-0.638634,-0.5634033,-0.4856929,-0.405975,-0.324724,-0.242412,-0.15951,-0.076497,0.0061597,0.087985,0.168505,0.247247,0.323739,0.397507,0.4680774,0.534978,0.597735,0.655877,0.708928,0.756417,0.797871,0.832816,0.860779,0.881287,0.893867,0.898046,0.893351,0.87931,0.85545,0.82129,0.77637,0.72021,0.65285,0.57508,0.48778,0.3918,0.28801,0.177293,0.060501,-0.0614949,-0.187827,-0.317627,-0.45003,-0.584166,-0.71917
