,Gene,isTF,isCDMarker,StatisticsValue,P-value,Adj P-value,Group1_PT_0,Group1_PT_0.01,Group1_PT_0.02,Group1_PT_0.03,Group1_PT_0.04,Group1_PT_0.05,Group1_PT_0.06,Group1_PT_0.07,Group1_PT_0.08,Group1_PT_0.09,Group1_PT_0.1,Group1_PT_0.11,Group1_PT_0.12,Group1_PT_0.13,Group1_PT_0.14,Group1_PT_0.15,Group1_PT_0.16,Group1_PT_0.17,Group1_PT_0.18,Group1_PT_0.19,Group1_PT_0.2,Group1_PT_0.21,Group1_PT_0.22,Group1_PT_0.23,Group1_PT_0.24,Group1_PT_0.25,Group1_PT_0.26,Group1_PT_0.27,Group1_PT_0.28,Group1_PT_0.29,Group1_PT_0.3,Group1_PT_0.31,Group1_PT_0.32,Group1_PT_0.33,Group1_PT_0.34,Group1_PT_0.35,Group1_PT_0.36,Group1_PT_0.37,Group1_PT_0.38,Group1_PT_0.39,Group1_PT_0.4,Group1_PT_0.41,Group1_PT_0.42,Group1_PT_0.43,Group1_PT_0.44,Group1_PT_0.45,Group1_PT_0.46,Group1_PT_0.47,Group1_PT_0.48,Group1_PT_0.49,Group1_PT_0.5,Group1_PT_0.51,Group1_PT_0.52,Group1_PT_0.53,Group1_PT_0.54,Group1_PT_0.55,Group1_PT_0.56,Group1_PT_0.57,Group1_PT_0.58,Group1_PT_0.59,Group1_PT_0.6,Group1_PT_0.61,Group1_PT_0.62,Group1_PT_0.63,Group1_PT_0.64,Group1_PT_0.65,Group1_PT_0.66,Group1_PT_0.67,Group1_PT_0.68,Group1_PT_0.69,Group1_PT_0.7,Group1_PT_0.71,Group1_PT_0.72,Group1_PT_0.73,Group1_PT_0.74,Group1_PT_0.75,Group1_PT_0.76,Group1_PT_0.77,Group1_PT_0.78,Group1_PT_0.79,Group1_PT_0.8,Group1_PT_0.81,Group1_PT_0.82,Group1_PT_0.83,Group1_PT_0.84,Group1_PT_0.85,Group1_PT_0.86,Group1_PT_0.87,Group1_PT_0.88,Group1_PT_0.89,Group1_PT_0.9,Group1_PT_0.91,Group1_PT_0.92,Group1_PT_0.93,Group1_PT_0.94,Group1_PT_0.95,Group1_PT_0.96,Group1_PT_0.97,Group1_PT_0.98,Group1_PT_0.99,Group1_PT_1
0,RPS2,0,0,68.421,4.8884e-14,3.3139e-10,0.5117083,0.51617442,0.5206033,0.524958,0.5292,0.533294,0.537202,0.540886,0.54431,0.547436,0.550226,0.552645,0.554654,0.556216,0.557294,0.5578511,0.5578496,0.5572525,0.5560224,0.554122,0.551515,0.548163,0.544029,0.5390758,0.5332665,0.5265637,0.5189302,0.51033306,0.500811,0.49046229,0.479387,0.467684,0.455455,0.4427986,0.4298151,0.4166044,0.4032665,0.3899012,0.3766086,0.36348839,0.3506407,0.338165,0.326162,0.314731,0.303957,0.293796,0.284146,0.274903,0.265963,0.2572219,0.2485763,0.2399222,0.23116,0.222174,0.212871,0.203146,0.192892,0.182008,0.1703882,0.1579299,0.14453,0.13015,0.114809,0.098533,0.081345,0.06327,0.044334,0.02456,0.0039741,-0.0174,-0.039538,-0.062414,-0.086005,-0.11028,-0.13523,-0.16081,-0.18702,-0.21381,-0.24117,-0.26907,-0.29748,-0.32639,-0.35577,-0.38559,-0.41583,-0.44646,-0.47747,-0.50881,-0.54048,-0.57244,-0.60468,-0.63716,-0.66986,-0.70276,-0.73583,-0.76905,-0.80239,-0.83583,-0.86935,-0.90291,-0.9365
1,MT-ND1,0,0,55.898,2.1067e-11,1.4279e-07,0.498466,0.490202,0.4819966,0.473908,0.465996,0.458318,0.450933,0.4439,0.437276,0.431122,0.425495,0.420454,0.416057,0.412364,0.409433,0.4073216,0.4060895,0.405795,0.4064966,0.408253,0.411123,0.415165,0.420437,0.4269987,0.43490804,0.4442238,0.4550045,0.46730265,0.481069,0.49616984,0.512469,0.529831,0.5481189,0.5671971,0.5869294,0.6071796,0.62781182,0.6486898,0.6696775,0.69063881,0.7114376,0.731938,0.752004,0.771498,0.790298,0.808368,0.825722,0.842368,0.85832,0.8735873,0.8881823,0.902116,0.9154,0.928044,0.940061,0.951462,0.962257,0.972459,0.9820781,0.9911259,0.99961,1.007554,1.01496,1.021846,1.028225,1.03411,1.039519,1.04446,1.0489507,1.053,1.05663,1.059846,1.062666,1.0651,1.06717,1.06888,1.07025,1.07129,1.07201,1.07244,1.07257,1.07243,1.07204,1.07139,1.07051,1.06942,1.06812,1.06662,1.06495,1.06312,1.06113,1.05901,1.05676,1.05441,1.05195,1.04942,1.04682,1.04416,1.04146,1.03874,1.036
2,TSC22D3,1,0,31.612,2.2957e-06,0.015532,-0.1124807,-0.11146706,-0.1104468,-0.109413,-0.10836,-0.10728,-0.106167,-0.105014,-0.103814,-0.102562,-0.10125,-0.099871,-0.09842,-0.096889,-0.095271,-0.0935609,-0.0917512,-0.0898352,-0.0878065,-0.085658,-0.083384,-0.080977,-0.078431,-0.0757387,-0.07289387,-0.0698898,-0.0667199,-0.06337674,-0.059841,-0.05608224,-0.052071,-0.047778,-0.0431715,-0.0382229,-0.0329018,-0.0271781,-0.02102183,-0.0144031,-0.0072917,0.00034211,0.0085285,0.017297,0.026679,0.036703,0.047393,0.058718,0.070621,0.083046,0.095936,0.1092328,0.1228808,0.1368226,0.151,0.16536,0.179842,0.194391,0.208948,0.223459,0.2378643,0.2521087,0.26614,0.27992,0.293465,0.306777,0.319863,0.33273,0.345378,0.35782,0.3700612,0.38211,0.39396,0.405631,0.417124,0.42845,0.4396,0.4506,0.46144,0.47214,0.4827,0.49312,0.50341,0.51358,0.52363,0.53358,0.54342,0.55316,0.56281,0.57237,0.58186,0.59127,0.60061,0.60989,0.61912,0.6283,0.63743,0.64653,0.6556,0.66464,0.67367,0.68268,0.69169
3,EIF1,0,0,38.77,7.7732e-08,0.00052609,-0.1664942,-0.16545875,-0.1643895,-0.163253,-0.162015,-0.160642,-0.1591,-0.157356,-0.155376,-0.153125,-0.150571,-0.147679,-0.144416,-0.140749,-0.136642,-0.1320629,-0.1269776,-0.1213524,-0.1151534,-0.108347,-0.100899,-0.092777,-0.083945,-0.0743714,-0.06402139,-0.0528614,-0.0408577,-0.02798126,-0.014282,0.00012356,0.015119,0.030585,0.0464062,0.0624634,0.0786393,0.0948164,0.11087706,0.1267036,0.1421784,0.15718395,0.1716025,0.185316,0.198208,0.21016,0.221071,0.23097,0.239949,0.248102,0.255521,0.2622992,0.2685288,0.2743029,0.27971,0.284856,0.28982,0.2947,0.299588,0.304577,0.3097608,0.315231,0.32108,0.327347,0.334028,0.34111,0.348584,0.35644,0.364662,0.37325,0.3821779,0.39145,0.401047,0.410963,0.421185,0.4317,0.44251,0.45359,0.46493,0.47653,0.48836,0.50044,0.51273,0.52524,0.53794,0.55084,0.56392,0.57716,0.59057,0.60412,0.61781,0.63163,0.64556,0.6596,0.67373,0.68795,0.70224,0.7166,0.73101,0.74546,0.75994,0.77445,0.78896
4,MT-ND2,0,0,43.388,8.5965e-09,5.8207e-05,0.2561104,0.26422668,0.2723562,0.280512,0.288707,0.296955,0.305269,0.313662,0.322148,0.330738,0.339448,0.348289,0.357275,0.366419,0.375734,0.385234,0.3949315,0.4048399,0.4149723,0.425342,0.435962,0.446845,0.458006,0.4694557,0.48120888,0.4932783,0.5056772,0.51841652,0.531471,0.54478621,0.558306,0.571974,0.5857348,0.5995326,0.6133115,0.6270155,0.64058877,0.6539755,0.6671197,0.67996567,0.6924574,0.704539,0.716155,0.727249,0.737773,0.747743,0.757206,0.766209,0.774798,0.7830193,0.7909206,0.7985485,0.80595,0.813171,0.820259,0.827261,0.834223,0.841192,0.8482148,0.8553385,0.86261,0.870048,0.877652,0.885417,0.89334,0.90142,0.90964,0.91801,0.9265166,0.93516,0.943937,0.95284,0.961867,0.97101,0.98027,0.98964,0.99912,1.0087,1.01837,1.02814,1.038,1.04794,1.05797,1.06807,1.07824,1.08848,1.09878,1.10915,1.11957,1.13004,1.14055,1.15111,1.16171,1.17234,1.183,1.19369,1.20439,1.21512,1.22585,1.2366,1.24735
5,HLA-DRB1,0,0,47.47,1.2169e-09,8.2406e-06,-0.2086034,-0.20439867,-0.2001719,-0.195901,-0.191564,-0.18714,-0.182605,-0.177938,-0.173118,-0.168121,-0.162927,-0.157512,-0.151856,-0.145935,-0.139729,-0.133215,-0.1263708,-0.1191748,-0.1116048,-0.103639,-0.095255,-0.086432,-0.077146,-0.0673766,-0.05710136,-0.0462982,-0.0349452,-0.02302272,-0.010552,0.00241105,0.015811,0.029591,0.0436955,0.0580678,0.0726517,0.0873911,0.10222964,0.1171112,0.1319794,0.14677819,0.1614512,0.175942,0.190195,0.204154,0.217767,0.231033,0.24397,0.256598,0.268936,0.2810045,0.2928225,0.3044096,0.31579,0.32697,0.337982,0.348841,0.359568,0.370181,0.3807001,0.391145,0.40153,0.41188,0.422183,0.432443,0.442663,0.45284,0.462986,0.47309,0.4831582,0.49319,0.50319,0.513156,0.52309,0.53299,0.54287,0.55271,0.56253,0.57232,0.58209,0.59183,0.60154,0.61124,0.62092,0.63057,0.64021,0.64983,0.65943,0.66902,0.67859,0.68815,0.6977,0.70724,0.71676,0.72628,0.73579,0.7453,0.75479,0.76429,0.77378,0.78327,0.79275
6,RPL36AL,0,0,34.268,6.5674e-07,0.0044441,-0.3328962,-0.32079508,-0.3086814,-0.296543,-0.284366,-0.272139,-0.259849,-0.247484,-0.235031,-0.222477,-0.20981,-0.197017,-0.184086,-0.171004,-0.157759,-0.1443374,-0.1307272,-0.1169159,-0.1028907,-0.088639,-0.074149,-0.059407,-0.044401,-0.0291183,-0.0135464,0.0023273,0.0185154,0.03502658,0.051806,0.06874626,0.085738,0.102672,0.1194403,0.1359324,0.1520397,0.1676531,0.18266354,0.1969619,0.210439,0.22298585,0.2344933,0.244852,0.253953,0.261688,0.267966,0.272853,0.276489,0.279015,0.280572,0.2812997,0.2813397,0.2808325,0.27992,0.27874,0.277435,0.276147,0.275014,0.274179,0.2737823,0.2739639,0.27486,0.27654,0.278981,0.282167,0.286077,0.29069,0.295994,0.30196,0.3085738,0.31581,0.323661,0.332095,0.341098,0.35065,0.36073,0.37132,0.3824,0.39395,0.40594,0.41837,0.43122,0.44445,0.45805,0.47201,0.4863,0.50091,0.5158,0.53098,0.5464,0.56206,0.57794,0.59401,0.61026,0.62667,0.64321,0.65987,0.67663,0.69347,0.71036,0.7273,0.74425
7,VIM,0,0,50.255,3.1946e-10,2.164e-06,-0.1833619,-0.17233345,-0.1613161,-0.150321,-0.13936,-0.128443,-0.117582,-0.106788,-0.096072,-0.085446,-0.07492,-0.064505,-0.054214,-0.044057,-0.034044,-0.0241885,-0.0145002,-0.0049905,0.0043293,0.013448,0.022355,0.031038,0.039487,0.0476899,0.05563608,0.0633143,0.0707132,0.07782408,0.084675,0.09132309,0.097829,0.104251,0.1106483,0.1170806,0.1236069,0.1302862,0.13717794,0.1443412,0.1518351,0.15971898,0.1680519,0.176893,0.186302,0.196337,0.20705,0.218426,0.230415,0.242971,0.256045,0.2695898,0.2835574,0.2978998,0.31257,0.327517,0.342697,0.35806,0.373558,0.389143,0.4047681,0.4203847,0.43595,0.451428,0.466832,0.48216,0.497413,0.51259,0.527705,0.54275,0.557724,0.57264,0.587486,0.602276,0.617007,0.63168,0.6463,0.66087,0.67539,0.68986,0.70429,0.71867,0.73301,0.7473,0.76156,0.77579,0.78998,0.80413,0.81826,0.83236,0.84643,0.86048,0.87451,0.88852,0.90251,0.91648,0.93044,0.94438,0.95832,0.97225,0.98617,1.00009,1.01401
8,FTH1,0,0,54.916,3.3833e-11,2.2925e-07,-0.1720257,-0.171173,-0.1702746,-0.169285,-0.168158,-0.166848,-0.16531,-0.163498,-0.161365,-0.158868,-0.155958,-0.152592,-0.148723,-0.144306,-0.139294,-0.1336433,-0.1273065,-0.1202386,-0.1123937,-0.103726,-0.094191,-0.083741,-0.072331,-0.0599163,-0.04645032,-0.0318875,-0.0161822,0.00070433,0.018693,0.03760594,0.057264,0.077488,0.0980977,0.118913,0.1397543,0.1604419,0.18079589,0.2006366,0.2197841,0.23805869,0.2552806,0.27127,0.285847,0.298832,0.310072,0.31963,0.327672,0.334367,0.33988,0.3443811,0.3480362,0.3510131,0.35348,0.355602,0.357549,0.359488,0.361586,0.364011,0.3669293,0.3705094,0.37492,0.380222,0.386411,0.393461,0.401348,0.41005,0.419544,0.42981,0.4408192,0.45255,0.464992,0.478108,0.491881,0.50629,0.5213,0.53691,0.55308,0.5698,0.58704,0.60477,0.62298,0.64164,0.66073,0.68023,0.70012,0.72036,0.74095,0.76185,0.78305,0.80452,0.82624,0.84818,0.87033,0.89266,0.91515,0.93777,0.96051,0.98334,1.00623,1.02917,1.05214
9,CD74,0,1,55.27,2.8525e-11,1.9331e-07,-0.2676053,-0.25841302,-0.2492148,-0.240005,-0.230776,-0.221524,-0.212242,-0.202924,-0.193563,-0.184155,-0.174693,-0.165171,-0.155583,-0.145922,-0.136184,-0.1263622,-0.1164501,-0.106442,-0.0963319,-0.086114,-0.075782,-0.06533,-0.054752,-0.0440419,-0.03319394,-0.022202,-0.0110602,0.00023682,0.011679,0.02324533,0.034913,0.04666,0.0584637,0.0703027,0.0821544,0.0939967,0.10580739,0.1175643,0.1292453,0.14082824,0.1522908,0.163611,0.174766,0.185735,0.196499,0.207075,0.217495,0.227794,0.238004,0.2481584,0.2582904,0.2684333,0.27862,0.288884,0.299259,0.309777,0.320473,0.331378,0.3425261,0.3539509,0.36568,0.37774,0.390111,0.402789,0.415765,0.42903,0.442583,0.45641,0.4704982,0.48485,0.499448,0.51429,0.529366,0.54467,0.56019,0.57592,0.59185,0.60798,0.62429,0.64078,0.65744,0.67426,0.69124,0.70836,0.72561,0.743,0.76051,0.77813,0.79585,0.81368,0.83159,0.84958,0.86765,0.88578,0.90396,0.9222,0.94047,0.95878,0.97711,0.99546,1.01381
