,Gene,isTF,isCDMarker,StatisticsValue,P-value,Adj P-value,Group5_PT_0,Group5_PT_0.01,Group5_PT_0.02,Group5_PT_0.03,Group5_PT_0.04,Group5_PT_0.05,Group5_PT_0.06,Group5_PT_0.07,Group5_PT_0.08,Group5_PT_0.09,Group5_PT_0.1,Group5_PT_0.11,Group5_PT_0.12,Group5_PT_0.13,Group5_PT_0.14,Group5_PT_0.15,Group5_PT_0.16,Group5_PT_0.17,Group5_PT_0.18,Group5_PT_0.19,Group5_PT_0.2,Group5_PT_0.21,Group5_PT_0.22,Group5_PT_0.23,Group5_PT_0.24,Group5_PT_0.25,Group5_PT_0.26,Group5_PT_0.27,Group5_PT_0.28,Group5_PT_0.29,Group5_PT_0.3,Group5_PT_0.31,Group5_PT_0.32,Group5_PT_0.33,Group5_PT_0.34,Group5_PT_0.35,Group5_PT_0.36,Group5_PT_0.37,Group5_PT_0.38,Group5_PT_0.39,Group5_PT_0.4,Group5_PT_0.41,Group5_PT_0.42,Group5_PT_0.43,Group5_PT_0.44,Group5_PT_0.45,Group5_PT_0.46,Group5_PT_0.47,Group5_PT_0.48,Group5_PT_0.49,Group5_PT_0.5,Group5_PT_0.51,Group5_PT_0.52,Group5_PT_0.53,Group5_PT_0.54,Group5_PT_0.55,Group5_PT_0.56,Group5_PT_0.57,Group5_PT_0.58,Group5_PT_0.59,Group5_PT_0.6,Group5_PT_0.61,Group5_PT_0.62,Group5_PT_0.63,Group5_PT_0.64,Group5_PT_0.65,Group5_PT_0.66,Group5_PT_0.67,Group5_PT_0.68,Group5_PT_0.69,Group5_PT_0.7,Group5_PT_0.71,Group5_PT_0.72,Group5_PT_0.73,Group5_PT_0.74,Group5_PT_0.75,Group5_PT_0.76,Group5_PT_0.77,Group5_PT_0.78,Group5_PT_0.79,Group5_PT_0.8,Group5_PT_0.81,Group5_PT_0.82,Group5_PT_0.83,Group5_PT_0.84,Group5_PT_0.85,Group5_PT_0.86,Group5_PT_0.87,Group5_PT_0.88,Group5_PT_0.89,Group5_PT_0.9,Group5_PT_0.91,Group5_PT_0.92,Group5_PT_0.93,Group5_PT_0.94,Group5_PT_0.95,Group5_PT_0.96,Group5_PT_0.97,Group5_PT_0.98,Group5_PT_0.99,Group5_PT_1
0,CNRIP1,0,0,46.075,2.376e-09,1.6107e-05,-1.105735,-0.9565078,-0.807616,-0.659396,-0.512182,-0.366311,-0.222118,-0.079939,0.0598915,0.197037,0.331162,0.461931,0.589008,0.712058,0.830745,0.944734,1.053689,1.157274,1.255153,1.346992,1.432455,1.51120515,1.582908,1.647227,1.703828,1.752374,1.79253,1.82396,1.846329,1.859465,1.864032,1.860959,1.851173,1.835603,1.815176,1.790822,1.763469,1.7340445,1.703477,1.672695,1.642627,1.614201,1.58834,1.56599,1.54806,1.53548,1.52912,1.52907,1.53493,1.54633,1.562863,1.584144,1.609779,1.63938,1.67254,1.70889,1.74802,1.78955,1.83308,1.87823,1.92459,1.97178,2.0194,2.06707,2.11439,2.16098,2.20643,2.25035,2.29236,2.332064,2.36907,2.40298,2.43341,2.45997,2.4824,2.5008,2.51534,2.52616,2.53343,2.53729,2.5379,2.5354,2.52999,2.5218,2.5109,2.4976,2.482,2.4642,2.4444,2.4227,2.3993,2.3744,2.3481,2.3205,2.2919,2.2623,2.232,2.201,2.1696,2.1378,2.1059
1,ZFP36L1,1,0,33.817,8.1248e-07,0.0055062,0.073281,0.0745404,0.075792,0.077026,0.078236,0.079413,0.080549,0.081635,0.0826635,0.083626,0.084514,0.085319,0.086034,0.086649,0.087157,0.087549,0.087818,0.087955,0.087951,0.087798,0.087489,0.08701408,0.086366,0.085536,0.084517,0.083299,0.081875,0.080236,0.078374,0.07631,0.074216,0.07231,0.070811,0.069937,0.069908,0.070942,0.073257,0.0770724,0.082607,0.090079,0.099708,0.111712,0.12631,0.14372,0.16416,0.18785,0.21499,0.2455,0.27916,0.31573,0.354969,0.39665,0.440535,0.48639,0.53398,0.58308,0.63343,0.68482,0.73701,0.78976,0.84283,0.896,0.94902,1.00167,1.0537,1.10489,1.15499,1.20378,1.25102,1.296468,1.3399,1.38107,1.41976,1.45571,1.4888,1.51909,1.54669,1.57171,1.59426,1.61444,1.6324,1.6481,1.66185,1.6736,1.6836,1.6918,1.6984,1.7036,1.7073,1.7097,1.711,1.7111,1.7103,1.7087,1.7062,1.7032,1.6996,1.6956,1.6912,1.6866,1.682
2,MT-CO3,0,0,33.078,1.1515e-06,0.0078026,0.180644,0.1789751,0.177401,0.176014,0.17491,0.174181,0.173923,0.174229,0.1751934,0.17691,0.179472,0.182975,0.187512,0.193178,0.200066,0.20827,0.217885,0.229004,0.241721,0.256131,0.272327,0.29040424,0.310456,0.332576,0.356858,0.383398,0.412288,0.443622,0.477496,0.51395,0.552761,0.593621,0.636224,0.680261,0.725426,0.77141,0.817906,0.8646063,0.911204,0.957391,1.00286,1.047304,1.09041,1.13188,1.17141,1.20867,1.2434,1.27554,1.30519,1.33247,1.357468,1.380305,1.40108,1.4199,1.43687,1.45209,1.46568,1.47773,1.48836,1.49767,1.50575,1.51273,1.51871,1.52378,1.52806,1.53165,1.53467,1.5372,1.53937,1.541264,1.543,1.54469,1.54643,1.54832,1.55045,1.55282,1.55541,1.55821,1.56123,1.56445,1.5679,1.5714,1.5752,1.5791,1.5832,1.5874,1.5918,1.5963,1.6009,1.6056,1.6104,1.6153,1.6203,1.6253,1.6304,1.6356,1.6408,1.6461,1.6514,1.6567,1.662
3,NFIA,1,0,31.065,2.9693e-06,0.020117,-0.148222,-0.1589594,-0.169628,-0.18016,-0.190484,-0.200533,-0.210238,-0.219529,-0.228338,-0.236596,-0.244234,-0.251183,-0.257375,-0.262739,-0.267209,-0.270714,-0.273185,-0.274555,-0.274753,-0.273712,-0.271362,-0.26763391,-0.262459,-0.255769,-0.247495,-0.237568,-0.225918,-0.212477,-0.197177,-0.179992,-0.161128,-0.14086,-0.119466,-0.09722,-0.0744,-0.051283,-0.028143,-0.0052585,0.017095,0.038641,0.059103,0.078205,0.09567,0.11122,0.12458,0.13548,0.14367,0.14923,0.15245,0.15364,0.153097,0.151108,0.147974,0.14399,0.13946,0.13466,0.12992,0.1255,0.12173,0.11888,0.11726,0.11717,0.1189,0.12274,0.129,0.13797,0.14995,0.16523,0.18411,0.206896,0.23387,0.26534,0.30159,0.34293,0.38952,0.44122,0.49782,0.55914,0.62497,0.69513,0.7694,0.8476,0.92954,1.015,1.1038,1.1958,1.2907,1.3883,1.4885,1.591,1.6957,1.8024,1.9109,2.0209,2.1323,2.2448,2.3584,2.4727,2.5876,2.7029,2.8184
4,S100A6,0,0,34.52,5.8277e-07,0.00395,0.120663,0.1298466,0.139073,0.148387,0.157831,0.167449,0.177284,0.187379,0.1977781,0.208525,0.219662,0.231234,0.243283,0.255854,0.268988,0.282731,0.297125,0.312214,0.328041,0.34465,0.362084,0.38038569,0.3996,0.419769,0.440937,0.463147,0.486443,0.510867,0.536465,0.563241,0.591022,0.619571,0.648656,0.678041,0.707493,0.736776,0.765657,0.793902,0.821276,0.847544,0.872473,0.895828,0.91737,0.93688,0.95411,0.96882,0.98082,0.99018,0.99717,1.00206,1.005123,1.006618,1.006817,1.00599,1.0044,1.00232,1.00002,0.99777,0.99583,0.99447,0.99397,0.99458,0.99659,1.00025,1.00583,1.01361,1.02385,1.03682,1.05279,1.072028,1.0948,1.12138,1.15202,1.18701,1.2265,1.27035,1.31841,1.3705,1.42646,1.48612,1.5493,1.6159,1.6856,1.7584,1.834,1.9123,1.9931,2.0763,2.1617,2.2491,2.3383,2.4293,2.5217,2.6155,2.7104,2.8064,2.9032,3.0007,3.0987,3.197,3.2955
5,REXO2,0,0,48.819,6.3687e-10,4.3186e-06,0.025069,0.0056887,-0.01357,-0.032587,-0.051241,-0.069412,-0.086977,-0.103816,-0.1198091,-0.134834,-0.14877,-0.161496,-0.172892,-0.182835,-0.191206,-0.197884,-0.202747,-0.205674,-0.206544,-0.205237,-0.201632,-0.19560637,-0.187041,-0.175813,-0.161804,-0.144891,-0.124953,-0.10187,-0.075521,-0.045867,-0.01329,0.021695,0.058574,0.096832,0.135953,0.175423,0.214727,0.2533513,0.29078,0.326498,0.359991,0.390744,0.41824,0.44197,0.46142,0.47606,0.48545,0.48971,0.48937,0.48495,0.476952,0.465908,0.452334,0.43675,0.41967,0.40162,0.38312,0.36468,0.34683,0.33008,0.31496,0.30197,0.29165,0.28451,0.28107,0.28184,0.28735,0.29812,0.31467,0.337508,0.36716,0.40415,0.44899,0.5022,0.56408,0.63439,0.71281,0.799,0.89266,0.99345,1.101,1.2151,1.33537,1.4614,1.593,1.7298,1.8715,2.0176,2.168,2.3223,2.4802,2.6413,2.8053,2.9719,3.1408,3.3116,3.484,3.6578,3.8325,4.0078,4.1835
6,BLVRB,0,0,48.558,7.2182e-10,4.8939e-06,-0.281331,-0.2663445,-0.251379,-0.236458,-0.2216,-0.20683,-0.192167,-0.177634,-0.1632513,-0.149042,-0.135027,-0.121227,-0.107665,-0.094362,-0.08134,-0.06862,-0.056224,-0.044173,-0.032489,-0.021194,-0.010308,0.00014499,0.010145,0.01967,0.028699,0.03721,0.045181,0.052591,0.059417,0.065658,0.071401,0.076763,0.081861,0.086815,0.09174,0.096754,0.101975,0.1075204,0.113507,0.120053,0.127276,0.135293,0.14422,0.15418,0.16528,0.17765,0.19139,0.2066,0.22334,0.24168,0.261674,0.283398,0.306915,0.33229,0.35959,0.38889,0.42024,0.45371,0.48937,0.52729,0.56753,0.61015,0.65523,0.70283,0.75301,0.80584,0.86139,0.91973,0.98091,1.045,1.11207,1.1822,1.25543,1.33184,1.41145,1.49415,1.57983,1.66837,1.75964,1.85353,1.9499,2.0487,2.14974,2.2529,2.3581,2.4652,2.5741,2.6847,2.7968,2.9103,3.0252,3.1412,3.2583,3.3764,3.4953,3.6149,3.7351,3.8558,3.9768,4.0981,4.2195
7,HBB,0,0,127.907,1.0913e-26,7.4011e-23,0.30349,0.2628318,0.222356,0.182245,0.142682,0.103848,0.065925,0.029097,-0.0064545,-0.040547,-0.072998,-0.103626,-0.132247,-0.15868,-0.182742,-0.204251,-0.223024,-0.23888,-0.251635,-0.261107,-0.267114,-0.26947429,-0.268004,-0.262522,-0.252846,-0.238792,-0.220179,-0.196825,-0.168546,-0.135311,-0.097847,-0.057126,-0.014116,0.030211,0.074888,0.118943,0.161406,0.2013083,0.237679,0.269549,0.295947,0.315905,0.32845,0.33262,0.32743,0.31193,0.28526,0.24811,0.20204,0.14868,0.089614,0.026453,-0.039199,-0.10574,-0.17157,-0.23507,-0.29466,-0.34871,-0.39564,-0.43384,-0.4617,-0.47762,-0.47999,-0.46722,-0.4377,-0.38982,-0.32198,-0.23258,-0.12002,0.017312,0.18102,0.3727,0.59396,0.8464,1.1309,1.44654,1.79211,2.16643,2.5683,2.9965,3.4499,3.9272,4.42724,4.9489,5.4908,6.052,6.6311,7.2269,7.8384,8.4642,9.1032,9.7541,10.4159,11.0872,11.7669,12.4538,13.1466,13.8443,14.5456,15.2492,15.9541
