,Gene,StatisticsValue,P-value,Adj P-value,Group10_PT_1,Group10_PT_0.99,Group10_PT_0.98,Group10_PT_0.97,Group10_PT_0.96,Group10_PT_0.95,Group10_PT_0.94,Group10_PT_0.93,Group10_PT_0.92,Group10_PT_0.91,Group10_PT_0.9,Group10_PT_0.89,Group10_PT_0.88,Group10_PT_0.87,Group10_PT_0.86,Group10_PT_0.85,Group10_PT_0.84,Group10_PT_0.83,Group10_PT_0.82,Group10_PT_0.81,Group10_PT_0.8,Group10_PT_0.79,Group10_PT_0.78,Group10_PT_0.77,Group10_PT_0.76,Group10_PT_0.75,Group10_PT_0.74,Group10_PT_0.73,Group10_PT_0.72,Group10_PT_0.71,Group10_PT_0.7,Group10_PT_0.69,Group10_PT_0.68,Group10_PT_0.67,Group10_PT_0.66,Group10_PT_0.65,Group10_PT_0.64,Group10_PT_0.63,Group10_PT_0.62,Group10_PT_0.61,Group10_PT_0.6,Group10_PT_0.59,Group10_PT_0.58,Group10_PT_0.57,Group10_PT_0.56,Group10_PT_0.55,Group10_PT_0.54,Group10_PT_0.53,Group10_PT_0.52,Group10_PT_0.51,Group10_PT_0.5,Group10_PT_0.49,Group10_PT_0.48,Group10_PT_0.47,Group10_PT_0.46,Group10_PT_0.45,Group10_PT_0.44,Group10_PT_0.43,Group10_PT_0.42,Group10_PT_0.41,Group10_PT_0.4,Group10_PT_0.39,Group10_PT_0.38,Group10_PT_0.37,Group10_PT_0.36,Group10_PT_0.35,Group10_PT_0.34,Group10_PT_0.33,Group10_PT_0.32,Group10_PT_0.31,Group10_PT_0.3,Group10_PT_0.29,Group10_PT_0.28,Group10_PT_0.27,Group10_PT_0.26,Group10_PT_0.25,Group10_PT_0.24,Group10_PT_0.23,Group10_PT_0.22,Group10_PT_0.21,Group10_PT_0.2,Group10_PT_0.19,Group10_PT_0.18,Group10_PT_0.17,Group10_PT_0.16,Group10_PT_0.15,Group10_PT_0.14,Group10_PT_0.13,Group10_PT_0.12,Group10_PT_0.11,Group10_PT_0.1,Group10_PT_0.09,Group10_PT_0.08,Group10_PT_0.07,Group10_PT_0.06,Group10_PT_0.05,Group10_PT_0.04,Group10_PT_0.03,Group10_PT_0.02,Group10_PT_0.01,Group10_PT_0,Group12_PT_0,Group12_PT_0.01,Group12_PT_0.02,Group12_PT_0.03,Group12_PT_0.04,Group12_PT_0.05,Group12_PT_0.06,Group12_PT_0.07,Group12_PT_0.08,Group12_PT_0.09,Group12_PT_0.1,Group12_PT_0.11,Group12_PT_0.12,Group12_PT_0.13,Group12_PT_0.14,Group12_PT_0.15,Group12_PT_0.16,Group12_PT_0.17,Group12_PT_0.18,Group12_PT_0.19,Group12_PT_0.2,Group12_PT_0.21,Group12_PT_0.22,Group12_PT_0.23,Group12_PT_0.24,Group12_PT_0.25,Group12_PT_0.26,Group12_PT_0.27,Group12_PT_0.28,Group12_PT_0.29,Group12_PT_0.3,Group12_PT_0.31,Group12_PT_0.32,Group12_PT_0.33,Group12_PT_0.34,Group12_PT_0.35,Group12_PT_0.36,Group12_PT_0.37,Group12_PT_0.38,Group12_PT_0.39,Group12_PT_0.4,Group12_PT_0.41,Group12_PT_0.42,Group12_PT_0.43,Group12_PT_0.44,Group12_PT_0.45,Group12_PT_0.46,Group12_PT_0.47,Group12_PT_0.48,Group12_PT_0.49,Group12_PT_0.5,Group12_PT_0.51,Group12_PT_0.52,Group12_PT_0.53,Group12_PT_0.54,Group12_PT_0.55,Group12_PT_0.56,Group12_PT_0.57,Group12_PT_0.58,Group12_PT_0.59,Group12_PT_0.6,Group12_PT_0.61,Group12_PT_0.62,Group12_PT_0.63,Group12_PT_0.64,Group12_PT_0.65,Group12_PT_0.66,Group12_PT_0.67,Group12_PT_0.68,Group12_PT_0.69,Group12_PT_0.7,Group12_PT_0.71,Group12_PT_0.72,Group12_PT_0.73,Group12_PT_0.74,Group12_PT_0.75,Group12_PT_0.76,Group12_PT_0.77,Group12_PT_0.78,Group12_PT_0.79,Group12_PT_0.8,Group12_PT_0.81,Group12_PT_0.82,Group12_PT_0.83,Group12_PT_0.84,Group12_PT_0.85,Group12_PT_0.86,Group12_PT_0.87,Group12_PT_0.88,Group12_PT_0.89,Group12_PT_0.9,Group12_PT_0.91,Group12_PT_0.92,Group12_PT_0.93,Group12_PT_0.94,Group12_PT_0.95,Group12_PT_0.96,Group12_PT_0.97,Group12_PT_0.98,Group12_PT_0.99,Group12_PT_1
0,Ly6c2,101.554,4.5923e-21,1.2952e-16,-0.270118,-0.275511,-0.280883,-0.28621,-0.291471,-0.296643,-0.301705,-0.306635,-0.31141,-0.316008,-0.320408,-0.324587,-0.328523,-0.332194,-0.335578,-0.338653,-0.341396,-0.343787,-0.3458018,-0.34741931,-0.3486173,-0.3493737,-0.349666,-0.349473,-0.348772,-0.347541,-0.345759,-0.343402,-0.340448,-0.336877,-0.332665,-0.327791,-0.322232,-0.315968,-0.3090149,-0.3014292,-0.29327,-0.284597,-0.275469,-0.265944,-0.256083,-0.245944,-0.235585,-0.225068,-0.214449,-0.203789,-0.193146,-0.18258,-0.17215,-0.161914,-0.1519318,-0.1422627,-0.1329655,-0.1240993,-0.11572327,-0.1078964,-0.100673,-0.094055,-0.088016,-0.08253,-0.077568,-0.073104,-0.0691105,-0.06556,-0.062426,-0.05968,-0.057297,-0.055247,-0.053506,-0.052044,-0.0508351,-0.0498522,-0.0490678,-0.0484549,-0.0479862,-0.0476345,-0.0473737,-0.0471904,-0.0470813,-0.047043,-0.047073,-0.0471667,-0.047322,-0.047535,-0.047803,-0.048123,-0.048491,-0.048905,-0.04936,-0.049854,-0.050383,-0.050944,-0.051535,-0.052151,-0.05279,-0.053449,-0.054123,-0.05481,-0.055507,-0.056211,-0.056917,-0.056917,0.07042,0.19731,0.32331,0.44796,0.570824,0.69145,0.8094,0.92421,1.03544,1.14265,1.24538,1.3432,1.43564,1.52227,1.60264,1.6763,1.7428,1.8017,1.85254,1.89489,1.92829,1.95229,1.96645,1.97033,1.96348,1.94606,1.91902,1.88336,1.84007,1.79016,1.73462,1.67445,1.61066,1.54424,1.4762,1.40753,1.33924,1.27231,1.20776,1.14659,1.08978,1.03835,0.99329,0.9556,0.92628,0.90578,0.89362,0.88923,0.89205,0.9015,0.91703,0.93805,0.964,0.99432,1.02842,1.06576,1.10574,1.14782,1.19141,1.23595,1.28087,1.3256,1.36958,1.41223,1.45298,1.49127,1.52653,1.55821,1.5861,1.61031,1.63096,1.64817,1.66206,1.67275,1.68034,1.68498,1.68676,1.68581,1.68226,1.67621,1.66779,1.65711,1.6443,1.62947,1.61274,1.59424,1.57407,1.55235,1.52922,1.50478,1.47915,1.45245,1.42481,1.39633,1.367144,1.3373622,1.307106,1.27649,1.24564,1.21468
1,Ly6c1,34.187,6.8212e-07,0.019232,-0.282505,-0.278286,-0.274077,-0.269887,-0.265724,-0.261597,-0.257516,-0.25349,-0.249529,-0.24564,-0.241834,-0.23812,-0.234506,-0.231002,-0.227618,-0.224361,-0.221242,-0.218269,-0.2154523,-0.21280027,-0.2103222,-0.2080273,-0.205925,-0.204024,-0.202333,-0.200863,-0.199621,-0.198617,-0.197861,-0.197361,-0.197127,-0.197167,-0.197492,-0.198108,-0.1989793,-0.2000227,-0.201151,-0.202278,-0.203317,-0.204181,-0.204784,-0.205039,-0.204859,-0.204158,-0.202849,-0.200846,-0.198062,-0.194411,-0.189805,-0.184158,-0.177384,-0.1693958,-0.160107,-0.1494309,-0.1372809,-0.1235705,-0.108232,-0.091393,-0.073292,-0.054171,-0.034271,-0.013831,0.0069068,0.027702,0.048313,0.068499,0.088021,0.106636,0.124104,0.140184,0.154635,0.1672166,0.1776878,0.1858076,0.1913353,0.19403,0.193665,0.1902156,0.183807,0.174568,0.162626,0.1481119,0.131153,0.111878,0.090415,0.066894,0.041443,0.014191,-0.014734,-0.045203,-0.077088,-0.110259,-0.144588,-0.179946,-0.216205,-0.253236,-0.29091,-0.329099,-0.367674,-0.406506,-0.445467,-0.445467,-0.35166,-0.25813,-0.16516,-0.073045,0.017943,0.10752,0.1954,0.28131,0.36496,0.44606,0.52435,0.59952,0.67131,0.73943,0.8036,0.86353,0.91895,0.96957,1.0151,1.05527,1.08979,1.11839,1.14077,1.15666,1.16578,1.1682,1.16444,1.15505,1.14058,1.12158,1.09862,1.07223,1.04298,1.01142,0.9781,0.94357,0.90839,0.8731,0.83827,0.80444,0.77217,0.742,0.7145,0.69022,0.6697,0.65322,0.6406,0.63158,0.62593,0.62341,0.62379,0.62681,0.63224,0.63985,0.64939,0.66062,0.6733,0.6872,0.70206,0.71767,0.73376,0.75011,0.76648,0.78262,0.79829,0.81326,0.82729,0.84014,0.85172,0.86207,0.87123,0.87923,0.88612,0.89194,0.89672,0.90051,0.90335,0.90527,0.90632,0.90653,0.90594,0.9046,0.90255,0.89982,0.89645,0.89249,0.88797,0.88294,0.87742,0.87147,0.86512,0.85842,0.85139,0.84409,0.83655,0.8288105,0.820912,0.81289,0.8048,0.79666
2,F13a1,94.928,1.1807e-19,3.3301e-15,-0.16562,-0.158302,-0.150974,-0.143623,-0.136239,-0.128811,-0.121327,-0.113776,-0.106148,-0.098431,-0.090615,-0.082687,-0.074638,-0.066455,-0.058129,-0.049647,-0.040998,-0.032173,-0.0231583,-0.01394441,-0.0045198,0.0051266,0.015006,0.025129,0.035508,0.046152,0.057074,0.068284,0.079794,0.091614,0.103755,0.11623,0.129048,0.142219,0.1557032,0.1694049,0.183226,0.197067,0.210831,0.22442,0.237734,0.250676,0.263147,0.275049,0.286283,0.296752,0.306356,0.314998,0.32258,0.329002,0.3341671,0.3379764,0.3403316,0.3411346,0.34028681,0.3376901,0.333266,0.327142,0.319561,0.31077,0.301015,0.290542,0.2795965,0.268425,0.257274,0.246389,0.236016,0.226401,0.217791,0.210431,0.2045666,0.2004449,0.1983116,0.1984127,0.2009943,0.2063024,0.2145687,0.2258226,0.239943,0.256805,0.276285,0.2982569,0.322597,0.34918,0.377882,0.408579,0.441144,0.475455,0.511385,0.548812,0.587609,0.627652,0.668817,0.710979,0.754014,0.797796,0.842202,0.887106,0.932384,0.977911,1.023563,1.023563,1.05179,1.08007,1.10845,1.136959,1.165662,1.1946,1.22382,1.25337,1.2833,1.31366,1.34448,1.37582,1.40773,1.44025,1.47344,1.50733,1.54197,1.57741,1.61371,1.6509,1.68903,1.72815,1.76831,1.80956,1.85193,1.89536,1.93959,1.98437,2.02945,2.07457,2.11948,2.16392,2.20764,2.25038,2.29189,2.33191,2.37018,2.40646,2.44049,2.47201,2.50077,2.52651,2.54897,2.56791,2.58307,2.59436,2.60199,2.60619,2.6072,2.60524,2.60055,2.59336,2.58391,2.57243,2.55914,2.54429,2.5281,2.51081,2.49265,2.47385,2.45466,2.43529,2.41598,2.39696,2.37848,2.36075,2.34402,2.3285,2.31429,2.30135,2.28964,2.27911,2.26973,2.26146,2.25425,2.24806,2.24286,2.23859,2.23523,2.23273,2.23104,2.23014,2.22997,2.2305,2.23168,2.23347,2.23584,2.23874,2.24213,2.24598,2.25023,2.25485,2.25979,2.26503,2.270508,2.276192,2.28204,2.28801,2.29406,2.30016
3,Ly6e,36.754,2.0242e-07,0.0057073,-0.58084,-0.567089,-0.55335,-0.539635,-0.525956,-0.512325,-0.498755,-0.485258,-0.471845,-0.458528,-0.445321,-0.432234,-0.419279,-0.40647,-0.393818,-0.381335,-0.369033,-0.356924,-0.3450207,-0.33333469,-0.3218781,-0.3106631,-0.299702,-0.289006,-0.278588,-0.26846,-0.258634,-0.249121,-0.239935,-0.231087,-0.22259,-0.214454,-0.206693,-0.199317,-0.1922932,-0.1855403,-0.178975,-0.172513,-0.166071,-0.159566,-0.152913,-0.146029,-0.138831,-0.131235,-0.123157,-0.114514,-0.105221,-0.095196,-0.084354,-0.072612,-0.0598864,-0.0460935,-0.0311496,-0.0149711,0.00252574,0.0214245,0.041793,0.063538,0.086475,0.110417,0.135176,0.160566,0.1864015,0.212494,0.238658,0.264706,0.290451,0.315708,0.340288,0.364006,0.3866738,0.4081058,0.428115,0.4465145,0.4631177,0.4777378,0.4901988,0.5004763,0.5086589,0.514838,0.519103,0.5215476,0.522261,0.521335,0.518861,0.514929,0.50963,0.503057,0.495299,0.486449,0.476596,0.465833,0.45425,0.441938,0.428988,0.415492,0.401541,0.387225,0.372636,0.357865,0.343003,0.343003,0.3881,0.43304,0.47764,0.521756,0.565208,0.60784,0.64948,0.68996,0.72913,0.76681,0.80285,0.83708,0.86932,0.89943,0.92722,0.95255,0.97524,0.99513,1.01205,1.02584,1.03633,1.04337,1.04678,1.04639,1.04206,1.03387,1.02221,1.00752,0.99024,0.97078,0.94959,0.92709,0.90372,0.87989,0.85605,0.83262,0.81004,0.78873,0.76913,0.75166,0.73675,0.72484,0.71636,0.71173,0.71139,0.71547,0.72364,0.7355,0.75066,0.76873,0.78931,0.81203,0.83647,0.86226,0.889,0.9163,0.94377,0.97102,0.99764,1.02327,1.04749,1.06992,1.09017,1.10785,1.12256,1.13391,1.14152,1.14499,1.14423,1.13936,1.1305,1.11779,1.10136,1.08135,1.05789,1.03111,1.00115,0.96813,0.93219,0.89346,0.85208,0.80817,0.76188,0.71333,0.66265,0.60999,0.55546,0.49921,0.44137,0.38207,0.32143,0.25961,0.19672,0.1329,0.068289,0.0030118,-0.062797,-0.129,-0.19548,-0.26208
4,Unc93b1,51.597,1.6744e-10,4.7214e-06,0.463942,0.446414,0.428911,0.411458,0.39408,0.376801,0.359648,0.342646,0.325818,0.30919,0.292787,0.276635,0.260758,0.245181,0.229929,0.215027,0.200501,0.186375,0.1726739,0.15942326,0.1466479,0.1343729,0.122623,0.111424,0.1008,0.090776,0.081378,0.07263,0.064558,0.057186,0.050539,0.044643,0.039522,0.035201,0.0316535,0.0288036,0.026571,0.024876,0.023638,0.022778,0.022216,0.02187,0.021662,0.021512,0.021339,0.021064,0.020606,0.019886,0.018823,0.017338,0.0153499,0.0127799,0.0095474,0.0055726,0.00077533,-0.0049243,-0.011591,-0.019135,-0.027378,-0.036139,-0.045238,-0.054496,-0.0637323,-0.072767,-0.08142,-0.08951,-0.09686,-0.103287,-0.108612,-0.112655,-0.1152368,-0.1161761,-0.1152933,-0.1124083,-0.1073412,-0.0999118,-0.0899512,-0.0774466,-0.0625014,-0.045222,-0.025714,-0.0040834,0.019563,0.04512,0.07248,0.101538,0.132188,0.164324,0.197839,0.232627,0.268582,0.305599,0.343571,0.382391,0.421955,0.462155,0.502886,0.544041,0.585514,0.6272,0.668992,0.668992,0.7172,0.76522,0.81286,0.859933,0.906254,0.95163,0.99588,1.03881,1.08023,1.11995,1.15779,1.19356,1.22706,1.25811,1.28653,1.31211,1.33469,1.35405,1.37002,1.38241,1.39104,1.3957,1.39621,1.39239,1.38406,1.37127,1.35443,1.33397,1.31031,1.28389,1.25512,1.22444,1.19227,1.15903,1.12516,1.09108,1.05721,1.02399,0.99183,0.96118,0.93244,0.90605,0.88244,0.86203,0.84524,0.8323,0.82304,0.8173,0.81488,0.8156,0.81928,0.82573,0.83477,0.84622,0.85989,0.8756,0.89316,0.9124,0.93313,0.95515,0.9783,1.00239,1.02723,1.05264,1.07843,1.10443,1.13044,1.1563,1.18191,1.20729,1.23243,1.25736,1.28207,1.30657,1.33087,1.35498,1.37891,1.40266,1.42624,1.44967,1.47293,1.49606,1.51904,1.5419,1.56463,1.58725,1.60975,1.63216,1.65448,1.67672,1.69887,1.72096,1.74299,1.76496,1.78689,1.808779,1.830637,1.85247,1.87429,1.89611
5,Irf8,60.07,2.8047e-12,7.9096e-08,0.204239,0.209434,0.21464,0.219866,0.225125,0.230426,0.23578,0.241198,0.246689,0.252266,0.257938,0.263716,0.26961,0.275631,0.281791,0.288098,0.294565,0.301201,0.3080175,0.31502452,0.3222329,0.3296532,0.337296,0.345172,0.353292,0.361665,0.370304,0.379219,0.388419,0.397916,0.407721,0.417843,0.428294,0.439082,0.4501681,0.4614573,0.472853,0.484258,0.495576,0.50671,0.517563,0.528037,0.538037,0.547464,0.556223,0.564216,0.571346,0.577516,0.58263,0.586591,0.5893006,0.5906632,0.5905816,0.5889587,0.58569767,0.5807016,0.573891,0.565366,0.55533,0.543985,0.531538,0.518192,0.504152,0.489622,0.474805,0.459907,0.445132,0.430685,0.416768,0.403588,0.3913469,0.3802506,0.370503,0.3623085,0.3558712,0.3513955,0.3490744,0.3489393,0.3509019,0.354871,0.360755,0.3684638,0.377905,0.388988,0.401622,0.415714,0.431175,0.447913,0.465836,0.484854,0.504875,0.525808,0.547562,0.570045,0.593167,0.616836,0.640961,0.665451,0.690215,0.715161,0.740198,0.740198,0.78251,0.82474,0.86683,0.908694,0.950263,0.99146,1.03222,1.07245,1.1121,1.15107,1.18931,1.22673,1.26327,1.29884,1.33338,1.3668,1.39904,1.43002,1.45967,1.48792,1.51468,1.53989,1.56347,1.58534,1.60544,1.62375,1.64032,1.65522,1.66852,1.68026,1.69052,1.69935,1.70683,1.71301,1.71796,1.72174,1.7244,1.72603,1.72667,1.72638,1.72525,1.72331,1.72065,1.71731,1.71337,1.70889,1.70396,1.69865,1.69306,1.68727,1.68136,1.67542,1.66952,1.66376,1.65822,1.65298,1.64812,1.64374,1.6399,1.63671,1.63423,1.63256,1.63178,1.63197,1.63322,1.63562,1.63923,1.64415,1.6504,1.65792,1.6667,1.67667,1.6878,1.70004,1.71337,1.72773,1.74308,1.75939,1.77661,1.79469,1.81361,1.83331,1.85376,1.87491,1.89672,1.91915,1.94217,1.96572,1.98977,2.01427,2.03919,2.06448,2.09011,2.11602,2.142178,2.1685461,2.195079,2.22174,2.24848,2.27526
6,Vim,33.622,8.9098e-07,0.025119,0.292586,0.280259,0.267955,0.255698,0.24351,0.231414,0.219435,0.207594,0.195915,0.184421,0.173136,0.162082,0.151283,0.140762,0.130541,0.120645,0.111096,0.101917,0.0931316,0.08476299,0.0768342,0.0693684,0.062389,0.055918,0.04998,0.044598,0.039794,0.035592,0.032015,0.029086,0.026829,0.025266,0.024421,0.024315,0.0249357,0.0262321,0.028151,0.030638,0.03364,0.037105,0.040978,0.045206,0.049737,0.054515,0.059489,0.064605,0.069809,0.075049,0.08027,0.085419,0.0904432,0.0952891,0.0999032,0.1042322,0.10822279,0.1118215,0.11498,0.117697,0.120002,0.121921,0.123482,0.124715,0.125646,0.126304,0.126716,0.12691,0.126915,0.126758,0.126468,0.126071,0.1255969,0.1250727,0.1245265,0.1239863,0.12348,0.1230355,0.1226795,0.1224214,0.1222572,0.122183,0.122194,0.1222876,0.122458,0.122703,0.123017,0.123396,0.123837,0.124334,0.124885,0.125485,0.12613,0.126816,0.127538,0.128294,0.129077,0.129886,0.130714,0.131559,0.132417,0.133282,0.134152,0.134152,0.15451,0.17485,0.19514,0.215353,0.235468,0.25546,0.2753,0.29497,0.31444,0.33369,0.35269,0.37141,0.38984,0.40795,0.42571,0.4431,0.4601,0.47667,0.49279,0.50845,0.52361,0.53825,0.55235,0.56587,0.5788,0.59113,0.60285,0.61399,0.62454,0.63451,0.64392,0.65277,0.66106,0.66881,0.67601,0.68269,0.68885,0.69449,0.69962,0.70426,0.7084,0.71205,0.71523,0.71794,0.72019,0.72202,0.72354,0.72484,0.72605,0.72726,0.72859,0.73014,0.73202,0.73434,0.73721,0.74073,0.74502,0.75018,0.75631,0.76354,0.77196,0.78168,0.79281,0.80546,0.81974,0.83575,0.8536,0.8734,0.89517,0.91884,0.94435,0.97165,1.00066,1.03134,1.06361,1.09743,1.13271,1.16941,1.20746,1.24681,1.28738,1.32912,1.37196,1.41585,1.46073,1.50653,1.55318,1.60064,1.64883,1.6977,1.74718,1.79722,1.84775,1.89871,1.950036,2.0016714,2.053552,2.10562,2.15781,2.21006
7,Psap,40.117,4.0945e-08,0.0011545,-0.008308,-0.014402,-0.020477,-0.026518,-0.032505,-0.038422,-0.04425,-0.049972,-0.055569,-0.061026,-0.066323,-0.071443,-0.076368,-0.081081,-0.085564,-0.089799,-0.093768,-0.097455,-0.10084,-0.10390681,-0.1066373,-0.1090137,-0.111018,-0.112634,-0.113842,-0.114626,-0.114966,-0.114847,-0.11425,-0.113157,-0.111551,-0.109414,-0.106728,-0.103477,-0.0996764,-0.0953779,-0.090635,-0.085502,-0.080032,-0.074278,-0.068294,-0.062135,-0.055852,-0.049501,-0.043134,-0.036806,-0.030569,-0.024477,-0.018585,-0.012945,-0.0076117,-0.0026379,0.0019225,0.0060159,0.00958873,0.0125873,0.014964,0.016737,0.017959,0.018684,0.018968,0.018864,0.0184266,0.017711,0.01677,0.01566,0.014433,0.013146,0.011851,0.010604,0.0094593,0.0084704,0.0076921,0.0071788,0.0069848,0.0071645,0.0077696,0.0088118,0.0102738,0.012137,0.014384,0.0169952,0.019953,0.02324,0.026837,0.030726,0.034888,0.039306,0.043961,0.048835,0.05391,0.059167,0.064589,0.070156,0.075851,0.081656,0.087552,0.093521,0.099544,0.105605,0.111683,0.111683,0.1259,0.14008,0.15418,0.168155,0.181963,0.19556,0.20892,0.22198,0.23471,0.24708,0.25902,0.27052,0.28151,0.29197,0.30186,0.31112,0.31972,0.32761,0.33477,0.34113,0.34667,0.35135,0.35511,0.35792,0.35975,0.36061,0.36065,0.36,0.35879,0.35717,0.35528,0.35324,0.3512,0.34929,0.34766,0.34643,0.34575,0.34575,0.34658,0.34836,0.35124,0.35534,0.36082,0.36781,0.37644,0.38679,0.3988,0.41244,0.42764,0.44434,0.46251,0.48207,0.50298,0.52519,0.54864,0.57327,0.59903,0.62587,0.65374,0.68257,0.71232,0.74293,0.77435,0.80653,0.8394,0.87292,0.90702,0.94167,0.97682,1.01247,1.04858,1.08515,1.12216,1.1596,1.19745,1.23569,1.27431,1.31329,1.35262,1.39227,1.43225,1.47252,1.51308,1.5539,1.59498,1.63629,1.67783,1.71957,1.76149,1.8036,1.84585,1.88825,1.93078,1.97342,2.016149,2.0589596,2.101833,2.14475,2.18771,2.23067
8,Emb,51.64,1.6406e-10,4.6262e-06,0.810519,0.788831,0.7672,0.745684,0.724341,0.703228,0.682402,0.661921,0.641843,0.622225,0.603124,0.584598,0.566704,0.5495,0.533044,0.517392,0.502603,0.488734,0.4758421,0.46398514,0.4532205,0.4436057,0.435198,0.428056,0.422235,0.417795,0.414791,0.413283,0.413327,0.41498,0.418301,0.423347,0.430175,0.43884,0.4493266,0.4615412,0.475385,0.490761,0.50757,0.525714,0.545095,0.565615,0.587175,0.609678,0.633026,0.657119,0.681861,0.707153,0.732897,0.758994,0.7853465,0.8118566,0.8384259,0.8649563,0.8913496,0.9175077,0.943334,0.968743,0.99366,1.018006,1.041706,1.064682,1.0868583,1.108157,1.128502,1.147817,1.166024,1.183047,1.198809,1.213234,1.2262437,1.2377625,1.2477132,1.2560192,1.2626036,1.2673898,1.2703067,1.2713679,1.2706492,1.268228,1.264182,1.2585878,1.251523,1.243066,1.233293,1.222282,1.21011,1.196855,1.182594,1.167404,1.151363,1.134548,1.117037,1.098906,1.080234,1.061097,1.041574,1.021741,1.001676,0.981456,0.961158,0.961158,1.01112,1.06095,1.11051,1.159652,1.208252,1.25617,1.30327,1.34941,1.39446,1.43828,1.48073,1.52168,1.561,1.59854,1.63416,1.66774,1.69913,1.72821,1.75482,1.77884,1.80013,1.81855,1.83397,1.84624,1.85525,1.86102,1.86383,1.86397,1.86173,1.8574,1.85127,1.84363,1.83477,1.82498,1.81455,1.80377,1.79293,1.78231,1.77221,1.76292,1.75473,1.74793,1.7428,1.73964,1.73874,1.74025,1.74411,1.75023,1.75854,1.76894,1.78135,1.79568,1.81185,1.82977,1.84936,1.87053,1.89319,1.91726,1.94266,1.96929,1.99708,2.02593,2.05576,2.08649,2.11803,2.1503,2.1832,2.21666,2.25062,2.28507,2.32,2.35539,2.39121,2.42747,2.46413,2.50119,2.53863,2.57643,2.61458,2.65306,2.69186,2.73096,2.77034,2.80999,2.84989,2.89003,2.93039,2.97095,3.01171,3.05264,3.09372,3.13495,3.17631,3.21777,3.259331,3.3009707,3.342673,3.38442,3.4262,3.468
9,Ly86,101.746,4.1782e-21,1.1785e-16,-0.066441,-0.063793,-0.061131,-0.058442,-0.055711,-0.052925,-0.050071,-0.047133,-0.044099,-0.040955,-0.037686,-0.03428,-0.030722,-0.026999,-0.023096,-0.019,-0.014698,-0.010175,-0.0054175,-0.00041195,0.0048556,0.0103988,0.016232,0.022368,0.028821,0.035605,0.042734,0.050221,0.05808,0.066326,0.074971,0.08403,0.093516,0.103442,0.1137619,0.1243702,0.135156,0.14601,0.156822,0.167481,0.177877,0.1879,0.197441,0.206388,0.214632,0.222063,0.22857,0.234043,0.238372,0.241448,0.2431595,0.2433967,0.2420495,0.2390078,0.2341614,0.2274002,0.218636,0.207997,0.195741,0.182125,0.167406,0.151842,0.1356902,0.119208,0.102653,0.086283,0.070355,0.055127,0.040856,0.0278,0.0162164,0.0063624,-0.0015043,-0.0071262,-0.0102458,-0.0106057,-0.0079631,-0.0022851,0.0063054,0.017682,0.031717,0.0482851,0.067259,0.088512,0.111918,0.13735,0.164681,0.193786,0.224536,0.256806,0.290468,0.325397,0.361466,0.398548,0.436516,0.475244,0.514605,0.554472,0.59472,0.63522,0.675848,0.675848,0.72609,0.77616,0.82586,0.875009,0.923435,0.97095,1.01737,1.06252,1.10622,1.14827,1.18851,1.22674,1.26279,1.29647,1.3276,1.35601,1.3815,1.4039,1.42302,1.43868,1.45071,1.45891,1.46311,1.46312,1.45877,1.45014,1.43769,1.42189,1.4032,1.3821,1.35906,1.33456,1.30905,1.28302,1.25694,1.23127,1.20649,1.18308,1.16149,1.14221,1.12571,1.11245,1.10291,1.09756,1.09686,1.10104,1.10988,1.1231,1.14045,1.16165,1.18645,1.21458,1.24577,1.27977,1.3163,1.3551,1.39591,1.43846,1.4825,1.52774,1.57394,1.62081,1.66811,1.71557,1.76291,1.80989,1.85622,1.90166,1.9461,1.98956,2.03208,2.07369,2.11441,2.15429,2.19335,2.23162,2.26913,2.30593,2.34203,2.37747,2.41228,2.44649,2.48014,2.51325,2.54586,2.57799,2.60969,2.64098,2.67189,2.70245,2.7327,2.76267,2.79238,2.82187,2.851179,2.8803267,2.909349,2.93828,2.96714,2.99597
