,Gene,isTF,isCDMarker,StatisticsValue,P-value,Adj P-value,Group11_PT_0,Group11_PT_0.01,Group11_PT_0.02,Group11_PT_0.03,Group11_PT_0.04,Group11_PT_0.05,Group11_PT_0.06,Group11_PT_0.07,Group11_PT_0.08,Group11_PT_0.09,Group11_PT_0.1,Group11_PT_0.11,Group11_PT_0.12,Group11_PT_0.13,Group11_PT_0.14,Group11_PT_0.15,Group11_PT_0.16,Group11_PT_0.17,Group11_PT_0.18,Group11_PT_0.19,Group11_PT_0.2,Group11_PT_0.21,Group11_PT_0.22,Group11_PT_0.23,Group11_PT_0.24,Group11_PT_0.25,Group11_PT_0.26,Group11_PT_0.27,Group11_PT_0.28,Group11_PT_0.29,Group11_PT_0.3,Group11_PT_0.31,Group11_PT_0.32,Group11_PT_0.33,Group11_PT_0.34,Group11_PT_0.35,Group11_PT_0.36,Group11_PT_0.37,Group11_PT_0.38,Group11_PT_0.39,Group11_PT_0.4,Group11_PT_0.41,Group11_PT_0.42,Group11_PT_0.43,Group11_PT_0.44,Group11_PT_0.45,Group11_PT_0.46,Group11_PT_0.47,Group11_PT_0.48,Group11_PT_0.49,Group11_PT_0.5,Group11_PT_0.51,Group11_PT_0.52,Group11_PT_0.53,Group11_PT_0.54,Group11_PT_0.55,Group11_PT_0.56,Group11_PT_0.57,Group11_PT_0.58,Group11_PT_0.59,Group11_PT_0.6,Group11_PT_0.61,Group11_PT_0.62,Group11_PT_0.63,Group11_PT_0.64,Group11_PT_0.65,Group11_PT_0.66,Group11_PT_0.67,Group11_PT_0.68,Group11_PT_0.69,Group11_PT_0.7,Group11_PT_0.71,Group11_PT_0.72,Group11_PT_0.73,Group11_PT_0.74,Group11_PT_0.75,Group11_PT_0.76,Group11_PT_0.77,Group11_PT_0.78,Group11_PT_0.79,Group11_PT_0.8,Group11_PT_0.81,Group11_PT_0.82,Group11_PT_0.83,Group11_PT_0.84,Group11_PT_0.85,Group11_PT_0.86,Group11_PT_0.87,Group11_PT_0.88,Group11_PT_0.89,Group11_PT_0.9,Group11_PT_0.91,Group11_PT_0.92,Group11_PT_0.93,Group11_PT_0.94,Group11_PT_0.95,Group11_PT_0.96,Group11_PT_0.97,Group11_PT_0.98,Group11_PT_0.99,Group11_PT_1
0,DANCR,0,0,33.433,9.7405e-07,0.0068924,-0.05883036,-0.0623446,-0.06582988,-0.06925711,-0.07259728,-0.07582139,-0.07890041,-0.08180534,-0.08450716,-0.086977,-0.08918538,-0.091104,-0.09270296,-0.09395397,-0.09482776,-0.09529533,-0.09532765,-0.09489572,-0.0939705,-0.0925231,-0.090568,-0.08823099,-0.0856572,-0.082991,-0.08037607,-0.07795763,-0.0758798,-0.074287,-0.0733238,-0.07313337,-0.073794,-0.07527628,-0.07754361,-0.0805578,-0.08428102,-0.08867552,-0.09370348,-0.09932711,-0.1055086,-0.1122102,-0.11939407,-0.12702243,-0.13505748,-0.14346,-0.15219647,-0.16122,-0.17051,-0.1800102,-0.18969,-0.19951535,-0.2094433,-0.21943777,-0.229461,-0.2394751,-0.24944242,-0.2593251,-0.2690853,-0.27868521,-0.28809,-0.29725321,-0.30614566,-0.31472669,-0.3229585,-0.33080329,-0.33822,-0.3452105,-0.3517725,-0.35792264,-0.363673,-0.36903577,-0.374023,-0.3786468,-0.38291928,-0.3868526,-0.39046,-0.39375013,-0.39673857,-0.3994363,-0.40185537,-0.40400796,-0.40590616,-0.4075621,-0.4089879,-0.4101956,-0.4111973,-0.412005,-0.4126316,-0.4130882,-0.413387,-0.4135412,-0.413562,-0.41346,-0.413252,-0.412945,-0.4125538,-0.4120898,-0.41156527,-0.4109923,-0.4103829,-0.4097493,-0.4091036
1,NKTR,0,0,37.938,1.154e-07,0.00082383,0.05120954,0.0502237,0.04924289,0.04827193,0.04731581,0.04637949,0.04546791,0.04458602,0.04373876,0.042931,0.04216795,0.041454,0.04079507,0.04019521,0.03965969,0.03919344,0.03880141,0.03848855,0.0382598,0.0381201,0.03805,0.03796813,0.0377822,0.0374,0.03673101,0.03568202,0.0341616,0.032078,0.0293389,0.02585361,0.02158,0.01655262,0.01081601,0.0044128,-0.00261383,-0.01022085,-0.01836511,-0.0270035,-0.0360929,-0.0455902,-0.05545228,-0.06563604,-0.07609835,-0.086796,-0.09768618,-0.10873,-0.11987,-0.1310793,-0.14231,-0.15351251,-0.16465116,-0.17568033,-0.1865569,-0.1972378,-0.20767988,-0.21784,-0.2276751,-0.23714207,-0.2462,-0.25479901,-0.2629028,-0.27046596,-0.2774454,-0.28379799,-0.28948,-0.29448728,-0.2988311,-0.30253266,-0.3056107,-0.30808422,-0.309972,-0.3112931,-0.31206624,-0.3123104,-0.31204,-0.31128731,-0.31005784,-0.308375,-0.30625753,-0.30372447,-0.30079467,-0.297487,-0.2938204,-0.2898137,-0.2854858,-0.280856,-0.2759422,-0.2707641,-0.265341,-0.2596902,-0.253832,-0.24778,-0.241568,-0.2352,-0.228699,-0.2220851,-0.21537678,-0.2085929,-0.2017523,-0.1948739,-0.1879767
2,TOP1MT,0,0,31.353,2.5933e-06,0.018267,0.1473325,0.1433184,0.13931784,0.13534417,0.13141089,0.12753147,0.12371938,0.11998807,0.11635101,0.11282,0.10941351,0.10614,0.10301459,0.10005076,0.09726197,0.09466168,0.09226335,0.09008046,0.0881265,0.0864148,0.084936,0.08362306,0.082398,0.081184,0.07990376,0.07848015,0.076836,0.074894,0.0725772,0.06980875,0.066549,0.06281581,0.05863435,0.0540285,0.04902245,0.04364042,0.03790659,0.03184517,0.0254804,0.01883634,0.01193734,0.00480754,-0.00252885,-0.010048,-0.01772461,-0.025536,-0.033456,-0.0414627,-0.04953,-0.05763543,-0.06575337,-0.07386012,-0.0819315,-0.0899432,-0.09787113,-0.1056911,-0.1133788,-0.12091011,-0.12826,-0.13540674,-0.14232366,-0.14898737,-0.1553737,-0.16145839,-0.16722,-0.1726462,-0.1777513,-0.18254252,-0.1870292,-0.19122061,-0.1951259,-0.1987543,-0.20211507,-0.20521743,-0.20807,-0.21068382,-0.21306631,-0.2152273,-0.21717604,-0.21892173,-0.22047361,-0.2218409,-0.2230329,-0.2240587,-0.2249276,-0.225649,-0.2262317,-0.2266853,-0.227019,-0.2272419,-0.227363,-0.22739,-0.227338,-0.227211,-0.2270182,-0.2267704,-0.2264765,-0.2261457,-0.2257871,-0.2254101,-0.2250239
3,FNBP4,0,0,30.602,3.6912e-06,0.025923,0.05183597,0.0410102,0.03025761,0.01965156,0.00926527,-0.00082801,-0.01055503,-0.01984253,-0.02861726,-0.036806,-0.04433542,-0.051132,-0.05712347,-0.06223557,-0.0663954,-0.06952969,-0.07156519,-0.07242864,-0.0720468,-0.0703466,-0.067339,-0.06325128,-0.0583472,-0.052889,-0.04714097,-0.04136467,-0.0358235,-0.03078,-0.0264983,-0.02323847,-0.021149,-0.02019345,-0.02032114,-0.0214798,-0.02361754,-0.02668252,-0.03062286,-0.03538669,-0.0409221,-0.04717735,-0.05410044,-0.06163955,-0.06974279,-0.078358,-0.08743425,-0.096919,-0.10676,-0.1169058,-0.1273,-0.13790457,-0.14865368,-0.15950012,-0.170392,-0.1812775,-0.19210466,-0.2028217,-0.2133767,-0.2237178,-0.23379,-0.24355086,-0.25293907,-0.26190591,-0.2703995,-0.278368,-0.28576,-0.29256305,-0.2987888,-0.30445491,-0.3095778,-0.31417407,-0.31826,-0.3218522,-0.32496706,-0.32762103,-0.32983,-0.33161218,-0.33298229,-0.3339574,-0.33455385,-0.33478823,-0.33467695,-0.3342365,-0.3334833,-0.3324338,-0.3311045,-0.329512,-0.3276723,-0.3256023,-0.323318,-0.3208368,-0.318174,-0.31535,-0.312372,-0.309265,-0.3060427,-0.3027217,-0.2993185,-0.2958494,-0.292331,-0.2887796,-0.2852118
4,SLC38A2,0,0,33.57,9.1272e-07,0.0064603,0.00364253,0.0020279,0.00040125,-0.00124922,-0.0029355,-0.0046695,-0.00646317,-0.00832845,-0.01027725,-0.012322,-0.0144732,-0.016744,-0.01914649,-0.02169197,-0.02439258,-0.02726026,-0.03030695,-0.03354456,-0.036985,-0.0406403,-0.04452,-0.04862818,-0.0529675,-0.057541,-0.06235162,-0.06740221,-0.0726957,-0.078235,-0.0840232,-0.09006284,-0.09635,-0.10286898,-0.10960359,-0.1165373,-0.12365376,-0.13093644,-0.13836893,-0.14593481,-0.1536176,-0.16140098,-0.16926841,-0.17720348,-0.18518976,-0.19321,-0.20125023,-0.20929,-0.21732,-0.2253142,-0.23326,-0.24114721,-0.24895156,-0.25665921,-0.2642537,-0.2717187,-0.27903765,-0.2861942,-0.2931718,-0.29995418,-0.30652,-0.31286725,-0.31896509,-0.3248019,-0.3303612,-0.33562665,-0.34058,-0.34522508,-0.3495631,-0.35360507,-0.3573598,-0.36083586,-0.3640421,-0.3669871,-0.36967961,-0.37212838,-0.37434,-0.37632942,-0.3780991,-0.3796598,-0.38102033,-0.38218929,-0.38317542,-0.3839874,-0.384634,-0.3851239,-0.3854658,-0.385668,-0.3857403,-0.3856904,-0.385527,-0.3852598,-0.384896,-0.38445,-0.383917,-0.383319,-0.3826596,-0.381948,-0.38119292,-0.380403,-0.3795869,-0.3787535,-0.3779113
5,RBM26,0,0,32.56,1.4699e-06,0.01038,0.0335939,0.0263715,0.01920006,0.01213047,0.00521366,-0.00149943,-0.00795786,-0.01411073,-0.01990708,-0.025296,-0.03022654,-0.034648,-0.03850882,-0.04175868,-0.04434647,-0.04622123,-0.04733205,-0.047628,-0.0470581,-0.0455717,-0.043182,-0.04006601,-0.0364299,-0.032478,-0.02841507,-0.02444592,-0.0207753,-0.017608,-0.015149,-0.01360148,-0.013079,-0.01354881,-0.01496619,-0.0172856,-0.02046177,-0.02444932,-0.02920294,-0.03467731,-0.0408271,-0.04760701,-0.05497168,-0.0628758,-0.07127405,-0.080121,-0.08937164,-0.09898,-0.1089,-0.1190909,-0.1295,-0.14009013,-0.15080972,-0.16161552,-0.1724622,-0.1833044,-0.19409693,-0.2047943,-0.2153513,-0.22572253,-0.23586,-0.24572649,-0.25526856,-0.2644436,-0.2732063,-0.28151128,-0.28931,-0.29660263,-0.3033882,-0.30968586,-0.3155099,-0.32087477,-0.3257947,-0.33028420000000003,-0.33435742,-0.33802885,-0.34131,-0.34422362,-0.34677568,-0.3489833,-0.35086086,-0.3524227,-0.35368317,-0.3546566,-0.3553574,-0.3557999,-0.3559983,-0.355967,-0.3557208,-0.3552735,-0.35464,-0.3538336,-0.35287,-0.35176,-0.350526,-0.349174,-0.3477224,-0.3461844,-0.34457468,-0.3429075,-0.3411974,-0.3394585,-0.3377052
6,TRIM56,0,0,33.224,1.0746e-06,0.0076015,0.03611931,0.0321571,0.0282135,0.02430714,0.02045661,0.01668055,0.01299755,0.00942625,0.00598524,0.0026931,-0.00043142,-0.0033698,-0.0061035,-0.00861379,-0.01088209,-0.01288979,-0.01461828,-0.01604894,-0.0171631,-0.0179424,-0.018401,-0.01863801,-0.0187668,-0.0189,-0.0191517,-0.01963377,-0.0204596,-0.021742,-0.0235949,-0.02612955,-0.029404,-0.03338981,-0.03804883,-0.0433441,-0.04923836,-0.05569435,-0.0626748,-0.07014247,-0.0780601,-0.08639039,-0.09509612,-0.10414002,-0.11348484,-0.12309,-0.13292816,-0.14295,-0.15313,-0.1634185,-0.17379,-0.18419419,-0.19460493,-0.20498124,-0.2152859,-0.2254815,-0.23553101,-0.245397,-0.2550423,-0.26442958,-0.27352,-0.28228115,-0.29067091,-0.29865365,-0.3061921,-0.31324902,-0.31979,-0.32580023,-0.3312982,-0.33629715,-0.3408116,-0.34485633,-0.348446,-0.3515952,-0.35431871,-0.3566312,-0.35855,-0.36008177,-0.36124922,-0.3620644,-0.36254185,-0.36269639,-0.36254265,-0.3620953,-0.3613691,-0.3603786,-0.3591385,-0.357664,-0.3559685,-0.3540678,-0.351976,-0.3497087,-0.34728,-0.3447,-0.341996,-0.33917,-0.3362419,-0.3332256,-0.33013585,-0.3269874,-0.3237949,-0.3205731,-0.3173366
7,CD44,0,1,31.757,2.1448e-06,0.015125,-0.01831855,-0.0218693,-0.02542854,-0.02900455,-0.03260576,-0.03624058,-0.03991742,-0.04364467,-0.04743074,-0.051284,-0.05521294,-0.059226,-0.06333125,-0.06753745,-0.07185288,-0.07628595,-0.08084506,-0.08553861,-0.090375,-0.0953626,-0.10051,-0.10579372,-0.1112177,-0.11677,-0.12242865,-0.12819421,-0.1340521,-0.13999,-0.1460022,-0.15207285,-0.15819,-0.16436066,-0.17056484,-0.1768007,-0.18306189,-0.18934201,-0.19563471,-0.20193361,-0.2082323,-0.21452451,-0.22080378,-0.22706375,-0.23329807,-0.2395,-0.24566422,-0.25178,-0.25785,-0.2638617,-0.26981,-0.27568452,-0.28148416,-0.28720078,-0.292828,-0.2983595,-0.30378889,-0.3091098,-0.3143158,-0.31940053,-0.32436,-0.32918084,-0.33386364,-0.33839972,-0.3427827,-0.34700619,-0.35106,-0.35495587,-0.3586859,-0.3622587,-0.365679,-0.36895149,-0.3720807,-0.3750712,-0.3779277,-0.3806548,-0.38326,-0.38573926,-0.38810588,-0.3903616,-0.39251097,-0.39455869,-0.39650936,-0.3983676,-0.400138,-0.4018253,-0.4034339,-0.404969,-0.4064341,-0.4078347,-0.409175,-0.4104605,-0.411695,-0.41288,-0.414029,-0.415139,-0.4162162,-0.4172656,-0.41829198,-0.4192998,-0.4202938,-0.4212786,-0.4222587
8,N4BP2L2,0,0,29.33,6.6984e-06,0.046909,-0.00473654,-0.0127804,-0.02078741,-0.02872084,-0.03654385,-0.04421964,-0.0517114,-0.05898233,-0.06599562,-0.072714,-0.07910207,-0.085122,-0.09073631,-0.09590933,-0.10060389,-0.10478317,-0.10841037,-0.11144869,-0.1138613,-0.1156115,-0.11671,-0.11727019,-0.1174423,-0.11736,-0.11717716,-0.11702203,-0.1170399,-0.11737,-0.1181588,-0.11954096,-0.1216,-0.12430013,-0.12762137,-0.1315271,-0.13598486,-0.14096219,-0.14642663,-0.15234571,-0.158687,-0.165418,-0.17250628,-0.17991937,-0.18762481,-0.19559,-0.20378291,-0.21217,-0.22072,-0.2294012,-0.23818,-0.24702214,-0.25589784,-0.26477376,-0.2736174,-0.2823964,-0.29107821,-0.2996304,-0.3080205,-0.31621604,-0.32418,-0.33189367,-0.33931083,-0.34640361,-0.3531395,-0.35948618,-0.36541,-0.37090828,-0.3759857,-0.38065649,-0.3849325,-0.38882575,-0.3923482,-0.3955117,-0.3983284,-0.40081015,-0.40297,-0.40481669,-0.40636541,-0.407627,-0.40861356,-0.40933692,-0.40980907,-0.410042,-0.4100476,-0.409838,-0.409425,-0.408821,-0.4080367,-0.4070854,-0.405979,-0.4047283,-0.403346,-0.40184,-0.400236,-0.398531,-0.3967421,-0.3948817,-0.39296148,-0.3909934,-0.3889895,-0.3869616,-0.3849218
9,USP22,0,0,33.026,1.18e-06,0.0083439,-0.05482925,-0.0621239,-0.06937077,-0.07652232,-0.08353081,-0.09034857,-0.0969279,-0.10322112,-0.10918054,-0.11476,-0.11990726,-0.12458,-0.12872659,-0.13230176,-0.13525703,-0.13754471,-0.13911712,-0.13992656,-0.1399254,-0.139066,-0.13736,-0.13497861,-0.1321126,-0.12896,-0.12570334,-0.12254698,-0.1196808,-0.1173,-0.1155926,-0.11475628,-0.1149,-0.11598086,-0.1179674,-0.1208122,-0.12447192,-0.12890307,-0.13406227,-0.13990611,-0.1463912,-0.15347404,-0.16111131,-0.16925957,-0.1778754,-0.18692,-0.19633613,-0.20609,-0.21615,-0.2264487,-0.23696,-0.24763166,-0.25842525,-0.2692957,-0.2801996,-0.2910935,-0.30193411,-0.3126779,-0.3232815,-0.33370147,-0.34389,-0.35381696,-0.36342565,-0.37267707,-0.3815278,-0.38993451,-0.39786,-0.40527626,-0.4122108,-0.41867275,-0.4246759,-0.43023422,-0.4353616,-0.4400719,-0.44437903,-0.44829693,-0.45184,-0.4550206,-0.45785417,-0.4603541,-0.46253429,-0.46440865,-0.46599106,-0.4672954,-0.4683357,-0.4691257,-0.4696794,-0.470011,-0.4701334,-0.4700615,-0.469809,-0.4693895,-0.468817,-0.46811,-0.467269,-0.466322,-0.4652766,-0.4641482,-0.46295025,-0.4616967,-0.4604015,-0.4590784,-0.4577415
