,Gene,isTF,isCDMarker,StatisticsValue,P-value,Adj P-value,Group8_PT_0,Group8_PT_0.01,Group8_PT_0.02,Group8_PT_0.03,Group8_PT_0.04,Group8_PT_0.05,Group8_PT_0.06,Group8_PT_0.07,Group8_PT_0.08,Group8_PT_0.09,Group8_PT_0.1,Group8_PT_0.11,Group8_PT_0.12,Group8_PT_0.13,Group8_PT_0.14,Group8_PT_0.15,Group8_PT_0.16,Group8_PT_0.17,Group8_PT_0.18,Group8_PT_0.19,Group8_PT_0.2,Group8_PT_0.21,Group8_PT_0.22,Group8_PT_0.23,Group8_PT_0.24,Group8_PT_0.25,Group8_PT_0.26,Group8_PT_0.27,Group8_PT_0.28,Group8_PT_0.29,Group8_PT_0.3,Group8_PT_0.31,Group8_PT_0.32,Group8_PT_0.33,Group8_PT_0.34,Group8_PT_0.35,Group8_PT_0.36,Group8_PT_0.37,Group8_PT_0.38,Group8_PT_0.39,Group8_PT_0.4,Group8_PT_0.41,Group8_PT_0.42,Group8_PT_0.43,Group8_PT_0.44,Group8_PT_0.45,Group8_PT_0.46,Group8_PT_0.47,Group8_PT_0.48,Group8_PT_0.49,Group8_PT_0.5,Group8_PT_0.51,Group8_PT_0.52,Group8_PT_0.53,Group8_PT_0.54,Group8_PT_0.55,Group8_PT_0.56,Group8_PT_0.57,Group8_PT_0.58,Group8_PT_0.59,Group8_PT_0.6,Group8_PT_0.61,Group8_PT_0.62,Group8_PT_0.63,Group8_PT_0.64,Group8_PT_0.65,Group8_PT_0.66,Group8_PT_0.67,Group8_PT_0.68,Group8_PT_0.69,Group8_PT_0.7,Group8_PT_0.71,Group8_PT_0.72,Group8_PT_0.73,Group8_PT_0.74,Group8_PT_0.75,Group8_PT_0.76,Group8_PT_0.77,Group8_PT_0.78,Group8_PT_0.79,Group8_PT_0.8,Group8_PT_0.81,Group8_PT_0.82,Group8_PT_0.83,Group8_PT_0.84,Group8_PT_0.85,Group8_PT_0.86,Group8_PT_0.87,Group8_PT_0.88,Group8_PT_0.89,Group8_PT_0.9,Group8_PT_0.91,Group8_PT_0.92,Group8_PT_0.93,Group8_PT_0.94,Group8_PT_0.95,Group8_PT_0.96,Group8_PT_0.97,Group8_PT_0.98,Group8_PT_0.99,Group8_PT_1
0,MEGF9,0,0,35.41,3.8264e-07,0.0024248,0.1118156,0.10281,0.09382487,0.08488835,0.07602244,0.06725069,0.058597,0.05008378,0.0417357,0.03357593,0.02562799,0.01791543,0.01046179,0.0032906,-0.0035746,-0.0101103,-0.01629287,-0.022099,-0.027505,-0.0324869,-0.037022,-0.04108607,-0.04465598,-0.047708,-0.050219,-0.052165,-0.05352194,-0.05426733,-0.05437719,-0.0538367,-0.052676,-0.0509392,-0.048671,-0.04591576,-0.04271796,-0.039122,-0.03517232,-0.030913,-0.02638954,-0.021645,-0.01672511,-0.011673,-0.0065345,-0.00135301,0.0038267,0.0089603,0.01400319,0.018911,0.023639,0.028144,0.03237971,0.03630581,0.039913,0.043212,0.046215,0.04893226,0.0513758,0.0535568,0.055487,0.05717654,0.058638,0.059882,0.06092071,0.06176469,0.062426,0.062915,0.063243,0.063423,0.06346453,0.06337989,0.06318019,0.06287676,0.06248,0.061997,0.06143,0.06078136,0.06005538,0.05925476,0.05838263,0.0574421,0.05643623,0.055368,0.05424107,0.053058,0.05182202,0.050536,0.049204,0.047828,0.046412,0.04495811,0.04347,0.041951,0.040404,0.038833,0.03723906,0.03562683,0.03399906,0.03235886,0.03070932,0.02905356,0.0273947
1,ORC6,0,0,30.26,4.3331e-06,0.026124,0.00768865,0.0010829,-0.00551537,-0.01209889,-0.01866025,-0.02519204,-0.031687,-0.03813735,-0.0445361,-0.05087572,-0.05714881,-0.063348,-0.06946588,-0.07549506,-0.08142816,-0.0872578,-0.09297654,-0.098577,-0.10405,-0.10939368,-0.1146,-0.11964859,-0.12454692,-0.12928,-0.13385,-0.13824,-0.14244025,-0.14645163,-0.15026345,-0.15386771,-0.15725,-0.1604082,-0.16332,-0.16597733,-0.16836742,-0.17048,-0.17229816,-0.17381,-0.17501573,-0.17589,-0.17642337,-0.17661,-0.17642,-0.17586714,-0.17492,-0.17358,-0.17181944,-0.16964,-0.16702,-0.16395,-0.16042707,-0.1564306,-0.15199,-0.14714,-0.14192,-0.13638891,-0.13057464,-0.12452299,-0.11828,-0.11187588,-0.10536,-0.098784,-0.0921769,-0.08558468,-0.07905,-0.072614,-0.066319,-0.060208,-0.05432295,-0.04870504,-0.04339681,-0.03844032,-0.033874,-0.029702,-0.025911,-0.02248629,-0.01941405,-0.01668014,-0.01427047,-0.0121709,-0.01036742,-0.0088459,-0.00759214,-0.0065922,-0.00583185,-0.0052971,-0.0049738,-0.0048478,-0.0049051,-0.00513161,-0.0055132,-0.0060357,-0.0066851,-0.0074472,-0.00830806,-0.00925349,-0.0102694,-0.0113417,-0.01245629,-0.01359908,-0.01475596
2,EXOC5,0,0,34.478,5.9459e-07,0.0037364,0.03115528,0.025386,0.01961677,0.01384714,0.00807705,0.00230635,-0.0034651,-0.00923746,-0.01501089,-0.02078553,-0.02656154,-0.03233906,-0.03811825,-0.04389926,-0.04968225,-0.0554674,-0.06125474,-0.067045,-0.072837,-0.07863207,-0.08443,-0.09023111,-0.09603534,-0.10184,-0.10765,-0.11347,-0.11928714,-0.12510957,-0.1309361,-0.13676154,-0.14255,-0.1482698,-0.15387,-0.15931133,-0.16455342,-0.16955,-0.17427284,-0.17867,-0.18269613,-0.18632,-0.18949148,-0.19218,-0.19433,-0.19590637,-0.19687,-0.19718,-0.19679214,-0.19567,-0.19376,-0.19103,-0.18743689,-0.18294636,-0.17759,-0.17145,-0.16459,-0.15710093,-0.14905269,-0.14052352,-0.13159,-0.12233008,-0.11282,-0.10314,-0.09335584,-0.08355633,-0.073814,-0.064207,-0.05481,-0.045702,-0.03695927,-0.02865836,-0.0208764,-0.01369033,-0.0071704,-0.0013258,0.0038673,0.00843306,0.01239559,0.015779,0.01860744,0.020905,0.02269592,0.024004,0.02485405,0.02527,0.02527486,0.024894,0.024151,0.023071,0.021677,0.01999294,0.018044,0.015853,0.013446,0.010845,0.00807545,0.0051611,0.00212611,-0.0010054,-0.0042093,-0.00746145,-0.01073774
3,CDCA5,0,0,29.532,6.0942e-06,0.036477,-0.00130612,-0.015373,-0.02940933,-0.04338606,-0.05727293,-0.07104,-0.084657,-0.09809489,-0.11132282,-0.12431112,-0.13702987,-0.14944908,-0.16153883,-0.17326915,-0.1846101,-0.1955317,-0.20600405,-0.216,-0.22548,-0.23442584,-0.2428,-0.25057817,-0.25772583,-0.26421,-0.27001,-0.2751,-0.27942746,-0.28298086,-0.28572556,-0.28764111,-0.28876,-0.2891149,-0.28876,-0.28774107,-0.28609718,-0.28387,-0.28111713,-0.27787,-0.27417627,-0.27008,-0.26562933,-0.26086,-0.25583,-0.25057343,-0.24514,-0.23956,-0.23389905,-0.22819,-0.22247,-0.2168,-0.21121803,-0.20576195,-0.20046,-0.19534,-0.19042,-0.18570635,-0.18123069,-0.17700869,-0.17306,-0.16940241,-0.16606,-0.16304,-0.16037507,-0.15807792,-0.15617,-0.15467,-0.15359,-0.15296,-0.1527951,-0.15311341,-0.15393478,-0.1552784,-0.15716,-0.15958,-0.1625,-0.16592762,-0.16982628,-0.17418145,-0.17897411,-0.1841852,-0.1897958,-0.19579,-0.2021392,-0.20883,-0.21585213,-0.22317,-0.23078,-0.23866,-0.24678,-0.25512752,-0.26369,-0.27244,-0.28136,-0.29043,-0.29963377,-0.30895348,-0.3183683,-0.32785921,-0.33740718,-0.3469932,-0.35659823
4,FEM1C,0,0,31.147,2.8572e-06,0.01744,0.29567296,0.27454,0.25346148,0.23251656,0.21176462,0.19127,0.1711,0.15131001,0.1319733,0.11315122,0.0949081,0.07730826,0.06041603,0.04429575,0.02901174,0.0146283,0.00120984,-0.011179,-0.022475,-0.03261277,-0.041528,-0.04915718,-0.0554352,-0.060298,-0.063681,-0.065521,-0.06575173,-0.06431033,-0.06113206,-0.05617883,-0.049548,-0.0413794,-0.031814,-0.02099317,-0.0090564,0.0038554,0.01760158,0.032042,0.047035,0.062441,0.07811931,0.093929,0.10973,0.12538119,0.14074,0.15567,0.17003189,0.18368,0.19647,0.20828,0.21894436,0.22834924,0.23648,0.24339,0.24915,0.25381689,0.25745208,0.26011751,0.26187,0.26278498,0.26291,0.26231,0.26104967,0.25918737,0.25679,0.25391,0.25061,0.24696,0.24301282,0.23883557,0.23448763,0.23003046,0.22552,0.22098,0.21641,0.21181532,0.20719055,0.20253958,0.1978635,0.1931634,0.18844041,0.1837,0.17893,0.17414,0.16934101,0.16452,0.15968,0.15483,0.14996,0.14508202,0.14019,0.13529,0.13037,0.12545,0.12052288,0.11558704,0.11064575,0.10570008,0.10075115,0.09580003,0.09084782
5,SPCS2,0,0,31.406,2.5293e-06,0.015494,-0.16307703,-0.16547,-0.16788943,-0.17034196,-0.17285009,-0.17543235,-0.17811,-0.18089338,-0.18380923,-0.18687334,-0.19010424,-0.19352046,-0.19714055,-0.20098302,-0.20506642,-0.2094093,-0.21403013,-0.21895,-0.22418,-0.22974592,-0.23566,-0.24195283,-0.2486308,-0.25572,-0.26323,-0.27119,-0.27960516,-0.28850704,-0.2979093,-0.30782003,-0.31819,-0.3289667,-0.34008,-0.3514604,-0.36305481,-0.3748,-0.38662376,-0.39847,-0.41027947,-0.42198,-0.43351786,-0.44482,-0.45583,-0.46649029,-0.47673,-0.48648,-0.49568831,-0.50429,-0.51222,-0.51941,-0.52580725,-0.53134922,-0.53604,-0.53994,-0.54308,-0.54551755,-0.54729811,-0.54846966,-0.54908,-0.54917688,-0.54881,-0.54802,-0.54686494,-0.54538607,-0.54363,-0.54165,-0.53949,-0.5372,-0.53483072,-0.53242202,-0.53002563,-0.52768934,-0.52546,-0.52334,-0.52134,-0.51945024,-0.51766336,-0.51597724,-0.51438771,-0.5128905,-0.51148157,-0.51016,-0.50891134,-0.50774,-0.50664343,-0.50561,-0.50464,-0.50373,-0.50288,-0.50207589,-0.50132,-0.5006,-0.49992,-0.49928,-0.49866304,-0.49807285,-0.49750365,-0.49695125,-0.49641144,-0.49588004,-0.49535283
6,CD47,0,1,33.736,8.4418e-07,0.0052795,-0.00020751,-0.002503,-0.00481771,-0.00717076,-0.00958137,-0.01206872,-0.014652,-0.01735034,-0.020183,-0.02316912,-0.0263279,-0.02967851,-0.03324015,-0.03703199,-0.04107322,-0.045383,-0.04998059,-0.054885,-0.060116,-0.06569166,-0.071632,-0.07795619,-0.08468315,-0.091832,-0.099422,-0.10747,-0.11600329,-0.12503231,-0.13457929,-0.14465261,-0.1552,-0.1661711,-0.17749,-0.18908393,-0.20090018,-0.21287,-0.22492627,-0.23701,-0.24904236,-0.26097,-0.27272669,-0.28424,-0.29546,-0.30630233,-0.31671,-0.32662,-0.33597172,-0.34469,-0.35271,-0.35997,-0.36641101,-0.37196367,-0.37664,-0.38049,-0.38358,-0.3859386,-0.38763311,-0.38871206,-0.38923,-0.38923158,-0.38878,-0.38791,-0.38669588,-0.38517492,-0.3834,-0.38143,-0.37931,-0.3771,-0.37484522,-0.37259877,-0.37041364,-0.36834189,-0.36643,-0.3647,-0.36313,-0.36172448,-0.36047579,-0.35937691,-0.35842158,-0.3576036,-0.35691663,-0.35635,-0.35591102,-0.35558,-0.35535482,-0.35523,-0.3552,-0.35525,-0.35539,-0.35560274,-0.35588,-0.35623,-0.35663,-0.35707,-0.35756714,-0.35809733,-0.35865874,-0.35924511,-0.35985021,-0.36046779,-0.36109161
7,GNG5,0,0,37.947,1.1494e-07,0.0007409,-0.18487629,-0.18519,-0.18551823,-0.18588466,-0.18630565,-0.18679938,-0.18738,-0.18807782,-0.18889889,-0.18986545,-0.19099568,-0.19230777,-0.1938199,-0.19555026,-0.19751703,-0.1997384,-0.20223256,-0.20502,-0.20811,-0.2115336,-0.2153,-0.21943161,-0.22394438,-0.22886,-0.23419,-0.23996,-0.24617815,-0.25287319,-0.26005925,-0.26774693,-0.27591,-0.2845009,-0.29349,-0.30282008,-0.31246417,-0.32238,-0.33251654,-0.34284,-0.35331477,-0.36389,-0.37453115,-0.38519,-0.39584,-0.4064229,-0.41691,-0.42725,-0.43741212,-0.44735,-0.45702,-0.46639,-0.47541556,-0.48405362,-0.49229,-0.50014,-0.5076,-0.51466838,-0.52135602,-0.52766467,-0.5336,-0.53915984,-0.54435,-0.54918,-0.55365297,-0.55776563,-0.56153,-0.56494,-0.568,-0.57072,-0.57310815,-0.57515849,-0.57687811,-0.57827071,-0.57934,-0.5801,-0.58055,-0.58071033,-0.58059112,-0.58020269,-0.57955627,-0.5786631,-0.5775343,-0.57618,-0.57461495,-0.57285,-0.57088795,-0.56875,-0.56644,-0.56398,-0.56137,-0.55862592,-0.55576,-0.55278,-0.5497,-0.54653,-0.54327914,-0.539963,-0.53659078,-0.53317369,-0.52972295,-0.52624977,-0.52276537
8,COX7A2,0,0,29.701,5.6311e-06,0.033753,-0.17321359,-0.1774,-0.18159053,-0.18580494,-0.19005048,-0.19433752,-0.19868,-0.2030776,-0.20755139,-0.21210818,-0.21675835,-0.22151228,-0.22638033,-0.23137289,-0.23650032,-0.241773,-0.24720133,-0.2528,-0.25857,-0.26452381,-0.27068,-0.27704048,-0.28362046,-0.29043,-0.29748,-0.30477,-0.31232666,-0.32015167,-0.32825681,-0.33664674,-0.3453,-0.3541723,-0.36324,-0.37246381,-0.38181111,-0.39125,-0.40073751,-0.41025,-0.41974458,-0.42919,-0.43855822,-0.44781,-0.4569,-0.4658164,-0.47451,-0.48295,-0.49109758,-0.49893,-0.5064,-0.51348,-0.5201316,-0.52632984,-0.53207,-0.53738,-0.54226,-0.54675006,-0.55085987,-0.5546109,-0.55802,-0.56111515,-0.56391,-0.56642,-0.5686718,-0.57068269,-0.57247,-0.57406,-0.57547,-0.57671,-0.5778114,-0.57878954,-0.57966433,-0.58045541,-0.58118,-0.58185,-0.58246,-0.58302309,-0.58353196,-0.5839917,-0.58440437,-0.584772,-0.58509667,-0.58538,-0.58562522,-0.58583,-0.58600641,-0.58615,-0.58626,-0.58634,-0.58639,-0.5864221,-0.58643,-0.58642,-0.58638,-0.58634,-0.58627493,-0.58620047,-0.58611578,-0.58602289,-0.58592387,-0.58582075,-0.58571559
9,ATP5J2,0,0,33.467,9.584e-07,0.0059824,-0.01023279,-0.013076,-0.01592197,-0.01877161,-0.02162733,-0.02449114,-0.027365,-0.03025113,-0.03315136,-0.03606777,-0.03900239,-0.04195725,-0.04493435,-0.04793574,-0.05096343,-0.0540194,-0.0571058,-0.060225,-0.063378,-0.06656719,-0.069795,-0.07306362,-0.07637455,-0.07973,-0.083132,-0.086582,-0.09008361,-0.09363732,-0.09724566,-0.1009124,-0.10465,-0.1084752,-0.1124,-0.11644862,-0.12062854,-0.12496,-0.12945345,-0.13413,-0.13900316,-0.14409,-0.14940339,-0.15496,-0.16078,-0.16687344,-0.17326,-0.17995,-0.18696424,-0.19432,-0.20202,-0.2101,-0.21856199,-0.22742136,-0.23665,-0.24619,-0.25599,-0.26598555,-0.27613095,-0.286367,-0.29664,-0.3068889,-0.31706,-0.32711,-0.33696309,-0.34657667,-0.35589,-0.36485,-0.37341,-0.38149,-0.38906158,-0.39605316,-0.40241334,-0.40808658,-0.41302,-0.41722,-0.42071,-0.42350944,-0.42565206,-0.42716212,-0.42806599,-0.42839,-0.42816057,-0.4274,-0.42614663,-0.42441,-0.42223504,-0.41963,-0.41664,-0.41327,-0.40956,-0.40553753,-0.40122,-0.39664,-0.39183,-0.3868,-0.38159201,-0.37622307,-0.37072234,-0.36511619,-0.35943098,-0.35369304,-0.34792876
