,Gene,isTF,isCDMarker,StatisticsValue,P-value,Adj P-value,Group3_PT_1,Group3_PT_0.99,Group3_PT_0.98,Group3_PT_0.97,Group3_PT_0.96,Group3_PT_0.95,Group3_PT_0.94,Group3_PT_0.93,Group3_PT_0.92,Group3_PT_0.91,Group3_PT_0.9,Group3_PT_0.89,Group3_PT_0.88,Group3_PT_0.87,Group3_PT_0.86,Group3_PT_0.85,Group3_PT_0.84,Group3_PT_0.83,Group3_PT_0.82,Group3_PT_0.81,Group3_PT_0.8,Group3_PT_0.79,Group3_PT_0.78,Group3_PT_0.77,Group3_PT_0.76,Group3_PT_0.75,Group3_PT_0.74,Group3_PT_0.73,Group3_PT_0.72,Group3_PT_0.71,Group3_PT_0.7,Group3_PT_0.69,Group3_PT_0.68,Group3_PT_0.67,Group3_PT_0.66,Group3_PT_0.65,Group3_PT_0.64,Group3_PT_0.63,Group3_PT_0.62,Group3_PT_0.61,Group3_PT_0.6,Group3_PT_0.59,Group3_PT_0.58,Group3_PT_0.57,Group3_PT_0.56,Group3_PT_0.55,Group3_PT_0.54,Group3_PT_0.53,Group3_PT_0.52,Group3_PT_0.51,Group3_PT_0.5,Group3_PT_0.49,Group3_PT_0.48,Group3_PT_0.47,Group3_PT_0.46,Group3_PT_0.45,Group3_PT_0.44,Group3_PT_0.43,Group3_PT_0.42,Group3_PT_0.41,Group3_PT_0.4,Group3_PT_0.39,Group3_PT_0.38,Group3_PT_0.37,Group3_PT_0.36,Group3_PT_0.35,Group3_PT_0.34,Group3_PT_0.33,Group3_PT_0.32,Group3_PT_0.31,Group3_PT_0.3,Group3_PT_0.29,Group3_PT_0.28,Group3_PT_0.27,Group3_PT_0.26,Group3_PT_0.25,Group3_PT_0.24,Group3_PT_0.23,Group3_PT_0.22,Group3_PT_0.21,Group3_PT_0.2,Group3_PT_0.19,Group3_PT_0.18,Group3_PT_0.17,Group3_PT_0.16,Group3_PT_0.15,Group3_PT_0.14,Group3_PT_0.13,Group3_PT_0.12,Group3_PT_0.11,Group3_PT_0.1,Group3_PT_0.09,Group3_PT_0.08,Group3_PT_0.07,Group3_PT_0.06,Group3_PT_0.05,Group3_PT_0.04,Group3_PT_0.03,Group3_PT_0.02,Group3_PT_0.01,Group3_PT_0,Group2_PT_0,Group2_PT_0.01,Group2_PT_0.02,Group2_PT_0.03,Group2_PT_0.04,Group2_PT_0.05,Group2_PT_0.06,Group2_PT_0.07,Group2_PT_0.08,Group2_PT_0.09,Group2_PT_0.1,Group2_PT_0.11,Group2_PT_0.12,Group2_PT_0.13,Group2_PT_0.14,Group2_PT_0.15,Group2_PT_0.16,Group2_PT_0.17,Group2_PT_0.18,Group2_PT_0.19,Group2_PT_0.2,Group2_PT_0.21,Group2_PT_0.22,Group2_PT_0.23,Group2_PT_0.24,Group2_PT_0.25,Group2_PT_0.26,Group2_PT_0.27,Group2_PT_0.28,Group2_PT_0.29,Group2_PT_0.3,Group2_PT_0.31,Group2_PT_0.32,Group2_PT_0.33,Group2_PT_0.34,Group2_PT_0.35,Group2_PT_0.36,Group2_PT_0.37,Group2_PT_0.38,Group2_PT_0.39,Group2_PT_0.4,Group2_PT_0.41,Group2_PT_0.42,Group2_PT_0.43,Group2_PT_0.44,Group2_PT_0.45,Group2_PT_0.46,Group2_PT_0.47,Group2_PT_0.48,Group2_PT_0.49,Group2_PT_0.5,Group2_PT_0.51,Group2_PT_0.52,Group2_PT_0.53,Group2_PT_0.54,Group2_PT_0.55,Group2_PT_0.56,Group2_PT_0.57,Group2_PT_0.58,Group2_PT_0.59,Group2_PT_0.6,Group2_PT_0.61,Group2_PT_0.62,Group2_PT_0.63,Group2_PT_0.64,Group2_PT_0.65,Group2_PT_0.66,Group2_PT_0.67,Group2_PT_0.68,Group2_PT_0.69,Group2_PT_0.7,Group2_PT_0.71,Group2_PT_0.72,Group2_PT_0.73,Group2_PT_0.74,Group2_PT_0.75,Group2_PT_0.76,Group2_PT_0.77,Group2_PT_0.78,Group2_PT_0.79,Group2_PT_0.8,Group2_PT_0.81,Group2_PT_0.82,Group2_PT_0.83,Group2_PT_0.84,Group2_PT_0.85,Group2_PT_0.86,Group2_PT_0.87,Group2_PT_0.88,Group2_PT_0.89,Group2_PT_0.9,Group2_PT_0.91,Group2_PT_0.92,Group2_PT_0.93,Group2_PT_0.94,Group2_PT_0.95,Group2_PT_0.96,Group2_PT_0.97,Group2_PT_0.98,Group2_PT_0.99,Group2_PT_1
0,CD99,0,1,35.621,3.4625e-07,0.0026211,0.445493,0.435354,0.425234,0.415152,0.405127,0.39518,0.385321,0.375579,0.36597,0.356511,0.347223,0.33812,0.32923,0.320568,0.312149,0.303995,0.296125,0.288557,0.28131,0.274404,0.267857,0.261688,0.255916,0.25056,0.245638,0.24117,0.237175,0.233672,0.230679,0.228214,0.226272,0.2248077,0.2237739,0.22312328,0.2228084,0.2227818,0.222996,0.223404,0.223959,0.224612,0.225317,0.226026,0.226691,0.227266,0.227703,0.227955,0.227974,0.227713,0.227124,0.226161,0.224775,0.22292,0.220548,0.217611,0.214072,0.209951,0.20529,0.200131,0.194518,0.188492,0.182096,0.175374,0.168366,0.161117,0.153668,0.146061,0.13834,0.130547,0.122725,0.114916,0.107162,0.099506,0.091991,0.084659,0.077552,0.070714,0.064173,0.057925,0.051955,0.046253,0.040806,0.0356024,0.0306295,0.025875,0.021328,0.016974,0.012803,0.0088025,0.0049596,0.0012626,-0.0023008,-0.0057427,-0.0090752,-0.0123105,-0.015461,-0.018538,-0.021555,-0.024523,-0.027454,-0.030361,-0.033256,-0.033256,-0.041798,-0.050321,-0.058807,-0.067237,-0.075593,-0.083856,-0.092009,-0.1000309,-0.1079049,-0.115612,-0.123134,-0.130451,-0.137547,-0.144401,-0.150995,-0.157312,-0.163332,-0.169036,-0.174407,-0.1794255,-0.184073,-0.188331,-0.192182,-0.195606,-0.198585,-0.201107,-0.203202,-0.204914,-0.206286,-0.207364,-0.208191,-0.208811,-0.209269,-0.209608,-0.209873,-0.210108,-0.210357,-0.210664,-0.211074,-0.21163,-0.212377,-0.213358,-0.214618,-0.216202,-0.218152,-0.220514,-0.223331,-0.226627,-0.2303681,-0.23451476,-0.2390256,-0.24386,-0.2489757,-0.254333,-0.259891,-0.265608,-0.271443,-0.277355,-0.283304,-0.289248,-0.295147,-0.300959,-0.306643,-0.312159,-0.317466,-0.322522,-0.327286,-0.331718,-0.335777,-0.339421,-0.34261,-0.345305,-0.347501,-0.349217,-0.350469,-0.351276,-0.351655,-0.351625,-0.351202,-0.3504056,-0.3492525,-0.347761,-0.345948,-0.343833,-0.341433,-0.33877,-0.335848,-0.3327,-0.32934,-0.32578,-0.32204,-0.31814,-0.3141,-0.30994,-0.30567,-0.30131,-0.29688,-0.29239,-0.28787,-0.28333
1,IGLL1,0,0,40.808,2.9452e-08,0.0002231,0.421705,0.421091,0.420453,0.419763,0.418998,0.41813,0.417138,0.415994,0.414672,0.413148,0.411396,0.40939,0.40711,0.404523,0.401607,0.398338,0.39469,0.390637,0.386153,0.381215,0.375796,0.369871,0.363415,0.356403,0.348809,0.340608,0.331775,0.322284,0.31211,0.301229,0.289657,0.2774732,0.2647609,0.25160392,0.2380858,0.2242901,0.210301,0.196201,0.182075,0.168006,0.154077,0.140373,0.126977,0.113973,0.101444,0.089473,0.078146,0.067544,0.057753,0.048855,0.040934,0.034074,0.028358,0.02387,0.020673,0.018693,0.017806,0.017886,0.018809,0.020451,0.022685,0.025388,0.028435,0.0317,0.035059,0.038386,0.041558,0.044449,0.046934,0.048889,0.050188,0.050708,0.050322,0.048906,0.046335,0.042484,0.037272,0.030733,0.022923,0.013897,0.003711,-0.0075808,-0.0199227,-0.03326,-0.047536,-0.062696,-0.078686,-0.0954496,-0.1129315,-0.1310767,-0.1498298,-0.1691356,-0.1889388,-0.2091842,-0.229816,-0.25078,-0.272021,-0.293482,-0.315109,-0.336847,-0.358639,-0.358639,-0.35371,-0.348805,-0.343946,-0.339157,-0.334461,-0.329883,-0.325445,-0.3211701,-0.3170824,-0.3132051,-0.309561,-0.306175,-0.303069,-0.300267,-0.297792,-0.295667,-0.293917,-0.292564,-0.291631,-0.2911431,-0.291122,-0.291592,-0.292576,-0.294098,-0.296181,-0.298839,-0.302034,-0.305711,-0.309812,-0.314281,-0.31906,-0.324094,-0.329325,-0.334696,-0.340152,-0.345635,-0.351088,-0.356455,-0.361679,-0.366703,-0.371471,-0.375925,-0.38001,-0.383668,-0.386843,-0.389477,-0.391515,-0.392922,-0.393726,-0.39396163,-0.3936653,-0.392873,-0.3916204,-0.389944,-0.387879,-0.385463,-0.38273,-0.379717,-0.376459,-0.372994,-0.369356,-0.365582,-0.361708,-0.357769,-0.353802,-0.349842,-0.345926,-0.34209,-0.338369,-0.3348,-0.331418,-0.328257,-0.325327,-0.322619,-0.320125,-0.317836,-0.315746,-0.313844,-0.312124,-0.3105771,-0.3091945,-0.307968,-0.30689,-0.305952,-0.305146,-0.30446,-0.303896,-0.30344,-0.30307,-0.3028,-0.30261,-0.3025,-0.30245,-0.30246,-0.30252,-0.30262,-0.30275,-0.30291,-0.30308,-0.30326
2,ENO1,1,0,40.04,4.2477e-08,0.00032172,0.619895,0.61683,0.613775,0.610742,0.607741,0.60478,0.601879,0.59904,0.596275,0.593597,0.591015,0.58854,0.58618,0.583957,0.581869,0.579932,0.578155,0.576551,0.575129,0.573901,0.572877,0.572067,0.571483,0.571136,0.571035,0.571193,0.571619,0.572324,0.573319,0.574614,0.576186,0.5779594,0.5798555,0.58179548,0.5837006,0.5854919,0.587091,0.588418,0.589395,0.589943,0.589983,0.589436,0.588223,0.586266,0.583486,0.579803,0.57514,0.569416,0.562554,0.554474,0.545098,0.534347,0.522141,0.508403,0.493079,0.476284,0.458193,0.438985,0.418836,0.397924,0.376427,0.35452,0.332383,0.310191,0.288123,0.266355,0.245065,0.22443,0.204627,0.185834,0.168227,0.151985,0.137284,0.124302,0.113215,0.104202,0.097375,0.092677,0.090018,0.08931,0.090463,0.0933904,0.0980021,0.10421,0.111925,0.121059,0.131522,0.1432276,0.1560853,0.1700071,0.1849042,0.200688,0.2172698,0.2345609,0.252473,0.270917,0.289804,0.309045,0.328553,0.348238,0.368012,0.368012,0.354275,0.340564,0.326904,0.313321,0.299842,0.286491,0.273295,0.2602793,0.2474697,0.234892,0.222572,0.210535,0.198808,0.187415,0.176384,0.165738,0.155505,0.14571,0.136379,0.1275371,0.119211,0.111425,0.104207,0.097581,0.091573,0.086201,0.081424,0.077184,0.073422,0.070079,0.067096,0.064414,0.061974,0.059717,0.057585,0.055517,0.053456,0.051342,0.049117,0.04672,0.044094,0.04118,0.037918,0.034249,0.030115,0.025456,0.020214,0.014355,0.0079137,0.00093354,-0.0065409,-0.014465,-0.0227949,-0.031486,-0.040494,-0.049774,-0.059283,-0.068975,-0.078807,-0.088734,-0.098712,-0.108697,-0.118643,-0.128507,-0.138245,-0.147812,-0.157164,-0.166256,-0.175044,-0.183484,-0.191532,-0.199145,-0.206317,-0.213062,-0.219398,-0.225338,-0.2309,-0.236099,-0.24095,-0.24547,-0.2496742,-0.253579,-0.257199,-0.260551,-0.26365,-0.26651,-0.269154,-0.27159,-0.27384,-0.27591,-0.27783,-0.2796,-0.28125,-0.28278,-0.28423,-0.28559,-0.28689,-0.28814,-0.28936,-0.29057
3,GAPDH,0,0,37.285,1.5737e-07,0.0011916,0.687512,0.666051,0.644629,0.623287,0.602063,0.581,0.560131,0.539502,0.51915,0.499114,0.479435,0.46015,0.4413,0.422933,0.405076,0.387773,0.371064,0.354989,0.339588,0.324899,0.310963,0.297818,0.285506,0.274064,0.263534,0.253954,0.245364,0.237804,0.231314,0.225931,0.221649,0.2183931,0.2160808,0.21463135,0.2139634,0.2139956,0.214647,0.215835,0.217481,0.219501,0.221815,0.224341,0.226999,0.229707,0.232383,0.234947,0.237317,0.239412,0.24115,0.24245,0.243232,0.243413,0.242912,0.241649,0.239555,0.236652,0.232992,0.22863,0.22362,0.218015,0.21187,0.205238,0.198174,0.190731,0.182964,0.174925,0.16667,0.158252,0.149724,0.141142,0.132559,0.124028,0.115604,0.107341,0.099293,0.091513,0.084039,0.076867,0.069984,0.063378,0.057035,0.0509434,0.0450905,0.039464,0.03405,0.028838,0.023814,0.0189661,0.0142814,0.0097474,0.0053516,0.0010814,-0.0030758,-0.0071324,-0.011101,-0.014995,-0.018825,-0.022605,-0.026348,-0.030065,-0.03377,-0.03377,-0.053357,-0.072877,-0.092266,-0.111457,-0.130386,-0.148986,-0.167191,-0.1849367,-0.2021559,-0.2187833,-0.234753,-0.25,-0.264458,-0.278061,-0.290744,-0.30244,-0.313084,-0.322611,-0.330954,-0.3380481,-0.343827,-0.348226,-0.351177,-0.352617,-0.352479,-0.35072,-0.347434,-0.342765,-0.336856,-0.32985,-0.321891,-0.313123,-0.303687,-0.293728,-0.28339,-0.272816,-0.262148,-0.251531,-0.241107,-0.231021,-0.221416,-0.212434,-0.20422,-0.196917,-0.190668,-0.185616,-0.181905,-0.179618,-0.1786811,-0.17899555,-0.1804628,-0.182984,-0.1864615,-0.190796,-0.195888,-0.20164,-0.207953,-0.214729,-0.221868,-0.229273,-0.236844,-0.244483,-0.252092,-0.259571,-0.266822,-0.273747,-0.280246,-0.286222,-0.291575,-0.296207,-0.300019,-0.302919,-0.304889,-0.305962,-0.30617,-0.305547,-0.304126,-0.301941,-0.299025,-0.2954098,-0.2911302,-0.286219,-0.280709,-0.274635,-0.268028,-0.26092,-0.253352,-0.24535,-0.23695,-0.22818,-0.21908,-0.20968,-0.20002,-0.19012,-0.18002,-0.16976,-0.15936,-0.14886,-0.1383,-0.12771
4,STMN1,0,0,45.021,3.9368e-09,2.9825e-05,0.450024,0.4522,0.454345,0.456429,0.458422,0.46029,0.462011,0.463547,0.464868,0.465946,0.466749,0.46725,0.46741,0.467206,0.466605,0.465578,0.464093,0.46212,0.459628,0.456587,0.452966,0.448735,0.443864,0.438321,0.432077,0.425101,0.417361,0.408829,0.399473,0.389263,0.378214,0.3664015,0.35391,0.340822,0.3272205,0.3131885,0.298809,0.284165,0.269339,0.254415,0.239475,0.224603,0.209881,0.195392,0.181219,0.167446,0.154155,0.141429,0.129351,0.118005,0.107472,0.097837,0.089182,0.08159,0.075125,0.069739,0.065336,0.061822,0.059102,0.057083,0.05567,0.054769,0.054285,0.054125,0.054192,0.054395,0.054637,0.054825,0.054864,0.05466,0.054118,0.053145,0.051646,0.049526,0.046691,0.043048,0.038531,0.033164,0.02698,0.020015,0.012306,0.0038865,-0.0052069,-0.014939,-0.025274,-0.036177,-0.047612,-0.059544,-0.0719371,-0.084756,-0.0979651,-0.1115291,-0.1254125,-0.1395796,-0.153995,-0.168624,-0.183429,-0.198377,-0.213431,-0.228557,-0.243717,-0.243717,-0.245389,-0.247049,-0.248686,-0.250287,-0.25184,-0.253334,-0.254757,-0.2560962,-0.2573408,-0.2584786,-0.259498,-0.260386,-0.261132,-0.261724,-0.262149,-0.262397,-0.262454,-0.26231,-0.261952,-0.2613679,-0.260547,-0.259476,-0.258145,-0.25654,-0.25465,-0.25247,-0.250025,-0.247357,-0.244504,-0.241507,-0.238404,-0.235236,-0.232042,-0.228862,-0.225735,-0.222702,-0.219802,-0.217074,-0.214558,-0.212293,-0.21032,-0.208679,-0.207408,-0.206547,-0.206136,-0.206215,-0.206823,-0.207986,-0.2096919,-0.21192302,-0.2146618,-0.217891,-0.2215922,-0.225748,-0.230342,-0.235355,-0.240771,-0.246571,-0.252738,-0.259254,-0.266102,-0.273264,-0.280722,-0.288459,-0.296458,-0.3047,-0.313169,-0.321846,-0.330713,-0.339754,-0.348951,-0.358286,-0.36775,-0.377339,-0.387048,-0.396871,-0.406805,-0.416845,-0.426987,-0.4372246,-0.4475548,-0.457972,-0.468473,-0.479052,-0.489704,-0.50043,-0.511212,-0.52206,-0.53296,-0.54391,-0.55491,-0.56595,-0.57702,-0.58813,-0.59927,-0.61043,-0.62161,-0.6328,-0.644,-0.6552
5,NAP1L1,0,0,63.899,4.3884e-13,3.3255e-09,0.925029,0.926331,0.927623,0.928895,0.930136,0.93134,0.932488,0.933578,0.934597,0.935535,0.936382,0.93713,0.93776,0.938276,0.938658,0.938898,0.938987,0.938914,0.938669,0.938241,0.937622,0.9368,0.935766,0.93451,0.93302,0.931288,0.929304,0.927056,0.924535,0.921731,0.918649,0.915312,0.911748,0.90798321,0.9040443,0.8999578,0.89575,0.891449,0.887079,0.882668,0.878243,0.87383,0.869455,0.865146,0.860929,0.85683,0.852876,0.849094,0.84551,0.842151,0.839044,0.836214,0.83369,0.831496,0.829656,0.828163,0.826997,0.826143,0.825581,0.825293,0.825262,0.825469,0.825897,0.826527,0.827342,0.828323,0.829453,0.830713,0.832086,0.833554,0.835097,0.8367,0.838343,0.840008,0.841679,0.843335,0.844965,0.846567,0.848142,0.849692,0.851217,0.8527192,0.8541993,0.855658,0.857098,0.858519,0.859922,0.8613094,0.8626815,0.8640397,0.8653851,0.866719,0.8680423,0.8693564,0.870662,0.871961,0.873255,0.874543,0.875828,0.877111,0.878393,0.878393,0.858683,0.838975,0.819273,0.799578,0.779893,0.760221,0.740563,0.7209225,0.7013021,0.6817039,0.662131,0.642585,0.623068,0.603584,0.584135,0.564723,0.545351,0.526021,0.506735,0.4874967,0.468308,0.449171,0.430089,0.411065,0.392099,0.373201,0.354411,0.335781,0.317361,0.299205,0.281365,0.263891,0.246836,0.230253,0.214192,0.198705,0.183845,0.169663,0.156212,0.143543,0.131707,0.120758,0.110747,0.101725,0.093744,0.086857,0.081116,0.076535,0.073037,0.07052851,0.0689164,0.068108,0.0680089,0.068527,0.069569,0.071042,0.072852,0.074906,0.077112,0.079376,0.081604,0.083704,0.085583,0.087147,0.088304,0.088959,0.089021,0.088395,0.086989,0.084709,0.081463,0.077163,0.071797,0.065401,0.058015,0.049676,0.040422,0.030291,0.019322,0.0075523,-0.0049796,-0.018236,-0.032178,-0.046768,-0.061968,-0.07774,-0.094045,-0.11085,-0.1281,-0.14578,-0.16384,-0.18224,-0.20095,-0.21992,-0.23912,-0.25852,-0.27806,-0.29772,-0.31746,-0.33723
6,SMIM24,0,0,63.158,6.2858e-13,4.7627e-09,0.672327,0.681866,0.691357,0.700755,0.710011,0.71908,0.727909,0.736458,0.744676,0.752517,0.759934,0.76688,0.7733,0.779165,0.784412,0.788999,0.792878,0.796003,0.798326,0.7998,0.800378,0.800012,0.798657,0.796263,0.792785,0.788175,0.782386,0.775371,0.767082,0.757474,0.746562,0.7344522,0.72126,0.70709956,0.6920854,0.6763319,0.659954,0.643065,0.625781,0.608215,0.590482,0.572698,0.554975,0.537429,0.520173,0.503324,0.486994,0.4713,0.456354,0.442271,0.429167,0.417155,0.40635,0.396867,0.388799,0.382111,0.37672,0.37254,0.369488,0.367479,0.366428,0.366251,0.366864,0.368182,0.37012,0.372594,0.37552,0.378813,0.382389,0.386162,0.39005,0.393967,0.397829,0.401551,0.405049,0.408238,0.411059,0.413513,0.415618,0.417389,0.418839,0.4199858,0.4208431,0.421426,0.421751,0.421832,0.421686,0.4213255,0.4207677,0.4200273,0.4191196,0.4180597,0.4168628,0.4155442,0.414119,0.412603,0.41101,0.409357,0.407658,0.405929,0.404184,0.404184,0.381091,0.358044,0.335089,0.312274,0.289644,0.267246,0.245126,0.2233299,0.2019046,0.1808963,0.160351,0.140316,0.120837,0.10196,0.083731,0.066198,0.049406,0.033402,0.018231,0.0039414,-0.009422,-0.021812,-0.033183,-0.043489,-0.052682,-0.060731,-0.067687,-0.073629,-0.078637,-0.082793,-0.086177,-0.08887,-0.090951,-0.092501,-0.093601,-0.094331,-0.094772,-0.095003,-0.095106,-0.095162,-0.095249,-0.095449,-0.095843,-0.09651,-0.097532,-0.098988,-0.100959,-0.103495,-0.1065671,-0.11013414,-0.1141545,-0.118587,-0.1233892,-0.128521,-0.13394,-0.139605,-0.145475,-0.151508,-0.157663,-0.163899,-0.170173,-0.176444,-0.182672,-0.188815,-0.19483,-0.200677,-0.206315,-0.211701,-0.216795,-0.221555,-0.225939,-0.229909,-0.233459,-0.236601,-0.239353,-0.241728,-0.243742,-0.245409,-0.246746,-0.2477665,-0.248486,-0.24892,-0.249082,-0.248989,-0.248655,-0.2481,-0.247325,-0.24636,-0.24521,-0.2439,-0.24244,-0.24084,-0.23912,-0.2373,-0.23538,-0.23339,-0.23134,-0.22925,-0.22712,-0.22498
7,SPINK2,0,0,116.238,3.3961e-24,2.5742e-20,0.643756,0.662202,0.680618,0.698975,0.717244,0.73539,0.753395,0.771219,0.788836,0.806216,0.823329,0.84015,0.85664,0.872774,0.888525,0.903861,0.918754,0.933172,0.947087,0.960469,0.973288,0.985515,0.99712,1.008074,1.018346,1.027908,1.036729,1.044781,1.052032,1.058455,1.064047,1.0688429,1.0728829,1.07620638,1.0788528,1.0808617,1.082272,1.083124,1.083457,1.08331,1.082723,1.081734,1.080385,1.078713,1.076759,1.074562,1.072161,1.069596,1.066906,1.064131,1.06131,1.058483,1.055689,1.052967,1.050352,1.047834,1.045392,1.043004,1.040646,1.038295,1.03593,1.033527,1.031063,1.028517,1.025865,1.023085,1.020153,1.017048,1.013746,1.010225,1.006463,1.002436,0.998121,0.993497,0.988541,0.983229,0.977548,0.971509,0.965126,0.958416,0.951391,0.9440688,0.9364625,0.928588,0.920459,0.912091,0.9035,0.8946998,0.8857054,0.876532,0.8671943,0.8577074,0.8480862,0.8383455,0.8285,0.818566,0.808556,0.798487,0.788374,0.77823,0.768071,0.768071,0.752056,0.736046,0.72005,0.704073,0.688123,0.672205,0.656327,0.6404942,0.6247139,0.6089925,0.593336,0.577752,0.562247,0.546826,0.531497,0.516267,0.501141,0.486126,0.471229,0.4564558,0.441814,0.427309,0.412949,0.398738,0.384685,0.370793,0.357049,0.343436,0.329936,0.316529,0.3032,0.289928,0.276697,0.263488,0.250283,0.237065,0.223814,0.210513,0.197145,0.18369,0.170131,0.15645,0.142628,0.128648,0.114492,0.100141,0.085578,0.070799,0.0558408,0.04074504,0.0255539,0.01031,-0.0049459,-0.02017,-0.035322,-0.050358,-0.065236,-0.079915,-0.094353,-0.108506,-0.122334,-0.135793,-0.148843,-0.16144,-0.173543,-0.185109,-0.196096,-0.206463,-0.216167,-0.225165,-0.233417,-0.240882,-0.247562,-0.253485,-0.258678,-0.26317,-0.266989,-0.270162,-0.272718,-0.2746849,-0.2760906,-0.276963,-0.277331,-0.277221,-0.276663,-0.27568,-0.274312,-0.27258,-0.2705,-0.26812,-0.26546,-0.26254,-0.2594,-0.25607,-0.25256,-0.24892,-0.24516,-0.24132,-0.23742,-0.2335
8,SELL,0,1,114.696,7.2466e-24,5.4922e-20,1.160505,1.141943,1.123442,1.105063,1.086866,1.06891,1.051268,1.033987,1.017133,1.000767,0.984951,0.96974,0.95521,0.941406,0.928396,0.91624,0.904999,0.894735,0.885508,0.877379,0.870409,0.86466,0.860191,0.857065,0.855343,0.855084,0.856351,0.859205,0.863705,0.869913,0.877811,0.8872689,0.8981475,0.91030672,0.923607,0.9379086,0.953072,0.968957,0.985425,1.002335,1.019547,1.036923,1.054323,1.071606,1.088634,1.105266,1.121362,1.136784,1.151391,1.165043,1.177602,1.188927,1.198878,1.207316,1.214122,1.219305,1.222922,1.225034,1.225697,1.224972,1.222916,1.219587,1.215046,1.209349,1.202556,1.194725,1.185915,1.176184,1.165591,1.154195,1.142053,1.129225,1.115769,1.101744,1.087208,1.07222,1.056828,1.041053,1.024911,1.008417,0.991588,0.9744406,0.9569895,0.939251,0.921241,0.902976,0.884471,0.8657431,0.8468074,0.8276802,0.8083775,0.788915,0.769309,0.7495752,0.72973,0.709788,0.689767,0.669682,0.64955,0.629385,0.609204,0.609204,0.612202,0.61514,0.617956,0.62059,0.622981,0.625069,0.626792,0.6280908,0.6289035,0.6291698,0.628829,0.62782,0.626083,0.623557,0.62018,0.615893,0.610635,0.604344,0.596961,0.5884237,0.578673,0.567646,0.555285,0.541527,0.526311,0.5096,0.49148,0.472083,0.451545,0.429997,0.407573,0.384407,0.360632,0.336381,0.311788,0.286986,0.262107,0.237287,0.212657,0.188351,0.164503,0.141245,0.118712,0.097036,0.076351,0.05679,0.038487,0.021524,0.0058532,-0.0085924,-0.0218815,-0.034082,-0.0452631,-0.055492,-0.064837,-0.073367,-0.08115,-0.088254,-0.094746,-0.100697,-0.106173,-0.111243,-0.115975,-0.120437,-0.124698,-0.128825,-0.132888,-0.136954,-0.141091,-0.145367,-0.149852,-0.154609,-0.159658,-0.164989,-0.170593,-0.176458,-0.182574,-0.18893,-0.195517,-0.2023228,-0.2093382,-0.216552,-0.223955,-0.231535,-0.239282,-0.24719,-0.255237,-0.26342,-0.27174,-0.28016,-0.2887,-0.29732,-0.30603,-0.31481,-0.32366,-0.33256,-0.3415,-0.35047,-0.35946,-0.36846
9,GATA2,1,0,33.087,1.1464e-06,0.0086772,-0.132228,-0.12962,-0.127018,-0.124426,-0.121852,-0.1193,-0.116779,-0.114291,-0.111844,-0.109442,-0.107092,-0.1048,-0.10257,-0.100408,-0.098322,-0.096316,-0.094396,-0.092567,-0.090837,-0.089209,-0.087691,-0.086287,-0.085004,-0.083846,-0.082821,-0.081934,-0.081189,-0.080594,-0.080154,-0.079874,-0.079756,-0.0797898,-0.0799688,-0.08028417,-0.0807276,-0.0812907,-0.081965,-0.082743,-0.083615,-0.084573,-0.08561,-0.086716,-0.087883,-0.089103,-0.090367,-0.091668,-0.092997,-0.094345,-0.095704,-0.097066,-0.098423,-0.099766,-0.101086,-0.102376,-0.103627,-0.104834,-0.105993,-0.107099,-0.108148,-0.109135,-0.110056,-0.110907,-0.111683,-0.11238,-0.112993,-0.113518,-0.113951,-0.114287,-0.114521,-0.11465,-0.114669,-0.114573,-0.114359,-0.114021,-0.113555,-0.112957,-0.112225,-0.111363,-0.110377,-0.109272,-0.108053,-0.1067253,-0.1052952,-0.103768,-0.102148,-0.100442,-0.098655,-0.0967916,-0.0948582,-0.0928599,-0.090802,-0.08869,-0.0865293,-0.0843253,-0.082083,-0.079809,-0.077508,-0.075185,-0.072845,-0.070495,-0.06814,-0.06814,-0.060096,-0.052047,-0.043989,-0.035915,-0.027821,-0.019701,-0.011551,-0.003366,0.0048598,0.0131312,0.021453,0.029831,0.03827,0.046774,0.055349,0.064001,0.072733,0.081551,0.090461,0.0994665,0.108574,0.117787,0.127112,0.136553,0.146116,0.155804,0.165617,0.17555,0.185599,0.195762,0.206033,0.21641,0.226889,0.237466,0.248137,0.258899,0.269748,0.280681,0.291693,0.30278,0.31394,0.325169,0.336462,0.347816,0.359228,0.370693,0.382208,0.393762,0.4053241,0.4168606,0.4283379,0.439722,0.4509803,0.462078,0.472982,0.483658,0.494072,0.504192,0.513983,0.523412,0.532444,0.541047,0.549187,0.556829,0.563941,0.570488,0.576437,0.581754,0.586406,0.590358,0.593578,0.596034,0.59773,0.598692,0.598948,0.598526,0.597451,0.595752,0.593455,0.590588,0.5871777,0.583251,0.578836,0.573959,0.568647,0.56293,0.556829,0.55038,0.5436,0.53652,0.52917,0.52158,0.51377,0.50577,0.49761,0.48931,0.4809,0.47241,0.46387,0.45529
