,Gene,StatisticsValue,P-value,Adj P-value,Group9_PT_0,Group9_PT_0.01,Group9_PT_0.02,Group9_PT_0.03,Group9_PT_0.04,Group9_PT_0.05,Group9_PT_0.06,Group9_PT_0.07,Group9_PT_0.08,Group9_PT_0.09,Group9_PT_0.1,Group9_PT_0.11,Group9_PT_0.12,Group9_PT_0.13,Group9_PT_0.14,Group9_PT_0.15,Group9_PT_0.16,Group9_PT_0.17,Group9_PT_0.18,Group9_PT_0.19,Group9_PT_0.2,Group9_PT_0.21,Group9_PT_0.22,Group9_PT_0.23,Group9_PT_0.24,Group9_PT_0.25,Group9_PT_0.26,Group9_PT_0.27,Group9_PT_0.28,Group9_PT_0.29,Group9_PT_0.3,Group9_PT_0.31,Group9_PT_0.32,Group9_PT_0.33,Group9_PT_0.34,Group9_PT_0.35,Group9_PT_0.36,Group9_PT_0.37,Group9_PT_0.38,Group9_PT_0.39,Group9_PT_0.4,Group9_PT_0.41,Group9_PT_0.42,Group9_PT_0.43,Group9_PT_0.44,Group9_PT_0.45,Group9_PT_0.46,Group9_PT_0.47,Group9_PT_0.48,Group9_PT_0.49,Group9_PT_0.5,Group9_PT_0.51,Group9_PT_0.52,Group9_PT_0.53,Group9_PT_0.54,Group9_PT_0.55,Group9_PT_0.56,Group9_PT_0.57,Group9_PT_0.58,Group9_PT_0.59,Group9_PT_0.6,Group9_PT_0.61,Group9_PT_0.62,Group9_PT_0.63,Group9_PT_0.64,Group9_PT_0.65,Group9_PT_0.66,Group9_PT_0.67,Group9_PT_0.68,Group9_PT_0.69,Group9_PT_0.7,Group9_PT_0.71,Group9_PT_0.72,Group9_PT_0.73,Group9_PT_0.74,Group9_PT_0.75,Group9_PT_0.76,Group9_PT_0.77,Group9_PT_0.78,Group9_PT_0.79,Group9_PT_0.8,Group9_PT_0.81,Group9_PT_0.82,Group9_PT_0.83,Group9_PT_0.84,Group9_PT_0.85,Group9_PT_0.86,Group9_PT_0.87,Group9_PT_0.88,Group9_PT_0.89,Group9_PT_0.9,Group9_PT_0.91,Group9_PT_0.92,Group9_PT_0.93,Group9_PT_0.94,Group9_PT_0.95,Group9_PT_0.96,Group9_PT_0.97,Group9_PT_0.98,Group9_PT_0.99,Group9_PT_1
0,Gzmb,93.134,2.8415e-19,8.0145e-15,-0.61797,-0.48983,-0.36292,-0.2385,-0.1178,-0.0020712,0.10745,0.20952,0.3029,0.38634,0.458603,0.5184497,0.5646370000000001,0.59592,0.61106,0.60882,0.588,0.54887,0.49332,0.42329,0.34075,0.24766,0.14598,0.037671,-0.075313,-0.19101,-0.30746,-0.42271,-0.53478,-0.64174,-0.7416,-0.832426,-0.912244,-0.979098,-1.031029,-1.066076,-1.08228,-1.077682,-1.05032,-0.998241,-0.91948,-0.81207,-0.67407,-0.50351,-0.298421,-0.056858,0.222441,0.537275,0.884383,1.260502,1.66237,2.0867,2.53031,2.98985,3.4621,3.94379,4.43166,4.92244,5.41287,5.8997,6.37966,6.8495,7.3059,7.7457,8.1656,8.5622,8.9325,9.273,9.5806,9.8519,10.0838,10.2729,10.416,10.5098,10.5512,10.539,10.4751,10.3617,10.2007,9.9943,9.7445,9.4534,9.123,8.7554,8.3527,7.9169,7.4501,6.9544,6.4318,5.8845,5.3144,4.7236,4.1143,3.4884,2.848,2.1953,1.5322,0.86089,0.18335,-0.49833,-1.1821
1,Cpa3,57.877,8.0994e-12,2.2843e-07,0.10532,0.14651,0.18764,0.22864,0.26946,0.3100221,0.35027,0.39015,0.42958,0.46851,0.50688,0.5446208,0.581671,0.61797,0.65345,0.68806,0.72172,0.75452,0.78663,0.81827,0.84964,0.88093,0.91235,0.944111,0.976404,1.00944,1.04341,1.07852,1.11498,1.15299,1.19275,1.234458,1.278323,1.324546,1.373328,1.424872,1.47938,1.537057,1.5981,1.662719,1.73111,1.80348,1.88002,1.96095,2.046462,2.136759,2.231961,2.331773,2.435775,2.543545,2.65466,2.7687,2.88526,3.00389,3.12419,3.24573,3.36809,3.49086,3.6136,3.73591,3.85735,3.9775,4.096,4.2123,4.3261,4.4369,4.5443,4.6479,4.7473,4.8421,4.9318,5.0159,5.0942,5.1661,5.2313,5.2896,5.3413,5.3866,5.4257,5.4591,5.4868,5.5092,5.5266,5.5392,5.5473,5.5511,5.551,5.5471,5.5398,5.5293,5.5158,5.4997,5.4812,5.4606,5.4381,5.4141,5.3887,5.36221,5.33496,5.30717,5.2791
2,Cyp11a1,32.203,1.7385e-06,0.04903,-0.96789,-0.87006,-0.77276,-0.67652,-0.58186,-0.4893053,-0.39939,-0.31263,-0.22957,-0.15073,-0.076627,-0.0077998,0.055228,0.11193,0.16178,0.20424,0.23882,0.26547,0.2847,0.29704,0.303,0.30313,0.29795,0.287971,0.273736,0.25577,0.23459,0.21074,0.18473,0.15709,0.12836,0.099052,0.069699,0.040828,0.012965,-0.013364,-0.03763,-0.059308,-0.07787,-0.092791,-0.10354,-0.1096,-0.11043,-0.10551,-0.094315,-0.076317,-0.051091,-0.018719,0.020563,0.066518,0.11891,0.1775,0.24205,0.31233,0.38811,0.46913,0.55517,0.64599,0.74136,0.84103,0.94477,1.0524,1.1635,1.2781,1.3957,1.5163,1.6395,1.7651,1.8929,2.0226,2.154,2.2869,2.4211,2.5562,2.6921,2.8286,2.9657,3.1033,3.2415,3.3802,3.5194,3.659,3.7991,3.9396,4.0805,4.2218,4.3634,4.5054,4.6476,4.7902,4.9329,5.076,5.2192,5.3626,5.5062,5.6499,5.7937,5.93765,6.08164,6.22568,6.3697
3,Ms4a2,64.871,2.739e-13,7.7251e-09,0.77136,0.71099,0.65109,0.59213,0.53459,0.4789243,0.42562,0.37514,0.32795,0.28454,0.245359,0.2108904,0.181602,0.15796,0.14045,0.12953,0.12566,0.12892,0.13899,0.15552,0.17815,0.20654,0.24034,0.279203,0.322773,0.3707,0.42264,0.47825,0.53716,0.59904,0.66353,0.730287,0.798957,0.869192,0.940642,1.012959,1.08579,1.158793,1.23161,1.303899,1.37531,1.44548,1.51408,1.58075,1.645135,1.706896,1.7658,1.822209,1.876666,1.929716,1.9819,2.0338,2.08586,2.13871,2.19288,2.2489,2.30732,2.36869,2.43353,2.50241,2.57586,2.6544,2.7387,2.8291,2.9263,3.0307,3.143,3.2637,3.3933,3.5324,3.6815,3.8411,4.0119,4.1942,4.3888,4.5956,4.8143,5.0444,5.2854,5.5368,5.7982,6.0691,6.349,6.6374,6.9339,7.238,7.5492,7.867,8.191,8.5207,8.8556,9.1953,9.5392,9.8869,10.2379,10.5918,10.9481,11.30623,11.6658,12.02632,12.3873
