,Gene,isTF,isCDMarker,StatisticsValue,P-value,Adj P-value,Group4_PT_1,Group4_PT_0.99,Group4_PT_0.98,Group4_PT_0.97,Group4_PT_0.96,Group4_PT_0.95,Group4_PT_0.94,Group4_PT_0.93,Group4_PT_0.92,Group4_PT_0.91,Group4_PT_0.9,Group4_PT_0.89,Group4_PT_0.88,Group4_PT_0.87,Group4_PT_0.86,Group4_PT_0.85,Group4_PT_0.84,Group4_PT_0.83,Group4_PT_0.82,Group4_PT_0.81,Group4_PT_0.8,Group4_PT_0.79,Group4_PT_0.78,Group4_PT_0.77,Group4_PT_0.76,Group4_PT_0.75,Group4_PT_0.74,Group4_PT_0.73,Group4_PT_0.72,Group4_PT_0.71,Group4_PT_0.7,Group4_PT_0.69,Group4_PT_0.68,Group4_PT_0.67,Group4_PT_0.66,Group4_PT_0.65,Group4_PT_0.64,Group4_PT_0.63,Group4_PT_0.62,Group4_PT_0.61,Group4_PT_0.6,Group4_PT_0.59,Group4_PT_0.58,Group4_PT_0.57,Group4_PT_0.56,Group4_PT_0.55,Group4_PT_0.54,Group4_PT_0.53,Group4_PT_0.52,Group4_PT_0.51,Group4_PT_0.5,Group4_PT_0.49,Group4_PT_0.48,Group4_PT_0.47,Group4_PT_0.46,Group4_PT_0.45,Group4_PT_0.44,Group4_PT_0.43,Group4_PT_0.42,Group4_PT_0.41,Group4_PT_0.4,Group4_PT_0.39,Group4_PT_0.38,Group4_PT_0.37,Group4_PT_0.36,Group4_PT_0.35,Group4_PT_0.34,Group4_PT_0.33,Group4_PT_0.32,Group4_PT_0.31,Group4_PT_0.3,Group4_PT_0.29,Group4_PT_0.28,Group4_PT_0.27,Group4_PT_0.26,Group4_PT_0.25,Group4_PT_0.24,Group4_PT_0.23,Group4_PT_0.22,Group4_PT_0.21,Group4_PT_0.2,Group4_PT_0.19,Group4_PT_0.18,Group4_PT_0.17,Group4_PT_0.16,Group4_PT_0.15,Group4_PT_0.14,Group4_PT_0.13,Group4_PT_0.12,Group4_PT_0.11,Group4_PT_0.1,Group4_PT_0.09,Group4_PT_0.08,Group4_PT_0.07,Group4_PT_0.06,Group4_PT_0.05,Group4_PT_0.04,Group4_PT_0.03,Group4_PT_0.02,Group4_PT_0.01,Group4_PT_0,Group5_PT_0,Group5_PT_0.01,Group5_PT_0.02,Group5_PT_0.03,Group5_PT_0.04,Group5_PT_0.05,Group5_PT_0.06,Group5_PT_0.07,Group5_PT_0.08,Group5_PT_0.09,Group5_PT_0.1,Group5_PT_0.11,Group5_PT_0.12,Group5_PT_0.13,Group5_PT_0.14,Group5_PT_0.15,Group5_PT_0.16,Group5_PT_0.17,Group5_PT_0.18,Group5_PT_0.19,Group5_PT_0.2,Group5_PT_0.21,Group5_PT_0.22,Group5_PT_0.23,Group5_PT_0.24,Group5_PT_0.25,Group5_PT_0.26,Group5_PT_0.27,Group5_PT_0.28,Group5_PT_0.29,Group5_PT_0.3,Group5_PT_0.31,Group5_PT_0.32,Group5_PT_0.33,Group5_PT_0.34,Group5_PT_0.35,Group5_PT_0.36,Group5_PT_0.37,Group5_PT_0.38,Group5_PT_0.39,Group5_PT_0.4,Group5_PT_0.41,Group5_PT_0.42,Group5_PT_0.43,Group5_PT_0.44,Group5_PT_0.45,Group5_PT_0.46,Group5_PT_0.47,Group5_PT_0.48,Group5_PT_0.49,Group5_PT_0.5,Group5_PT_0.51,Group5_PT_0.52,Group5_PT_0.53,Group5_PT_0.54,Group5_PT_0.55,Group5_PT_0.56,Group5_PT_0.57,Group5_PT_0.58,Group5_PT_0.59,Group5_PT_0.6,Group5_PT_0.61,Group5_PT_0.62,Group5_PT_0.63,Group5_PT_0.64,Group5_PT_0.65,Group5_PT_0.66,Group5_PT_0.67,Group5_PT_0.68,Group5_PT_0.69,Group5_PT_0.7,Group5_PT_0.71,Group5_PT_0.72,Group5_PT_0.73,Group5_PT_0.74,Group5_PT_0.75,Group5_PT_0.76,Group5_PT_0.77,Group5_PT_0.78,Group5_PT_0.79,Group5_PT_0.8,Group5_PT_0.81,Group5_PT_0.82,Group5_PT_0.83,Group5_PT_0.84,Group5_PT_0.85,Group5_PT_0.86,Group5_PT_0.87,Group5_PT_0.88,Group5_PT_0.89,Group5_PT_0.9,Group5_PT_0.91,Group5_PT_0.92,Group5_PT_0.93,Group5_PT_0.94,Group5_PT_0.95,Group5_PT_0.96,Group5_PT_0.97,Group5_PT_0.98,Group5_PT_0.99,Group5_PT_1
0,ACTN1,0,0,38.677,8.1239e-08,0.00061425,1.89791,1.8658347,1.83374,1.80159,1.76936,1.73704,1.70459,1.672,1.6392,1.6062,1.573,1.5396,1.5058,1.4718,1.4374,1.4027,1.3676,1.3321,1.2962,1.2599,1.223,1.18565,1.14777,1.10934,1.0703,1.0307,0.99047,0.94962,0.90825,0.86647,0.82439,0.78211,0.73974,0.69739,0.655155,0.613153,0.571486,0.53026,0.489582,0.449557,0.410292,0.371893,0.334467,0.298119,0.262957,0.229086,0.19661,0.16564,0.13628,0.10864,0.082818,0.058926,0.037069,0.017354,-0.00011338,-0.015227,-0.02788,-0.037967,-0.045381,-0.050016,-0.051765,-0.050546,-0.046517,-0.039976,-0.031223,-0.020558,-0.0082808,0.0053085,0.01991,0.035223,0.050949,0.066786,0.082436,0.097597,0.111971,0.125256,0.137154,0.147363,0.155584,0.16153,0.165092,0.166388,0.165526,0.162621,0.157785,0.151133,0.142778,0.132834,0.121413,0.10863,0.0945981,0.0794309,0.063242,0.0461444,0.0282523,0.0096789,-0.0094621,-0.029057,-0.048993,-0.0691559,-0.089432,-0.089432,-0.081976,-0.074565,-0.067244,-0.060059,-0.053053,-0.046273,-0.0397624,-0.0335675,-0.0277331,-0.022304,-0.017325,-0.012842,-0.0088996,-0.0055426,-0.0028161,-0.00076537,0.00056469,0.001129,0.00088251,-0.00021982,-0.00222303,-0.0051695,-0.0090427,-0.013768,-0.019269,-0.025469,-0.0322911,-0.039658,-0.04749316,-0.05572,-0.0642612,-0.07304,-0.081981,-0.091005,-0.100037,-0.108999,-0.117816,-0.126409,-0.134702,-0.14262,-0.150113,-0.157187,-0.16385,-0.170108,-0.175972,-0.181448,-0.186546,-0.191273,-0.195638,-0.199648,-0.203313,-0.206641,-0.209639,-0.212316,-0.21468,-0.2167398,-0.2185031,-0.2199783,-0.2211737,-0.222097,-0.2227579,-0.2231632,-0.223322,-0.223241,-0.222931,-0.222398,-0.2216515,-0.220699,-0.219549,-0.218211,-0.216691,-0.214998,-0.2131413,-0.2111282,-0.2089669,-0.206664,-0.2042251,-0.201656,-0.198962,-0.196149,-0.193223,-0.190189,-0.187053,-0.183821,-0.180498,-0.17709,-0.173603,-0.1700418,-0.1664129,-0.1627217,-0.1589738,-0.1551749,-0.1513307,-0.14744686,-0.143529,-0.1395828,-0.135614,-0.131628,-0.127631,-0.123628
1,GSN,0,0,55.058,3.1595e-11,2.3908e-07,1.90712,1.8906728,1.87418,1.8576,1.84087,1.82395,1.8068,1.7894,1.7716,1.7535,1.7349,1.7158,1.6963,1.6761,1.6554,1.634,1.6119,1.589,1.5653,1.5408,1.5154,1.48902,1.46166,1.43325,1.4038,1.3731,1.34134,1.30835,1.27426,1.23918,1.2032,1.16641,1.12892,1.09082,1.05221,1.013188,0.97385,0.934295,0.89462,0.854924,0.815303,0.775855,0.736678,0.69787,0.659527,0.621749,0.58463,0.54827,0.51277,0.47823,0.444732,0.412387,0.381289,0.351536,0.32322611,0.296456,0.271324,0.247927,0.226364,0.206731,0.189127,0.173634,0.160186,0.148626,0.1388,0.130551,0.1237225,0.1181594,0.11371,0.110204,0.1075,0.105436,0.103858,0.102608,0.10153,0.10047,0.09927,0.097774,0.095827,0.093277,0.090059,0.086202,0.081739,0.0767,0.071118,0.065025,0.058452,0.051433,0.043998,0.036179,0.0280095,0.0195202,0.010743,0.0017108,-0.0075454,-0.0169932,-0.0266008,-0.036336,-0.046167,-0.0560626,-0.06599,-0.06599,-0.066033,-0.066082,-0.066138,-0.066208,-0.066295,-0.066404,-0.066538,-0.0667027,-0.0669019,-0.06714,-0.067421,-0.06775,-0.0681304,-0.068567,-0.069064,-0.06962579,-0.07025664,-0.0709609,-0.07174281,-0.07260676,-0.07355704,-0.0745977,-0.0757272,-0.076938,-0.078224,-0.079576,-0.0809882,-0.082452,-0.08396155,-0.085508,-0.0870848,-0.088684,-0.090299,-0.091922,-0.093546,-0.095163,-0.096765,-0.098347,-0.0999,-0.101416,-0.102894,-0.10434,-0.10576,-0.107162,-0.108552,-0.109937,-0.111325,-0.112721,-0.114134,-0.115569,-0.117034,-0.118536,-0.120081,-0.121677,-0.12333,-0.1250473,-0.1268358,-0.1287024,-0.130654,-0.132697,-0.1348397,-0.1370876,-0.139448,-0.141928,-0.144534,-0.147274,-0.150154,-0.153181,-0.156362,-0.159704,-0.163214,-0.166898,-0.170764,-0.1748185,-0.1790674,-0.1835076,-0.1881314,-0.192931,-0.197899,-0.203028,-0.20831,-0.213738,-0.219303,-0.224998,-0.230815,-0.236748,-0.242787,-0.2489262,-0.255157,-0.261472,-0.2678635,-0.2743238,-0.2808454,-0.28742057,-0.2940416,-0.300701,-0.307391,-0.314104,-0.320832,-0.327568
2,SLC44A1,0,0,38.965,7.0829e-08,0.00053561,2.18595,2.1467435,2.10753,2.0683,2.02904,1.98976,1.95044,1.9111,1.8717,1.8322,1.7926,1.753,1.7133,1.6735,1.6336,1.5936,1.5535,1.5132,1.4729,1.4324,1.3917,1.35095,1.30999,1.26887,1.2276,1.1861,1.14444,1.10261,1.06069,1.01875,0.97689,0.93519,0.89373,0.85259,0.811859,0.771614,0.73194,0.69292,0.654636,0.617173,0.580612,0.545036,0.510528,0.477172,0.445049,0.414243,0.38484,0.35691,0.33055,0.30584,0.282865,0.261699,0.24243,0.225141,0.20991364,0.196832,0.185978,0.177435,0.171286,0.167614,0.166501,0.168009,0.171979,0.178125,0.186158,0.195791,0.2067339,0.2186994,0.2314,0.244544,0.257847,0.271019,0.283772,0.295817,0.306866,0.31663,0.324823,0.331154,0.335336,0.33709,0.336326,0.333158,0.327707,0.320091,0.310432,0.298849,0.285464,0.270395,0.253763,0.235688,0.2162916,0.1956926,0.174012,0.151369,0.1278848,0.1036793,0.0788727,0.053585,0.027937,0.0020486,-0.02396,-0.02396,-0.031717,-0.039402,-0.04694,-0.054259,-0.061286,-0.067948,-0.074172,-0.0798848,-0.0850133,-0.089485,-0.093226,-0.096164,-0.0982255,-0.099338,-0.0994282,-0.09842302,-0.09624957,-0.0928348,-0.08810562,-0.08198908,-0.07441213,-0.0653075,-0.0547353,-0.042881,-0.029934,-0.016087,-0.0015281,0.013551,0.02895987,0.044508,0.0600057,0.075262,0.090086,0.104287,0.117676,0.130061,0.141252,0.151059,0.159291,0.165759,0.170371,0.173204,0.174351,0.173903,0.171953,0.168595,0.163919,0.15802,0.150989,0.142919,0.133902,0.124032,0.1134,0.102099,0.090222,0.0778612,0.0651092,0.0520584,0.0388014,0.025431,0.0120392,-0.001281,-0.014437,-0.027337,-0.039888,-0.051997,-0.0635716,-0.07452,-0.084749,-0.094166,-0.102679,-0.110195,-0.116622,-0.1218668,-0.1258476,-0.1285698,-0.1300836,-0.130439,-0.129687,-0.127878,-0.125061,-0.121288,-0.116608,-0.111072,-0.104731,-0.097634,-0.089833,-0.0813764,-0.0723159,-0.0627016,-0.0525838,-0.0420128,-0.0310389,-0.01971257,-0.0080841,0.0037961,0.015878,0.02811,0.040444,0.052828
3,MMRN1,0,0,74.362,2.7183e-15,2.058e-11,2.83671,2.8307384,2.82468,2.81843,2.81191,2.80501,2.79766,2.7897,2.7812,2.7719,2.7618,2.7507,2.7386,2.7255,2.7111,2.6954,2.6783,2.6598,2.6397,2.6179,2.5943,2.56893,2.5416,2.51223,2.4807,2.447,2.41099,2.37263,2.33206,2.28942,2.24485,2.19848,2.15045,2.10091,2.049981,1.997816,1.944547,1.890314,1.835256,1.779509,1.723214,1.666507,1.609528,1.552416,1.495308,1.438342,1.38166,1.32539,1.26969,1.21468,1.160505,1.107304,1.055215,1.004376,0.95492586,0.907003,0.860745,0.816292,0.773781,0.73335,0.695139,0.659273,0.625746,0.594476,0.565379,0.538373,0.5133752,0.4903011,0.46907,0.449593,0.431792,0.415583,0.400883,0.387607,0.375674,0.364999,0.355499,0.347093,0.339695,0.33322,0.327618,0.322834,0.318831,0.315569,0.313005,0.3111,0.309811,0.309098,0.30892,0.309235,0.3100028,0.3111816,0.31273,0.3146082,0.3167739,0.3191863,0.3218043,0.324587,0.327493,0.3304807,0.33351,0.33351,0.318334,0.303186,0.288091,0.273078,0.258172,0.243402,0.2287931,0.2143735,0.2001697,0.186209,0.172518,0.159124,0.1460541,0.133335,0.1209937,0.10905742,0.09755298,0.0865074,0.07594775,0.06590093,0.05639398,0.0474529,0.0390811,0.03126,0.023971,0.017193,0.0109074,0.005095,-0.00026401,-0.005189,-0.0096996,-0.013815,-0.017555,-0.020939,-0.023986,-0.026716,-0.029149,-0.031303,-0.033198,-0.034855,-0.036287,-0.037507,-0.038521,-0.039341,-0.039975,-0.040432,-0.040722,-0.040853,-0.040836,-0.040679,-0.040391,-0.039982,-0.039461,-0.038837,-0.038119,-0.0373173,-0.0364402,-0.0354971,-0.0344974,-0.03345,-0.0323647,-0.0312503,-0.030116,-0.028971,-0.027825,-0.026687,-0.0255658,-0.024471,-0.023412,-0.022398,-0.021437,-0.02054,-0.019716,-0.0189733,-0.0183206,-0.0177583,-0.0172829,-0.016891,-0.016578,-0.016342,-0.016177,-0.016082,-0.016052,-0.016083,-0.016172,-0.016315,-0.016509,-0.0167506,-0.0170351,-0.0173595,-0.01772,-0.0181131,-0.0185351,-0.01898249,-0.0194516,-0.0199388,-0.02044,-0.020953,-0.021473,-0.021996
4,RAP1B,0,0,129.075,6.1412e-27,4.6532e-23,3.13274,3.1238653,3.11494,3.10593,3.09678,3.08745,3.07789,3.0681,3.0579,3.0474,3.0364,3.0251,3.0132,3.0007,2.9877,2.974,2.9597,2.9446,2.9287,2.912,2.8944,2.87597,2.85654,2.8361,2.8146,2.792,2.7683,2.74342,2.71743,2.6904,2.66238,2.63343,2.60362,2.57299,2.541609,2.509537,2.476831,2.443548,2.409749,2.375492,2.340835,2.305837,2.270557,2.235053,2.199385,2.163611,2.12779,2.09198,2.05624,2.02063,1.985205,1.950028,1.915156,1.880648,1.84656153,1.812957,1.779892,1.747425,1.715616,1.684523,1.654204,1.624709,1.595991,1.567946,1.540469,1.513455,1.4868,1.4603996,1.43415,1.407943,1.381679,1.35525,1.328553,1.301482,1.273934,1.245804,1.216987,1.187378,1.156874,1.1254,1.092844,1.059335,1.024895,0.989573,0.953417,0.916477,0.878802,0.840441,0.801442,0.761855,0.7217282,0.6811117,0.640054,0.5986041,0.556811,0.5147239,0.4723916,0.429863,0.387188,0.3444144,0.301592,0.301592,0.285795,0.270072,0.254499,0.239151,0.224102,0.209426,0.1951997,0.1814966,0.1683919,0.15596,0.144277,0.133415,0.1234519,0.1144607,0.1065164,0.09969408,0.09406837,0.0897141,0.08670604,0.08511901,0.08502779,0.0865019,0.0894944,0.093844,0.099384,0.105949,0.1133727,0.121488,0.13013027,0.139132,0.1483276,0.157551,0.166635,0.175415,0.183724,0.191396,0.198264,0.204163,0.208926,0.212389,0.214474,0.215254,0.214817,0.21325,0.210643,0.207082,0.202655,0.197451,0.191557,0.185061,0.17805,0.170613,0.162838,0.154812,0.146623,0.1383594,0.1301084,0.1219582,0.1139965,0.106311,0.0989902,0.0921213,0.085792,0.080091,0.075105,0.070923,0.0676325,0.065321,0.064076,0.063986,0.065139,0.067623,0.0715247,0.0769328,0.0839241,0.092483,0.1025471,0.114054,0.12694,0.141144,0.156602,0.173251,0.19103,0.209875,0.229723,0.250512,0.272179,0.2946614,0.3178964,0.3418214,0.3663735,0.3914901,0.4171085,0.44316585,0.4695995,0.4963468,0.523345,0.550531,0.577843,0.605218
5,RGS18,0,0,56.443,1.6193e-11,1.2255e-07,2.99838,2.9780151,2.95763,2.9372,2.91672,2.89617,2.87552,2.8548,2.8339,2.8128,2.7916,2.7702,2.7486,2.7268,2.7047,2.6824,2.6598,2.6369,2.6136,2.59,2.5661,2.54182,2.51713,2.49203,2.4665,2.4405,2.41405,2.38712,2.35968,2.33172,2.30323,2.27419,2.24459,2.2144,2.183623,2.152233,2.120216,2.087556,2.054238,2.020246,1.985564,1.950178,1.91407,1.877226,1.83963,1.801266,1.76212,1.72217,1.68141,1.63982,1.597379,1.554079,1.509902,1.464831,1.4188522,1.371949,1.324105,1.275306,1.225535,1.174777,1.123016,1.070254,1.016657,0.96249,0.908019,0.85351,0.7992285,0.7454413,0.69241,0.640413,0.589703,0.540551,0.493223,0.447984,0.405101,0.36484,0.327466,0.293246,0.262446,0.23532,0.211921,0.192075,0.175606,0.162337,0.152089,0.144686,0.139949,0.1377,0.137762,0.139957,0.1441072,0.150035,0.157562,0.166512,0.1767058,0.1879661,0.2001151,0.212975,0.226368,0.2401172,0.254044,0.254044,0.239899,0.225784,0.211724,0.197751,0.183891,0.170173,0.1566252,0.1432767,0.1301556,0.11729,0.104709,0.092441,0.0805135,0.0689557,0.0577958,0.04706218,0.03678335,0.0269877,0.01770368,0.00895968,0.00078414,-0.0067957,-0.0137797,-0.020194,-0.026066,-0.031423,-0.0362921,-0.040701,-0.04467698,-0.048247,-0.0514392,-0.05428,-0.056797,-0.059018,-0.06097,-0.062681,-0.064177,-0.065486,-0.066635,-0.067652,-0.068556,-0.06935,-0.070039,-0.070626,-0.071113,-0.071505,-0.071804,-0.072014,-0.072138,-0.072179,-0.07214,-0.072025,-0.071836,-0.071578,-0.071254,-0.0708658,-0.0704178,-0.0699129,-0.0693544,-0.068746,-0.0680897,-0.06739,-0.06665,-0.065872,-0.06506,-0.064218,-0.0633477,-0.062453,-0.061538,-0.060605,-0.059657,-0.058698,-0.0577303,-0.0567582,-0.0557844,-0.0548098,-0.0538344,-0.052858,-0.051882,-0.050904,-0.049927,-0.048948,-0.047969,-0.04699,-0.04601,-0.045029,-0.044048,-0.043067,-0.0420854,-0.0411035,-0.0401213,-0.0391388,-0.038156,-0.03717307,-0.0361899,-0.0352067,-0.034223,-0.03324,-0.032256,-0.031273
6,LTBP1,0,0,77.784,5.1322e-16,3.8861e-12,2.96474,2.877302,2.79002,2.70303,2.6165,2.53057,2.44539,2.3611,2.2779,2.1959,2.1152,2.0361,1.9586,1.8829,1.8092,1.7376,1.6683,1.6014,1.537,1.4753,1.4166,1.36079,1.30819,1.25891,1.2131,1.1709,1.13247,1.09785,1.06688,1.03933,1.01503,0.99377,0.97534,0.95956,0.946223,0.935127,0.926075,0.918869,0.913309,0.909196,0.906331,0.904515,0.903548,0.903233,0.903369,0.903758,0.9042,0.9045,0.90445,0.90386,0.902527,0.900251,0.896836,0.89208,0.8857854,0.877753,0.867783,0.855678,0.841237,0.824262,0.804554,0.781944,0.756575,0.728771,0.698858,0.667164,0.6340142,0.5997361,0.56466,0.529101,0.493397,0.457871,0.422849,0.388658,0.355626,0.324077,0.29434,0.26674,0.241605,0.21925,0.199775,0.183051,0.16894,0.157306,0.148009,0.140914,0.135882,0.132776,0.131458,0.131791,0.1336365,0.1368579,0.141317,0.1468772,0.1533999,0.160748,0.1687839,0.17737,0.186369,0.1956426,0.205054,0.205054,0.18101,0.157044,0.133233,0.109655,0.086389,0.063511,0.0411005,0.0192339,-0.0020105,-0.022555,-0.042322,-0.061233,-0.0792116,-0.0961789,-0.1120574,-0.12676938,-0.14023711,-0.1523828,-0.16312866,-0.17239696,-0.18010991,-0.1861945,-0.1906828,-0.19371,-0.195417,-0.195942,-0.1954253,-0.194007,-0.19182624,-0.189023,-0.1857376,-0.182109,-0.178277,-0.174382,-0.170563,-0.16696,-0.163713,-0.160961,-0.158845,-0.157503,-0.157007,-0.157319,-0.158386,-0.160158,-0.162583,-0.16561,-0.169189,-0.173267,-0.177793,-0.182717,-0.187987,-0.193552,-0.199361,-0.205363,-0.211506,-0.2177388,-0.2240111,-0.2302712,-0.236468,-0.24255,-0.2484668,-0.2541664,-0.259598,-0.26471,-0.269452,-0.273772,-0.2776196,-0.280943,-0.283691,-0.285813,-0.287257,-0.287972,-0.2879073,-0.2870114,-0.2852394,-0.2825991,-0.279125,-0.274852,-0.269814,-0.264047,-0.257586,-0.250464,-0.242717,-0.234379,-0.225485,-0.216071,-0.20617,-0.1958169,-0.1850474,-0.1738956,-0.1623965,-0.1505847,-0.138495,-0.12616216,-0.1136208,-0.1009058,-0.088052,-0.075094,-0.062066,-0.049003
7,NRIP1,1,0,41.561,2.0572e-08,0.00015559,3.26992,3.1787085,3.08757,2.99659,2.90583,2.81537,2.72529,2.6357,2.5466,2.458,2.3702,2.2831,2.1969,2.1115,2.0272,1.9438,1.8617,1.7807,1.7009,1.6226,1.5456,1.47022,1.39636,1.32416,1.2537,1.185,1.11823,1.05337,0.99047,0.92955,0.87062,0.8137,0.75882,0.70598,0.655205,0.606517,0.559931,0.515466,0.47314,0.43297,0.394976,0.359174,0.325583,0.294222,0.265107,0.238258,0.21369,0.19143,0.17148,0.15388,0.138627,0.125751,0.115266,0.107191,0.10154487,0.098345,0.097609,0.099356,0.103604,0.11037,0.119673,0.131515,0.145734,0.162073,0.180272,0.200074,0.2212191,0.243449,0.2665,0.290128,0.31406,0.338042,0.361815,0.38512,0.407699,0.429293,0.449644,0.468492,0.485579,0.50065,0.513634,0.524613,0.53369,0.540966,0.546541,0.550514,0.552986,0.554057,0.553827,0.552396,0.5498639,0.5463311,0.541898,0.5366634,0.5307287,0.5241935,0.5171579,0.509722,0.501986,0.4940495,0.486013,0.486013,0.461252,0.436574,0.412061,0.387796,0.363862,0.340341,0.3173157,0.2948694,0.2730843,0.252043,0.231829,0.212524,0.1942103,0.1769717,0.1608903,0.14604894,0.13253013,0.1204166,0.10979098,0.10073596,0.09333419,0.0876631,0.0836835,0.081242,0.08018,0.08034,0.0815626,0.08369,0.08656403,0.090026,0.093918,0.098081,0.102358,0.106589,0.110617,0.114284,0.11743,0.119898,0.121529,0.122166,0.121727,0.120262,0.117832,0.114498,0.110322,0.105366,0.099691,0.093358,0.08643,0.078967,0.071031,0.062684,0.053987,0.045002,0.03579,0.0264129,0.0169322,0.0074094,-0.0020941,-0.011517,-0.0207966,-0.0298727,-0.038683,-0.047167,-0.055262,-0.062906,-0.0700394,-0.076599,-0.082525,-0.087754,-0.092225,-0.095877,-0.0986479,-0.1004766,-0.1013087,-0.1011522,-0.1000463,-0.098031,-0.095145,-0.091428,-0.08692,-0.081661,-0.07569,-0.069046,-0.061769,-0.053899,-0.045475,-0.0365373,-0.0271246,-0.0172767,-0.0070333,0.0035662,0.014482,0.02567482,0.0371049,0.0487328,0.060519,0.072424,0.084408,0.096431
8,VCL,0,0,102.67,2.6567e-21,2.0124e-17,3.44712,3.3302782,3.21377,3.09791,2.98303,2.86945,2.75751,2.6475,2.5398,2.4348,2.3326,2.2337,2.1384,2.0471,1.96,1.8774,1.7998,1.7273,1.6605,1.5995,1.5447,1.49642,1.45502,1.42081,1.3941,1.3752,1.36454,1.36204,1.36726,1.37962,1.39856,1.42351,1.45392,1.48921,1.528819,1.572184,1.61874,1.667922,1.719164,1.771902,1.825572,1.879607,1.933443,1.986516,2.038261,2.088111,2.1355,2.17987,2.22066,2.25728,2.289195,2.315823,2.336604,2.350972,2.35836339,2.358212,2.349954,2.333025,2.306858,2.27089,2.224555,2.167398,2.100075,2.023891,1.940161,1.850198,1.7553162,1.6568303,1.55605,1.454301,1.352886,1.253122,1.156324,1.063806,0.976882,0.896865,0.82507,0.76281,0.711401,0.67212,0.645327,0.630477,0.626968,0.634205,0.65159,0.678527,0.714417,0.758665,0.810674,0.869846,0.9355841,1.007292,1.084372,1.1662286,1.2522634,1.3418799,1.4344812,1.52947,1.62625,1.7242241,1.822795,1.822795,1.729778,1.63703,1.544819,1.453415,1.363084,1.274098,1.1867227,1.1012284,1.0178833,0.936956,0.858715,0.78343,0.7113685,0.6427996,0.5779917,0.51721379,0.46073433,0.408822,0.36174554,0.31977353,0.28317463,0.2522027,0.2267815,0.206511,0.190978,0.179768,0.1724681,0.168664,0.16794328,0.169891,0.1740942,0.180139,0.187612,0.196099,0.205187,0.214462,0.223511,0.231919,0.239274,0.245163,0.249346,0.25187,0.252814,0.252255,0.250269,0.246936,0.242331,0.236533,0.229618,0.221665,0.21275,0.202951,0.192346,0.181011,0.169025,0.1564642,0.1434064,0.129929,0.1161094,0.102025,0.0877531,0.0733712,0.058957,0.044587,0.03034,0.016292,0.0025208,-0.010896,-0.02388,-0.036356,-0.048245,-0.05947,-0.0699531,-0.0796178,-0.0883944,-0.0962832,-0.1033194,-0.109538,-0.114976,-0.119668,-0.123649,-0.126955,-0.129621,-0.131684,-0.133178,-0.134139,-0.134603,-0.1346056,-0.1341815,-0.1333666,-0.1321965,-0.1307066,-0.1289326,-0.12690981,-0.1246739,-0.1222604,-0.119705,-0.117043,-0.114309,-0.111541
9,FLI1,1,0,87.374,4.7554e-18,3.6012e-14,3.8009,3.6859932,3.57136,3.45726,3.34397,3.23177,3.1209,3.0117,2.9043,2.7991,2.6963,2.5962,2.4991,2.4052,2.3148,2.2282,2.1456,2.0674,1.9937,1.9249,1.8612,1.80284,1.75017,1.70344,1.6629,1.6288,1.60148,1.58093,1.56679,1.55865,1.55607,1.55864,1.56594,1.57754,1.593016,1.611953,1.633925,1.65851,1.685286,1.713829,1.743718,1.77453,1.805842,1.837233,1.86828,1.89856,1.92765,1.95513,1.98058,2.00357,2.023677,2.040486,2.053572,2.062512,2.06688393,2.066265,2.060232,2.048364,2.030237,2.00543,1.97352,1.934149,1.887617,1.834607,1.77581,1.711914,1.6436077,1.5715807,1.49652,1.41912,1.340065,1.260044,1.179748,1.099865,1.021085,0.944096,0.869587,0.798248,0.730767,0.66782,0.609628,0.555998,0.506697,0.461497,0.42017,0.382488,0.348224,0.31715,0.289038,0.26366,0.2407883,0.2201949,0.201652,0.1849318,0.1698065,0.1560482,0.1434292,0.131721,0.120697,0.1101288,0.099788,0.099788,0.094818,0.089885,0.085026,0.080279,0.075679,0.071264,0.0670713,0.0631376,0.0595,0.056195,0.053261,0.050734,0.0486504,0.0470482,0.0459642,0.04543526,0.04549847,0.0461908,0.04754931,0.04961097,0.05241278,0.0559885,0.0602996,0.065236,0.070686,0.076536,0.0826746,0.088988,0.09536423,0.10169,0.1078541,0.113743,0.119243,0.124244,0.128631,0.132293,0.135116,0.136989,0.137799,0.137433,0.135842,0.133082,0.12922,0.124322,0.118455,0.111686,0.10408,0.095705,0.086627,0.076912,0.066628,0.05584,0.044616,0.033022,0.021124,0.0089889,-0.0033163,-0.0157254,-0.0281718,-0.040589,-0.05291,-0.0650687,-0.076998,-0.088633,-0.099905,-0.110748,-0.121096,-0.130882,-0.14004,-0.148503,-0.156204,-0.163077,-0.169056,-0.1740733,-0.1780706,-0.1810548,-0.1830663,-0.184145,-0.184333,-0.183669,-0.182195,-0.17995,-0.176976,-0.173313,-0.169002,-0.164082,-0.158595,-0.1525813,-0.146081,-0.1391348,-0.1317833,-0.124067,-0.1160265,-0.10770224,-0.0991348,-0.0903647,-0.081432,-0.072379,-0.063244,-0.054068
