,HumanGene,MouseGene,correlation
676,MRPL36,Mrpl36,-0.387818743
677,LUC7L,Luc7l,-0.4413205031
678,CRNKL1,Crnkl1,0.9602218009
679,SCYL1,Scyl1,0.855773002
680,ABCF2,Abcf2,-0.3459830251
681,MRPL28,Mrpl28,-0.3685049194
682,PRDX6,Prdx6,-0.7259487349
683,CTSB,Ctsb,0.9829342181
684,BAG2,Bag2,0.4750838986
685,RPIA,Rpia,-0.4086597702
686,TMCC2,Tmcc2,0.7114682881
687,DMTN,Dmtn,0.3279164825
688,CCNDBP1,Ccndbp1,0.9856399032
689,WDR26,Wdr26,0.8263553811
690,XPO7,Xpo7,0.8877132771
691,GYPC,Gypc,0.2884631816
692,OAZ1,Oaz1,0.8157942091
693,ANK1,Ank1,0.3100647005
694,BSG,Bsg,0.1150010918
695,BLVRB,Blvrb,0.385232257
696,GSPT1,Gspt1,-0.2259503799
697,TRAK2,Trak2,0.3343065405
698,FAM210B,Fam210b,0.3054139274
699,ADIPOR1,Adipor1,0.9228064348
700,MPP1,Mpp1,0.9137352112
701,RNF10,Rnf10,0.9483132646
702,DCAF12,Dcaf12,0.907940624
703,FECH,Fech,0.9774645962
704,BCL2L1,Bcl2l1,0.9533995511
705,RBM38,Rbm38,0.1109731846
706,YBX3,Ybx3,0.9645166661
707,GLRX5,Glrx5,0.7157186148
708,BPGM,Bpgm,0.9570335313
709,SLC4A1,Slc4a1,0.9736307351
710,MKRN1,Mkrn1,0.9404626995
711,FAM46C,Fam46c,0.9557058675
712,HBA1,Hba-a1,0.9766986359
713,SLC25A39,Slc25a39,0.9756708187
714,SNCA,Snca,0.9774253477
715,HBA2,Hba-a1,0.9842572858
716,BNIP3L,Bnip3l,0.9554948828
717,ALAS2,Alas2,0.9748004683
718,SLC25A37,Slc25a37,0.9848295993
719,HBB,Hbb-bs,0.9724183302
