,HumanGene,MouseGene,correlation
156,TMX1,Tmx1,0.0678909625
157,CUTA,Cuta,0.8511361638
158,IPO5,Ipo5,0.921142994
159,ATIC,Atic,0.8992265235
160,CD47,Cd47,0.3611135546
161,MORF4L2,Morf4l2,0.932504996
162,UQCRB,Uqcrb,0.7653614234
163,ST13,St13,0.9411125124
164,TXN,Txn1,0.9088994429
165,KPNB1,Kpnb1,0.8979430785
166,RBMX2,Rbmx2,-0.5451748353
167,PPID,Ppid,0.8453150321
168,NFE2L2,Nfe2l2,0.9304234171
169,DCTPP1,Dctpp1,0.8110533761
170,CHCHD10,Chchd10,0.4151048355
171,RRS1,Rrs1,0.8104111285
172,ATP2A2,Atp2a2,0.9069078975
173,YWHAG,Ywhag,0.9580871266
174,RPS27L,Rps27l,0.9577405896
175,WDR82,Wdr82,0.9556940646
176,DHX15,Dhx15,0.9510159441
177,TFR2,Tfr2,0.9562397196
178,MBNL1,Mbnl1,0.763994123
179,AK2,Ak2,0.8646218093
180,PARP1,Parp1,0.8904725079
181,FBL,Fbl,0.9241606515
182,PRPF8,Prpf8,0.8597130613
183,CANX,Canx,0.9329524057
184,MORF4L1,Morf4l1,0.9690885866
185,DDX5,Ddx5,0.9240356201
186,CHCHD2,Chchd2,0.957983315
187,ZFPM1,Zfpm1,0.074741332
188,SMCHD1,Smchd1,0.9111900005
189,WDR43,Wdr43,0.9641326889
190,PPIB,Ppib,0.6876466378
191,EIF6,Eif6,0.8648087457
192,NOP16,Nop16,0.9208492485
193,ANAPC5,Anapc5,0.374847184
194,CERS2,Cers2,0.9546267201
195,MOSPD3,Mospd3,0.825790233
196,PRRC2C,Prrc2c,0.8431674874
197,SRP72,Srp72,0.8562052062
198,UBA2,Uba2,0.8840338775
199,SDHC,Sdhc,0.9630461086
200,SRM,Srm,0.9387581424
201,PCBP2,Pcbp2,0.9900144847
202,DKC1,Dkc1,0.9429093504
203,TBCA,Tbca,0.8462507278
204,SYNCRIP,Syncrip,0.9620108611
205,SLC25A5,Slc25a5,0.9696226306
206,C1QBP,C1qbp,0.9385860916
207,CFL1,Cfl1,0.9933112602
208,COX5A,Cox5a,0.9693643136
209,CTBP1,Ctbp1,0.5184549696
210,SPCS3,Spcs3,0.833798963
211,EMC6,Emc6,0.9026839748
212,CAD,Cad,0.9734540293
213,NUP62,Nup62,0.6603772202
214,CFDP1,Cfdp1,0.7947915334
215,SNRPA1,Snrpa1,0.9714866326
216,COX6B1,Cox6b1,0.8503043367
217,ISOC1,Isoc1,-0.6900549327
218,NECAP2,Necap2,0.7254344857
219,NUDT21,Nudt21,0.9387942958
220,TSN,Tsn,0.8954569927
221,CCT5,Cct5,0.9210492882
222,SRSF1,Srsf1,0.8480733637
223,SUMO2,Sumo2,0.9447987148
224,C1orf131,2810004N23Rik,0.927381282
225,NSUN2,Nsun2,0.8912292773
226,NUDCD2,Nudcd2,0.9205551967
227,UQCRC2,Uqcrc2,0.8881059376
228,POLR2F,Polr2f,0.974137748
229,HCFC1,Hcfc1,0.8348022872
230,G3BP1,G3bp1,0.9108055248
231,SLC25A3,Slc25a3,0.9469717704
