,gene,Group1,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Group11,Group12,Group13,Group14,Group15,statisticsValue,P-value,Adj P-value
3071,SPINT2,-0.05815,-0.07888,-0.10484,0.10462,0.08308,-0.09632,-0.3245,-0.4385,-0.08339,-0.13972,-0.27018,-0.27311,-0.24652,-0.31491,-0.14663,211.0218,3.05e-37,1.98e-33
3072,SPN,-0.31355,-0.19497,-0.22732,0.0848,0.05848,-0.03034,-0.56827,-0.64447,0.04556,-0.04249,0.2275,-0.01622,-0.27074,-0.35892,-0.34192,807.68092,2.52e-163,1.83e-159
3073,SPNS3,-0.08718,-0.09388,-0.11158,-0.14404,-0.15266,-0.17536,-0.19034,-0.18202,-0.10665,-0.03122,0.00453,0.12882,-0.03242,-0.11268,-0.01337,86.51125,1.72e-12,9.17e-09
3074,SPOP,-0.22547,-0.21682,-0.17825,-0.07486,-0.08268,-0.10356,-0.2697,-0.27064,-0.17945,-0.13842,-0.18364,-0.11548,-0.17216,-0.18064,-0.10494,50.002,6.1e-06,0.0241
3075,SPRTN,-0.02644,-0.03545,-0.05649,-0.06295,-0.05234,-0.08491,0.02905,0.04051,-0.07718,-0.08482,-0.09193,-0.09411,-0.02445,-0.06768,-0.08292,78.38078,5.64e-11,2.9e-07
3076,SPRYD7,-0.04104,-0.06738,-0.08783,-0.08826,-0.09663,-0.08268,-0.03271,0.05848,-0.09516,-0.09936,-0.10553,-0.10128,-0.09943,-0.07421,-0.10495,87.37031,1.19e-12,6.35e-09
3077,SPTA1,-0.33951,-0.32641,-0.33673,-0.317,-0.32378,-0.11023,0.63318,0.81448,-0.32131,-0.33846,-0.32438,-0.32828,-0.33152,-0.3189,-0.32342,1061.87048,8.23e-218,6.03e-214
3078,SPTB,-0.2908,-0.28334,-0.28885,-0.25389,-0.28189,-0.13476,0.59215,0.32746,-0.28261,-0.29139,-0.27956,-0.28272,-0.29031,-0.28964,-0.29193,521.16775,3.01e-102,2.14e-98
3079,SPTBN1,-0.04356,-0.11073,-0.0501,-0.15701,-0.13917,-0.18978,-0.222,-0.20006,-0.11694,-0.05417,-0.14096,-0.14372,-0.07878,-0.02551,-0.1558,60.4487,9.79e-08,0.000438
3080,SPTLC2,-0.20189,-0.17722,-0.2066,-0.17416,-0.14783,-0.08587,-0.21356,-0.30551,-0.18376,-0.17389,-0.18059,-0.13897,-0.20364,-0.21418,-0.25496,76.73102,1.14e-10,5.78e-07
