,gene,Group1,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Group11,Group12,Group13,Group14,Group15,statisticsValue,P-value,Adj P-value
0,AAK1,-0.17718,-0.18551,-0.18315,-0.20038,-0.19905,-0.19174,-0.17252,-0.10929,-0.05146,-0.07998,0.03964,0.0777,-0.17114,-0.10363,-0.16798,90.40239,3.19e-13,1.72e-09
1,AAMDC,-0.03457,-0.06397,-0.07905,-0.09616,-0.09383,-0.08777,0.00788,0.03339,-0.08849,-0.09446,-0.10186,-0.09909,-0.0838,-0.07299,-0.0943,67.88877,4.64e-09,2.22e-05
2,AASDH,-0.06141,-0.09819,-0.0922,-0.1015,-0.07393,-0.09422,-0.02989,0.04474,-0.09597,-0.0973,-0.09129,-0.10131,-0.08904,-0.08394,-0.08048,61.28079,6.99e-08,0.000315
3,ABCB10,-0.36199,-0.33272,-0.34831,-0.34548,-0.33288,-0.09903,1.03352,0.3745,-0.31046,-0.34153,-0.31373,-0.33178,-0.34891,-0.34473,-0.31048,822.69028,1.55e-166,1.12e-162
4,ABCC4,-0.16129,-0.09464,-0.16476,0.29833,0.06286,-0.05122,-0.16926,-0.1465,-0.13172,-0.14977,-0.17122,-0.17371,-0.16936,-0.18241,-0.18972,76.95092,1.04e-10,5.28e-07
5,ABCD4,-0.04146,-0.06854,-0.09335,-0.08382,-0.0705,-0.10472,0.05686,0.04045,-0.0714,-0.09658,-0.0762,-0.08587,-0.07669,-0.07709,-0.07346,93.43333,8.49e-14,4.64e-10
6,ABCE1,-0.261,-0.21179,-0.1982,-0.13144,-0.05944,-0.046,-0.28209,-0.26068,-0.22858,-0.0899,-0.11371,-0.07986,-0.18726,-0.15374,-0.1894,126.37964,3.52e-20,2.09e-16
7,ABCF2,-0.08801,-0.11168,-0.1145,-0.11932,-0.12157,-0.10057,-0.04832,0.02498,-0.12385,-0.1123,-0.09247,-0.08637,-0.11796,-0.11146,-0.12051,69.64931,2.23e-09,1.08e-05
8,ABCG1,-0.07398,-0.0673,-0.07135,-0.10692,-0.08704,-0.09584,-0.02299,0.07096,-0.08983,-0.08097,-0.09136,-0.09136,-0.07999,-0.05789,-0.08817,68.2587,3.98e-09,1.91e-05
9,ABCG2,-0.10422,-0.09473,-0.07745,-0.07147,-0.08744,-0.0517,-0.02483,-0.02464,-0.07722,-0.10894,-0.08726,-0.10364,-0.08007,-0.04343,-0.05879,78.00271,6.63e-11,3.39e-07
10,ABHD13,-0.06454,-0.09065,-0.09997,-0.05286,-0.10355,-0.10037,0.0243,0.01948,-0.09577,-0.09328,-0.07412,-0.08705,-0.09257,-0.08933,-0.09827,58.67796,2e-07,0.000878
11,ABHD15,-0.03685,-0.0767,-0.07995,-0.09797,-0.10058,-0.1019,0.00268,0.07911,-0.09186,-0.09392,-0.08202,0.02534,-0.08723,-0.02971,0.06159,106.34219,2.86e-16,1.63e-12
12,ABHD2,-0.25109,-0.11167,-0.24102,-0.15884,-0.11735,-0.05066,-0.17025,-0.30801,-0.11477,-0.20564,-0.18815,-0.16289,-0.23165,-0.24851,-0.24199,116.04798,3.73e-18,2.18e-14
13,ABRACL,-0.2641,-0.18785,-0.15006,-0.03956,-0.05338,-0.25295,-0.33127,-0.33684,-0.10439,-0.06153,0.2628,0.06094,-0.19136,-0.11027,-0.17601,412.02999,3.7e-79,2.58e-75
14,AC005154.6,-0.05137,-0.04683,-0.09006,-0.0914,-0.09363,-0.10907,-0.06606,0.02614,-0.08806,-0.09396,-0.06961,-0.04275,-0.08772,-0.05241,-0.09269,60.6431,9.05e-08,0.000405
15,AC007246.3,-0.0231,-0.06413,-0.06955,-0.07508,-0.08877,-0.08999,0.01748,0.08892,-0.07621,-0.08259,-0.07115,-0.05753,-0.05911,-0.05199,-0.04736,96.74416,1.99e-14,1.1e-10
16,AC159540.1,-0.0427,-0.06892,-0.09108,-0.09231,-0.0915,-0.10487,-0.07723,0.02345,-0.09774,-0.08175,-0.09621,-0.08144,-0.07544,-0.08072,-0.07621,55.98924,5.85e-07,0.00249
17,ACAA2,-0.24844,-0.23148,-0.20557,-0.2279,-0.20781,-0.02244,-0.20373,-0.20782,-0.21533,-0.17085,-0.17178,-0.14148,-0.21973,-0.19578,-0.14859,115.91989,3.95e-18,2.31e-14
18,ACACA,-0.04956,-0.10803,-0.11207,-0.10945,-0.10496,-0.11955,-0.00554,-0.03744,-0.1025,-0.11442,-0.10529,-0.12454,-0.10941,-0.08929,-0.11799,66.00853,1.01e-08,4.75e-05
19,ACADM,-0.26462,-0.22685,-0.20299,-0.13528,-0.1701,-0.08626,-0.28513,-0.29649,-0.21165,-0.15689,-0.19012,-0.11797,-0.1823,-0.15916,-0.08592,91.04292,2.41e-13,1.31e-09
20,ACADSB,0.01853,-0.063,-0.02506,-0.05202,-0.07256,-0.07102,-0.04283,-0.03123,-0.06168,-0.07801,-0.088,-0.08618,0.03882,-0.04057,-0.06648,53.58624,1.51e-06,0.00625
21,ACADVL,-0.34385,-0.29967,-0.29624,-0.29429,-0.25283,-0.03381,-0.2169,-0.32345,-0.2684,-0.18407,-0.02038,-0.09086,-0.31566,-0.30936,-0.1717,228.51085,7.81e-41,5.11e-37
22,ACAP3,-0.00701,-0.02996,-0.03926,-0.04614,-0.04431,-0.06887,0.06496,0.14824,-0.05094,-0.05445,-0.0693,-0.03577,-0.03119,-0.01981,-0.048,135.57709,5.36e-22,3.23e-18
23,ACAT1,-0.32661,-0.31669,-0.28463,-0.26784,-0.26629,0.03585,-0.18853,-0.31365,-0.30908,-0.18455,-0.14669,-0.10713,-0.2887,-0.31249,-0.30678,294.80366,1.43e-54,9.67e-51
24,ACBD5,-0.03245,-0.02991,-0.08242,-0.09122,-0.08375,-0.09474,0.03777,0.08785,-0.07974,-0.09632,-0.09782,-0.08173,-0.06755,-0.06253,-0.06619,117.64724,1.82e-18,1.06e-14
25,ACHE,-0.15391,-0.15391,-0.14343,-0.15391,-0.15391,-0.08588,-0.00107,-0.0193,-0.13977,-0.15391,-0.1438,-0.15391,-0.15391,-0.13057,-0.15391,51.22886,3.8e-06,0.0153
26,ACIN1,-0.29191,-0.28546,-0.22205,-0.11069,-0.14805,-0.08152,-0.28226,-0.31472,-0.21169,-0.08761,-0.16096,-0.06248,-0.25226,-0.16996,-0.22148,107.58399,1.64e-16,9.43e-13
27,ACKR1,-0.20528,-0.20528,-0.20528,-0.20528,-0.20528,-0.12762,0.09282,0.13204,-0.20372,-0.20528,-0.19614,-0.19551,-0.20528,-0.20128,-0.19192,142.92501,1.86e-23,1.13e-19
28,ACLY,-0.24438,-0.20629,-0.21413,-0.18059,-0.13733,-0.0663,-0.20898,-0.22942,-0.17075,-0.14983,-0.14177,-0.12715,-0.22015,-0.22125,-0.20931,76.72976,1.14e-10,5.79e-07
29,ACO1,-0.01428,-0.08311,-0.08168,-0.06206,-0.10558,-0.10809,-0.01746,-0.04715,-0.09883,-0.11335,-0.11702,-0.12278,-0.08839,-0.04558,-0.03842,65.12711,1.45e-08,6.79e-05
30,ACO2,-0.24353,-0.22544,-0.22649,-0.14555,-0.19984,-0.07236,-0.0945,-0.20779,-0.15775,-0.1752,-0.12838,-0.10299,-0.21215,-0.21495,-0.17757,60.94536,8e-08,0.00036
31,ACOT9,-0.086,-0.08594,-0.10629,-0.12631,-0.12627,-0.12124,-0.04142,-0.01101,-0.12487,-0.10235,-0.09313,-0.06899,-0.11141,-0.11827,-0.12192,60.29804,1.04e-07,0.000465
32,ACOX1,-0.07206,-0.09649,-0.10856,-0.10594,-0.10257,-0.11643,-0.00429,-0.01083,-0.10768,-0.11856,-0.10555,-0.10104,-0.10846,-0.11197,-0.11159,58.79144,1.91e-07,0.000839
33,ACP1,-0.19238,-0.14319,-0.14974,-0.11132,-0.16315,-0.12144,-0.12223,0.06017,-0.18348,-0.14804,-0.18276,-0.1677,-0.18995,-0.05949,-0.11816,63.79854,2.5e-08,0.000116
34,ACSF3,-0.0297,-0.04766,-0.05177,-0.04623,-0.06589,-0.06428,0.08405,0.08616,-0.04706,-0.0564,-0.05491,-0.05678,-0.06444,-0.05995,-0.05693,70.93352,1.31e-09,6.41e-06
35,ACSL6,-0.18918,-0.19761,-0.19467,-0.19282,-0.18841,-0.15629,-0.02122,0.30941,-0.16995,-0.17584,-0.16695,-0.17273,-0.18211,-0.18452,-0.18845,259.86883,2.6e-47,1.74e-43
36,ACSS1,-0.27816,-0.26706,-0.22143,-0.2421,-0.23597,-0.00108,-0.18161,-0.27614,-0.26664,-0.21804,-0.20137,-0.22668,-0.21971,-0.24182,-0.27138,177.58038,2e-30,1.26e-26
37,ACTB,-0.53729,-0.3105,-0.31035,0.79392,0.15052,-0.15647,-0.18462,-0.68817,0.1933,-0.05625,0.22757,0.78215,-0.11257,0.00301,0.97288,1419.49472,1.03e-294,7.63e-291
38,ACTG1,0.19504,0.24995,0.38084,0.46624,0.35011,-0.54227,-0.78236,-0.81899,0.24903,0.4692,0.15146,0.87478,0.81653,2.03238,1.94437,4542.01707,0.0,0.0
39,ACTL6A,-0.27699,-0.24585,-0.2423,-0.15434,-0.19508,-0.03015,-0.24332,-0.26309,-0.21416,-0.19638,-0.21325,-0.19973,-0.24752,-0.24141,-0.23888,138.03776,1.74e-22,1.06e-18
40,ACTN1,-0.3,-0.23556,-0.19442,0.2712,-0.13144,-0.24259,-0.34413,-0.30365,0.11114,0.04136,0.49693,0.23937,-0.18526,-0.10081,-0.23687,837.47807,1.06e-169,7.69e-166
41,ACTN4,-0.33975,-0.2919,-0.2778,-0.13437,-0.19519,-0.16225,-0.06163,-0.37151,-0.07132,-0.10443,0.14955,0.1221,-0.29209,-0.24929,-0.03245,315.92607,5.6e-59,3.81e-55
42,ACTR2,-0.23389,-0.13024,-0.11914,0.0577,0.01341,-0.23253,-0.60393,-0.62255,0.11686,0.1061,0.18911,0.51789,0.0122,-0.04007,0.47462,957.91686,1.66e-195,1.22e-191
43,ACTR3,-0.36473,-0.29466,-0.25952,-0.06746,-0.14993,-0.14871,-0.23307,-0.31787,0.06524,-0.11321,0.00259,0.06698,-0.2851,-0.22074,0.00624,199.34547,7.47e-35,4.79e-31
44,ADA,-0.18674,-0.19442,-0.1018,-0.19952,-0.15439,-0.20635,-0.25572,-0.22312,-0.20227,-0.07303,-0.04852,-0.07756,0.06507,0.56082,0.16616,230.72212,2.74e-41,1.79e-37
45,ADAM10,-0.22817,-0.18935,-0.18234,-0.04249,-0.17446,-0.15398,-0.22148,-0.19951,-0.13864,-0.11843,-0.07178,-0.01512,-0.18318,-0.16817,-0.11052,48.82737,9.58e-06,0.0371
46,ADAR,-0.2109,-0.19853,-0.17355,-0.21975,-0.24472,-0.14952,-0.20737,-0.25319,-0.1158,-0.11631,-0.0672,-0.03223,-0.16061,-0.14103,-0.19543,51.44727,3.49e-06,0.0141
47,ADAT2,-0.05201,-0.09739,-0.07122,-0.11458,-0.07632,-0.09609,0.0294,-0.0769,-0.07689,-0.10899,-0.10402,-0.1246,-0.07867,-0.03966,-0.10676,54.97114,8.76e-07,0.00368
48,ADCY7,-0.18479,-0.18198,-0.17935,-0.19594,-0.19397,-0.05061,-0.17928,-0.14199,-0.13006,-0.19507,-0.18704,-0.0486,-0.17887,-0.18955,-0.14255,60.79236,8.52e-08,0.000382
49,ADD1,-0.23286,-0.2324,-0.23375,-0.21739,-0.21819,-0.09898,0.08292,-0.06774,-0.18064,-0.21988,-0.17354,-0.15928,-0.21737,-0.20188,-0.16619,63.05842,3.39e-08,0.000156
50,ADD2,-0.36602,-0.32856,-0.36456,-0.36667,-0.36837,0.0867,0.4034,-0.00735,-0.355,-0.37021,-0.34241,-0.35676,-0.36775,-0.36226,-0.3327,679.84702,5.15e-136,3.71e-132
51,ADD3,-0.21829,-0.20927,-0.13861,-0.18143,-0.1988,-0.1597,-0.23218,-0.19723,4e-05,-0.08147,-0.11124,0.00514,-0.08868,0.04492,0.05975,79.42524,3.62e-11,1.86e-07
52,ADGRE2,-0.08473,-0.10483,-0.08841,-0.10839,-0.14745,-0.12033,-0.05154,0.04953,-0.09986,-0.09026,-0.08868,-0.07783,-0.04933,-0.08823,-0.08374,69.44123,2.44e-09,1.18e-05
53,ADGRG6,0.01442,-0.06336,-0.07054,-0.0908,-0.07562,-0.12991,-0.11865,-0.11491,-0.06889,-0.08253,-0.13245,-0.07017,-0.06565,-0.04127,-0.08838,126.69084,3.05e-20,1.82e-16
54,ADH5,-0.23934,-0.16728,-0.19642,-0.15626,-0.15238,-0.09686,-0.29872,-0.24352,-0.22956,-0.12539,-0.15366,-0.12128,-0.12125,-0.2016,-0.19334,82.30784,1.05e-11,5.51e-08
55,ADI1,-0.24974,-0.21234,-0.21979,-0.11154,-0.08537,-0.1206,-0.24795,-0.21292,-0.12992,-0.1511,-0.079,-0.07034,-0.21858,-0.17977,-0.13807,62.91012,3.6e-08,0.000165
56,ADIPOR1,-0.18119,-0.18306,-0.16265,-0.15418,-0.15515,-0.11294,-0.08742,0.31962,-0.17262,-0.16325,-0.17224,-0.16802,-0.17308,-0.1728,-0.15252,261.18689,1.39e-47,9.26e-44
57,ADIPOR2,-0.21619,-0.22123,-0.22397,-0.20816,-0.22677,-0.07807,-0.1033,-0.20309,-0.20521,-0.20648,-0.14103,-0.17829,-0.21401,-0.21416,-0.23131,54.0554,1.26e-06,0.00522
58,ADPGK,-0.25517,-0.23872,-0.18778,-0.23341,-0.19359,-0.18705,-0.27172,-0.23481,-0.03957,-0.05295,-0.06818,0.12008,-0.21899,-0.24143,-0.10272,118.67631,1.14e-18,6.71e-15
59,ADPRM,-0.0781,-0.08609,-0.08539,-0.08141,-0.08254,-0.09777,-0.04373,0.03167,-0.07716,-0.09407,-0.09885,-0.10162,-0.0724,-0.08028,-0.06415,53.1334,1.81e-06,0.00743
60,ADSL,-0.2935,-0.24188,-0.25994,-0.26749,-0.24617,-0.06332,-0.31294,-0.30415,-0.22754,-0.19532,-0.09495,-0.1426,-0.24399,-0.23893,-0.28516,153.37598,1.52e-25,9.36e-22
61,AFF1,-0.20944,-0.17433,-0.1829,-0.05971,-0.14623,-0.1669,-0.17213,-0.16131,-0.10171,-0.16927,-0.22685,-0.20109,-0.11257,0.2613,-0.1144,76.58343,1.21e-10,6.15e-07
62,AFG3L2,-0.27087,-0.26072,-0.2246,-0.22502,-0.19453,-0.05444,-0.2092,-0.25083,-0.20347,-0.1407,-0.14915,-0.14587,-0.19227,-0.21673,-0.26362,106.92618,2.2e-16,1.26e-12
63,AFMID,-0.11673,-0.14567,-0.14742,-0.13438,-0.14656,-0.10671,-0.12926,-0.01143,-0.14151,-0.13597,-0.13431,-0.14352,-0.149,-0.12695,-0.15452,58.03839,2.58e-07,0.00113
64,AGBL5,-0.03118,-0.01685,-0.06636,-0.08702,-0.08093,-0.08684,-0.00407,0.0959,-0.07483,-0.08692,-0.08276,-0.08427,-0.06525,-0.05938,-0.07738,104.81927,5.62e-16,3.2e-12
65,AGO2,-0.26749,-0.25317,-0.2583,-0.24535,-0.21516,-0.08596,0.51436,0.08397,-0.24139,-0.2582,-0.27008,-0.27953,-0.23204,-0.21843,-0.27198,300.02375,1.17e-55,7.91e-52
66,AGPAT3,-0.18377,-0.19498,-0.18253,-0.17731,-0.16902,-0.04247,-0.11001,-0.14014,-0.18609,-0.17658,-0.16343,-0.15832,-0.18391,-0.17987,-0.19884,59.33513,1.53e-07,0.000678
67,AGPAT4,-0.06598,-0.07657,-0.07711,-0.08934,-0.05475,-0.06405,-0.03815,-0.02645,-0.08713,-0.06429,-0.08359,-0.0938,-0.0548,-0.07709,-0.08342,57.63554,3.03e-07,0.00132
68,AGPAT5,-0.2788,-0.23777,-0.23604,-0.20406,-0.18736,-0.04448,-0.24833,-0.27124,-0.18701,-0.17701,-0.18333,-0.18612,-0.26114,-0.23157,-0.22065,128.46586,1.36e-20,8.15e-17
69,AGPS,-0.23444,-0.17399,-0.16543,-0.17983,-0.1586,-0.12876,-0.22257,-0.21661,-0.17304,-0.12678,-0.1362,-0.16181,-0.20542,0.16456,-0.20888,70.54433,1.54e-09,7.53e-06
70,AGTRAP,-0.11,-0.15419,-0.1546,-0.15964,-0.1662,-0.15455,-0.15872,-0.2215,-0.12869,-0.14414,0.08137,0.00293,-0.15644,-0.13392,-0.14165,85.00714,3.3e-12,1.74e-08
71,AHCY,-0.32002,-0.2216,-0.14028,-0.20737,-0.15444,-0.0537,-0.40419,-0.367,-0.22788,-0.0146,-0.12272,-0.10019,-0.23711,-0.25123,-0.20512,255.53748,2.05e-46,1.37e-42
72,AHCYL1,-0.29753,-0.21382,-0.19066,-0.07575,-0.09654,-0.06869,-0.35973,-0.38184,-0.19994,-0.13216,-0.19444,-0.03446,-0.20529,-0.17168,-0.12602,173.87515,1.13e-29,7.09e-26
73,AHNAK,-0.11806,-0.11962,-0.1246,-0.2039,-0.18694,-0.22366,-0.24082,-0.23584,0.35064,-0.04113,-0.18221,0.59973,-0.10075,-0.1784,-0.06642,394.69562,1.66e-75,1.15e-71
74,AHSA1,-0.24116,-0.218,-0.18111,-0.16151,-0.16942,-0.09955,-0.26735,-0.24841,-0.20709,-0.10118,-0.10339,-0.09731,-0.20167,-0.21508,-0.2363,72.21176,7.65e-10,3.78e-06
75,AHSP,-0.5054,-0.50552,-0.50552,-0.50499,-0.50459,-0.14921,0.78885,1.77094,-0.49714,-0.50546,-0.4875,-0.50044,-0.50508,-0.50308,-0.50049,4118.31707,0.0,0.0
76,AIDA,-0.21278,-0.23121,-0.21233,-0.18869,-0.17127,-0.04275,-0.01633,-0.05673,-0.20208,-0.21573,-0.21736,-0.2153,-0.22046,-0.19852,-0.17635,100.27476,4.2e-15,2.36e-11
77,AIF1,0.15384,0.12337,0.19277,-0.02406,0.07174,-0.39124,-0.41546,-0.418,-0.23447,0.02855,0.27017,0.15282,0.03884,-0.04275,-0.11484,970.64844,3.09e-198,2.26e-194
78,AIG1,-0.17187,-0.18602,-0.18351,-0.17618,-0.18905,-0.06562,-0.17463,-0.08613,-0.1696,-0.17689,0.0163,-0.18455,-0.1789,-0.17569,-0.19268,57.41978,3.31e-07,0.00143
79,AK2,-0.34499,-0.30475,-0.18452,-0.23745,-0.28704,-0.11436,-0.45409,-0.44351,-0.22739,0.00463,0.09118,0.06281,-0.22655,-0.29265,-0.2467,404.72464,1.28e-77,8.91e-74
80,AK3,-0.26312,-0.21956,-0.17879,-0.1032,-0.1253,-0.06507,-0.17469,-0.26156,-0.13201,-0.13809,-0.17817,-0.16809,-0.2136,-0.25363,-0.20367,94.91974,4.43e-14,2.44e-10
81,AK6,-0.28135,-0.2458,-0.23206,-0.23159,-0.18577,-0.02435,-0.24985,-0.24917,-0.23267,-0.17772,-0.17122,-0.23498,-0.22799,-0.22902,-0.24738,156.08232,4.35e-26,2.69e-22
82,AK9,-0.06092,-0.08278,-0.08856,-0.08395,-0.08184,-0.10199,-0.07357,0.04428,-0.08018,-0.08857,-0.08144,-0.02846,-0.09172,-0.08659,-0.09069,49.3003,7.99e-06,0.0312
83,AKAP2,-0.15934,-0.16426,-0.15776,-0.15806,-0.13248,-0.17961,-0.19296,-0.21949,-0.02013,-0.08821,-0.07902,-0.05433,-0.16727,0.13801,-0.03586,77.82363,7.15e-11,3.66e-07
84,AKIP1,-0.11729,-0.10738,-0.13308,-0.13804,-0.158,-0.10331,-0.04452,-0.01914,-0.1164,-0.13791,-0.11411,-0.11545,-0.13434,-0.11638,-0.13584,50.60725,4.83e-06,0.0192
85,AKR1A1,-0.15461,-0.09437,-0.02286,-0.18097,-0.18057,-0.21419,-0.27911,-0.29519,-0.16027,-0.07925,-0.06514,-0.05163,-0.04354,-0.07377,-0.19121,125.74834,4.68e-20,2.78e-16
86,AKR1B1,-0.16252,-0.15812,-0.10986,-0.10742,-0.14706,-0.19568,-0.22758,-0.17534,0.00632,-0.03319,-0.18216,-0.00594,-0.14021,-0.1268,-0.02828,52.81642,2.04e-06,0.00838
87,AKR1C3,-0.21561,-0.23737,-0.22737,-0.26687,-0.2239,0.04919,-0.25387,-0.19155,-0.26325,-0.25036,-0.28244,-0.27321,-0.20643,-0.22996,-0.25015,262.08384,9.05e-48,6.04e-44
88,AKR7A2,-0.23604,-0.21075,-0.15952,-0.11351,-0.203,-0.14759,-0.25693,-0.24069,-0.26433,-0.15033,-0.09187,-0.01207,-0.1444,-0.20179,-0.13753,67.47878,5.5e-09,2.62e-05
89,ALAD,-0.36342,-0.35739,-0.35636,-0.30742,-0.30065,-0.05794,0.84001,0.3571,-0.3407,-0.34666,-0.32403,-0.34101,-0.34087,-0.35259,-0.35271,797.87826,3.14e-161,2.28e-157
90,ALAS2,-0.31404,-0.31422,-0.31422,-0.31409,-0.31422,-0.18864,0.27732,1.17638,-0.31034,-0.31395,-0.30827,-0.31102,-0.31422,-0.31388,-0.30918,1896.728,0.0,0.0
91,ALCAM,-0.13579,-0.14506,-0.12068,-0.13265,-0.14709,-0.15511,-0.19457,-0.17678,-0.14598,-0.01865,0.06678,-0.01664,-0.14146,-0.11916,-0.1492,90.86703,2.6e-13,1.41e-09
92,ALDH18A1,-0.30815,-0.20613,-0.19127,-0.11523,-0.13394,-0.06144,-0.33222,-0.31611,-0.18908,-0.08163,-0.10266,-0.1202,-0.2436,-0.24908,-0.24274,173.72783,1.21e-29,7.59e-26
93,ALDH1A1,-0.18735,-0.16425,-0.31965,-0.19952,-0.09788,0.25181,-0.39833,-0.35545,-0.3198,-0.3995,-0.40626,-0.38888,-0.38318,-0.41529,-0.41507,1054.87615,2.61e-216,1.91e-212
94,ALDH3B1,-0.22478,-0.18953,-0.22208,-0.23116,-0.1564,-0.13003,-0.15735,-0.18187,-0.14592,-0.15508,0.03601,0.01741,-0.21252,-0.20961,-0.23194,102.662,1.46e-15,8.27e-12
95,ALDH4A1,-0.06886,-0.08575,-0.07166,-0.08522,-0.10474,-0.1049,-0.00628,-0.00847,-0.09612,-0.11771,-0.05394,-0.08309,-0.11382,-0.08848,-0.09845,63.15029,3.26e-08,0.00015
96,ALDOA,-0.2896,-0.19048,-0.15565,-0.05356,-0.08378,-0.14971,-0.35597,-0.329,-0.15616,-0.04233,-0.07073,0.02114,-0.21213,-0.2075,-0.25372,165.58309,5.33e-28,3.33e-24
97,ALG12,-0.08768,-0.1164,-0.11647,-0.09512,-0.11047,-0.11701,-0.09845,0.00915,-0.11489,-0.11571,-0.09243,-0.10353,-0.11595,-0.11337,-0.11389,58.41328,2.22e-07,0.000973
98,ALG14,-0.01924,-0.06081,-0.04828,-0.09245,-0.05305,-0.05484,0.03173,0.10433,-0.04775,-0.05952,-0.06504,-0.0586,-0.01608,-0.0392,-0.04683,83.77925,5.6e-12,2.95e-08
99,ALG5,-0.244,-0.22656,-0.22292,-0.17988,-0.21514,-0.13873,-0.22735,-0.17167,-0.1845,-0.12104,0.00554,-0.05337,-0.21559,-0.22364,-0.2131,76.94394,1.04e-10,5.29e-07
100,ALKBH5,-0.23173,-0.23044,-0.20392,-0.13675,-0.2346,-0.0759,-0.18791,-0.254,-0.17008,-0.14099,-0.15748,-0.0954,-0.21134,-0.17578,-0.20232,58.77326,1.92e-07,0.000845
101,ALOX5AP,-0.19698,-0.18171,-0.16757,-0.19809,-0.1713,-0.18231,-0.17303,-0.18313,2.16075,-0.15012,0.05674,-0.04365,-0.16713,-0.15564,0.02819,633.26418,4.39e-126,3.15e-122
102,ALYREF,-0.28995,-0.28616,-0.25255,-0.1793,-0.20602,0.00814,-0.21887,-0.27102,-0.19714,-0.15886,-0.1967,-0.18392,-0.25423,-0.21519,-0.18525,198.51162,1.11e-34,7.09e-31
103,AMD1,-0.27947,-0.21239,-0.19966,-0.06929,-0.09775,0.02353,-0.26586,-0.37134,-0.17024,-0.16428,-0.21938,-0.21316,-0.23292,-0.28846,-0.28918,254.25854,3.78e-46,2.51e-42
104,AMMECR1,-0.27288,-0.2786,-0.28477,-0.24707,-0.2335,-0.01867,0.28645,-0.06338,-0.26321,-0.26627,-0.25148,-0.25656,-0.26626,-0.27563,-0.2885,259.60273,2.96e-47,1.97e-43
105,AMMECR1L,-0.018,-0.062,-0.02412,-0.07675,-0.10856,-0.08212,0.11385,0.07061,-0.0701,-0.07778,-0.09067,-0.08111,-0.03655,-0.03478,-0.03812,116.39708,3.19e-18,1.86e-14
106,ANAPC10,-0.07872,-0.00791,-0.10194,-0.10808,-0.11912,-0.08361,0.01087,0.00223,-0.10875,-0.11422,-0.11645,-0.12667,-0.08367,-0.10781,-0.10835,61.87276,5.49e-08,0.000249
107,ANAPC11,-0.33585,-0.28754,-0.22637,-0.09029,-0.26082,-0.10992,-0.18643,-0.30097,-0.20556,-0.14545,-0.06827,-0.08878,-0.27002,-0.24326,-0.04653,109.85809,5.96e-17,3.44e-13
108,ANAPC13,-0.21309,-0.20659,-0.18975,-0.16851,-0.20906,-0.13369,-0.19323,-0.20551,-0.18834,-0.16173,-0.0463,-0.10571,-0.21446,-0.2064,-0.20179,49.63465,7.03e-06,0.0276
109,ANAPC16,-0.19507,-0.13988,-0.17259,-0.16261,-0.13973,-0.10588,-0.2996,-0.29172,-0.1713,-0.11391,-0.12898,-0.08801,-0.1544,-0.14136,-0.02933,67.89733,4.63e-09,2.21e-05
110,ANAPC5,-0.345,-0.28746,-0.24476,-0.30633,-0.2523,-0.08133,-0.2559,-0.40088,-0.20847,-0.07755,-0.01165,-0.03771,-0.25872,-0.295,-0.28942,239.45805,4.33e-43,2.85e-39
111,ANGEL1,-0.10093,-0.12421,-0.12961,-0.13107,-0.1327,-0.11212,-0.07434,-0.03618,-0.13102,-0.12205,-0.14171,-0.12697,-0.12969,-0.04367,-0.12908,51.46501,3.46e-06,0.014
112,ANGPT1,-0.0371,-0.01466,-0.07364,0.21599,0.0127,-0.10081,-0.15567,-0.15567,-0.09334,-0.09726,-0.14386,-0.15397,-0.0773,-0.07576,-0.10805,82.04462,1.18e-11,6.16e-08
113,ANK1,-0.43305,-0.42883,-0.43477,-0.40368,-0.36975,-0.06228,0.99672,1.17988,-0.38662,-0.43221,-0.42117,-0.41509,-0.42869,-0.43134,-0.41719,2196.46944,0.0,0.0
114,ANKH,-0.19929,-0.20792,-0.19245,-0.20469,-0.20323,-0.06103,0.03997,0.02419,-0.17181,-0.18906,-0.22822,-0.23002,-0.18038,-0.20506,-0.2177,114.19564,8.56e-18,4.98e-14
115,ANKLE1,-0.25509,-0.24951,-0.24706,-0.20892,-0.18589,-0.07351,0.29352,0.03662,-0.21805,-0.21939,-0.23015,-0.24549,-0.26072,-0.25422,-0.25557,199.65236,6.47e-35,4.15e-31
116,ANKRD10,-0.23543,-0.21691,-0.13476,-0.17553,-0.15053,-0.1602,-0.25538,-0.27144,-0.16279,-0.11992,-0.14304,-0.0689,-0.147,-0.1689,-0.13,56.98884,3.93e-07,0.00169
117,ANKRD11,-0.21335,-0.22829,-0.15252,-0.14185,-0.16592,-0.10821,-0.15343,-0.27652,-0.15856,-0.13396,-0.14706,-0.06308,-0.07897,-0.1418,-0.12754,53.63576,1.48e-06,0.00613
118,ANKRD12,-0.22797,-0.21556,-0.26116,-0.20715,-0.27344,-0.03219,-0.17939,-0.27169,-0.18555,-0.20846,-0.19049,-0.10598,-0.27627,-0.21586,-0.1541,117.8437,1.66e-18,9.74e-15
119,ANKRD13C,0.01847,-0.04516,-0.02302,-0.06314,-0.05022,-0.05789,0.0676,0.16152,-0.04649,-0.06443,-0.07316,-0.06502,-0.04051,-0.01693,-0.05414,124.63615,7.75e-20,4.6e-16
120,ANKRD26,-0.06613,-0.08731,-0.09484,-0.10369,-0.04306,-0.09577,0.08098,0.01653,-0.09729,-0.09984,-0.12097,-0.10723,-0.09651,-0.07171,-0.10107,91.36904,2.09e-13,1.13e-09
