,Gene,isTF,isCDMarker,StatisticsValue,P-value,Adj P-value,Group13_PT_1,Group13_PT_0.99,Group13_PT_0.98,Group13_PT_0.97,Group13_PT_0.96,Group13_PT_0.95,Group13_PT_0.94,Group13_PT_0.93,Group13_PT_0.92,Group13_PT_0.91,Group13_PT_0.9,Group13_PT_0.89,Group13_PT_0.88,Group13_PT_0.87,Group13_PT_0.86,Group13_PT_0.85,Group13_PT_0.84,Group13_PT_0.83,Group13_PT_0.82,Group13_PT_0.81,Group13_PT_0.8,Group13_PT_0.79,Group13_PT_0.78,Group13_PT_0.77,Group13_PT_0.76,Group13_PT_0.75,Group13_PT_0.74,Group13_PT_0.73,Group13_PT_0.72,Group13_PT_0.71,Group13_PT_0.7,Group13_PT_0.69,Group13_PT_0.68,Group13_PT_0.67,Group13_PT_0.66,Group13_PT_0.65,Group13_PT_0.64,Group13_PT_0.63,Group13_PT_0.62,Group13_PT_0.61,Group13_PT_0.6,Group13_PT_0.59,Group13_PT_0.58,Group13_PT_0.57,Group13_PT_0.56,Group13_PT_0.55,Group13_PT_0.54,Group13_PT_0.53,Group13_PT_0.52,Group13_PT_0.51,Group13_PT_0.5,Group13_PT_0.49,Group13_PT_0.48,Group13_PT_0.47,Group13_PT_0.46,Group13_PT_0.45,Group13_PT_0.44,Group13_PT_0.43,Group13_PT_0.42,Group13_PT_0.41,Group13_PT_0.4,Group13_PT_0.39,Group13_PT_0.38,Group13_PT_0.37,Group13_PT_0.36,Group13_PT_0.35,Group13_PT_0.34,Group13_PT_0.33,Group13_PT_0.32,Group13_PT_0.31,Group13_PT_0.3,Group13_PT_0.29,Group13_PT_0.28,Group13_PT_0.27,Group13_PT_0.26,Group13_PT_0.25,Group13_PT_0.24,Group13_PT_0.23,Group13_PT_0.22,Group13_PT_0.21,Group13_PT_0.2,Group13_PT_0.19,Group13_PT_0.18,Group13_PT_0.17,Group13_PT_0.16,Group13_PT_0.15,Group13_PT_0.14,Group13_PT_0.13,Group13_PT_0.12,Group13_PT_0.11,Group13_PT_0.1,Group13_PT_0.09,Group13_PT_0.08,Group13_PT_0.07,Group13_PT_0.06,Group13_PT_0.05,Group13_PT_0.04,Group13_PT_0.03,Group13_PT_0.02,Group13_PT_0.01,Group13_PT_0,Group10_PT_0,Group10_PT_0.01,Group10_PT_0.02,Group10_PT_0.03,Group10_PT_0.04,Group10_PT_0.05,Group10_PT_0.06,Group10_PT_0.07,Group10_PT_0.08,Group10_PT_0.09,Group10_PT_0.1,Group10_PT_0.11,Group10_PT_0.12,Group10_PT_0.13,Group10_PT_0.14,Group10_PT_0.15,Group10_PT_0.16,Group10_PT_0.17,Group10_PT_0.18,Group10_PT_0.19,Group10_PT_0.2,Group10_PT_0.21,Group10_PT_0.22,Group10_PT_0.23,Group10_PT_0.24,Group10_PT_0.25,Group10_PT_0.26,Group10_PT_0.27,Group10_PT_0.28,Group10_PT_0.29,Group10_PT_0.3,Group10_PT_0.31,Group10_PT_0.32,Group10_PT_0.33,Group10_PT_0.34,Group10_PT_0.35,Group10_PT_0.36,Group10_PT_0.37,Group10_PT_0.38,Group10_PT_0.39,Group10_PT_0.4,Group10_PT_0.41,Group10_PT_0.42,Group10_PT_0.43,Group10_PT_0.44,Group10_PT_0.45,Group10_PT_0.46,Group10_PT_0.47,Group10_PT_0.48,Group10_PT_0.49,Group10_PT_0.5,Group10_PT_0.51,Group10_PT_0.52,Group10_PT_0.53,Group10_PT_0.54,Group10_PT_0.55,Group10_PT_0.56,Group10_PT_0.57,Group10_PT_0.58,Group10_PT_0.59,Group10_PT_0.6,Group10_PT_0.61,Group10_PT_0.62,Group10_PT_0.63,Group10_PT_0.64,Group10_PT_0.65,Group10_PT_0.66,Group10_PT_0.67,Group10_PT_0.68,Group10_PT_0.69,Group10_PT_0.7,Group10_PT_0.71,Group10_PT_0.72,Group10_PT_0.73,Group10_PT_0.74,Group10_PT_0.75,Group10_PT_0.76,Group10_PT_0.77,Group10_PT_0.78,Group10_PT_0.79,Group10_PT_0.8,Group10_PT_0.81,Group10_PT_0.82,Group10_PT_0.83,Group10_PT_0.84,Group10_PT_0.85,Group10_PT_0.86,Group10_PT_0.87,Group10_PT_0.88,Group10_PT_0.89,Group10_PT_0.9,Group10_PT_0.91,Group10_PT_0.92,Group10_PT_0.93,Group10_PT_0.94,Group10_PT_0.95,Group10_PT_0.96,Group10_PT_0.97,Group10_PT_0.98,Group10_PT_0.99,Group10_PT_1
0,TCF4,1,0,37.175,1.6578e-07,0.0012525,0.740088,0.721162,0.702298,0.683555,0.66499,0.646679,0.628669,0.611024,0.593807,0.577078,0.5608979,0.5453281,0.5304296,0.51626328,0.5028902,0.4903715,0.478768,0.468141,0.458551,0.45006,0.442728,0.436616,0.431786,0.428298,0.426214,0.425594,0.426499,0.4289917,0.4331312,0.4389233,0.446239,0.45493,0.464848,0.475845,0.487772,0.500481,0.513823,0.527649,0.541813,0.556164,0.570555,0.584838,0.598863,0.612483,0.625549,0.63791,0.649425,0.659938,0.669304,0.677374,0.6839989,0.689032,0.692323,0.6937245,0.6930925,0.6904,0.685751,0.679253,0.671014,0.661145,0.649753,0.636947,0.622837,0.607532,0.591139,0.573767,0.555527,0.536526,0.516873,0.496677,0.476047,0.455092,0.43392,0.412641,0.391363,0.3701945,0.3492452,0.3286235,0.3084382,0.2887983,0.2698124,0.251589,0.234238,0.217846,0.20239,0.187816,0.174068,0.161093,0.148833,0.137235,0.12624304,0.115802,0.105857,0.096353,0.087235,0.078447,0.069935,0.0616437,0.053517,0.045501,0.0375404,0.0375404,0.0285122,0.01952025,0.010601,0.0017904,-0.0068751,-0.015359,-0.0236254,-0.0316379,-0.03936,-0.0467557,-0.0537886,-0.060422,-0.066621,-0.072348,-0.077567,-0.082242,-0.08633608,-0.0898137,-0.092653,-0.0948799,-0.0965298,-0.0976384,-0.0982412,-0.0983738,-0.0980717,-0.0973705,-0.0963058,-0.0949131,-0.09322796,-0.0912859,-0.0891226,-0.0867735,-0.0842743,-0.0816604,-0.0789674,-0.0762309,-0.0734864,-0.0707695,-0.0681158,-0.0655608,-0.0631401,-0.060889,-0.058844,-0.057039,-0.055511,-0.054295,-0.053425,-0.052909,-0.052729,-0.052866,-0.0533023,-0.0540192,-0.054998,-0.0562212,-0.0576694,-0.0593244,-0.0611679,-0.0631815,-0.065347,-0.0676448,-0.0700577,-0.072567,-0.075154,-0.0778,-0.0804876,-0.0831974,-0.0859113,-0.0886109,-0.0912776,-0.0938931,-0.096439,-0.098897,-0.10125,-0.103497,-0.105641,-0.107686,-0.109637,-0.111498,-0.113271,-0.114962,-0.116573,-0.11811,-0.119576,-0.120975,-0.12231,-0.123587,-0.124808,-0.125978,-0.1271008,-0.1281801,-0.1292199,-0.1302242,-0.131197,-0.132142,-0.133064,-0.133965,-0.134851,-0.135725,-0.136592,-0.137454
1,ZFAS1,0,0,32.041,1.8763e-06,0.014161,1.011638,0.99395,0.976298,0.958713,0.94123,0.923889,0.906717,0.889751,0.873026,0.856576,0.8404356,0.8246386,0.8092197,0.79421328,0.7796536,0.7655752,0.7520123,0.738999,0.726571,0.714761,0.703604,0.693134,0.683386,0.674395,0.666194,0.658817,0.6523,0.646677,0.6419815,0.638215,0.635299,0.633142,0.631655,0.630747,0.630327,0.630305,0.63059,0.631093,0.631722,0.632387,0.632998,0.633464,0.633695,0.6336,0.633089,0.63207,0.630456,0.628154,0.625073,0.621124,0.6162166,0.610259,0.603162,0.5948348,0.5851901,0.574234,0.562072,0.548817,0.53458,0.519473,0.503607,0.487095,0.470048,0.452578,0.434796,0.416815,0.398745,0.380699,0.362788,0.345124,0.327819,0.310985,0.294732,0.279173,0.26442,0.2505842,0.2377772,0.2261109,0.2156969,0.206647,0.1990728,0.193086,0.188799,0.186294,0.185513,0.186354,0.188718,0.192501,0.197603,0.203922,0.21135675,0.219806,0.229168,0.239341,0.250224,0.261716,0.273715,0.2861196,0.298829,0.31174,0.3247536,0.3247536,0.3060801,0.28746617,0.268971,0.2506553,0.2325774,0.214797,0.1973749,0.1803694,0.1638404,0.1478475,0.1324503,0.117708,0.103681,0.090429,0.07801,0.066485,0.0559129,0.0463536,0.0378448,0.0303539,0.0238339,0.0182377,0.0135184,0.0096289,0.0065224,0.0041517,0.00247,0.00143011,0.00098513,0.0010881,0.0016919,0.0027496,0.0042143,0.0060389,0.0081764,0.0105798,0.0132022,0.0159965,0.0189157,0.0219129,0.024941,0.027953,0.030902,0.033741,0.036423,0.038901,0.041129,0.043094,0.04481,0.046292,0.0475564,0.0486181,0.049493,0.0501962,0.0507438,0.0511511,0.0514336,0.0516069,0.051687,0.0516882,0.0516273,0.051519,0.05138,0.051225,0.051069,0.0509286,0.0508188,0.0507554,0.0507538,0.0508296,0.050998,0.051275,0.051675,0.052197,0.052838,0.053592,0.054456,0.055425,0.056493,0.057658,0.058913,0.060255,0.061679,0.063181,0.064755,0.066398,0.068104,0.069869,0.0716896,0.0735599,0.0754757,0.0774325,0.079426,0.081451,0.083503,0.085579,0.087672,0.089779,0.091895,0.094016
2,RPLP1,0,0,37.285,1.5736e-07,0.001189,1.315788,1.282318,1.248915,1.215648,1.18258,1.14979,1.117335,1.085286,1.053711,1.022677,0.9922521,0.9625042,0.9335008,0.9053095,0.8779981,0.8516342,0.8262856,0.80202,0.778905,0.757008,0.736397,0.717139,0.699303,0.682956,0.668166,0.655,0.643526,0.6338111,0.625924,0.6198837,0.615595,0.612945,0.611821,0.612112,0.613704,0.616485,0.620343,0.625165,0.630839,0.637253,0.644293,0.651849,0.659806,0.668053,0.676477,0.68497,0.693407,0.701688,0.709697,0.717321,0.7244469,0.730963,0.736758,0.7417173,0.7457326,0.748768,0.750869,0.752085,0.752466,0.752062,0.750921,0.749095,0.746631,0.743581,0.739992,0.735916,0.731402,0.726499,0.721256,0.715725,0.709953,0.703991,0.697888,0.691694,0.685459,0.6792313,0.6730617,0.6669993,0.6610937,0.6553947,0.6499518,0.644815,0.640033,0.635646,0.631646,0.628011,0.624717,0.621742,0.619064,0.616658,0.61450325,0.612576,0.610854,0.609314,0.607933,0.606689,0.605559,0.6045197,0.603549,0.602624,0.6017213,0.6017213,0.5836284,0.5655955,0.547683,0.5299501,0.5124576,0.495265,0.4784334,0.4620217,0.4460903,0.4306994,0.4159089,0.401779,0.388369,0.37574,0.363952,0.353064,0.34313727,0.334231,0.3263795,0.3195322,0.3136216,0.3085799,0.3043395,0.3008328,0.2979921,0.2957498,0.2940382,0.29278968,0.29193658,0.2914112,0.291146,0.2910733,0.2911254,0.2912346,0.2913334,0.2913541,0.291229,0.2908905,0.2902709,0.2893026,0.2879179,0.286049,0.283629,0.280589,0.276863,0.272381,0.267081,0.260969,0.254113,0.246587,0.2384638,0.2298149,0.220713,0.2112306,0.2014402,0.1914143,0.1812253,0.1709456,0.160648,0.150404,0.140287,0.130369,0.120723,0.111421,0.1025351,0.0941384,0.0863031,0.0791016,0.0726065,0.0668901,0.062025,0.058083,0.055128,0.053151,0.052117,0.051988,0.05273,0.054306,0.056679,0.059813,0.063672,0.06822,0.073421,0.079238,0.085635,0.092575,0.100023,0.107943,0.1162968,0.1250499,0.1341654,0.1436072,0.153339,0.163325,0.173528,0.183912,0.194441,0.205079,0.21579,0.226537
3,ACTG1,0,0,29.554,6.0323e-06,0.045502,1.673769,1.643449,1.613182,1.583024,1.55303,1.523247,1.493737,1.464551,1.435743,1.407367,1.3794781,1.3521289,1.325374,1.29926732,1.273863,1.249215,1.2253774,1.202404,1.180349,1.159267,1.139211,1.120236,1.102395,1.085742,1.070332,1.056219,1.043456,1.0320983,1.0221988,1.0137682,1.006713,1.000924,0.996292,0.992708,0.990064,0.988249,0.987155,0.986673,0.986694,0.987108,0.987807,0.988682,0.989623,0.990522,0.991269,0.99175,0.991872,0.991509,0.990559,0.988912,0.986459,0.983091,0.978699,0.973173,0.9664084,0.958384,0.949174,0.938854,0.927504,0.9152,0.902021,0.888043,0.873345,0.858005,0.842099,0.825707,0.808905,0.791771,0.774383,0.756818,0.739155,0.721471,0.703843,0.68635,0.669069,0.6520774,0.6354535,0.6192748,0.6036189,0.5885635,0.5741864,0.560565,0.547778,0.535884,0.52486,0.514654,0.505214,0.496491,0.488432,0.480986,0.4741031,0.467731,0.46182,0.456317,0.451172,0.446334,0.441752,0.4373743,0.43315,0.429028,0.4249566,0.4249566,0.4228171,0.4207029,0.418639,0.4166511,0.4147641,0.413003,0.4113938,0.4099611,0.4087303,0.4077266,0.4069754,0.406502,0.406331,0.406489,0.406999,0.407889,0.40918196,0.4109043,0.4130695,0.4156545,0.4186284,0.4219605,0.42562,0.4295763,0.4337985,0.438256,0.4429179,0.44775359,0.45273223,0.4578231,0.4629955,0.4682186,0.4734618,0.4786941,0.483885,0.4890037,0.4940194,0.4989013,0.5036188,0.5081411,0.5124374,0.516477,0.520229,0.523663,0.526748,0.529453,0.53175,0.533632,0.535117,0.536224,0.536971,0.5373766,0.537459,0.5372363,0.5367273,0.5359501,0.5349231,0.5336647,0.532193,0.5305269,0.5286842,0.526684,0.524543,0.522282,0.519917,0.5174677,0.5149523,0.5123889,0.509796,0.5071919,0.504595,0.502024,0.499494,0.49701,0.494571,0.492173,0.489816,0.487498,0.485217,0.482972,0.480761,0.478581,0.476433,0.474312,0.472219,0.470152,0.468108,0.466086,0.464084,0.4621009,0.4601347,0.4581837,0.456246,0.454321,0.452405,0.450498,0.448598,0.446703,0.444811,0.442921
4,TPT1,0,0,83.655,2.9257e-17,2.2156e-13,1.230433,1.207746,1.185117,1.162606,1.14027,1.118169,1.096362,1.074906,1.053862,1.033286,1.0132386,0.9937778,0.9749622,0.95685069,0.9395018,0.9229742,0.9073266,0.892618,0.878906,0.86625,0.854709,0.844341,0.835206,0.82736,0.820864,0.815777,0.812155,0.8100592,0.809547,0.8106288,0.813199,0.817135,0.822314,0.828613,0.835909,0.84408,0.853003,0.862555,0.872614,0.883056,0.89376,0.904601,0.915458,0.926208,0.936728,0.9469,0.956587,0.965681,0.974054,0.981583,0.9881456,0.993619,0.997881,1.000808,1.002281,1.002268,1.000831,0.998039,0.99396,0.988661,0.982211,0.974677,0.966128,0.95663,0.946253,0.935064,0.92313,0.910521,0.897303,0.883545,0.869314,0.854679,0.839707,0.824467,0.809026,0.7934522,0.7778133,0.7621774,0.7466124,0.7311862,0.7159668,0.701022,0.68642,0.672216,0.658405,0.644965,0.631873,0.619104,0.606637,0.594447,0.58251224,0.570809,0.559314,0.548004,0.536857,0.525848,0.514955,0.5041547,0.493424,0.482739,0.472078,0.472078,0.4633045,0.45454459,0.445812,0.4371189,0.4284802,0.419909,0.4114181,0.4030218,0.3947332,0.3865658,0.378533,0.370648,0.362925,0.355377,0.348018,0.340861,0.33391868,0.3272057,0.3207286,0.3144732,0.3084212,0.3025541,0.2968534,0.2913007,0.2858776,0.2805657,0.2753465,0.27020162,0.26511256,0.2600609,0.2550283,0.2499962,0.2449462,0.2398599,0.2347189,0.2295047,0.2241989,0.218783,0.2132387,0.2075475,0.2016909,0.19565,0.189408,0.182945,0.176242,0.169283,0.162048,0.154542,0.146786,0.138803,0.1306165,0.122249,0.113723,0.1050621,0.0962884,0.087425,0.0784947,0.0695203,0.060525,0.0515308,0.0425612,0.033639,0.024787,0.016027,0.0073839,-0.0011211,-0.0094646,-0.0176239,-0.0255761,-0.0332984,-0.040768,-0.047962,-0.054861,-0.061466,-0.067789,-0.07384,-0.079631,-0.085171,-0.090473,-0.095546,-0.100402,-0.105052,-0.109506,-0.113775,-0.11787,-0.121802,-0.125583,-0.129222,-0.1327303,-0.1361194,-0.1393998,-0.1425824,-0.145678,-0.148698,-0.151652,-0.154552,-0.157409,-0.160233,-0.163035,-0.165827
5,CD37,0,1,35.646,3.4219e-07,0.0025846,1.335611,1.294889,1.254241,1.213742,1.17347,1.133485,1.093876,1.054713,1.016068,0.978017,0.9406343,0.9039931,0.868168,0.83323327,0.7992631,0.7663316,0.734513,0.703881,0.674511,0.646477,0.619852,0.59471,0.571127,0.549177,0.528932,0.510468,0.49386,0.4791798,0.466503,0.4558487,0.447105,0.44014,0.434823,0.431022,0.428607,0.427446,0.427407,0.428359,0.430171,0.432712,0.43585,0.439454,0.443393,0.447535,0.451749,0.4559,0.459868,0.463511,0.4667,0.469304,0.471193,0.472235,0.472298,0.471251,0.4689667,0.465411,0.460651,0.454761,0.447815,0.439886,0.431046,0.42137,0.410931,0.399802,0.388057,0.375769,0.363011,0.349858,0.336382,0.322656,0.308754,0.29475,0.280717,0.266728,0.252857,0.2391772,0.2257616,0.2126839,0.2000175,0.1878358,0.1762122,0.16522,0.154933,0.145408,0.136626,0.128543,0.121116,0.1143,0.108052,0.102328,0.0970853,0.092279,0.087866,0.083803,0.080045,0.07655,0.073273,0.0701705,0.067199,0.064316,0.0614754,0.0614754,0.0530916,0.04472495,0.036392,0.0281113,0.0198985,0.011771,0.0037466,-0.0041584,-0.0119266,-0.0195408,-0.0269841,-0.034239,-0.041289,-0.048117,-0.054705,-0.061037,-0.06709498,-0.0728624,-0.0783258,-0.0834842,-0.0883389,-0.0928914,-0.0971431,-0.1010955,-0.10475,-0.1081081,-0.1111712,-0.11394077,-0.11641817,-0.1186049,-0.1205024,-0.122112,-0.1234354,-0.1244737,-0.1252286,-0.1257015,-0.1258937,-0.1258068,-0.1254421,-0.1248012,-0.1238853,-0.122696,-0.121235,-0.119503,-0.117502,-0.115234,-0.1127,-0.109915,-0.106906,-0.103701,-0.1003254,-0.0968073,-0.093173,-0.0894511,-0.0856673,-0.0818492,-0.0780237,-0.0742181,-0.070459,-0.0667747,-0.0631911,-0.059736,-0.056436,-0.053318,-0.0504095,-0.0477377,-0.0453296,-0.0432122,-0.0414127,-0.039958,-0.038875,-0.038192,-0.03793,-0.038087,-0.038647,-0.039593,-0.040911,-0.042585,-0.0446,-0.04694,-0.04959,-0.052534,-0.055757,-0.059243,-0.062977,-0.066943,-0.071126,-0.07551,-0.0800799,-0.0848202,-0.0897154,-0.0947499,-0.099908,-0.105175,-0.110535,-0.115972,-0.121471,-0.127017,-0.132593,-0.138185
6,CD52,0,0,32.245,1.7051e-06,0.01287,1.433344,1.378019,1.322805,1.267811,1.21315,1.158927,1.105256,1.052247,1.00001,0.948654,0.8982914,0.849031,0.8009834,0.75425894,0.7089678,0.6652202,0.6231265,0.582797,0.544342,0.507871,0.473495,0.441325,0.411469,0.38404,0.359146,0.336898,0.317407,0.3007826,0.2871347,0.2764946,0.268703,0.263575,0.260922,0.260558,0.262297,0.265952,0.271336,0.278262,0.286545,0.295998,0.306433,0.317665,0.329506,0.341771,0.354271,0.36682,0.379236,0.391327,0.402907,0.413791,0.4237916,0.432722,0.440397,0.4466282,0.4512346,0.45416,0.455488,0.455307,0.453707,0.450777,0.446606,0.441284,0.434901,0.427545,0.419306,0.410274,0.400537,0.390186,0.379309,0.367997,0.356338,0.344421,0.332337,0.320175,0.308023,0.2959721,0.2841108,0.2725287,0.2613151,0.2505595,0.2403513,0.23078,0.221935,0.213887,0.206618,0.200082,0.194234,0.189028,0.184417,0.180357,0.1768,0.173702,0.171016,0.168697,0.166699,0.164975,0.163481,0.1621701,0.160997,0.159915,0.1588792,0.1588792,0.1428365,0.12685301,0.110988,0.0953009,0.0798508,0.064697,0.0498986,0.0355151,0.0216057,0.0082295,-0.0045541,-0.016686,-0.028106,-0.038757,-0.048578,-0.057509,-0.06549314,-0.0724695,-0.0784041,-0.0833426,-0.0873473,-0.0904805,-0.0928042,-0.0943807,-0.0952723,-0.095541,-0.0952492,-0.09445888,-0.09323239,-0.0916319,-0.0897196,-0.0875576,-0.0852083,-0.0827337,-0.0801961,-0.0776577,-0.0751806,-0.0728271,-0.0706594,-0.0687397,-0.0671301,-0.065893,-0.06509,-0.064784,-0.065037,-0.065911,-0.067466,-0.069706,-0.072583,-0.076051,-0.0800593,-0.0845611,-0.089507,-0.0948499,-0.1005402,-0.1065299,-0.1127706,-0.1192139,-0.125811,-0.1325149,-0.1392757,-0.146046,-0.152776,-0.159419,-0.1659253,-0.1722474,-0.1783365,-0.1841443,-0.1896224,-0.1947224,-0.199396,-0.203594,-0.207276,-0.210442,-0.213111,-0.215302,-0.217034,-0.218328,-0.2192,-0.219672,-0.219761,-0.219488,-0.21887,-0.217927,-0.216679,-0.215144,-0.213342,-0.211291,-0.2090112,-0.206521,-0.2038397,-0.2009864,-0.19798,-0.19484,-0.191586,-0.188236,-0.184809,-0.181325,-0.177803,-0.174262
7,SPINK2,0,0,119.822,5.8289e-25,4.4165e-21,1.817657,1.804931,1.792212,1.77951,1.76683,1.754184,1.741577,1.729018,1.716514,1.704074,1.691705,1.6794159,1.6672143,1.65510807,1.6431052,1.6312137,1.6194414,1.607796,1.596286,1.58492,1.573704,1.562647,1.551757,1.541043,1.530511,1.520169,1.510027,1.5000914,1.4903704,1.480867,1.471572,1.462475,1.453564,1.44483,1.436261,1.427845,1.419574,1.411434,1.403417,1.39551,1.387703,1.379986,1.372347,1.364775,1.357259,1.34979,1.342355,1.334944,1.327547,1.320152,1.3127478,1.305325,1.297871,1.2903767,1.2828309,1.275241,1.267633,1.260034,1.252471,1.244972,1.237563,1.230272,1.223125,1.21615,1.209373,1.202823,1.196525,1.190508,1.184797,1.179421,1.174407,1.16978,1.16557,1.161802,1.158503,1.1557021,1.1534247,1.1516983,1.1505501,1.1500071,1.1500965,1.150845,1.152281,1.154421,1.157239,1.160696,1.164751,1.169365,1.174498,1.18011,1.18616057,1.19261,1.199419,1.206547,1.213955,1.221602,1.229448,1.237454,1.24558,1.253785,1.2620307,1.2620307,1.2026163,1.14338539,1.084521,1.0262077,0.9686278,0.911965,0.8564032,0.8021253,0.7493151,0.6981558,0.648831,0.601524,0.556419,0.513698,0.473546,0.436145,0.40167933,0.3703324,0.3422188,0.3172304,0.2952137,0.2760152,0.2594815,0.245459,0.2337944,0.2243341,0.2169246,0.21141258,0.20764446,0.2054668,0.2047261,0.2052689,0.2069417,0.2095911,0.2130635,0.2172056,0.2218639,0.2268847,0.2321148,0.2374006,0.2425887,0.247526,0.252058,0.256032,0.259294,0.261691,0.263075,0.263407,0.262746,0.261155,0.2586995,0.2554417,0.251446,0.2467745,0.2414924,0.2356625,0.2293487,0.2226144,0.215523,0.2081386,0.2005244,0.192744,0.184861,0.176939,0.169042,0.1612329,0.1535756,0.1461337,0.1389707,0.1321502,0.125736,0.119791,0.114372,0.109481,0.105098,0.101205,0.09778,0.094806,0.092262,0.090129,0.088387,0.087017,0.085999,0.085313,0.084941,0.084862,0.085056,0.085505,0.086189,0.0870878,0.0881823,0.0894528,0.09088,0.092444,0.094125,0.095904,0.097761,0.099678,0.101633,0.103607
8,CD99,0,1,114.655,7.393e-24,5.6009e-20,2.200822,2.13955,2.078409,2.017532,1.95705,1.897094,1.837796,1.779289,1.721702,1.665169,1.6098213,1.5557895,1.5032059,1.45220198,1.4029095,1.35546,1.3099852,1.266617,1.225486,1.186725,1.150466,1.116839,1.085977,1.058011,1.033073,1.011294,0.992806,0.9777417,0.966231,0.9583023,0.953735,0.952271,0.953655,0.957627,0.963932,0.972312,0.982509,0.994267,1.007328,1.021435,1.03633,1.051757,1.067458,1.083175,1.098652,1.11363,1.127855,1.141067,1.153009,1.163424,1.1720551,1.178645,1.182936,1.1846708,1.1835998,1.179666,1.173023,1.163835,1.152268,1.138485,1.122651,1.104931,1.085489,1.06449,1.042098,1.018479,0.993796,0.968214,0.941897,0.915011,0.88772,0.860188,0.83258,0.80506,0.777793,0.7509442,0.7246773,0.699157,0.674548,0.6510149,0.6287221,0.607834,0.588516,0.570897,0.554932,0.540525,0.527578,0.515994,0.505676,0.496526,0.48844652,0.481341,0.475111,0.46966,0.46489,0.460705,0.457006,0.453697,0.45068,0.447857,0.445132,0.445132,0.4224431,0.39981695,0.377316,0.3550032,0.3329409,0.311192,0.2898188,0.2688844,0.2484511,0.2285818,0.2093391,0.190786,0.172984,0.155997,0.139887,0.124717,0.1105491,0.0974467,0.0854496,0.0745252,0.0646261,0.0557048,0.0477138,0.0406057,0.0343331,0.0288484,0.0241043,0.02005325,0.01664782,0.0138406,0.011584,0.0098307,0.0085332,0.0076441,0.0071158,0.006901,0.0069522,0.0072219,0.0076627,0.0082271,0.0088677,0.009537,0.010188,0.010772,0.011243,0.011552,0.011655,0.011529,0.011179,0.010607,0.0098166,0.0088126,0.007598,0.0061766,0.0045519,0.0027277,0.0007075,-0.001505,-0.003906,-0.0064921,-0.0092595,-0.012205,-0.015324,-0.018613,-0.0220697,-0.0256891,-0.029468,-0.0334026,-0.0374895,-0.0417249,-0.046105,-0.050627,-0.055285,-0.060077,-0.064997,-0.07004,-0.075201,-0.080475,-0.085857,-0.091343,-0.096927,-0.102605,-0.108371,-0.114221,-0.120149,-0.126152,-0.132223,-0.138359,-0.1445529,-0.1508014,-0.1570992,-0.1634412,-0.169823,-0.176238,-0.182684,-0.189154,-0.195643,-0.202148,-0.208662,-0.215181
9,DNTT,0,0,217.45,6.6313e-46,5.0266e-42,3.467857,3.423036,3.378188,3.333282,3.28829,3.243185,3.197937,3.152517,3.106898,3.061051,3.0149469,2.9685576,2.9218546,2.8748092,2.827393,2.7795774,2.7313339,2.682634,2.633449,2.583751,2.53351,2.482699,2.431289,2.379252,2.326558,2.27318,2.219088,2.1642551,2.1086518,2.0522902,1.995278,1.937739,1.879793,1.821565,1.763176,1.704748,1.646405,1.588267,1.530458,1.4731,1.416316,1.360227,1.304956,1.250625,1.197357,1.14527,1.094499,1.045153,0.99736,0.951241,0.9069182,0.864515,0.824153,0.7859554,0.7500399,0.71642,0.684997,0.655663,0.628313,0.60284,0.579138,0.557101,0.536623,0.517599,0.499921,0.483483,0.46818,0.453905,0.440552,0.428016,0.416189,0.404966,0.394241,0.383907,0.373859,0.3639894,0.3541933,0.344364,0.3343956,0.3241819,0.3136167,0.302594,0.291007,0.27877,0.265891,0.252408,0.238358,0.223779,0.208709,0.193186,0.17724742,0.160931,0.144275,0.127317,0.110094,0.092645,0.075006,0.0572171,0.039315,0.021336,0.0033205,0.0033205,-0.0025777,-0.00845814,-0.014303,-0.0200952,-0.0258163,-0.031449,-0.0369755,-0.0423781,-0.047639,-0.0527407,-0.0576654,-0.062395,-0.066913,-0.0712,-0.07524,-0.079014,-0.08250539,-0.0856955,-0.0885739,-0.0911517,-0.093445,-0.0954694,-0.0972407,-0.0987748,-0.1000874,-0.1011944,-0.1021115,-0.10285465,-0.10343953,-0.103882,-0.1041978,-0.1044029,-0.1045129,-0.1045437,-0.104511,-0.1044308,-0.1043188,-0.1041908,-0.1040626,-0.10395,-0.1038688,-0.103835,-0.103864,-0.103972,-0.104174,-0.104487,-0.104926,-0.105495,-0.10619,-0.107005,-0.1079366,-0.108978,-0.110125,-0.1113717,-0.1127136,-0.1141454,-0.115662,-0.1172583,-0.118929,-0.1206694,-0.1224739,-0.124338,-0.126255,-0.128222,-0.1302327,-0.132282,-0.1343648,-0.136476,-0.1386106,-0.1407634,-0.142929,-0.145103,-0.14728,-0.149459,-0.15164,-0.153823,-0.156007,-0.158193,-0.160381,-0.16257,-0.16476,-0.166952,-0.169145,-0.171339,-0.173535,-0.175731,-0.177928,-0.180127,-0.1823259,-0.1845258,-0.1867264,-0.1889276,-0.191129,-0.193332,-0.195534,-0.197738,-0.199941,-0.202144,-0.204348,-0.206552
