,gene,Group1,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Group11,statisticsValue,P-value,Adj P-value
315,IL7R,-0.102,-0.133,-0.103,-0.133,-0.133,-0.13,-0.05,-0.071,-0.058,-0.04,0.318,58.18,7.99e-09,5e-05
316,ILF2,-0.34,-0.273,-0.125,-0.044,0.142,0.026,-0.057,0.029,-0.193,-0.36,-0.175,78.997,7.89e-13,5.04e-09
317,ILF3,-0.273,-0.349,-0.125,-0.213,0.04,0.098,-0.061,-0.077,-0.314,-0.352,-0.192,67.084,1.62e-10,1.02e-06
318,IMPA2,-0.297,-0.279,-0.168,-0.236,-0.183,0.231,-0.039,-0.035,-0.272,-0.305,-0.261,70.103,4.24e-11,2.69e-07
319,IMPDH2,-0.29,-0.269,-0.083,-0.119,0.141,0.153,0.023,-0.304,-0.363,-0.519,-0.227,106.526,2.67e-18,1.73e-14
320,IPO7,-0.267,-0.276,-0.133,-0.185,-0.128,0.122,-0.048,-0.169,-0.224,-0.32,-0.241,45.94,1.47e-06,0.00904
321,IQGAP1,-0.258,-0.257,-0.184,-0.25,-0.101,0.045,0.164,0.412,0.08,-0.073,-0.004,116.104,3.12e-20,2.02e-16
322,IQGAP2,-0.12,-0.193,-0.086,-0.215,-0.337,-0.377,-0.197,-0.109,-0.166,-0.295,-0.42,51.226,1.59e-07,0.000982
323,IRF2BP2,-0.243,0.023,-0.261,-0.054,-0.281,-0.213,-0.19,0.166,-0.049,0.08,-0.089,73.665,8.65e-12,5.5e-08
324,IRF8,-0.2,-0.201,-0.192,-0.202,-0.202,0.119,0.004,2.73,-0.066,-0.137,-0.146,467.84,3.26e-94,2.19e-90
325,ITGA2B,-0.145,-0.101,-0.157,2.265,0.275,-0.165,-0.174,-0.174,-0.174,-0.163,-0.174,151.401,1.92e-27,1.26e-23
326,ITGB2,-0.218,-0.246,-0.14,-0.282,-0.246,0.191,0.139,0.052,0.01,-0.083,-0.151,65.085,3.9e-10,2.46e-06
327,ITM2B,0.015,-0.285,-0.21,-0.138,-0.426,-0.313,-0.117,-0.147,0.031,-0.247,-0.127,65.417,3.37e-10,2.13e-06
328,ITM2C,-0.284,-0.331,-0.162,-0.348,-0.363,-0.028,0.085,0.332,0.208,-0.003,-0.114,109.465,6.84e-19,4.43e-15
