,Gene,StatisticsValue,P-value,Adj P-value,Group6_PT_0,Group6_PT_0.01,Group6_PT_0.02,Group6_PT_0.03,Group6_PT_0.04,Group6_PT_0.05,Group6_PT_0.06,Group6_PT_0.07,Group6_PT_0.08,Group6_PT_0.09,Group6_PT_0.1,Group6_PT_0.11,Group6_PT_0.12,Group6_PT_0.13,Group6_PT_0.14,Group6_PT_0.15,Group6_PT_0.16,Group6_PT_0.17,Group6_PT_0.18,Group6_PT_0.19,Group6_PT_0.2,Group6_PT_0.21,Group6_PT_0.22,Group6_PT_0.23,Group6_PT_0.24,Group6_PT_0.25,Group6_PT_0.26,Group6_PT_0.27,Group6_PT_0.28,Group6_PT_0.29,Group6_PT_0.3,Group6_PT_0.31,Group6_PT_0.32,Group6_PT_0.33,Group6_PT_0.34,Group6_PT_0.35,Group6_PT_0.36,Group6_PT_0.37,Group6_PT_0.38,Group6_PT_0.39,Group6_PT_0.4,Group6_PT_0.41,Group6_PT_0.42,Group6_PT_0.43,Group6_PT_0.44,Group6_PT_0.45,Group6_PT_0.46,Group6_PT_0.47,Group6_PT_0.48,Group6_PT_0.49,Group6_PT_0.5,Group6_PT_0.51,Group6_PT_0.52,Group6_PT_0.53,Group6_PT_0.54,Group6_PT_0.55,Group6_PT_0.56,Group6_PT_0.57,Group6_PT_0.58,Group6_PT_0.59,Group6_PT_0.6,Group6_PT_0.61,Group6_PT_0.62,Group6_PT_0.63,Group6_PT_0.64,Group6_PT_0.65,Group6_PT_0.66,Group6_PT_0.67,Group6_PT_0.68,Group6_PT_0.69,Group6_PT_0.7,Group6_PT_0.71,Group6_PT_0.72,Group6_PT_0.73,Group6_PT_0.74,Group6_PT_0.75,Group6_PT_0.76,Group6_PT_0.77,Group6_PT_0.78,Group6_PT_0.79,Group6_PT_0.8,Group6_PT_0.81,Group6_PT_0.82,Group6_PT_0.83,Group6_PT_0.84,Group6_PT_0.85,Group6_PT_0.86,Group6_PT_0.87,Group6_PT_0.88,Group6_PT_0.89,Group6_PT_0.9,Group6_PT_0.91,Group6_PT_0.92,Group6_PT_0.93,Group6_PT_0.94,Group6_PT_0.95,Group6_PT_0.96,Group6_PT_0.97,Group6_PT_0.98,Group6_PT_0.99,Group6_PT_1
725,Cyc1,87.003,5.6999e-18,1.5866e-13,-0.433,-0.4224159,-0.4117633,-0.40097011,-0.38997,-0.37868065,-0.36704378,-0.3549851,-0.34243427,-0.329321,-0.315575,-0.30113,-0.28590353,-0.26983747,-0.25286,-0.23489,-0.21587428,-0.1957305,-0.17439,-0.15178721,-0.12784702,-0.10250072,-0.07567803,-0.04730863,-0.01732222,0.0143515,0.047783,0.08300543,0.11897485,0.15341966,0.18400177,0.20838,0.2242261,0.2301159,0.22747,0.21825,0.20442,0.18793353,0.17072,0.15375,0.13707286,0.12068,0.10456942,0.088733,0.07316707,0.05786694,0.04282784,0.02804502,0.01351375,-0.00077073,-0.0148132,-0.02861828,-0.04219085,-0.05553561,-0.0686573,-0.0815607,-0.09425049,-0.1067315,-0.1190084,-0.13108592,-0.14297,-0.15466203,-0.16617,-0.17749775,-0.18864983,-0.19963105,-0.21044617,-0.22109991,-0.23159704,-0.2419423,-0.2521404,-0.26219616,-0.27211426,-0.2818995,-0.2915566,-0.3010902,-0.3105053,-0.3198064,-0.32899834,-0.33808589,-0.347074,-0.3559667,-0.36477,-0.37348687,-0.3821235,-0.3906843,-0.3991738,-0.4075969,-0.4159583,-0.4242628,-0.432515,-0.44071979,-0.448882,-0.45701,-0.4650968,-0.47315924,-0.4812,-0.4892176,-0.497223,-0.505219,-0.5132102
726,Hnrnpr,52.073,1.3318e-10,3.667e-06,-0.29399,-0.2862915,-0.2785688,-0.27079331,-0.26294,-0.25497811,-0.24688556,-0.2386345,-0.23019848,-0.2215511,-0.2126659,-0.20352,-0.19407659,-0.18431955,-0.17422,-0.16375,-0.15288196,-0.1415925,-0.12985,-0.11763981,-0.10492368,-0.09167913,-0.07787976,-0.06349913,-0.04851083,-0.03288844,-0.016606,0.00034779,0.01749616,0.03381186,0.04823717,0.059714,0.06718594,0.07000677,0.068798,0.064423,0.057744,0.04962642,0.040914,0.032044,0.02303655,0.013894,0.00461756,-0.0047892,-0.01432448,-0.02398601,-0.03377154,-0.04367882,-0.05370558,-0.06384959,-0.0741086,-0.08448028,-0.09496246,-0.10555286,-0.1162492,-0.1270493,-0.13795082,-0.1489515,-0.1600492,-0.17124158,-0.18253,-0.19390136,-0.20536,-0.21691284,-0.22854484,-0.240258,-0.25205006,-0.26391879,-0.27586191,-0.2878772,-0.2999623,-0.31211513,-0.32433331,-0.3366146,-0.3489568,-0.3613576,-0.3738147,-0.386326,-0.39888912,-0.41150184,-0.424162,-0.4368671,-0.449615,-0.46240363,-0.4752305,-0.4880935,-0.5009903,-0.5139187,-0.5268763,-0.539861,-0.5528706,-0.56590262,-0.578955,-0.59203,-0.6051115,-0.61821124,-0.63132,-0.6444422,-0.657569,-0.6707002,-0.6838337
727,Pla2g12a,94.869,1.2152e-19,3.3858e-15,-0.37075,-0.3644618,-0.3580478,-0.35138198,-0.34434,-0.33679149,-0.32861503,-0.3196832,-0.30987021,-0.2990501,-0.2870969,-0.27388,-0.25928811,-0.24318063,-0.22544,-0.20593,-0.18453531,-0.1611263,-0.13558,-0.10776197,-0.07755492,-0.0448301,-0.0094616,0.02867645,0.06970996,0.1137648,0.16097,0.21137918,0.26321718,0.31259334,0.35550592,0.38795,0.40593431,0.40705841,0.39388,0.36989,0.3386,0.30349692,0.26801,0.2339,0.20120094,0.1699,0.13997557,0.1113997,0.0841507,0.05820526,0.03354012,0.01013199,-0.01204241,-0.03300635,-0.0527831,-0.07139596,-0.08886819,-0.10522308,-0.1204839,-0.1346739,-0.14781644,-0.1599347,-0.1710521,-0.1811917,-0.19038,-0.19863108,-0.20598,-0.21243908,-0.21803951,-0.22280193,-0.22674962,-0.22990586,-0.23229392,-0.2339371,-0.2348586,-0.23508183,-0.23462997,-0.2335263,-0.2317942,-0.2294568,-0.2265375,-0.2230595,-0.21904605,-0.21452054,-0.209506,-0.2040263,-0.198104,-0.19176286,-0.1850259,-0.1779165,-0.170458,-0.1626736,-0.1545865,-0.1462201,-0.1375977,-0.12874242,-0.119678,-0.11043,-0.1010128,-0.09145924,-0.081789,-0.0720262,-0.0621933,-0.0523138,-0.0424111
728,Thoc7,61.613,1.3286e-12,3.6736e-08,-0.31183,-0.3045355,-0.2971943,-0.28976921,-0.28222,-0.27449891,-0.26656974,-0.2583886,-0.24991338,-0.2411022,-0.231913,-0.2223,-0.21223246,-0.20165718,-0.19054,-0.17883,-0.16648718,-0.1534758,-0.13975,-0.1252689,-0.1099894,-0.09386987,-0.0768683,-0.05894268,-0.04005103,-0.02015132,0.00079843,0.02281725,0.04524878,0.0666679,0.08560776,0.1006,0.1101826,0.11345807,0.1113,0.1049,0.09548,0.08423601,0.07235,0.06043,0.04850074,0.036563,0.0246159,0.0126607,0.00069712,-0.01127464,-0.02325444,-0.03524214,-0.04723759,-0.05924065,-0.0712512,-0.08326901,-0.09529402,-0.10732605,-0.119365,-0.1314106,-0.14346281,-0.1555215,-0.1675864,-0.1796575,-0.19173,-0.20381753,-0.21591,-0.22800038,-0.2401,-0.25220489,-0.26431489,-0.27642988,-0.28854968,-0.3006742,-0.3128032,-0.32493662,-0.33707427,-0.349216,-0.3613617,-0.3735112,-0.3856644,-0.3978211,-0.40998112,-0.42214438,-0.434311,-0.44648,-0.458652,-0.47082668,-0.4830038,-0.4951833,-0.507365,-0.5195488,-0.5317344,-0.5439218,-0.5561108,-0.5683013,-0.580493,-0.59269,-0.60488,-0.61707489,-0.62927,-0.6414667,-0.6536633,-0.6658602,-0.6780572
729,Tsn,80.065,1.6871e-16,4.6903e-12,-0.30516,-0.2959119,-0.2866208,-0.27724467,-0.26774,-0.25806716,-0.24818073,-0.2380391,-0.22759986,-0.2168204,-0.2056582,-0.19407,-0.1820154,-0.16944982,-0.15633,-0.14262,-0.12826594,-0.1132338,-0.097479,-0.08095829,-0.06362979,-0.04545076,-0.02637868,-0.00637103,0.01461472,0.03662109,0.059691,0.08383815,0.10826507,0.13124683,0.15100864,0.16578,0.17377356,0.17394196,0.16741,0.15574,0.14047,0.12316511,0.10534,0.087766,0.07048251,0.053481,0.036757,0.0203057,0.00412234,-0.01179767,-0.02745907,-0.04286657,-0.05802485,-0.07293864,-0.0876126,-0.10205151,-0.11626,-0.13024279,-0.1440046,-0.1575501,-0.17088401,-0.184011,-0.1969359,-0.20966325,-0.2222,-0.23454433,-0.24671,-0.2586919,-0.27050238,-0.28214358,-0.29362022,-0.30493698,-0.31609858,-0.3271097,-0.3379751,-0.34869941,-0.35928737,-0.3697437,-0.380073,-0.3902801,-0.4003697,-0.4103464,-0.42021492,-0.42998003,-0.439646,-0.4492187,-0.458702,-0.46810008,-0.4774185,-0.4866617,-0.4958344,-0.5049412,-0.5139869,-0.5229762,-0.5319137,-0.54080428,-0.549652,-0.55846,-0.5672408,-0.57599028,-0.58472,-0.5934234,-0.6021165,-0.6108001,-0.6194791
730,Cited4,120.938,3.3671e-25,9.4066e-21,-0.22721,-0.2449127,-0.2623609,-0.27930248,-0.29548,-0.31065287,-0.32455512,-0.3369377,-0.3475473,-0.3561307,-0.3624345,-0.36621,-0.36719062,-0.36513627,-0.35979,-0.3509,-0.33820432,-0.3214598,-0.30041,-0.27480017,-0.24437855,-0.20889134,-0.16808527,-0.12170705,-0.06950342,-0.01122108,0.053393,0.12450616,0.1997371,0.27380622,0.34127627,0.39671,0.4346712,0.45178787,0.45103,0.43656,0.41258,0.38325068,0.35267,0.32294,0.29412542,0.26622,0.23919907,0.2130557,0.1877722,0.16333336,0.13972414,0.11692945,0.09493422,0.07372335,0.0532818,0.03359437,0.0146461,-0.00357814,-0.0210934,-0.0379149,-0.05405752,-0.0695365,-0.0843668,-0.09856365,-0.11214,-0.12511704,-0.1375,-0.14931734,-0.16057278,-0.1712852,-0.18146969,-0.19114131,-0.20031517,-0.2090063,-0.2172299,-0.22500095,-0.23233456,-0.2392458,-0.2457498,-0.2518616,-0.2575963,-0.262969,-0.26799479,-0.27268871,-0.277066,-0.2811413,-0.28493,-0.28844758,-0.2917085,-0.2947281,-0.2975214,-0.3001036,-0.3024897,-0.3046947,-0.3067339,-0.30862216,-0.310375,-0.31201,-0.3135329,-0.31496863,-0.31633,-0.317629,-0.3188838,-0.3201084,-0.3213179
731,Psmb4,84.828,1.6501e-17,4.5911e-13,-0.4295,-0.4240249,-0.4184654,-0.41274545,-0.40678,-0.40050346,-0.39382097,-0.3866572,-0.37893194,-0.370565,-0.3614761,-0.35159,-0.34081173,-0.32907582,-0.3163,-0.3024,-0.28729063,-0.2709024,-0.25315,-0.23395475,-0.21323498,-0.19091095,-0.16690245,-0.14112926,-0.11351117,-0.08396797,-0.052419,-0.01882625,0.01564937,0.0484776,0.07705433,0.098775,0.11103743,0.11227127,0.10408,0.088693,0.068312,0.04515587,0.021396,-0.0018568,-0.02456429,-0.046735,-0.06837866,-0.0895034,-0.1101185,-0.13023283,-0.14985535,-0.16899501,-0.18766075,-0.2058615,-0.2236062,-0.24090384,-0.25776331,-0.27419357,-0.2902036,-0.3058022,-0.32099848,-0.3358013,-0.3502196,-0.36426238,-0.37794,-0.39125699,-0.40423,-0.41685665,-0.42915574,-0.44113291,-0.45279712,-0.4641573,-0.4752224,-0.4860014,-0.4965031,-0.50673662,-0.5167108,-0.5264346,-0.535917,-0.5451669,-0.5541932,-0.5630049,-0.57161102,-0.58002036,-0.588242,-0.5962847,-0.604157,-0.61186936,-0.6194292,-0.626846,-0.6341287,-0.6412862,-0.6483274,-0.6552613,-0.6620969,-0.66884303,-0.675509,-0.6821,-0.6886344,-0.69511227,-0.70155,-0.7079429,-0.7143134,-0.7206662,-0.7270099
732,Spcs2,71.285,1.2149e-14,3.3705e-10,-0.37823,-0.3806868,-0.383068,-0.38528815,-0.38727,-0.38892353,-0.39017774,-0.390949,-0.39115672,-0.3907205,-0.3895598,-0.38759,-0.38474299,-0.38092589,-0.37606,-0.37007,-0.36287385,-0.3543879,-0.34453,-0.33323024,-0.32039749,-0.30595479,-0.28982166,-0.2719176,-0.25216211,-0.23047469,-0.20677,-0.18101625,-0.15415669,-0.1282969,-0.10559965,-0.088228,-0.07834346,-0.07726938,-0.083749,-0.096034,-0.11237,-0.13101974,-0.15026,-0.16921,-0.18784261,-0.20616,-0.22417494,-0.2418844,-0.2592963,-0.27641591,-0.29324843,-0.30979909,-0.3260731,-0.34207569,-0.3578121,-0.37328746,-0.38850708,-0.40347616,-0.4181999,-0.4326835,-0.4469323,-0.4609514,-0.474746,-0.48832143,-0.50168,-0.51483543,-0.52778,-0.54053516,-0.55309272,-0.56546236,-0.57764932,-0.5896588,-0.60149604,-0.6131662,-0.6246746,-0.63602643,-0.64722685,-0.6582811,-0.6691945,-0.6799721,-0.6906192,-0.7011411,-0.71154289,-0.72182986,-0.732007,-0.7420802,-0.752054,-0.76193379,-0.7717249,-0.7814325,-0.7910617,-0.800618,-0.8101063,-0.819532,-0.8289003,-0.83821642,-0.847486,-0.85671,-0.8659037,-0.87506323,-0.8842,-0.8933092,-0.902406,-0.9114925,-0.9205737
733,Ubl5,69.19,3.3653e-14,9.3326e-10,-0.11961,-0.1304752,-0.1412318,-0.15176425,-0.16196,-0.17170844,-0.18089606,-0.1894113,-0.19714199,-0.2039762,-0.2098017,-0.21451,-0.21797874,-0.22010604,-0.22078,-0.21988,-0.21729835,-0.2129257,-0.20665,-0.19835281,-0.18792846,-0.17526273,-0.16024357,-0.14275891,-0.12269667,-0.09994479,-0.074391,-0.04596349,-0.0157551,0.01381359,0.04025014,0.061062,0.07375749,0.07679068,0.071521,0.059865,0.043738,0.02505525,0.0056935,-0.013385,-0.03214564,-0.050592,-0.06873073,-0.0865661,-0.1041036,-0.12134851,-0.13830603,-0.15498141,-0.17137985,-0.18750658,-0.2033668,-0.21896583,-0.23430879,-0.24940095,-0.2642475,-0.2788538,-0.29322485,-0.307366,-0.3212825,-0.33497959,-0.34846,-0.36173623,-0.37481,-0.38767775,-0.40035591,-0.41284595,-0.42515312,-0.43728264,-0.44923972,-0.4610296,-0.4726575,-0.48412866,-0.49544828,-0.5066216,-0.5176538,-0.5285502,-0.539316,-0.5499563,-0.56047651,-0.57088174,-0.581177,-0.5913682,-0.60146,-0.61145761,-0.6213664,-0.6311917,-0.6409385,-0.6506123,-0.660218,-0.6697611,-0.6792467,-0.68868007,-0.698066,-0.70741,-0.7167189,-0.72599546,-0.73525,-0.7444755,-0.7536894,-0.7628929,-0.7720911
734,Atp5f1,73.171,4.8539e-15,1.3473e-10,-0.45734,-0.453668,-0.4499131,-0.4459932,-0.44183,-0.43732813,-0.43241796,-0.4270127,-0.42102977,-0.4143867,-0.407001,-0.39879,-0.38967143,-0.37956257,-0.36838,-0.35604,-0.34246948,-0.3275745,-0.31128,-0.29349368,-0.27414272,-0.25314139,-0.23040716,-0.20585753,-0.17940995,-0.15098193,-0.12049,-0.08789356,-0.05429583,-0.02211204,0.00617243,0.028072,0.04110253,0.04375515,0.037521,0.024464,0.0066487,-0.01386035,-0.035041,-0.055857,-0.0762703,-0.096288,-0.11591711,-0.1351635,-0.15403396,-0.17253514,-0.19067362,-0.20845598,-0.22588883,-0.24297876,-0.2597324,-0.27615623,-0.29225696,-0.30804115,-0.3235154,-0.3386863,-0.35356041,-0.3681444,-0.3824448,-0.39646819,-0.41022,-0.42371048,-0.43694,-0.44992401,-0.46266148,-0.47516154,-0.48743079,-0.49947582,-0.51130322,-0.5229196,-0.5343315,-0.54554565,-0.55656851,-0.5674067,-0.5780669,-0.5885556,-0.5988794,-0.609045,-0.61905884,-0.62892764,-0.638658,-0.6482564,-0.657729,-0.6670839,-0.6763262,-0.685463,-0.6945009,-0.7034464,-0.7123063,-0.7210869,-0.7297951,-0.73843727,-0.74702,-0.75555,-0.7640341,-0.77247849,-0.78089,-0.7892749,-0.7976401,-0.8059921,-0.8143376
